name,location,stars,amount_conv,Rating,NumReviews,Airport,Pool,Breakfast,Family_Rooms,Parking,Restaurant,size_m2,Pets,Month,Location
Minos Palace Hotel & Suites - Adults Only,"Main Street, Agios Nikolaos, 72100, Greece",,2423.3644859813085,9.0,582 ,True,True,True,False,False,False,30.0,False,July,Crete
Kiani Beach Resort Family All Inclusive,"Kiani Akti, Kalyves, 73003, Greece",5.0,2475.5715523561953,8.2, 967 ,True,False,True,False,True,True,48.0,False,July,Crete
Amirandes Grecotel Boutique Resort,"Main Street, Gouves, 711 10, Greece",5.0,3441.0,8.9,173 ,True,False,False,False,True,False,31.0,False,July,Crete
La Mer Resort & Spa - Adults Only,"Dramia, Kavros, Georgioupolis, 73007, Greece",5.0,2208.3333333333335,8.7,914 ,True,False,True,False,False,False,23.0,False,July,Crete
Aldemar Knossos Villas,"Limenas Hersonissou, Anissaras, Hersonissos, 70014, Greece",,4017.7570093457944,10,1 ,False,False,False,False,True,True,44.0,False,July,Crete
Creta Maris Resort,"Hersonissos, Limenas Hersonissou, Hersonissos, 70014, Greece",5.0,3236.896378269618,9.0,"1,254 ",True,False,True,False,True,False,27.0,False,July,Crete
Village Heights Resort,"Hersonissos, Hersonissos, 70014, Greece",5.0,760.0,8.9,437 ,True,False,True,False,True,False,35.0,False,July,Crete
Sitia Beach City Resort & Spa,"Sitia, Sitia, 72300, Greece",5.0,1165.0,8.1, 680 ,True,True,False,False,True,False,24.0,False,July,Crete
Seaside A Lifestyle Resort - Adults Only,"Agia Pelagia, Agia Pelagia, 71500, Greece",5.0,3791.83257918552,8.8,299 ,False,False,False,False,True,True,26.0,False,July,Crete
Royal Marmin Bay Boutique & Art Hotel,"Elounda, Lasithi, Elounda, 72053, Greece",,1704.6728971962616,9.1,921 ,True,True,False,False,True,False,23.0,False,July,Crete
Matthias Hotel Apartments,"Adelianos Kampos, Adelianos Kampos, 74100, Greece",2.0,534.0,9.1,283 ,True,False,True,True,True,False,35.0,False,July,Crete
The Royal Blue a Luxury Beach Resort,"Main Street, Panormos Rethymno, 74057, Greece",,1870.0934579439252,8.5, 323 ,True,True,False,False,True,False,30.0,False,July,Crete
Abaton Island Resort & Spa,"Themistokleous Avenue, Hersonissos, 70014, Greece",5.0,2321.527777777778,9.1,871 ,True,False,False,False,True,False,37.0,False,July,Crete
"The Royal Senses Resort & Spa Crete, Curio Collection by Hilton","Panormos Geropotamou, Panormos Rethymno, 74057, Greece",5.0,2784.0,8.7,224 ,False,True,True,False,False,False,32.0,False,July,Crete
"Blue Palace Elounda, a Luxury Collection Resort, Crete","Plaka, Elounda, 72053, Greece",5.0,2869.4461107778443,9.0,561 ,True,True,False,False,True,False,40.0,False,July,Crete
NUMO Ierapetra Beach Resort,"Peristeras Koudounata, Ierapetra, 72200, Greece",5.0,1623.4219822702125,8.3, 231 ,False,False,True,False,True,True,23.0,False,July,Crete
Lyttos Mare,"Anissaras, Anissaras, Hersonissos, 70014, Greece",5.0,4219.0,9.2,590 ,False,False,True,False,True,False,36.0,False,July,Crete
AKASHA Beach Hotel & Spa,"Eleftheriou Venizelou 183, Limenas Hersonissou, Hersonissos, 70014, Greece",5.0,1578.8413098236774,8.9,716 ,True,True,False,False,True,False,30.0,False,July,Crete
Filion Suites Resort & Spa,"Main Street, Bali, 74057, Greece",5.0,1094.0,8.4, 828 ,False,False,False,True,True,True,35.0,False,July,Crete
Myrion Beach Resort & Spa,"Pirgos Psilonerou beach area, Gerani, 73014, Greece",5.0,2450.892857142857,8.6,274 ,False,False,True,False,True,False,30.0,False,July,Crete
Fodele Beach Water Park Resort,"Fodele, Fodele, 71500, Greece",5.0,2977.0,8.8,421 ,False,False,True,False,False,True,30.0,False,July,Crete
"Domes Zeen Chania, a Luxury Collection Resort, Crete","Apteron Street, Kato Daratso, Kato Daratso, 73100, Greece",5.0,4635.238673217777,9.2,276 ,False,True,True,False,True,True,30.0,False,July,Crete
Amira Luxury Resort & Spa - Adults Only,"Adelianos Kampos, Adelianos Kampos, 74150, Greece",5.0,5813.194444444444,9.4,212 ,True,True,True,False,False,False,55.0,False,July,Crete
"Domes Aulus Elounda Adults Only, Curio Collection by Hilton","Main Street, Elounda, 72053, Greece",5.0,2040.3990024937657,8.5, 220 ,True,True,False,False,False,True,21.0,True,July,Crete
"Radisson Blu Beach Resort, Milatos Crete","Milatos, Milatos, 72400, Greece",,4319.626168224298,8.1," 1,231 ",True,False,False,False,True,False,34.0,False,July,Crete
Aquila Atlantis Hotel,"2, Ygias Str., Heraklio, 71202, Greece",,795.3271028037383,8.3," 1,751 ",False,True,True,False,True,True,23.0,False,July,Crete
"Domes of Elounda, Autograph Collection","Main Street, Elounda, 72053, Greece",,6050.467289719626,9.0,263 ,False,False,True,False,False,False,65.0,True,July,Crete
Lyttos Beach,"Analipsi, Anissaras, Hersonissos, 70014, Greece",,2937.3831775700933,8.7,646 ,False,False,False,False,True,True,23.0,False,July,Crete
Stella Island Luxury Resort & Spa (Adults Only),"Analipsi, Analipsi, Hersonissos, 70014, Greece",5.0,5703.200552613401,9.4,900 ,True,False,False,False,True,True,35.0,False,July,Crete
Matthias Hotel Apartments,"Adelianos Kampos, Adelianos Kampos, 74100, Greece",2.0,534.7222222222223,9.1,283 ,True,False,True,True,True,False,35.0,False,July,Crete
Cretan Malia Park a Member of Design Hotels,"Main Street, Malia, 70007, Greece",5.0,2241.9642857142853,8.6,257 ,True,False,True,False,True,False,24.0,False,July,Crete
Galaxy Iraklio Hotel,"75 Dimocratias Avenue, Heraklio, 71306, Greece",5.0,1030.0,8.9,"1,891 ",True,True,True,False,True,False,21.0,False,July,Crete
"Minos Beach Art Hotel, a Member of Design Hotels","Akti Ilia Sotirchou, Agios Nikolaos, 72100, Greece",,2694.392523364486,9.1,365 ,True,True,True,False,True,False,35.0,True,July,Crete
Out Of The Blue Resort & Spa,"Agia Pelagia, Agia Pelagia, 71500, Greece",5.0,1820.8936651583708,8.0, 157 ,False,False,False,False,True,True,28.0,True,July,Crete
Acro Suites - A Wellbeing Resort,"Mononaftis - Agia Pelagia, Agia Pelagia, 71500, Greece",5.0,5760.0,9.5,320 ,False,False,False,False,True,True,75.0,False,July,Crete
IRINI STALOS Apartments,"Kato Stalos, Stalos, 73100, Greece",2.0,975.5813953488372,9.7,226 ,True,True,True,True,False,False,27.0,False,July,Crete
KING MINOS RETREAT Resort & Spa,"Limenas, Hersonissos, Hersonissos, 70014, Greece",,0.0,10,1 ,False,False,True,True,False,True,,False,July,Crete
Eliros Mare Beachfront Poem Hotel,"Kavros, Kavros, Georgioupolis, 73007, Greece",5.0,3884.8416289592756,9.0,194 ,False,True,False,False,True,True,28.0,False,July,Crete
Porto Platanias Beach Resort & Spa,"Platanias, Platanias, 73014, Greece",5.0,1202.3255813953488,8.3, 775 ,True,False,True,False,False,False,22.0,False,July,Crete
Avra Imperial Hotel,"Kolymbari, Kolymvari, 73006, Greece",,1679.4392523364486,8.9,373 ,True,False,True,False,False,False,31.0,True,July,Crete
Creta Royal - Adults Only,"Scaleta, Rethymno, Skaleta, 74100, Greece",,1492.5233644859811,8.2, 70 ,False,False,True,False,False,True,20.0,False,July,Crete
