name,location,stars,amount_conv,Rating,NumReviews,Airport,Pool,Breakfast,Family_Rooms,Parking,Restaurant,size_m2,Pets,Month,Location
Dreamscape Residences - Stavros Apartment,"23 Episkopou Kallistou, Chania, 73132, Greece",3.0,637.5678733031674,7.7,6 ,True,False,False,True,False,False,100.0,True,June,Crete
Sweet Corner Masxali,"Agia Roumeli, Agia Roumeli, 73011, Greece",3.0,178.0,8.7,363 ,True,False,True,False,True,True,40.0,False,June,Crete
Villa Koutsakis,"Kali Limenes, Chrysostomos, Kaloi Limenes, 70400, Greece",3.0,691.0972850678733,8.3, 295 ,False,False,True,True,True,True,60.0,True,June,Crete
Cost Mari Almyrida New by ZAGO Boutiqe hotels,"Almirída, Almyrida, 73008, Greece",3.0,688.6714252820631,9.0,62 ,False,True,False,True,True,False,40.0,False,June,Crete
Erivolos Studios & Apartments,"Main Street, Ligaria, 71500, Greece",3.0,637.1606334841629,8.7,77 ,True,True,False,True,True,True,40.0,False,June,Crete
Villa Rita Apartments A,"Tavronitis, Tavronitis, 73006, Greece",3.0,186.83651804670913,8.6,92 ,True,False,True,True,True,False,25.0,False,June,Crete
Stefanos Garden,"Αρμένοι Αποκορώνου, Arménoi, 73003, Greece",3.0,165.3846153846154,8.5, 82 ,False,False,False,True,True,False,40.0,False,June,Crete
Naiades Village Elounda,"58 Andreas Papandreaou, Elounda, Elounda, 72053, Greece",3.0,658.0,8.8,200 ,False,False,False,True,False,False,40.0,False,June,Crete
Almyra Apartments,"Sfakaki, Sfakaki, 74100, Greece",,219.62616822429905,8.9,53 ,True,True,False,True,True,False,99.0,False,June,Crete
Helios Studios & Apartments,"Makrigialos, Makry Gialos, 72055, Greece",,178.50467289719626,9.2,360 ,False,True,False,True,True,False,24.0,False,June,Crete
Helios Apartments,"Plakias, Plakias, 74060, Greece",3.0,184.0,8.7,86 ,True,False,False,True,True,False,35.0,False,June,Crete
Nival Luxury Suites,"Daskalogianni 68, Chania, 73133, Greece",,613.0841121495326,9.4,327 ,True,False,False,False,True,False,30.0,False,June,Crete
Galini Apartments,"Unnamed Street, Lentas, 70400, Greece",3.0,191.25556892458783,9.4,90 ,False,False,False,True,True,False,35.0,False,June,Crete
Lefka Ori,"Chora Sfakíon, Hora Sfakion, 73100, Greece",3.0,638.0,7.9,450 ,True,False,True,True,True,True,44.0,False,June,Crete
Maria's Studio No2 in Heraklion,"13 Μύρωνος, Thérissos, 71410, Greece",3.0,40836.44859813084,9.1,40 ,False,False,False,False,False,False,23.0,False,June,Crete
Ierapetra La Luna Blu,"Ferma, Epar-Od Ierapetras- Sitias, Ferma, 72200, Greece",3.0,174.24161788185205,8.9,41 ,False,False,False,True,True,False,35.0,True,June,Crete
Yasmine Apartments and Rooms,"2nd Parodos Apteron, Kato Daratso, 73100, Greece",3.0,525549.5327102804,8.9,144 ,True,False,True,True,True,False,40.0,False,June,Crete
Artemis apartment first floor,"6 Irinis, Elounda, 72053, Greece",3.0,199.24547283702213,,,False,False,False,False,True,False,23.0,False,June,Crete
