name,location,stars,amount_conv,Rating,NumReviews,Airport,Pool,Breakfast,Family_Rooms,Parking,Restaurant,size_m2,Pets,Month,Location
ArtOikia Luxury Villas,"Saktouria, Saktoúria, 74053, Greece",4.0,1688.50452368281,,,True,False,False,True,True,False,100.0,False,June,Crete
Enjoy amazing sea views at wonderful Villa Selene,"Ligaria, Agia Pelagia, 71500, Greece",4.0,1134.8837209302326,,,False,True,False,True,True,False,99.0,False,June,Crete
Olvia,"sarpaki 2, Chania, 73100, Greece",,1202.803738317757,9.0,3 ,True,False,True,False,True,False,120.0,False,June,Crete
Villa 7 Seas - With Amazing View,"Schinaria beach road, Lefkogeia, 74060, Greece",4.0,2470.0,,,False,True,False,False,True,False,270.0,True,June,Crete
Marianthi’s house,"2 Sapoutie Str, Heraklio, 71202, Greece",4.0,396.0,9.4,39 ,False,False,False,True,False,False,68.0,False,June,Crete
SpiliaInn,"Σπηλιά Χανιά, Spiliá, 73006, Greece",4.0,740.0,10,1 ,True,False,False,True,True,False,100.0,False,June,Crete
Villa Morfeas,"Damavolou, Dhamavólos, 74052, Greece",,460.74766355140184,9.3,3 ,False,False,False,False,True,False,250.0,True,June,Crete
"ELIDA -pool, billiard, views, 4min walk to the sea","Eparchiaki Odos Kalivon-Kefalas, Plaka, 73008, Greece",,2526.168224299065,,,False,True,False,False,True,False,201.0,True,June,Crete
Casa EleMar Villa with Private Yard,"Analipsi, Analipsi, Hersonissos, 70014, Greece",4.0,384.0,10,1 ,False,False,False,True,True,False,60.0,False,June,Crete
Casa Magnolia - Spacious Home in heart of Akrotiri,"Kathiana Akrotiriou, Chania, 73100, Greece",,585.0467289719626,10,1 ,False,False,False,True,True,False,109.0,False,June,Crete
Limani elegant apartments,"3ης Σεπτέμβριου 5-7, Souda, 73200, Greece",4.0,344.0,,,False,False,False,True,False,False,65.0,False,June,Crete
Alexia's Oasis,"Hersonissos 0, Hersonissos 700 14, Greece, Hersonissos, 70014, Greece",4.0,1605.260180995475,9.5,2 ,True,True,False,False,True,False,135.0,False,June,Crete
Villa Marmelada,"2. χλμ. Επαρχιακή Οδός Ιεράπετρα - Μακριλιάς , Ierapetra, 72200, Greece",4.0,1445.613631130555,9.9,7 ,False,True,False,True,True,False,170.0,False,June,Crete
Haritos Holidays Home,"Πόμπια Ηρακλείου Κρήτης, Pómbia, 70400, Greece",4.0,532.1069119509432,8.7,3 ,False,True,False,True,True,False,95.0,True,June,Crete
Nikkon Luxury Living,"Άρβης, Βιάννου, Arvi, 70004, Greece",,1600.0,,,True,True,False,False,True,False,150.0,False,June,Crete
Odysseus House,"kato kafenia, Límnai, 72400, Greece",4.0,491.0,10,1 ,False,False,False,True,True,False,130.0,False,June,Crete
Villa Olive by the Sea-walk distance beach & pools,"14 Eparchiaki Odos Kalivon-Kefalas, Almyrida, 73008, Greece",4.0,908.9285714285713,10,2 ,False,False,False,True,True,False,120.0,False,June,Crete
Adrianna Villa 4ppl,"Bali Adrianna Villas, Bali, 74057, Greece",4.0,1259.7222222222222,9.1,7 ,True,True,True,False,False,True,113.0,False,June,Crete
Ellada,"Χωραφακια Ακρωτιριου, Chorafakia, 73100, Greece",4.0,512.5,10,2 ,True,False,False,True,True,False,150.0,False,June,Crete
Sea View Villa Giorgios Five Bedroom,"Gavalohori,, Gavalochori, 73008, Greece",4.0,1765.0375939849623,,,False,True,True,True,True,False,200.0,False,June,Crete
Lake Villas,"Mouri, Mouríon, 73007, Greece",4.0,1006.7894675997118,9.3,7 ,True,True,False,True,True,False,115.0,False,June,Crete
"Spacious villa with private pool and sea view, just 150 meters from the sea","Ethniki Odos Agiou Nikolaou Sitias, Istro, 721 00, Greece",4.0,1517.8908588533272,9.0,2 ,True,True,False,False,True,False,200.0,False,June,Crete
Cataphari Luxury Villa,"Κουτουλουφάρι, Koutouloufari, Hersonissos, 70014, Greece",,1485.981308411215,9.8,6 ,True,True,False,True,True,False,145.0,False,June,Crete
ZenMar Hill,"Peristeras Ierapetra, Ierapetra, 72200, Greece",4.0,3606.0,9.6,9 ,False,False,False,False,True,False,137.0,False,June,Crete
