name,location,stars,amount_conv,Rating,NumReviews,Airport,Pool,Breakfast,Family_Rooms,Parking,Restaurant,size_m2,Pets,Month,Location
Hotel Lefkas,"Filippa Panagou 2, Lefkada, 31100, Greece",3.0,326.0,9.0,71 ,False,False,True,True,False,True,15.0,False,June,Lefkada
Villa Elenia,"Tsoukalades, Tsoukalades, 31100, Greece",3.0,800.0,9.4,85 ,False,True,True,True,True,False,45.0,False,June,Lefkada
George House,"Kariotes, Lygia, 31080, Greece",,168.22429906542055,8.5, 138 ,True,False,False,True,True,False,23.0,True,June,Lefkada
Pansion Filoxenia Apartments & Studios,"Tsoukalades, Tsoukalades, 31100, Greece",,260.74766355140184,8.6,369 ,False,False,False,True,True,False,17.0,False,June,Lefkada
Lefkas Petra,"Agios Nikitas, Agios Nikitas, 31080, Greece",3.0,380.0,8.9,344 ,False,True,True,False,True,False,18.0,False,June,Lefkada
Akroyiali Resort,"Vasiliki, Vasiliki, 31082, Greece",2.0,468.0908162176173,8.2, 250 ,False,False,True,True,True,False,,False,June,Lefkada
Florena Hotel,"Episkopos, Nikiana, 31100, Greece",,281.30841121495325,9.2,243 ,True,False,False,False,True,False,17.0,False,June,Lefkada
Lefkadio Suites,"Karavela, Lefkada, 31100, Greece",4.0,650.0,8.9,492 ,True,False,True,True,True,False,37.0,False,June,Lefkada
Spacious Studios Lefkada Mountain View Near Beach,"Eparchiaki Odos Komiliou - Akrotiriou Lefkatas, Dhráganon, 31082, Greece",3.0,270.1388888888889,9.2,18 ,False,False,False,True,True,False,35.0,True,June,Lefkada
Niriides,"Karavela Perivolia Lefkados, Lefkada, 31100, Greece",3.0,379.3974538425648,9.5,293 ,False,False,False,True,False,False,35.0,True,June,Lefkada
Hotel Tesoro,"Main Street, Nikiana, 31100, Greece",3.0,682.6502417683629,9.2,102 ,False,True,True,True,True,True,30.0,False,June,Lefkada
San Lazzaro,"Nydri , Nydri, 31100, Greece",,453.27102803738313,9.1,276 ,True,False,False,True,True,False,27.0,True,June,Lefkada
Sundance - Fabulous 4 Bedroom Private Villa,"Lefkada Sivota, Sivota, 31082, Greece",,1497.9166666666667,,,False,True,False,False,True,False,250.0,False,June,Lefkada
