name,location,stars,amount_conv,Rating,NumReviews,Airport,Pool,Breakfast,Family_Rooms,Parking,Restaurant,size_m2,Pets,Month,Location
Xerolithos Natural Living,"KANAKARI, SANGRI, XEROLITHOS NATURAL LIVING, Naxos Chora, 84300, Greece",,528.0,9.8,17 ,True,False,False,True,True,False,40.0,False,June,Naxos
La Grande Vue private villas,"Vivlos, Vívlos, 84300, Greece",,1629.9065420560746,10,64 ,True,True,True,True,True,False,49.0,False,June,Naxos
Finikas Hotel,"Pyrgaki, Naxos, Aliko Beach, 84300, Greece",4.0,825193.4651762682,9.0,210 ,False,True,False,False,True,True,40.0,False,June,Naxos
Naxos Palace Hotel,"Main Street, Stelida, 84300, Greece",,169.15887850467288,7.0,211 ,True,False,False,True,True,False,26.0,True,June,Naxos
Golden Sun Hotel,"Stelida, Stelida, 84300, Greece",3.0,337.5,8.9,257 ,True,False,True,True,True,True,30.0,False,June,Naxos
Ammoudia Studios,"Agiassos, Agiassos, 84300, Greece",3.0,269.44444444444446,9.5,166 ,False,False,False,True,True,False,25.0,True,June,Naxos
Delfinaki Lionas Boutique Apartments,"Lionas Naxos, Lionas, 84301, Greece",,320.0,9.0,147 ,False,False,False,False,True,False,25.0,False,June,Naxos
Anatoli Hotel,"Main Street, Naxos Chora, 84300, Greece",2.0,522.0,9.1,"1,033 ",True,True,False,True,True,False,17.0,True,June,Naxos
Agia Anna Studios,"Agia Anna, Agia Anna Naxos, 84300, Greece",,252.33644859813083,8.2, 301 ,True,False,True,True,True,True,18.0,True,June,Naxos
Kavuras Village,"Agios Prokopios, Agios Prokopios, 84300, Greece",4.0,493.0,8.3, 51 ,False,True,True,True,True,True,22.0,False,June,Naxos
Naxos Magic Village,"Main Street, Stelida, 84300, Greece",3.0,474.0,8.7,200 ,True,True,True,True,True,False,25.0,False,June,Naxos
Naxos Summerland resort,"Beach, Kastraki, 84300, Greece",3.0,468.0,8.7,195 ,False,True,False,True,True,True,27.0,True,June,Naxos
Orkos Beach Hotel,"Main Street, Mikri Vigla, 84300, Greece",2.0,709.0,8.8,163 ,False,True,False,True,True,False,40.0,False,June,Naxos
Irida Luxury Apartments,"Kastraki, Kastraki, 84300, Greece",3.0,933.9166474787014,9.4,241 ,True,True,True,True,True,False,55.0,True,June,Naxos
Kastraki Dunes,"Kastraki, Kastraki, 84302, Greece",3.0,259.02777777777777,9.0,87 ,True,False,False,True,True,False,15.0,False,June,Naxos
Marine Dream,"Plaka Beach, Plaka, 84300, Greece",3.0,517.0,8.7,89 ,True,False,True,True,True,False,40.0,False,June,Naxos
"""Palatiana Agriturismo-Philoxenia Cottages"", Private Nature Retreats","NAXOS 1 PER. GROTTA PALATIANA, Galini, 84300, Greece",3.0,425.69444444444446,9.5,52 ,True,True,False,True,True,False,27.0,False,June,Naxos
Scala Apartments,"Main Street, Kastraki, 84300, Greece",,381.30841121495325,9.6,98 ,True,False,True,True,True,True,18.0,True,June,Naxos
Naxos Filoxenia Hotel,"Evagellou D. Michelopoulou str,, Galini, 84300, Greece",3.0,266.27906976744185,9.2,77 ,False,False,False,True,True,False,19.0,False,June,Naxos
Argo Boutique Hotel,"Kinidaros Street, Naxos Chora, 84 300, Greece",4.0,548.0,8.6,"1,125 ",True,True,True,False,True,False,19.0,False,June,Naxos
Iliada Suites,"Iakovou kampaneli 9, Naxos Chora, 84 300, Greece",4.0,1449.3055555555557,9.4,209 ,True,True,True,False,False,False,36.0,False,June,Naxos
Cycladic Islands Hotel & Spa,"Main Street, Agia Anna Naxos, 84300, Greece",,585.981308411215,8.9,155 ,True,True,True,False,True,False,26.0,True,June,Naxos
Hotel Semeli,"Agios Prokopios, Agios Prokopios, 84300, Greece",,306.5420560747663,8.9,504 ,True,True,False,True,True,False,18.0,False,June,Naxos
Sofia Studios Town,"ΧΩΡΑ ΝΑΞΟΥ, Naxos Chora, 84300, Greece",,332.0,,,False,False,False,True,False,False,27.0,True,June,Naxos
Depis apartments & suites,"Naxos Chora, Naxos Chora, 84300, Greece",,471.9626168224299,8.7,99 ,False,False,False,True,False,False,27.0,False,June,Naxos
Saint George Hotel,"Agios Georgios, Naxos Chora, 84300, Greece",1.0,740.0,8.7,371 ,False,False,False,False,True,False,16.0,False,June,Naxos
villa polemis,"Αγια Αννα 1ος,2ος, Agia Anna Naxos, 84300, Greece",,209.82142857142856,7.9,101 ,False,False,False,True,True,False,,True,June,Naxos
Iphimedeia Luxury Hotel & Suites,"Saint George Airport Road, Naxos Chora, 84300, Greece",4.0,552.2762114243818,9.6,192 ,True,True,True,True,True,False,25.0,False,June,Naxos
Kouros,"Main Street, Apollon, 84301, Greece",,220.56074766355138,8.7,155 ,False,False,False,False,True,False,19.0,True,June,Naxos
Agia Anna Studios,"Agia Anna, Agia Anna Naxos, 84300, Greece",3.0,252.32558139534885,8.2, 301 ,True,False,True,True,True,True,18.0,True,June,Naxos
9 Muses Naxos Beach hotel,"Kastraki Beach, Kastraki, 84300, Greece",4.0,491.937997921718,9.1,45 ,True,False,False,True,True,False,45.0,True,June,Naxos
Camara Hotel,"Main Street, Agios Prokopios, 84302, Greece",2.0,243.74999999999997,8.7,131 ,False,False,True,True,True,False,20.0,False,June,Naxos
Nastasia Village,"Main Street, Naxos Chora, 84300, Greece",2.0,437.2093023255814,9.2,242 ,True,False,False,False,False,False,18.0,True,June,Naxos
Depis castle Renata luxury apartments,"Χώρα Νάξου, Naxos Chora, 84300, Greece",3.0,524.0,8.6,199 ,False,False,False,True,False,False,40.0,False,June,Naxos
Alkyoni Beach Hotel,"Agios Georgios, Naxos Chora, 84300, Greece",4.0,1055.4822368859561,8.6,246 ,False,True,True,True,True,True,25.0,True,June,Naxos
Naxos Summerland resort,"Beach, Kastraki, 84300, Greece",3.0,402.08333333333337,8.7,195 ,False,True,False,True,True,True,27.0,True,June,Naxos
Naxos Village hotel,"Χώρα Νάξου, Naxos Chora, 84300, Greece",3.0,483.33333333333337,9.5,91 ,False,False,True,True,True,False,27.0,True,June,Naxos
Vouno Luxury Villas,"Glinado, Naxos, Glinado Naxos, 84300, Greece",4.0,970.0,9.8,9 ,False,False,False,True,True,False,120.0,False,June,Naxos
Anna Studios,"agios prokopios naxos, Agios Prokopios, 84300, Greece",,238.31775700934577,9.3,97 ,True,True,True,True,True,False,,False,June,Naxos
Dimitra Hotel,"Main Street, Agios Prokopios, 84300, Greece",,473.83177570093454,9.7,162 ,True,True,True,True,True,False,,False,June,Naxos
Naxos Dream Aphrodite Studios,"Saint Giorgio, Naxos Chora, 84300, Greece",3.0,435.63883299798795,8.7,187 ,True,False,False,False,False,False,20.0,False,June,Naxos
Naxos Holidays,"Main Street, Naxos Chora, 84300, Greece",,262.16072378924963,7.7,52 ,False,True,False,True,True,False,28.0,False,June,Naxos
Birikos Hotel & Suites,"Agios Prokopios, Agios Prokopios, 84300, Greece",3.0,543.75,9.2,98 ,False,True,True,True,True,False,45.0,False,June,Naxos
Ariadne Hotel,"Agios Prokopios, Agios Prokopios, 84300, Greece",3.0,1198.8721804511279,8.9,119 ,False,True,True,True,True,False,35.0,False,June,Naxos
Hotel Mediterranean,"Stelida, Stelida, 84300, Greece",3.0,557.3660714285713,9.1,96 ,False,False,True,True,True,False,35.0,False,June,Naxos
Naxos Blue Sky,"Glinadou, Naxos Chora, 84300, Greece",,575.7009345794393,8.9,92 ,False,False,False,True,True,False,23.0,False,June,Naxos
Oasis Studios,"Mikri Vigla, Mikri Vigla, 84300, Greece",3.0,563.8888888888889,9.5,100 ,True,True,False,True,True,False,34.0,False,June,Naxos
Lygdamis Hotel,"Chora, Naxos Chora, 84300, Greece",3.0,265.0,8.4, 314 ,True,False,False,True,False,False,20.0,False,June,Naxos
Dilino Hotel Studios,"Main Street, Agios Prokopios, 84300, Greece",,155.14018691588785,7.9,152 ,False,True,True,True,True,False,24.0,False,June,Naxos
Petros Studios & Suites,"Agiou Polukarpou, Naxos Chora, 84300, Greece",3.0,320.93023255813955,9.2,109 ,False,False,True,False,True,False,19.0,False,June,Naxos
Surfer Studios,"Mikri Vigla, Mikri Vigla, 84300, Greece",3.0,241.66666666666669,9.0,60 ,False,False,False,True,True,False,20.0,True,June,Naxos
