name,location,stars,amount_conv,Rating,NumReviews,Airport,Pool,Breakfast,Family_Rooms,Parking,Restaurant,size_m2,Pets,Month,Location
Lemon Tree Maisonette - Naoussa Paros,"ΝΑΟΥΣΑ ΠΑΡΟΥ, Naousa, 84401, Greece",3.0,662.0,9.8,6 ,False,False,False,True,False,False,55.0,False,June,Naxos
Surfing Beach Village Paros,"Santa Maria Beach, Santa Maria, 84401, Greece",,447.66355140186914,7.6,"1,001 ",True,True,False,True,True,True,24.0,True,June,Naxos
Paros Inn,"Logaras, Logaras, 84400, Greece",3.0,363.7669683257918,8.1, 282 ,False,False,True,True,False,True,21.0,False,June,Naxos
Amaryllis Beach Hotel,"Chrissi Akti, Chrissi Akti, 84400, Greece",,639.252336448598,8.2, 190 ,False,False,True,True,True,True,24.0,False,June,Naxos
Aegean Village,"Parikia, Parikia, 84400, Greece",2.0,510.9080880356746,8.4, 530 ,False,False,False,True,True,False,45.0,False,June,Naxos
"Mythic Paros , Adults Only","Sarakiniko-Agia Irini Mythic Esclusive Resort, Agia Irini Paros, 84400, Greece",5.0,2097.0,9.0,486 ,True,True,True,False,True,True,25.0,False,June,Naxos
Ammos Luxury Studios,"Κέντρο, Aliki, 84400, Greece",,521.4953271028037,9.2,159 ,False,False,False,True,False,False,60.0,False,June,Naxos
Ostria Studios & Apartments,"Aliki, Aliki, 84400, Greece",,442.9906542056074,8.8,173 ,False,False,False,True,False,False,32.0,True,June,Naxos
Magoo Suites,"Λογαρας, Παρος, Logaras, 84400, Greece",,562.0,8.6,87 ,False,False,False,True,True,False,18.0,False,June,Naxos
Poseidon of Paros Hotel & Spa,"Main Street, Chrissi Akti, 84400, Greece",,1277.5700934579438,9.0,187 ,True,True,True,False,False,True,30.0,False,June,Naxos
Elena Studios & Apartments,"Piso Livadi, Piso Livadi, 84400, Greece",3.0,374.0725492886876,9.3,292 ,True,False,False,True,True,False,25.0,False,June,Naxos
Eri Hotel,"Main road Parikias - Naoussas, Parikia, 84400, Greece",,400.93457943925233,8.5, 548 ,True,True,True,True,True,True,15.0,True,June,Naxos
Holidays in Paros,"Aliki, Aliki, 84400, Greece",3.0,204.4642857142857,8.7,116 ,False,False,False,True,True,False,16.0,False,June,Naxos
Selina Paros,"Pounda Paros, Pounda, 84400, Greece",,438.31775700934577,7.2,168 ,True,True,True,False,True,True,22.0,True,June,Naxos
Hotel Senia - Onar Hotels Collection,"Naoussa, Naousa, 84401, Greece",,2789.5833333333335,9.2,534 ,True,True,False,True,True,True,,True,June,Naxos
Aloni Hotel,"Main Street, Piso Livadi, 84400, Greece",,1481.9444444444446,8.7,134 ,True,True,False,True,True,False,30.0,False,June,Naxos
Villa Irini,"Naousa, Naousa, 84401, Greece",,922.4299065420561,9.2,327 ,False,True,True,True,False,False,18.0,False,June,Naxos
Nissiotiko Hotel,"Drios, Drios, 84400, Greece",3.0,130035.51401869158,9.2,163 ,False,False,False,False,True,False,15.0,False,June,Naxos
Hotel Cyclades,"Parikia, Parikia, 84400, Greece",2.0,433.0,9.0,237 ,False,False,True,True,True,False,16.0,False,June,Naxos
Anna Platanou Hotel,"Parikia, Parikia, 84400, Greece",1.0,503.47222222222223,8.8,343 ,False,True,True,False,True,False,17.0,False,June,Naxos
Yria Island Boutique Hotel & Spa,"Parasporos Beach, Parasporos, 84400, Greece",,1991.5887850467288,8.7,86 ,True,True,True,False,True,True,34.0,False,June,Naxos
