name,location,stars,amount_conv,Rating,NumReviews,Airport,Pool,Breakfast,Family_Rooms,Parking,Restaurant,size_m2,Pets,Month,Location
Sky-Line Apartments,"Καποδιστρίου 9, Afantou, 85103, Greece",,119.62616822429906,9.1,50 ,False,False,True,False,True,True,30.0,False,June,Rhodes
Elissa Lifestyle Resort,"Leoforos Kallitheas, Kallithea Rhodes, 85100, Greece",5.0,1203.0,8.1, 452 ,False,False,True,False,False,True,22.0,False,June,Rhodes
Helea Family Beach Resort,"Leoforos Kallitheas, Kallithea Rhodes, 85100, Greece",5.0,1608.0205655526993,7.7,269 ,False,False,False,False,False,True,22.0,False,June,Rhodes
Rodos Palace Hotel,"Trianton Avenue, Ixia, 85100, Greece",,438.31775700934577,7.3,"1,550 ",True,False,True,False,False,False,44.0,True,June,Rhodes
Athoniki Villas,"EO Rodou Lindou, Kalathos, 85102, Greece",4.0,983.0,8.2, 149 ,True,True,False,True,True,False,200.0,False,June,Rhodes
Eden Roc Resort - All Inclusive,"Kalithea Avenue, Kallithea Rhodes, 85100, Greece",,1452.3364485981308,8.6,558 ,False,False,True,False,False,True,22.0,False,June,Rhodes
Casa Cook Rhodes (Adults Only),"Kolymbia, Kolymbia, 85103, Greece",5.0,2437.5314861460956,9.3,812 ,False,True,True,False,True,True,55.0,False,June,Rhodes
Esperos Village Blue & Spa - Adults Only,"Leoforos Kallitheas, Faliraki, 85100, Greece",,999.0654205607476,9.1,"1,892 ",False,False,True,False,True,True,30.0,True,June,Rhodes
Port Royal Villas and Spa - Adults Only,"Main Street, Kolymbia, 85100, Greece",,1623.3644859813082,9.3,659 ,True,False,False,False,False,True,31.0,False,June,Rhodes
Atlantica Dreams Resort,"Gennadi, Gennadi, 85109, Greece",5.0,2013.1944444444446,9.4,108 ,False,False,True,False,True,True,31.0,False,June,Rhodes
Kolymbia Village,"Ethniki Odos Rodou Lindou EO Rodou Lindou, Kolympia 851 03, Kolymbia, 85103, Greece",,902.8037383177569,9.0,319 ,False,True,False,True,True,False,79.0,False,June,Rhodes
Rhodes Bay Hotel & Spa,"100 Iraklidon Avenue, Ixia, 85101, Greece",5.0,1026.0,8.3, 379 ,False,False,True,False,True,False,42.0,False,June,Rhodes
KRESTEN ROYAL Euphoria Resort,"6th km Rhodes -Kalithea Ave., Kallithea Rhodes, 85100, Greece",5.0,1996.5116279069769,8.4, 200 ,True,False,True,False,False,False,44.0,False,June,Rhodes
Sheraton Rhodes Resort,"Ialyssos Avenue, Ixia, 85100, Greece",5.0,1178.2874230758985,8.3, 588 ,False,False,True,False,False,True,33.0,False,June,Rhodes
The Ixian Grand & All Suites - Adults Only Hotel,"Ixia Beach, Ixia, 85101, Greece",,1805.6074766355139,8.7,604 ,True,False,False,False,False,True,30.0,False,June,Rhodes
Melenos Art Boutique Hotel,"Main Street, Lindos, 85107, Greece",5.0,1151.1160714285713,9.6,131 ,True,False,True,True,True,True,35.0,False,June,Rhodes
Atrium Prestige Thalasso Spa Resort & Villas,"Main Street, Lachania, 85109, Greece",5.0,1466.0,9.6,137 ,False,False,False,False,False,True,56.0,False,June,Rhodes
Atlantica Holiday Village Rhodes,"Kolymbia, Kolymbia, 85103, Greece",,2823.3644859813085,8.7,57 ,False,False,False,True,True,True,39.0,False,June,Rhodes
Princess Andriana Resort & Spa - Ultra All-Inclusive,"Kiotari, Kiotari, 85109, Greece",5.0,1654.264705882353,8.7,402 ,False,False,False,False,True,True,41.0,False,June,Rhodes
Mitsis Rodos Village Beach Hotel & Spa,"Kiotari, Kiotari, 85109, Greece",5.0,1314.018691588785,8.1, 270 ,False,False,False,False,True,True,32.0,False,June,Rhodes
Lindian Village Beach Resort Rhodes,"Lardos Beach, Kiotari, 85109, Greece",5.0,1155.5555555555557,8.5, 2 ,True,False,True,False,False,True,45.0,False,June,Rhodes
Mitsis Alila Resort & Spa,"Faliraki - Kallithea beach, Faliraki, 85105, Greece",5.0,1788.1944444444446,8.8,524 ,False,False,False,False,True,False,35.0,False,June,Rhodes
Afandou Bay Resort Suites,"Afandou Beach, Afantou, 85103, Greece",5.0,611.1111111111111,7.9,115 ,True,False,True,False,True,False,24.0,False,June,Rhodes
Mitsis Grand Hotel Beach Hotel,"1, Akti Miaouli str, Rhodes Town, 85100, Greece",5.0,1124.0,8.6,"1,073 ",False,False,False,False,True,True,23.0,False,June,Rhodes
Rodos Palladium Leisure & Wellness,"Faliraki - Kallithea beach, Faliraki, 85100, Greece",,942.9906542056074,9.0,648 ,True,False,True,False,True,False,27.0,False,June,Rhodes
Mayia Exclusive Resort & Spa - Adults Only,"Kiotari, Rhodes, Kiotari, 85109, Greece",5.0,2349.490950226244,9.5,307 ,False,False,False,False,True,True,38.0,False,June,Rhodes
Porto Angeli,"Stegna Beach, Archangelos, 85102, Greece",5.0,993.0,8.5, 365 ,False,False,True,False,True,True,32.0,False,June,Rhodes
All Senses Nautica Blue Exclusive Resort & Spa - All Inclusive,"Fanes Village, Fánai, 85106, Greece",,578.5046728971962,7.0,415 ,True,False,True,False,False,False,30.0,False,June,Rhodes
Bellevue On The Beach Suites,"Akti Miaouli & Tilou, Rhodes Town, 85100, Greece",,2805.6074766355136,9.5,197 ,True,False,False,False,True,True,67.0,True,June,Rhodes
Terra Pietra Luxury Villas & Suites,"Eparchiaki Odos Lardou-Lindou Lardos Beach, Lartos, 85109, Greece",,519.626168224299,8.7,132 ,True,True,False,True,True,False,30.0,False,June,Rhodes
Lindos Imperial Resort & Spa,"Kiotari, Kiotari, 85109, Greece",5.0,1236.0,7.3,392 ,True,False,False,False,False,True,30.0,False,June,Rhodes
Grande Albergo Delle Rose,"Papanikolaou 4, Rhodes Town, 85100, Greece",5.0,1116.497812571955,8.9,212 ,True,True,True,False,True,False,34.0,False,June,Rhodes
"Lindos Mare, Seaside Hotel","Vlycha beach, Lindos, 85100, Greece",,1392.5233644859811,9.1,53 ,True,False,False,False,True,False,30.0,False,June,Rhodes
Caesars Gardens Hotel & Spa - Adults Only,"Krana, Lindos, 85107, Greece",5.0,2002.0,9.1,66 ,True,True,True,False,True,False,32.0,True,June,Rhodes
Epsilon Hotel Apartments,"Leoforos Kallitheas , Faliraki, 85100, Greece",,632.7102803738318,8.3, 286 ,False,True,False,True,True,False,48.0,True,June,Rhodes
La Marquise Luxury Resort Complex,"Faliraki - Kallithea beach, Faliraki, 85100, Greece",,1093.4579439252336,8.6,210 ,False,False,False,False,True,True,45.0,False,June,Rhodes
Atlantica Imperial Resort - Adults Only,"Rhodes, Kolymbia, 85103, Greece",5.0,1314.0,9.4,73 ,False,True,False,False,True,True,30.0,False,June,Rhodes
Atlantica Plimmiri,"Plimmiri, Plimmiri, 85109, Greece",5.0,1240.0,8.8,18 ,False,False,False,True,True,True,36.0,False,June,Rhodes
Olympic Palace Hotel,"Iraklidon Avenue, Ixia, 85100, Greece",5.0,882.2429906542055,8.7,333 ,False,False,True,False,False,True,32.0,False,June,Rhodes
Viva Tourismo Resort (naturist club),"17ο χλμ Ροδου- Καμειρου Παραδεισι Ισογειο, Paradisi, 85106, Greece",,601.8691588785047,,,False,True,True,False,True,True,23.0,False,June,Rhodes
Gennadi Grand Resort,"Gennadi Village, Gennadi, 85109, Greece",5.0,1276.0,8.6,216 ,False,False,True,False,False,False,47.0,False,June,Rhodes
Electra Palace Rhodes - Premium All Inclusive,"Trianta Beach, Ialysos, 85101, Greece",5.0,1088.3720930232557,8.5, 391 ,True,False,True,False,False,True,24.0,False,June,Rhodes
Elysium Resort & Spa,"Faliraki - Kallithea Beach, Faliraki, 85100, Greece",,1023.3644859813083,8.9,419 ,True,False,False,False,True,False,30.0,False,June,Rhodes
Amada Colossos Resort,"Main Street, Faliraki, 85100, Greece",5.0,2206.25,8.2, 180 ,False,False,False,False,True,True,36.0,False,June,Rhodes
Rodos Park,"12, Riga Fereou Street, Rhodes Town, 85100, Greece",,1226.1682242990653,9.0,311 ,True,True,True,False,True,False,27.0,False,June,Rhodes
Akti Imperial Deluxe Resort & Spa Dolce by Wyndham,"Ixia Avenue Iliadon, Ixia, 85101, Greece",5.0,1289.9838821091412,8.4, 194 ,False,False,False,False,True,True,25.0,False,June,Rhodes
Lydia Maris Resort & Spa,"Kolymbia, Kolymbia, 85103, Greece",5.0,962.0,7.7,130 ,False,False,True,False,True,True,26.0,False,June,Rhodes
Elite Suites by Rhodes Bay,"Ixia, Ixia, 85101, Greece",,1625.233644859813,9.2,88 ,True,False,True,False,False,False,44.0,False,June,Rhodes
Lindos Blu Luxury Hotel-Adults only,"Vlycha beach, Lindos, 85107, Greece",5.0,3098.438914027149,9.6,93 ,False,False,True,False,True,True,40.0,False,June,Rhodes
Kókkini Porta Rossa,"Archiepiskopou Efthimiou 24, Rhodes Town, 85100, Greece",5.0,2140.625,9.9,27 ,True,False,False,True,True,False,52.0,True,June,Rhodes
Costa Lindia Beach Hotel,"Lardos , Rhodes, Greece, Lartos, 85109, Greece",,815.8878504672897,,,False,True,True,False,True,True,27.0,False,June,Rhodes
Eagles Nest,"Pefkos - Lindos, Pefki, 85107, Greece",4.0,579.0,8.0, 722 ,True,False,True,True,False,False,25.0,False,June,Rhodes
Kolymbia Bay Art Boutique Hotel - Adults Only,"Kolymbia, Kolymbia, 85103, Greece",,917.7570093457944,8.9,274 ,False,True,True,False,False,True,23.0,True,June,Rhodes
Terra Pietra Luxury Villas & Suites,"Eparchiaki Odos Lardou-Lindou Lardos Beach, Lartos, 85109, Greece",4.0,488.37209302325584,8.7,132 ,True,True,False,True,True,False,30.0,False,June,Rhodes
St.Thomas Beach Luxury Apartments,"Πεύκοι Ρόδου, Pefki, 85107, Greece",4.0,240.7124681933842,9.3,174 ,False,True,False,False,True,False,20.0,False,June,Rhodes
Rodos Princess Beach Hotel,"Main Street, Kiotari, 85109, Greece",4.0,1928.0,9.0,430 ,False,False,False,False,True,True,39.0,False,June,Rhodes
Cook's Club Kolymbia Rhodes -Adults only,"Brusseles Street, Kolymbia, 85103, Greece",4.0,709.0,8.1, 9 ,False,False,True,False,True,True,23.0,False,June,Rhodes
Lindos Aqua Terra,"Vlycha beach, Lindos, 85107, Greece",,962.6168224299065,9.4,251 ,False,True,False,True,True,True,24.0,False,June,Rhodes
Labranda Kiotari Miraluna Resort,"Kiotari, Kiotari, 85109, Greece",4.0,165794.39252336448,7.9,558 ,False,False,False,False,False,True,25.0,False,June,Rhodes
Moana House,"Salakos, Sálakos, 85106, Greece",4.0,660.0,,,False,True,False,True,True,False,75.0,False,June,Rhodes
Sun City Luxury Apartments,"Foti Kontoglou, Asgourou, 85100, Greece",4.0,463.19444444444446,10,12 ,False,True,False,True,True,False,30.0,False,June,Rhodes
Lindos Princess Beach Hotel,"Pefki, Lartos, 85109, Greece",4.0,1312.0,8.6,277 ,False,False,False,False,True,True,30.0,False,June,Rhodes
Princess Sun Hotel,"Main Street, Kiotari, 85109, Greece",4.0,1123.611111111111,8.9,141 ,False,False,False,True,True,True,25.0,False,June,Rhodes
Athoniki Villas,"EO Rodou Lindou, Kalathos, 85102, Greece",4.0,1103.0864197530864,8.2, 149 ,True,True,False,True,True,False,200.0,False,June,Rhodes
