name,location,stars,amount_conv,Rating,NumReviews,Airport,Pool,Breakfast,Family_Rooms,Parking,Restaurant,size_m2,Pets,Month,Location
Ino Village Hotel,"Samion Agoniston 69, Samos, 83100, Greece",3.0,970.9302325581396,9.2,191 ,False,True,True,True,True,True,24.0,False,July,Samos
Anema By The Sea Guesthouse,"83 Kanaris Street, Karlovasi, 83200, Greece",,535.5140186915887,8.2, 143 ,False,True,True,True,True,True,24.0,False,July,Samos
Lemos Hotel,"Kokkari, Kokkari, 83100, Greece",2.0,556.0,8.6,74 ,False,False,False,True,True,False,15.0,True,July,Samos
"Samian Mare Hotel, Suites & Spa","KANARI 123, Karlovasi, 83200, Greece",4.0,1437.7734285056413,8.8,121 ,True,False,True,False,True,False,26.0,False,July,Samos
Doryssa Seaside Resort,"Main Street, Pythagoreio, 83103, Greece",,1697.196261682243,8.0, 101 ,True,True,True,False,True,True,22.0,False,July,Samos
Paris Beach Hotel,"Iraion, Ireon, 83100, Greece",2.0,271.80805484147385,7.6,27 ,False,False,True,False,False,False,,True,July,Samos
Nisea Hotel Samos,"μεσόκαμπος, Pythagoreio, 83103, Greece",,956.0747663551401,9.1,98 ,False,True,True,True,True,False,43.0,True,July,Samos
Villa Maria,"Kampos, Marathokampos, 83102, Greece",3.0,351.0,8.5, 57 ,False,True,False,True,True,False,53.0,True,July,Samos
Astir Hotel,"Gianni Ritsou (Agrotiki), Karlovasi, 83200, Greece",,288.78504672897196,8.8,45 ,False,True,False,True,True,True,14.0,True,July,Samos
Friendly Studios,"Ireon, Ireon, 83103, Greece",3.0,377.31105309428034,8.9,29 ,False,False,False,False,True,False,27.0,True,July,Samos
Klima Paradise,"Klima Beach, Klíma, 83100, Greece",,782.2429906542055,8.4, 116 ,False,False,False,False,True,True,30.0,False,July,Samos
Aegeon Hotel,"Panepistimiou Aigaiou str., Karlovasi, 83200, Greece",3.0,340.2061855670103,8.3, 132 ,False,True,True,True,True,True,18.0,True,July,Samos
Naftilos Residences I,"Ποτοκάκι, Potokáki, 83103, Greece",3.0,468.60465116279073,8.4, 24 ,False,False,False,False,True,False,30.0,False,July,Samos
Kerkis Bay,"Main Street, Marathokampos, 83102, Greece",3.0,561.0,7.8,58 ,False,False,False,True,False,False,20.0,False,July,Samos
Polyxeni Hotel,"Pythagoreion, Pythagoreio, 83103, Greece",2.0,468.2277807344332,8.9,146 ,False,False,True,False,True,False,,True,July,Samos
Amfilissos Hotel,"Balos beach, Koumeika, 83102, Greece",2.0,570.8333333333334,9.6,29 ,True,False,False,True,False,False,20.0,True,July,Samos
Erato Seaside Hotel by Samian Mare,"115, KANARI STR, Karlovasi, 83200, Greece",4.0,1685.0,,,True,False,True,False,False,True,22.0,False,July,Samos
Nafsika Villas,"Main Street, Kerveli, 83100, Greece",3.0,663834.9097162511,9.4,92 ,True,False,False,True,True,False,40.0,False,July,Samos
HOKKUM STUDIOS,"Kokkari, Sámos, Kokkari, 83100, Greece",,493.4579439252336,9.0,130 ,False,False,False,False,False,False,24.0,False,July,Samos
Villa Glyfos,"Glyfos, Kerveli, 83100, Greece",3.0,708.0357142857142,7.6,19 ,False,False,False,False,False,False,78.0,True,July,Samos
Hesperia Hotel,"Karlovasi, Karlovasi, 83200, Greece",2.0,291.96381053752,8.7,61 ,False,False,False,True,True,False,35.0,False,July,Samos
Iro's Residence,"Agios Konstantinos, Samos Greece, Ágios Konstantínos, 83100, Greece",,542.9906542056075,9.7,59 ,False,True,False,True,True,False,24.0,False,July,Samos
Hotel Angeliki,"Iraíon, Ireon, 83103, Greece",,342.9906542056075,9.1,71 ,False,False,False,True,True,False,19.0,False,July,Samos
Casa Cook Samos - Adults only,"Potokaki Pythagorion, Pythagoreio, 83103, Greece",5.0,2211.6279069767443,8.9,102 ,True,True,False,False,False,True,27.0,True,July,Samos
Hotel Bonis,"Sámos, Samos, 22148, Greece",,314.01869158878503,8.0, 99 ,False,False,True,True,False,False,19.0,True,July,Samos
Marialena Pension,"Ireon, Samos, Ireon, 83103, Greece",3.0,228.47222222222223,8.5, 41 ,False,False,False,False,True,False,15.0,False,July,Samos
Aphrodite Hotel & Suites,"Main Street, Marathokampos, 83102, Greece",3.0,743.640897755611,8.3, 79 ,True,True,False,True,True,False,25.0,False,July,Samos
Sunrise Hotel,"Iraio, Samos, 83103, Greece",3.0,478.2646345687565,8.6,53 ,False,True,False,False,True,False,15.0,False,July,Samos
Gregory Studios,"Lemonakia, Kokkari, 83100, Greece",,351.40186915887847,9.1,86 ,False,False,False,True,True,False,27.0,False,July,Samos
Villa Maria,"Kampos, Marathokampos, 83102, Greece",3.0,324.10714285714283,8.5, 57 ,False,True,False,True,True,False,53.0,True,July,Samos
Kouros Seasight Hotel,"Pythagoreio, Pythagoreio, 83103, Greece",2.0,840.9722222222223,8.3, 138 ,False,True,True,False,True,True,16.0,False,July,Samos
Elli Studios,"Pithagorio , Pythagoreio, 83103, Greece",3.0,218304.67289719626,7.7,126 ,False,False,False,False,True,False,20.0,True,July,Samos
Hotel Tarsanas,"Pythagoreion, Pythagoreio, 83103, Greece",2.0,356.9767441860465,7.0,152 ,False,False,True,False,False,False,,False,July,Samos
"Samian Mare Hotel, Suites & Spa","KANARI 123, Karlovasi, 83200, Greece",4.0,1336.0,8.8,121 ,True,False,True,False,False,False,26.0,False,July,Samos
Athina Studio Apartments,"Kerveli, Kerveli, 83100, Greece",3.0,331.0,9.5,25 ,False,False,False,True,True,False,25.0,True,July,Samos
Friendly Studios,"Ireon, Ireon, 83103, Greece",3.0,378.47222222222223,8.9,29 ,False,False,False,False,True,False,27.0,True,July,Samos
So Nice Hotel,"Kampos, Marathokampos, 83102, Greece",3.0,627.7777777777778,8.9,64 ,True,True,True,True,True,False,30.0,False,July,Samos
Chrys Marie Studios,"SAMOS IREON, Ireon, 83103, Greece",,268.22429906542055,,,False,False,False,True,True,False,20.0,False,July,Samos
ODYSSEAS HOTEL SAMOS,"Βλαμαρης-Γραμμου 35, Samos, 83100, Greece",,298.13084112149534,8.8,52 ,False,False,False,False,True,False,30.0,True,July,Samos
Rosmarinus Studios,"Potokaki Pythagoreio 1, Potokáki, 83103, Greece",3.0,460.0,8.5, 58 ,True,False,False,True,True,False,50.0,True,July,Samos
Proteas Blu Resort,"Main Street, Pythagoreio, 83103, Greece",5.0,1626.3067004374857,9.3,81 ,False,False,True,False,True,False,25.0,False,July,Samos
Acropol,"Pythagóreion, Pythagoreio, 83100, Greece",3.0,323.0,8.9,42 ,False,False,False,True,True,False,20.0,False,July,Samos
Doryssa Theorem Hotel,"Πυθαγόρειο Σάμος, Pythagoreio, 83103, Greece",4.0,1087.2208151047662,9.4,9 ,False,False,True,False,False,True,17.0,False,July,Samos
Studios Iris,"Despoti Kyrillou, Pythagoreio, 83103, Greece",3.0,356.0,8.1, 170 ,False,False,False,True,True,False,22.0,True,July,Samos
Valeondades,"Valeondades - Samos Agios Konstantinos, Valeontádes, 83200, Greece",,360.74766355140184,7.8,27 ,False,False,False,True,True,True,24.0,True,July,Samos
Paradise Hotel,"Konstantinou Kanari 21, Samos, 83100, Greece",2.0,355.8139534883721,8.0, 119 ,False,False,True,False,True,False,14.0,False,July,Samos
Heaven's Door,"Βαθύ, Σάμος, Kalámion, 83100, Greece",4.0,628.0,9.9,17 ,False,True,False,False,True,False,42.0,True,July,Samos
Hotel Anthousa,"Grigoriou E' 3 , Samos, 83100, Greece",3.0,424.3504276283698,9.3,57 ,False,False,True,False,False,False,35.0,False,July,Samos
Samaina Port Hotel,"Karlovasi, Karlovasi, 83200, Greece",,649.5327102803737,8.7,38 ,False,False,False,True,True,False,15.0,False,July,Samos
