name,location,stars,amount_conv,Rating,NumReviews,Airport,Pool,Breakfast,Family_Rooms,Parking,Restaurant,size_m2,Pets,Month,Location
Rhenia's Suites,"Nikolaou Nomikou, Oia, 84702, Greece",,3923.0,9.2,115 ,True,False,False,True,False,False,36.0,False,July,Santorini
Santorini View,"Akrotiri, Santorini, Akrotiri, 84700, Greece",,3185.416666666667,9.3,25 ,True,True,True,True,True,True,18.0,False,July,Santorini
Smaragdi Hotel,"Main Street, Perivolos, 84703, Greece",3.0,1189.0,9.2,760 ,False,True,False,False,True,False,28.0,False,July,Santorini
Maison Des Lys - Luxury Suites,"Off Akrotiriou - Megalochoriou Road, Akrotiri, 84700, Greece",,2155.0,8.8,455 ,True,True,True,True,True,True,40.0,True,July,Santorini
North Santorini - A Luxury Spa Hotel,"Periferiakos Pyrgou, Pyrgos, 84701, Greece",5.0,3788.3889888688927,9.3,359 ,True,True,True,False,True,True,45.0,False,July,Santorini
"Magma Resort Santorini, In The Unbound Collection By Hyatt","Vourvoulos, Vourvoulos, 84700, Greece",5.0,3429.0697674418607,9.2,48 ,True,False,True,False,True,True,30.0,False,July,Santorini
Nikki Beach Resort & Spa Santorini,"Agia Paraskevi , Kamari, 84700, Greece",5.0,2652.777777777778,8.0, 319 ,True,True,True,False,False,False,35.0,True,July,Santorini
Divino Caldera,"Akrotiri, Akrotiri, 84700, Greece",,3032.0,9.5,37 ,True,True,True,False,True,False,40.0,False,July,Santorini
Zannos Melathron,"Main Street, Pyrgos, 84701, Greece",5.0,1534.0277777777778,8.4, 186 ,True,True,True,True,False,True,35.0,True,July,Santorini
Abelonas Village,"Megalochori, Megalochori, 84700, Greece",3.0,841.8604651162791,9.1,390 ,True,True,False,False,True,False,15.0,False,July,Santorini
Hotel Eucalyptus,"Mesaria, Mesaria, 84700, Greece",2.0,1107.0,9.0,277 ,False,False,True,False,True,False,20.0,False,July,Santorini
Marvarit Suites,"messaria 1, Mesaria, 84700, Greece",,1748.0,9.5,531 ,True,True,False,True,True,False,40.0,False,July,Santorini
Nimbus Santorini,"Oia, Oia, 84702, Greece",4.0,3814.285714285714,9.1,276 ,True,False,False,False,True,True,27.0,False,July,Santorini
Phos The Boutique,"Akrotiri, Akrotiri, 84700, Greece",,6630.841121495327,9.7,168 ,True,True,True,False,True,True,54.0,False,July,Santorini
Rose Bay Hotel,"P.O. Box 11, Kamari, 84700, Greece",4.0,1247.5563909774435,9.0,94 ,True,True,False,False,True,True,22.0,False,July,Santorini
Katikies Santorini - The Leading Hotels Of The World,"Main Street, Oia, 84702, Greece",5.0,8050.990099009901,9.4,96 ,True,True,False,False,True,True,25.0,False,July,Santorini
Grand View - Megalochori Santorini,"Megalochori, Megalochori, 84700, Greece",3.0,2709.0,9.1,494 ,True,True,True,True,True,True,30.0,True,July,Santorini
Suites of the Gods Cave Spa Hotel,"Caldera, Athinios Rd, Megalochori, 84700, Greece",5.0,1860.0,7.6,466 ,True,True,False,False,True,True,40.0,False,July,Santorini
Alleys All-Suite Hotel & Spa,"Eparchiaki Odos Pirgou Kallistis - Profiti Ilia 2, Pyrgos, 84700, Greece",5.0,2688.535626208092,9.5,451 ,True,True,True,False,False,True,65.0,False,July,Santorini
Fertimo Suites by Karpimo,"Exo Gonia, Éxo Goniá, 84700, Greece",4.0,2175.0,9.4,130 ,True,False,True,True,True,False,45.0,False,July,Santorini
Abelis Canava Luxury Suites,"Vothonas, Post Box 1550, Vóthon, 84700, Greece",4.0,3324.3055555555557,9.6,225 ,True,True,True,False,True,False,80.0,False,July,Santorini
AVAL All Suite Hotel,"Μεσαριά, Mesaria, 84700, Greece",4.0,3160.0,9.7,108 ,True,True,True,True,True,False,66.0,False,July,Santorini
Andronis Luxury Suites,"Oia, Oia, 84702, Greece",5.0,7365.972222222223,9.6,105 ,True,True,False,False,False,True,32.0,False,July,Santorini
Areos Luxury Suites,"Βόθωνας Σαντορίνη, Vóthon, 84700, Greece",,2673.8317757009345,9.8,87 ,True,False,True,False,True,False,79.0,False,July,Santorini
Sun Springs Suites,"Kamari, Kamari, 11362, Greece",,1195.3271028037382,8.7,312 ,True,True,True,True,True,False,40.0,True,July,Santorini
Caldera Premium Villas,"Main Street, Oia, 84702, Greece",4.0,2922.3022062254217,8.8,698 ,True,True,False,False,False,False,25.0,False,July,Santorini
Hom Santorini,"Oia, Oia, 84702, Greece",4.0,6283.318195579775,9.6,120 ,True,True,True,False,False,True,35.0,False,July,Santorini
Levante Beach Hotel,"Kamari, Kamari, 84700, Greece",2.0,1125.0,8.2, 816 ,False,True,False,True,False,True,18.0,False,July,Santorini
Kafieris Blue Studios,"Firostefani, Firostefani, 84700, Greece",3.0,3023.0,8.9,499 ,True,True,True,True,False,False,30.0,True,July,Santorini
Fertimo Suites by Karpimo,"Exo Gonia, Éxo Goniá, 84700, Greece",4.0,1918.2515432139608,9.4,130 ,True,False,True,True,True,False,45.0,False,July,Santorini
Danae Suites Santorini,"Finikia, Oia, Santorini, Foinikiá, 84700, Greece",,2178.504672897196,9.2,54 ,True,True,True,False,True,False,24.0,False,July,Santorini
Aplada Suites,"Oia, Oia, 84702, Greece",4.0,2812.5,9.4,361 ,True,False,True,False,False,False,35.0,False,July,Santorini
Caldera Stories private suites,"Megalochori, Megalochori, 84700, Greece",,3710.416666666667,9.0,240 ,True,False,False,True,True,False,40.0,False,July,Santorini
Apanemo Hotel & Suites,"Off Main Street, Akrotiri, 84700, Greece",,2199.1071428571427,9.5,397 ,True,True,True,False,True,False,15.0,True,July,Santorini
Stella Rocca A Mare,"Imerovigli, Imerovigli, 84700, Greece",,4025.0,9.5,209 ,True,True,False,False,False,False,20.0,False,July,Santorini
AVAL All Suite Hotel,"Μεσαριά, Mesaria, 84700, Greece",4.0,3440.1869158878503,9.7,108 ,True,True,True,True,True,False,66.0,False,July,Santorini
