name,location,stars,amount_conv,Rating,NumReviews,Airport,Pool,Breakfast,Family_Rooms,Parking,Restaurant,size_m2,Pets,Month,Location
Aecon Suites,"Exo Gonia Thiras, Santorini Aecon Suites, Éxo Goniá, 84700, Greece",,1320.0,10,7 ,True,False,False,True,True,False,65.0,False,June,Santorini
Voreina Gallery Suites,"Pirgos Thiras, Pyrgos, 84701, Greece",4.0,1435.8597285067872,9.7,221 ,True,True,True,True,True,False,60.0,True,June,Santorini
Santorini View,"Akrotiri, Santorini, Akrotiri, 84700, Greece",,655.1401869158879,9.3,22 ,True,True,True,True,True,True,18.0,False,June,Santorini
Kafieris Blue Studios,"Firostefani, Firostefani, 84700, Greece",3.0,1541.9640801289431,8.9,499 ,True,True,True,True,False,False,30.0,True,June,Santorini
Timedrops Santorini Villas,"Emporeio, Emporio Santorini, 84703, Greece",4.0,770.9302325581396,9.0,82 ,True,False,False,False,True,False,44.0,False,June,Santorini
Smaragdi Hotel,"Main Street, Perivolos, 84703, Greece",3.0,610.0,9.2,756 ,False,True,False,False,True,False,24.0,False,June,Santorini
Maison Des Lys - Luxury Suites,"Off Akrotiriou - Megalochoriou Road, Akrotiri, 84700, Greece",,1140.6976744186047,8.8,452 ,True,True,True,True,True,True,40.0,True,June,Santorini
Mythical Blue Luxury Suites,"Nomikou M, Fira, 84700, Greece",4.0,2596.0,9.0,338 ,True,True,True,False,True,True,40.0,False,June,Santorini
"Magma Resort Santorini, In The Unbound Collection By Hyatt","Vourvoulos, Vourvoulos, 84700, Greece",5.0,2261729.512195122,9.2,48 ,True,False,True,False,True,False,30.0,False,June,Santorini
North Santorini - A Luxury Spa Hotel,"Periferiakos Pyrgou, Pyrgos, 84701, Greece",,0.0,9.3,357 ,True,True,True,False,False,False,,False,June,Santorini
Nova Luxury Suites,"Eparchiaki Odos Pirgou Kallistis - Profiti Ilia 10 Nova Suites Pirgos kallisti Santorini, Pyrgos, 84700, Greece",,1516.8224299065419,9.8,306 ,True,True,True,False,True,False,60.0,False,June,Santorini
