name,location,stars,amount_conv,Rating,NumReviews,Airport,Pool,Breakfast,Family_Rooms,Parking,Restaurant,size_m2,Pets,Month,Location
Galini Bungalows,"Ag. Fotodoti 92, Kionia, Kionia, 84200, Greece",3.0,481.86737278379,8.4, 170 ,False,False,True,True,True,False,25.0,False,July,Tinos
La Vista TINOS,"Τήνος, Agios Ioannis, 84200, Greece",,600.6944444444445,10,1 ,False,False,False,True,True,False,25.0,True,July,Tinos
Ursa Major Suites,"Κώμη Τήνος, Tinos, 84200, Greece",,1132.0,9.6,58 ,False,False,True,True,True,True,32.0,False,July,Tinos
White Tinos Luxury Suites,"Steni Tinos, Stení, 84200, Greece",4.0,1152.0,9.7,24 ,False,False,False,True,True,False,75.0,True,July,Tinos
Aegean Muses,"ΤΡΙΑΝΤΑΡΟΣ 84200 ΤΗΝΟΣ, Arnados, 84200, Greece",,2088.0,9.6,5 ,False,True,False,False,True,False,117.0,False,July,Tinos
Imarkellis Boutique Villas,"Pyrgos Tinos, Panormos, 84201, Greece",,1202.803738317757,9.7,9 ,False,True,False,True,True,False,125.0,True,July,Tinos
Vrahos Agios Romanos,"Αγιος Ρωμανος Τηνος Ματθαιος Δελλατολας, Agios Romanos, 84200, Greece",4.0,599.2194570135746,9.7,24 ,False,False,False,False,True,False,50.0,False,July,Tinos
Villa Ioanna,"Kionia, Kionia, 84200, Greece",,481.30841121495325,9.0,67 ,False,False,False,True,True,False,44.0,True,July,Tinos
Avissalou Apartments,"Agios Romanos - Panousa, Agios Romanos, 84200, Greece",3.0,1496.0,9.6,107 ,False,True,True,True,True,False,50.0,False,July,Tinos
Chora 5 - Central Rooms,"Agios Eleftherios, Tinos, 84200, Greece",,661.8055555555555,,,True,False,False,True,False,False,24.0,False,July,Tinos
Nature Friendly Palia Mandra,"Φαλατάδος Τήνος, Mési, 84200, Greece",,721.0714285714287,9.2,6 ,False,False,False,True,True,False,40.0,True,July,Tinos
villaV,"Επαρχιακή Οδός Τριαντάρου-Φαλατάδου, Triandáros, 84200, Greece",,2108.504965673532,8.6,10 ,False,True,False,True,True,False,75.0,False,July,Tinos
Tinos Resort,"Agiou Charalampou Square, Tinos, 84200, Greece",,2044.859813084112,9.4,36 ,False,True,True,True,True,False,91.0,False,July,Tinos
