name,location,reviews,facilities,price,size,rules,stars
Hotel Koukouras,"Main Street, Stalos, 73100, Greece",7.6Good 14 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Free parking', 'Airport shuttle', 'Free WiFi', 'Beachfront', 'Family rooms', 'Bar', 'Breakfast']","<span class=""bui-u-sr-only"">
Original price
$845
Current price
$481
</span>",280 feet²,['Pets\n\n\nFree!\nPets are allowed on request. No extra charges.'],
Kiani Beach Resort Family All Inclusive,"Kiani Akti, Kalyves, 73003, Greece",8.2Very Good 967 reviews,"['5 swimming pools', 'Non-smoking rooms', 'Free parking', 'Airport shuttle', 'Fitness center', 'Spa', 'Bar', 'Beachfront', 'Private beach area', 'Good Breakfast']","<span class=""bui-u-sr-only"">
Price
$1,295
</span>",377 feet²,['Pets\n\n\nPets are not allowed.'],
Amirandes Grecotel Boutique Resort,"Main Street, Gouves, 711 10, Greece",8.9Excellent 173 reviews,"['2 swimming pools', 'Free WiFi', 'Non-smoking rooms', 'Airport shuttle', 'Spa', 'Fitness center', 'Restaurant', 'Free parking', 'Tea/Coffee Maker in All Rooms', 'Bar']","<span class=""bui-u-sr-only"">
Price
€ 2,163
</span>",31 m²,['Pets\n\n\nPets are not allowed.'],5
La Mer Resort & Spa - Adults Only,"Dramia, Kavros, Georgioupolis, 73007, Greece",8.7Excellent 914 reviews,"['2 swimming pools', 'Airport shuttle', 'Non-smoking rooms', 'Fitness center', 'Spa', 'Facilities for disabled guests', 'Tea/Coffee Maker in All Rooms', 'Bar', 'Beachfront', 'Excellent Breakfast']","<span class=""bui-u-sr-only"">
Original price
£1,445
Current price
£1,373
</span>",248 feet²,['Pets\n\n\nPets are not allowed.'],5
Villa Daniela & Apartments,"Eparchiaki Odos Agiou Ioanni, Koutsounari, 72200, Greece",9.5Exceptional 46 reviews,"['2 swimming pools', 'Free parking', 'Non-smoking rooms', 'Airport shuttle', 'Spa', 'Fitness center', 'Free WiFi']","<span class=""bui-u-sr-only"">
Price
₹ 53,302
</span>",45 m²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Quiet hours\n\n\nGuests need be quiet between 11:00 PM and 8:00 AM.', 'Pets\n\n\nPets are not allowed.']",5
Creta Maris Resort,"Hersonissos, Limenas Hersonissou, Hersonissos, 70014, Greece","9.0Wonderful 1,254 reviews","['16 swimming pools', 'Non-smoking rooms', 'Airport shuttle', 'Spa', 'Fitness center', 'Room service', 'Facilities for disabled guests', 'Tea/Coffee Maker in All Rooms', 'Bar', 'Excellent Breakfast']","<span class=""bui-u-sr-only"">
Price
$2,560
</span>",291 feet²,['Pets\n\n\nPets are not allowed.'],
Unique Blue Resort Adults Only,"Karteros, Karteros, 71500, Greece",9.1Wonderful 137 reviews,"['Outdoor swimming pool', 'Free WiFi', 'Non-smoking rooms', 'Airport shuttle', 'Spa', 'Fitness center', 'Facilities for disabled guests', 'Tea/Coffee Maker in All Rooms', 'Bar', 'Private beach area']","<span class=""bui-u-sr-only"">
Original price
€ 2,280
Current price
€ 2,099
</span>",23 m²,['Pets\n\n\nPets are not allowed.'],5
Village Heights Resort,"Hersonissos, Hersonissos, 70014, Greece",8.9Excellent 437 reviews,"['2 swimming pools', 'Non-smoking rooms', 'Free parking', 'Airport shuttle', 'Spa', 'Fitness center', 'Room service', 'Tea/Coffee Maker in All Rooms', 'Bar', 'Excellent Breakfast']","<span class=""bui-u-sr-only"">
Price
MYR 3,108
</span>",35 m²,['Pets\n\n\nPets are not allowed.'],5
Seaside A Lifestyle Resort - Adults Only,"Agia Pelagia, Agia Pelagia, 71500, Greece",8.8Excellent 299 reviews,"['3 swimming pools', 'Non-smoking rooms', 'Free parking', 'Fitness center', 'Spa', 'Restaurant', 'Tea/Coffee Maker in All Rooms', 'Bar']","<span class=""bui-u-sr-only"">
Price
$2,727
</span>",301 feet²,['Pets\n\n\nPets are not allowed.'],
Royal Marmin Bay Boutique & Art Hotel,"Elounda, Lasithi, Elounda, 72053, Greece",9.1Wonderful 921 reviews,"['Outdoor swimming pool', 'Spa', 'Fitness center', 'Airport shuttle', 'Non-smoking rooms', 'Beachfront', 'Free parking', 'Restaurant', 'Bar', 'Private beach area']","<span class=""bui-u-sr-only"">
Original price
RUB 136,190
Current price
RUB 108,952
</span>",20 m²,['Pets\n\n\nPets are not allowed.'],5
