name,location,reviews,facilities,price,size,rules,stars
ChaniaStay Apartments,"11 Antoniou Michelidaki, Chania, 73132, Greece",10Exceptional 3 reviews,"['Airport shuttle', 'Free WiFi', 'Family rooms', 'Terrace', 'BBQ facilities']","<span class=""bui-u-sr-only"">
Original price
¥157,282
Current price
¥85,169
</span>",35 m²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Quiet hours\n\n\nGuests need be quiet between 2:00 PM and 5:00 PM.', 'Pets\n\n\nPets are not allowed.']",3
Sweet Corner Masxali,"Agia Roumeli, Agia Roumeli, 73011, Greece",8.7Excellent 365 reviews,"['Non-smoking rooms', 'Free parking', 'Airport shuttle', 'Room service', 'Restaurant', 'Free WiFi', 'Beachfront', 'Bar', 'Private beach area', 'Excellent Breakfast']","<span class=""bui-u-sr-only"">
Price
$623
</span>",431 feet²,['Pets\n\n\nPets are not allowed.'],
Kasteli Studios & Apartments,"Panormo, Panormos Rethymno, 74057, Greece",7.8Good 313 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Airport shuttle', 'Free WiFi', 'Family rooms', 'Bar', 'Good Breakfast']","<span class=""bui-u-sr-only"">
Original price
$932
Current price
$503
</span>",538 feet²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Pets\n\n\nPets are not allowed.']",
Irinoula Dreams,"Main Street, Kolymvari, 73100, Greece",9.2Wonderful 138 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Facilities for disabled guests', 'Beachfront', 'Free WiFi', 'Family rooms', 'Bar', 'Exceptional Breakfast']","<span class=""bui-u-sr-only"">
Price
CAD 712
</span>",26 m²,"['Smoking\n\nSmoking is not allowed.', 'Pets\n\n\nPets are not allowed.']",3
Cost Mari Almyrida New by ZAGO Boutiqe hotels,"Almirída, Almyrida, 73008, Greece",9.0Wonderful 62 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Free parking', 'Free WiFi', 'Family rooms']","<span class=""bui-u-sr-only"">
Original price
¥101,859
Current price
¥77,413
</span>",40 m²,['Pets\n\n\nPets are not allowed.'],3
Nikolas Apartments,"Ko str. 6, Amoudara Herakliou, 71414, Greece",9.0Wonderful 154 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Free parking', 'Beachfront', 'Free WiFi', 'Airport shuttle', 'Family rooms']","<span class=""bui-u-sr-only"">
Original price
TL 11,091
Current price
TL 10,203
</span>",50 m²,"['Parties\n\n\nParties/events are not allowed', 'Pets\n\n\nPets are not allowed.']",3
Monachus Monachus,"Fragokastello, Frangokastello, 73011, Greece",9.0Wonderful 336 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Free parking', 'Free WiFi', 'Family rooms', 'Bar']","<span class=""bui-u-sr-only"">
Price
$751
</span>",592 feet²,['Pets\n\n\nPets are not allowed.'],
Erivolos Studios & Apartments,"Main Street, Ligaria, 71500, Greece",8.7Excellent 77 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Free parking', 'Airport shuttle', 'Free WiFi', 'Restaurant', 'Family rooms', 'Bar']","<span class=""bui-u-sr-only"">
Price
$652
</span>",215 feet²,"['Smoking\n\nSmoking is not allowed.', 'Pets\n\n\nPets are not allowed.']",
Villa Rita Apartments A,"Tavronitis, Tavronitis, 73006, Greece",8.6Excellent 92 reviews,"['2 swimming pools', 'Non-smoking rooms', 'Free parking', 'Airport shuttle', 'Free WiFi', 'Family rooms', 'Exceptional Breakfast']","<span class=""bui-u-sr-only"">
Price
$558
</span>",377 feet²,"['Parties\n\n\nParties/events are not allowed', 'Quiet hours\n\n\nGuests need be quiet between 2:00 PM and 4:00 PM.', 'Pets\n\n\nPets are not allowed.']",
Lygaria Beach Apts,"Αγια Πελαγια, Ligaria, 71500, Greece",8.6Excellent 21 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Free parking', 'Airport shuttle', 'Free WiFi', 'Family rooms']","<span class=""bui-u-sr-only"">
Original price
$885
Current price
$672
</span>",560 feet²,"['Parties\n\n\nParties/events are not allowed', 'Quiet hours\n\n\nGuests need be quiet between 2:00 PM and 5:00 PM.', 'Pets\n\n\nPets are not allowed.']",
