name,location,reviews,facilities,price,size,rules,stars
Sergios Village House,"Gavalochori, Apokoronas, Chania, Chania, 73008, Greece",9.9Exceptional 15 reviews,"['Non-smoking rooms', 'Free parking', 'Airport shuttle', 'Free WiFi', 'BBQ facilities', 'Laundry']","<span class=""bui-u-sr-only"">
Original price
$737
Current price
$516
</span>",753 feet²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Pets\n\n\nFree!\nPets are allowed. No extra charges.']",
Alexander Mountain Resort,"Gerakari, Yerakárion, 74061, Greece",9.1Wonderful 291 reviews,"['2 swimming pools', 'Non-smoking rooms', 'Restaurant', 'Fitness center', 'Free WiFi', 'Free parking', 'Facilities for disabled guests', 'Room service', 'Bar', 'Wonderful Breakfast']","<span class=""bui-u-sr-only"">
Original price
€ 435
Current price
€ 302
</span>",22 m²,['Pets\n\n\nFree!\nPets are allowed. No extra charges.'],3
Blue Dream Hotel,"Stavromenos, Stavromenos, 74100, Greece",8.3Very Good 251 reviews,"['Outdoor swimming pool', 'Free WiFi', 'Airport shuttle', 'Non-smoking rooms', 'Beachfront', 'Free parking', 'Restaurant', 'Room service', 'Bar', 'Exceptional Breakfast']","<span class=""bui-u-sr-only"">
Original price
€ 483
Current price
€ 445
</span>",27 m²,['Pets\n\n\nFree!\nPets are allowed on request. No extra charges.'],3
Maison Kronio Lassithi Plateau,"Tzermiado, 1 Marmaketo, Oropedio Lasithiou, Marmakéton, 72052, Greece",9.6Exceptional 353 reviews,"['Pool  – outdoor (kids)', 'Free parking', 'Non-smoking rooms', 'Airport shuttle', 'Restaurant', 'Free WiFi', 'Facilities for disabled guests', 'Family rooms']","<span class=""bui-u-sr-only"">
Price
PKR 107,212
</span>",45 m²,"['Smoking\n\nSmoking is not allowed.', 'Pets\n\n\nFree!\nPets are allowed on request. No extra charges.']",3
Stratos Villas,"Melidhónion, Kalyves, Melidhónion, 73008, Greece",9.4Wonderful 17 reviews,"['Outdoor swimming pool', 'Free parking', 'Airport shuttle', 'Free WiFi', 'Room service', 'Family rooms']","<span class=""bui-u-sr-only"">
Price
CAD 519
</span>",45 m²,"['Quiet hours\n\n\nGuests need be quiet between 10:00 PM and 8:00 AM.', 'Pets\n\n\nPets are not allowed.']",3
Hiona Holiday Hotel,"Palaikastro, Palekastron, 72300, Greece",8.8Excellent 334 reviews,"['Outdoor swimming pool', 'Free parking', 'Airport shuttle', 'Room service', 'Free WiFi', 'Family rooms', 'Tea/Coffee Maker in All Rooms', 'Bar', 'Very Good Breakfast']","<span class=""bui-u-sr-only"">
Price
$456
</span>",161 feet²,['Pets\n\n\nPets are not allowed.'],
Costas Inn,"Spílion, Rethymno, Spílion, 74053, Greece",9.0Wonderful 253 reviews,"['Free WiFi', 'Non-smoking rooms', 'Airport shuttle', 'Restaurant', 'Free parking', 'Room service', 'Family rooms', 'Tea/Coffee Maker in All Rooms', 'Bar', 'Breakfast']","<span class=""bui-u-sr-only"">
Original price
€ 300
Current price
€ 276
</span>",28 m²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Quiet hours\n\n\nGuests need be quiet between 11:00 PM and 8:00 AM.', 'Pets\n\n\nPets are not allowed.']",3
Sofia Hotel,"Stadiou 57, Heraklio, 71601, Greece","7.8Good 3,054 reviews","['Outdoor swimming pool', 'Non-smoking rooms', 'Free WiFi', 'Facilities for disabled guests', 'Free parking', 'Restaurant', 'Family rooms', '24-hour front desk', 'Bar', 'Good Breakfast']","<span class=""bui-u-sr-only"">
Original price
2,173 zł
Current price
2,002 zł
</span>",18 m²,['Pets\n\n\nPets are not allowed.'],3
The Maxine Hotel - Adults Only,"Agia Galini, Agia Galini, 74056, Greece",8.0Very Good 5 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Free parking', 'Airport shuttle', 'Restaurant', 'Free WiFi', 'Bar', 'Breakfast']","<span class=""bui-u-sr-only"">
Price
$408
</span>",301 feet²,['Pets\n\n\nFree!\nPets are allowed on request. No extra charges.'],
Cosy Country Villa,"Συκια Σητειας μονοκατοικια, Pappayiannádhes, 72300, Greece",8.4Very Good 8 reviews,"['Non-smoking rooms', 'Free parking', 'Free WiFi', 'Family rooms']","<span class=""bui-u-sr-only"">
Price
$593
</span>",1076 feet²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Pets\n\n\nPets are not allowed.']",
Gorgona Hotel,"Bali 740 57, Bali, 74057, Greece",8.6Excellent 370 reviews,"['Outdoor swimming pool', 'Free WiFi', 'Non-smoking rooms', 'Restaurant', 'Free parking', 'Beachfront', 'Family rooms', 'Good Breakfast']","<span class=""bui-u-sr-only"">
Original price
€ 672
Current price
€ 496
</span>",18 m²,['Pets\n\n\nPets are not allowed.'],3
Elektra Beach Hotel,"Kalamaki, Kalamaki, 73100, Greece",9.0Wonderful 621 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Airport shuttle', 'Free WiFi', 'Free parking', 'Family rooms', 'Room service', 'Beachfront', 'Bar']","<span class=""bui-u-sr-only"">
Original price
€ 558
Current price
€ 448
</span>",19 m²,['Pets\n\n\nPets are not allowed.'],3
Dedalos Beach Hotel,"Sfakaki, Sfakaki, 74100, Greece",8.3Very Good 52 reviews,"['Outdoor swimming pool', 'Airport shuttle', 'Free parking', 'Fitness center', 'Restaurant', 'Room service', 'Beachfront', 'Tea/Coffee Maker in All Rooms', 'Bar', 'Breakfast']","<span class=""bui-u-sr-only"">
Price
SCR 6,735
</span>",25 m²,['Pets\n\n\nPets are not allowed.'],3
Eva Suites & Apartments,"Agia Marina Chania Crete, Galatás, 73014, Greece",,"['Outdoor swimming pool', 'Free WiFi', 'Non-smoking rooms', 'Family rooms', 'Bar']","<span class=""bui-u-sr-only"">
Price
1,679 zł
</span>",20 m²,['Pets\n\n\nPets are not allowed.'],3
Stella Beach Hotel,"Panormos Rethymno, Panormos Rethymno, 74057, Greece",8.7Excellent 103 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Room service', 'Restaurant', 'Free WiFi', 'Beachfront', 'Bar', 'Wonderful Breakfast']","<span class=""bui-u-sr-only"">
Price
$404
</span>",226 feet²,['Pets\n\n\nPets are not allowed.'],
Castro Hotel,"A.Papandreou str. 301, Amoudara Herakliou, 71414, Greece",8.2Very Good 522 reviews,"['Outdoor swimming pool', 'Free WiFi', 'Non-smoking rooms', 'Facilities for disabled guests', 'Restaurant', 'Free parking', 'Room service', 'Family rooms', 'Bar', 'Good Breakfast']","<span class=""bui-u-sr-only"">
Original price
€ 433
Current price
€ 399
</span>",15 m²,['Pets\n\n\nPets are not allowed.'],3
House With View,"Tris Ekklisies , Paránimfoi, 70010, Greece",9.6Exceptional 100 reviews,"['Free parking', 'Free WiFi', 'Beachfront', 'Family rooms']","<span class=""bui-u-sr-only"">
Original price
RUB 40,983
Current price
RUB 37,705
</span>",55 m²,"['Parties\n\n\nParties/events are not allowed', 'Pets\n\n\nPets are allowed. Charges may apply.']",3
Horizon Beach Hotel,"West End on coast, Plakias, 74060, Greece",8.9Excellent 429 reviews,"['Non-smoking rooms', 'Free parking', 'Room service', 'Free WiFi', 'Beachfront', 'Family rooms', 'Bar', 'Very Good Breakfast']","<span class=""bui-u-sr-only"">
Original price
$456
Current price
$426
</span>",194 feet²,['Pets\n\n\nFree!\nPets are allowed. No extra charges.'],
Asterion Hotel,"Leoforos Ikarou 50,  Nea Alikarnassos, Heraklio, 71307, Greece","7.2Good 2,233 reviews","['Non-smoking rooms', 'Free parking', 'Free WiFi', '24-hour front desk', 'Bar']","<span class=""bui-u-sr-only"">
Price
PKR 128,654
</span>",15 m²,['Pets\n\n\nPets are not allowed.'],3
Anastasia Hotel Stalis,"Main Street, Stalís, 70007, Greece",8.9Excellent 90 reviews,"['2 swimming pools', 'Non-smoking rooms', 'Free parking', 'Airport shuttle', 'Fitness center', 'Spa', 'Restaurant', 'Free WiFi', 'Bar', 'Exceptional Breakfast']","<span class=""bui-u-sr-only"">
Price
$575
</span>",215 feet²,['Pets\n\n\nPets are not allowed.'],
Preveli Crete - Dionysos Tavern & Rooms,"Drimiskiano Ammoudi ,preveli, Preveli, 74060, Greece",8.8Excellent 332 reviews,"['Free WiFi', 'Restaurant', 'Free parking', 'Beachfront']","<span class=""bui-u-sr-only"">
Original price
€ 398
Current price
€ 366
</span>",15 m²,"['Parties\n\n\nParties/events are not allowed', 'Quiet hours\n\n\nGuests need be quiet between 11:00 PM and 8:00 AM.', 'Pets\n\n\nPets are not allowed.']",3
Hotel Tsagarakis Beach,"Konstantinou Mitsotaki, Amoudara Herakliou, 71414, Greece",7.7Good 103 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Free parking', 'Free WiFi', 'Beachfront', 'Bar']","<span class=""bui-u-sr-only"">
Price
$536
</span>",194 feet²,['Pets\n\n\nPets are not allowed.'],
Vanisko Hotel,"7, Andrea Papandreou Street, Amoudara Herakliou, 71414, Greece",7.8Good 281 reviews,"['2 swimming pools', 'Free parking', 'Free WiFi', 'Family rooms', 'Bar', 'Good Breakfast']","<span class=""bui-u-sr-only"">
Price
$484
</span>",194 feet²,['Pets\n\n\nPets are not allowed.'],
Kalypso Apartments,"Kastri, Kastríon, 73001, Greece",9.2Wonderful 105 reviews,"['Free parking', 'Free WiFi']","<span class=""bui-u-sr-only"">
Price
€ 500
</span>",60 m²,['Pets\n\n\nFree!\nPets are allowed on request. No extra charges.'],3
Aravanes,"Thronos Amariou, Rethymno, Crete, Thrónos, 74061, Greece",9.4Wonderful 161 reviews,"['Outdoor swimming pool', 'Free parking', 'Airport shuttle', 'Free WiFi', 'Family rooms', 'Wonderful Breakfast']","<span class=""bui-u-sr-only"">
Original price
SAR 1,207
Current price
SAR 1,110
</span>",15 m²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Pets\n\n\nPets are not allowed.']",3
Ilios Malia Hotel Resort,"Mattheou Zachariadi 43, Malia, 70007, Greece",7.7Good 91 reviews,"['Outdoor swimming pool', 'Airport shuttle', 'Non-smoking rooms', 'Free parking', 'Free WiFi', 'Family rooms', 'Bar', 'Breakfast']","<span class=""bui-u-sr-only"">
Original price
£278
Current price
£256
</span>",215 feet²,['Pets\n\n\nPets are not allowed.'],3
Antigoni,"Main Street, Agia Galini, 74056, Greece",9.3Wonderful 391 reviews,"['Free parking', 'Non-smoking rooms', 'Airport shuttle', 'Free WiFi', 'Tea/Coffee Maker in All Rooms']","<span class=""bui-u-sr-only"">
Original price
₹ 20,305
Current price
₹ 18,681
</span>",20 m²,['Pets\n\n\nPets are allowed on request. Charges may apply.'],3
Irini΄s house,"Αλωνες, Alónai, 74058, Greece",9.5Exceptional 11 reviews,"['Free parking', 'Free WiFi']","<span class=""bui-u-sr-only"">
Price
CAD 425
</span>",55 m²,"['Parties\n\n\nParties/events are not allowed', 'Pets\n\n\nPets are not allowed.']",3
Jean's Cretan Cottage,"Kalo Horio Kalo Chorio 70014, Kalón Khoríon, 70014, Greece",9.2Wonderful 8 reviews,"['Non-smoking rooms', 'Free parking', 'Family rooms']","<span class=""bui-u-sr-only"">
Price
US$322
</span>",68 m²,"['Smoking\n\nSmoking is not allowed.', 'Pets\n\n\nFree!\nPets are allowed. No extra charges.']",3
Sea Front Old Town,"159 Arkadiou & 45 El. Venizelou Street , Rethymno, 74100, Greece",9.2Wonderful 380 reviews,"['Non-smoking rooms', 'Airport shuttle', 'Beachfront', 'Free WiFi', 'Family rooms', 'Tea/Coffee Maker in All Rooms']","<span class=""bui-u-sr-only"">
Price
₹ 30,193
</span>",15 m²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Quiet hours\n\n\nGuests need be quiet between 10:00 PM and 9:00 AM.', 'Pets\n\n\nPets are not allowed.']",3
Sea Front Old Town,"159 Arkadiou & 45 El. Venizelou Street , Rethymno, 74100, Greece",,,,,[],
Niko Elen,"Grammatikaki, Stalís, 70014, Greece",8.1Very Good 37 reviews,"['Non-smoking rooms', 'Free WiFi', 'Bar', 'Breakfast']","<span class=""bui-u-sr-only"">
Price
NGN 154,774
</span>",18 m²,['Pets\n\n\nPets are not allowed.'],3
Antonia’s Home Alfa Village,"Alfa, Alfá, 74052, Greece",9.7Exceptional 19 reviews,"['Free parking', 'Non-smoking rooms', 'Free WiFi', 'Family rooms']","<span class=""bui-u-sr-only"">
Original price
EGP 8,310
Current price
EGP 7,645
</span>",67 m²,['Pets\n\n\nPets are not allowed.'],3
Malia Mare Hotel,"10, Dimokratias St., Malia, 70007, Greece",8.1Very Good 84 reviews,"['Outdoor swimming pool', 'Airport shuttle', 'Family rooms', 'Free WiFi', 'Bar']","<span class=""bui-u-sr-only"">
Price
$348
</span>",323 feet²,['Pets\n\n\nPets are not allowed.'],
