name,location,reviews,facilities,price,size,rules,stars
Skipper Beachfront Suites,"87 Agias Paraskevis, Limenas Hersonissou, Hersonissos, 70014, Greece",9.0Wonderful 9 reviews,"['Non-smoking rooms', 'Free parking', 'Restaurant', 'Free WiFi', 'Family rooms', 'Bar', 'Breakfast']","<span class=""bui-u-sr-only"">
Original price
RUB 203,172
Current price
RUB 105,649
</span>",35 m²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Pets\n\n\nPets are not allowed.']",3
Porto Belissario,"Ferma, Ferma, 72200, Greece",9.1Wonderful 336 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Free parking', 'Airport shuttle', 'Free WiFi', 'Beachfront', 'Family rooms', 'Bar', 'Private beach area', 'Very Good Breakfast']","<span class=""bui-u-sr-only"">
Original price
$1,438
Current price
$1,222
</span>",269 feet²,['Pets\n\n\nPets are not allowed.'],
Sfinias Apartments,"Kali Limenes, Kaloi Limenes, 70400, Greece",8.2Very Good 432 reviews,"['2 swimming pools', 'Non-smoking rooms', 'Free parking', 'Beachfront', 'Family rooms', 'Restaurant', 'Free WiFi', 'Private beach area', 'Good Breakfast']","<span class=""bui-u-sr-only"">
Price
¥32,018
</span>",35 m²,['Pets\n\n\nFree!\nPets are allowed. No extra charges.'],3
Trefon Hotel Apartments and Family Suites,"Platanes , Platanes, 74100, Greece",8.4Very Good 371 reviews,"['Outdoor swimming pool', 'Airport shuttle', 'Non-smoking rooms', 'Restaurant', 'Free parking', 'Facilities for disabled guests', 'Room service', 'Beachfront', 'Bar', 'Wonderful Breakfast']","<span class=""bui-u-sr-only"">
Price
£477
</span>",431 feet²,"['Smoking\n\nSmoking is not allowed.', 'Pets\n\n\nFree!\nPets are allowed on request. No extra charges.']",3
Costas Inn,"Spílion, Rethymno, Spílion, 74053, Greece",9.0Wonderful 253 reviews,"['Non-smoking rooms', 'Airport shuttle', 'Free WiFi', 'Free parking', 'Restaurant', 'Room service', 'Family rooms', 'Tea/Coffee Maker in All Rooms', 'Bar', 'Breakfast']","<span class=""bui-u-sr-only"">
Original price
1,146 zł
Current price
1,054 zł
</span>",28 m²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Quiet hours\n\n\nGuests need be quiet between 11:00 PM and 8:00 AM.', 'Pets\n\n\nPets are not allowed.']",3
Nuovo Crete By Sea,"Syrou 13 Amoudara, Amoudara Herakliou, 71414, Greece",8.9Excellent 357 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Airport shuttle', 'Free parking', 'Restaurant', 'Free WiFi', 'Family rooms', 'Tea/Coffee Maker in All Rooms', 'Bar']","<span class=""bui-u-sr-only"">
Original price
R$ 7,974
Current price
R$ 6,379
</span>",50 m²,['Pets\n\n\nPets are not allowed.'],3
Apollon Hotel Apartments,"Neas Fokeas St., Platanes, 74100, Greece",8.7Excellent 112 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Airport shuttle', 'Free parking', 'Family rooms', 'Free WiFi', 'Bar', 'Breakfast']","<span class=""bui-u-sr-only"">
Price
$1,347
</span>",700 feet²,['Pets\n\n\nPets are not allowed.'],
Balos Beach,"Main Street, Kissamos, 73400, Greece","8.5Very Good 2,074 reviews","['Outdoor swimming pool', 'Free parking', 'Non-smoking rooms', 'Airport shuttle', 'Free WiFi', 'Room service', 'Restaurant', 'Bar', 'Private beach area', 'Very Good Breakfast']","<span class=""bui-u-sr-only"">
Original price
BDT 158,212
Current price
BDT 145,555
</span>",35 m²,['Pets\n\n\nPets are not allowed.'],3
Haris Apartments,"Kokkini Hani, Kokkini Khanion, 71500, Greece",8.0Very Good 283 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Free parking', 'Restaurant', 'Free WiFi', 'Beachfront', 'Family rooms', 'Bar', 'Very Good Breakfast']","<span class=""bui-u-sr-only"">
Price
$267
</span>",323 feet²,"['Parties\n\n\nParties/events are not allowed', 'Quiet hours\n\n\nGuests need be quiet between 11:00 PM and 8:00 AM.', 'Pets\n\n\nPets are not allowed.']",
Theo Star Beach Hotel,"Nikolaou Grammatikaki, Malia, 70007, Greece",8.5Very Good 94 reviews,"['Outdoor swimming pool', 'Airport shuttle', 'Free parking', 'Beachfront', 'Restaurant', 'Free WiFi', 'Family rooms', 'Bar', 'Private beach area', 'Breakfast']","<span class=""bui-u-sr-only"">
Price
R$ 6,751
</span>",49 m²,"['Parties\n\n\nParties/events are not allowed', 'Pets\n\n\nPets are not allowed.']",3
