name,location,reviews,facilities,price,size,rules,stars
Mala Villa,"Main road, Malles, 72056, Greece",8.9Excellent 187 reviews,"['Non-smoking rooms', 'Free parking', 'Free WiFi', 'Restaurant', 'Room service', 'Family rooms', 'Bar', 'Exceptional Breakfast']","<span class=""bui-u-sr-only"">
Original price
$912
Current price
$638
</span>",398 feet²,['Pets\n\n\nPets are not allowed.'],
Eliathos Residence Houses,"Main Street, Archanes, 70100, Greece",9.2Wonderful 77 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Airport shuttle', 'Free parking', 'Restaurant', 'Family rooms', 'Free WiFi', 'Bar', 'Breakfast']","<span class=""bui-u-sr-only"">
Original price
$996
Current price
$916
</span>",1098 feet²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Quiet hours\n\n\nGuests need be quiet between 11:00 PM and 7:00 AM.', 'Pets\n\n\nFree!\nPets are allowed. No extra charges.']",
Loutra Resort,"Loutra, Rethymno, Loutra, 74100, Greece",8.9Excellent 123 reviews,"['2 swimming pools', 'Free WiFi', 'Airport shuttle', 'Free parking', 'Family rooms']","<span class=""bui-u-sr-only"">
Price
€ 732
</span>",60 m²,"['Smoking\n\nSmoking is not allowed.', 'Pets\n\n\nPets are not allowed.']",4
Porto Kalyves Seaside Aparthotel,"Kalyves, Kalyves, 73003, Greece",9.4Wonderful 282 reviews,"['Non-smoking rooms', 'Free parking', 'Airport shuttle', 'Free WiFi', 'Family rooms', 'Bar']","<span class=""bui-u-sr-only"">
Original price
¥127,323
Current price
¥104,405
</span>",60 m²,['Pets\n\n\nFree!\nPets are allowed. No extra charges.'],4
Hermes&Dione,"ΤΡΟΥΛΙΤΗ, Argoulidhés, 73200, Greece",9.6Exceptional 23 reviews,"['Non-smoking rooms', 'Free parking', 'Free WiFi', 'Family rooms']","<span class=""bui-u-sr-only"">
Price
CAD 1,071
</span>",74 m²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Quiet hours\n\n\nGuests need be quiet between 3:00 PM and 6:00 PM.', 'Pets\n\n\nPets are not allowed.']",4
Perigiali,"Makry Gialos, Makry Gialos, 72055, Greece",9.5Exceptional 37 reviews,"['Free parking', 'Non-smoking rooms', 'Beachfront', 'Family rooms', 'Free WiFi', 'Facilities for disabled guests']","<span class=""bui-u-sr-only"">
Original price
RUB 24,852
Current price
RUB 24,106
</span>",25 m²,['Pets\n\n\nPets are not allowed.'],4
Villa Archanes,"Evangelias Armenaki 19, Archanes, 70100, Greece",9.6Exceptional 293 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Airport shuttle', 'Free parking', 'Room service', 'Fitness center', 'Free WiFi', 'Family rooms', 'Exceptional Breakfast']","<span class=""bui-u-sr-only"">
Price
CAD 876
</span>",78 m²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Quiet hours\n\n\nGuests need be quiet between 9:00 PM and 8:00 AM.', 'Pets\n\n\nFree!\nPets are allowed on request. No extra charges.']",4
City Lion by Semavi,"Psaromiligkon 13, Heraklio, 71202, Greece",9.8Exceptional 875 reviews,"['Non-smoking rooms', 'Private Parking', 'Free WiFi', 'Family rooms']","<span class=""bui-u-sr-only"">
Original price
CAD 1,406
Current price
CAD 1,265
</span>",57 m²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Pets\n\n\nPets are not allowed.']",4
Old City Apartments,"Δελημάρκου 10, Heraklio, 71202, Greece",9.6Exceptional 21 reviews,"['Non-smoking rooms', 'Free WiFi', 'Family rooms']","<span class=""bui-u-sr-only"">
Price
$459
</span>",183 feet²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Quiet hours\n\n\nGuests need be quiet between 12:00 AM and 8:00 AM.', 'Pets\n\n\nPets are not allowed.']",
SII City Luxury Suites,"Agiou Ioanni 10, Rethymno, 74100, Greece",9.4Wonderful 189 reviews,"['Airport shuttle', 'Non-smoking rooms', 'Room service', 'Free WiFi', 'Family rooms']","<span class=""bui-u-sr-only"">
Original price
£429
Current price
£356
</span>",431 feet²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Quiet hours\n\n\nGuests need be quiet between 3:00 PM and 5:00 PM.', 'Pets\n\n\nPets are not allowed.']",4
Seametry Apartments,"Vlites Soudas, Souda, 73200, Greece",9.2Wonderful 296 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Airport shuttle', 'Free WiFi', 'Free parking', 'Family rooms', 'Beachfront']","<span class=""bui-u-sr-only"">
Price
€ 945
</span>",50 m²,"['Quiet hours\n\n\nGuests need be quiet between 10:00 PM and 8:00 AM.', 'Pets\n\n\nPets are not allowed.']",4
Hermes Beach Studios,"Kato Stalos, Stalos, 73100, Greece",9.3Wonderful 163 reviews,"['Outdoor swimming pool', 'Free WiFi', 'Non-smoking rooms', 'Airport shuttle', 'Free parking', 'Beachfront', 'Family rooms', 'Very Good Breakfast']","<span class=""bui-u-sr-only"">
Price
€ 543
</span>",20 m²,"['Smoking\n\nSmoking is not allowed.', 'Quiet hours\n\n\nGuests need be quiet between 11:00 PM and 8:00 AM.', 'Pets\n\n\nPets are not allowed.']",4
Almyrida Sands,"Almirida Apokorona, Almyrida, 73008, Greece",9.9Exceptional 151 reviews,"['Non-smoking rooms', 'Airport shuttle', 'Free parking', 'Free WiFi', 'Beachfront']","<span class=""bui-u-sr-only"">
Price
CAD 1,930
</span>",100 m²,['Pets\n\n\nPets are not allowed.'],4
Porto Kaza,"Varla 4, Sitia, 72300, Greece",8.9Excellent 132 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Free WiFi', 'Family rooms']","<span class=""bui-u-sr-only"">
Original price
CAD 641
Current price
CAD 590
</span>",35 m²,"['Smoking\n\nSmoking is not allowed.', 'Pets\n\n\nPets are not allowed.']",4
Chania Urban Living,"Eleutherias 46, Chania, 73100, Greece",9.2Wonderful 264 reviews,"['Non-smoking rooms', 'Free parking', 'Airport shuttle', 'Free WiFi', 'Family rooms', 'Terrace', 'BBQ facilities', 'Laundry']","<span class=""bui-u-sr-only"">
Original price
$1,051
Current price
$967
</span>",484 feet²,"['Parties\n\n\nParties/events are not allowed', 'Quiet hours\n\n\nGuests need be quiet between 11:00 PM and 7:00 AM.', 'Pets\n\n\nPets are not allowed.']",
Casa Maistra Residence,"149, Arkadiou str., Rethymno, 74100, Greece",9.6Exceptional 146 reviews,"['Non-smoking rooms', 'Parking', 'Airport shuttle', 'Free WiFi', 'Family rooms', 'Bar']","<span class=""bui-u-sr-only"">
Price
$839
</span>",1076 feet²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Quiet hours\n\n\nGuests need be quiet between 11:00 PM and 8:00 AM.', 'Pets\n\n\nPets are not allowed.']",
Casa dei Sogni,"Nerokourou, Nerokoúros, 73100, Greece",10Exceptional 6 reviews,"['Non-smoking rooms', 'Free parking', 'Free WiFi', 'Family rooms']","<span class=""bui-u-sr-only"">
Price
CAD 876
</span>",55 m²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Quiet hours\n\n\nGuests need be quiet between 10:00 PM and 8:00 AM.', 'Pets\n\n\nPets are not allowed.']",4
