name,location,reviews,facilities,price,size,rules,stars,link
Metropole Urban Hotel,"Platia Agias Ekaterinis - Agios Minas, Heraklio, 71201, Greece","9.0Wonderful 1,663 reviews","['Non-smoking rooms', 'Airport shuttle', 'Room service', 'Free WiFi', 'Family rooms', '24-hour front desk', 'Tea/Coffee Maker in All Rooms', 'Bar']","<span class=""bui-u-sr-only"">
Original price
¥155,080
Current price
¥89,868
</span>",19 m²,['Pets\n\n\nPets are not allowed.'],4,https://www.booking.com/hotel/gr/metropole-urban.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&sid=4cc5dec2c68e6377819edd6ab66620de&aid=304142&ucfs=1&arphpl=1&checkin=2023-08-27&checkout=2023-09-01&dest_id=811&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&nflt=class%3D4%3Bht_id%3D208%3Bht_id%3D223%3Bht_id%3D204%3Bht_id%3D220%3Bht_id%3D206%3Bht_id%3D216%3Bht_id%3D228%3Bht_id%3D221&srpvid=51b38acbb3960263&srepoch=1685907865&all_sr_blocks=467534406_362132208_2_0_0&highlighted_blocks=467534406_362132208_2_0_0&matching_block_id=467534406_362132208_2_0_0&sr_pri_blocks=467534406_362132208_2_0_0__59995&from=searchresults#hotelTmpl
Peninsula Resort & Spa,"Agia Pelagia, Agia Pelagia, 71500, Greece","8.6Excellent 1,228 reviews","['4 swimming pools', 'Non-smoking rooms', 'Airport shuttle', 'Free parking', 'Spa', 'Room service', 'Tea/Coffee Maker in All Rooms', 'Bar', 'Private beach area', 'Very Good Breakfast']","<span class=""bui-u-sr-only"">
Original price
RUB 139,081
Current price
RUB 130,041
</span>",30 m²,['Pets\n\n\nPets are not allowed.'],4,https://www.booking.com/hotel/gr/peninsula-agia-pelagia.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&sid=4cc5dec2c68e6377819edd6ab66620de&aid=304142&ucfs=1&arphpl=1&checkin=2023-08-27&checkout=2023-09-01&dest_id=811&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&nflt=class%3D4%3Bht_id%3D208%3Bht_id%3D223%3Bht_id%3D204%3Bht_id%3D220%3Bht_id%3D206%3Bht_id%3D216%3Bht_id%3D228%3Bht_id%3D221&srpvid=51b38acbb3960263&srepoch=1685907865&all_sr_blocks=34087706_88569920_2_85_0&highlighted_blocks=34087706_88569920_2_85_0&matching_block_id=34087706_88569920_2_85_0&sr_pri_blocks=34087706_88569920_2_85_0__151525&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Giannoulis - Grand Bay Beach Resort (Exclusive Adults Only),"Kolymbari, Kolymvari, 73006, Greece",8.4Very Good 203 reviews,"['2 swimming pools', 'Airport shuttle', 'Spa', 'Non-smoking rooms', 'Fitness center', 'Tea/Coffee Maker in All Rooms', 'Bar', 'Beachfront', 'Private beach area', 'Very Good Breakfast']","<span class=""bui-u-sr-only"">
Price
€ 1,305
</span>",30 m²,['Pets\n\n\nPets are not allowed.'],4,https://www.booking.com/hotel/gr/grand-bay-beach-resort.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&sid=4cc5dec2c68e6377819edd6ab66620de&aid=304142&ucfs=1&arphpl=1&checkin=2023-08-27&checkout=2023-09-01&dest_id=811&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&nflt=class%3D4%3Bht_id%3D208%3Bht_id%3D223%3Bht_id%3D204%3Bht_id%3D220%3Bht_id%3D206%3Bht_id%3D216%3Bht_id%3D228%3Bht_id%3D221&srpvid=51b38acbb3960263&srepoch=1685907865&all_sr_blocks=23879611_370416380_2_41_0&highlighted_blocks=23879611_370416380_2_41_0&matching_block_id=23879611_370416380_2_41_0&sr_pri_blocks=23879611_370416380_2_41_0__122550&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Candia Park Village,"Havania, Agios Nikolaos, 72100, Greece",8.7Excellent 402 reviews,"['2 swimming pools', 'Non-smoking rooms', 'Airport shuttle', 'Free parking', 'Spa', 'Beachfront', 'Restaurant', 'Bar', 'Private beach area', 'Very Good Breakfast']","<span class=""bui-u-sr-only"">
Original price
RUB 149,109
Current price
RUB 111,832
</span>",40 m²,['Pets\n\n\nFree!\nPets are allowed on request. No extra charges.'],4,https://www.booking.com/hotel/gr/candia-park-village-aghios-nikolaos.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&sid=4cc5dec2c68e6377819edd6ab66620de&aid=304142&ucfs=1&arphpl=1&checkin=2023-08-27&checkout=2023-09-01&dest_id=811&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&nflt=class%3D4%3Bht_id%3D208%3Bht_id%3D223%3Bht_id%3D204%3Bht_id%3D220%3Bht_id%3D206%3Bht_id%3D216%3Bht_id%3D228%3Bht_id%3D221&srpvid=51b38acbb3960263&srepoch=1685907865&all_sr_blocks=1218015_95135435_2_34_0&highlighted_blocks=1218015_95135435_2_34_0&matching_block_id=1218015_95135435_2_34_0&sr_pri_blocks=1218015_95135435_2_34_0__121838&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Sokaki House,"Stylianou Koutsaftaki, Kalivianí, 73400, Greece",10Exceptional 1 review,"['Free WiFi', 'Non-smoking rooms', 'Free parking']","<span class=""bui-u-sr-only"">
Original price
£548
Current price
£504
</span>",646 feet²,"['Parties\n\n\nParties/events are not allowed', 'Pets\n\n\nPets are not allowed.']",4,https://www.booking.com/hotel/gr/sokaki-house-kalubiane.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&sid=4cc5dec2c68e6377819edd6ab66620de&aid=304142&ucfs=1&arphpl=1&checkin=2023-08-27&checkout=2023-09-01&dest_id=811&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&nflt=class%3D4%3Bht_id%3D208%3Bht_id%3D223%3Bht_id%3D204%3Bht_id%3D220%3Bht_id%3D206%3Bht_id%3D216%3Bht_id%3D228%3Bht_id%3D221&srpvid=51b38acbb3960263&srepoch=1685907865&all_sr_blocks=959388101_369660187_2_0_0&highlighted_blocks=959388101_369660187_2_0_0&matching_block_id=959388101_369660187_2_0_0&sr_pri_blocks=959388101_369660187_2_0_0__60563&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Infinity Blue Boutique Hotel & Spa - Adults Only,"Dedalou 9, Limenas Hersonissou, Limenas Hersonissou, Hersonissos, 70014, Greece","8.5Very Good 2,813 reviews","['Outdoor swimming pool', 'Airport shuttle', 'Spa', 'Non-smoking rooms', 'Fitness center', 'Tea/Coffee Maker in All Rooms', 'Bar', 'Beachfront', 'Private beach area', 'Good Breakfast']","<span class=""bui-u-sr-only"">
Price
€ 716
</span>",21 m²,['Pets\n\n\nPets are not allowed.'],4,https://www.booking.com/hotel/gr/infiniti-blue-boutique.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&sid=4cc5dec2c68e6377819edd6ab66620de&aid=304142&ucfs=1&arphpl=1&checkin=2023-08-27&checkout=2023-09-01&dest_id=811&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&nflt=class%3D4%3Bht_id%3D208%3Bht_id%3D223%3Bht_id%3D204%3Bht_id%3D220%3Bht_id%3D206%3Bht_id%3D216%3Bht_id%3D228%3Bht_id%3D221&srpvid=51b38acbb3960263&srepoch=1685907865&all_sr_blocks=0_0_2_1_0&highlighted_blocks=0_0_2_1_0&matching_block_id=0_0_2_1_0&sr_pri_blocks=0_0_2_1_0__71578&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Creta Princess by Atlantica,"Platanias, Crete, Maleme, 73014, Greece",7.6Good 427 reviews,"['3 swimming pools', 'Non-smoking rooms', 'Free parking', 'Fitness center', 'Room service', 'Beachfront', 'Tea/Coffee Maker in All Rooms', 'Bar', 'Private beach area', 'Good Breakfast']","<span class=""bui-u-sr-only"">
Price
$1,057
</span>",269 feet²,['Pets\n\n\nPets are not allowed.'],,https://www.booking.com/hotel/gr/cretaprincess.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&sid=4cc5dec2c68e6377819edd6ab66620de&aid=304142&ucfs=1&arphpl=1&checkin=2023-08-27&checkout=2023-09-01&dest_id=811&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&nflt=class%3D4%3Bht_id%3D208%3Bht_id%3D223%3Bht_id%3D204%3Bht_id%3D220%3Bht_id%3D206%3Bht_id%3D216%3Bht_id%3D228%3Bht_id%3D221&srpvid=51b38acbb3960263&srepoch=1685907865&all_sr_blocks=9511530_0_2_21_0&highlighted_blocks=9511530_0_2_21_0&matching_block_id=9511530_0_2_21_0&sr_pri_blocks=9511530_0_2_21_0__98515&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Hyperion City Hotel & Spa,"El. Venizelou 75-79, Chania, 73132, Greece","9.3Wonderful 1,934 reviews","['Outdoor swimming pool', 'Free WiFi', 'Airport shuttle', 'Non-smoking rooms', 'Spa', 'Fitness center', 'Facilities for disabled guests', 'Private Parking', 'Tea/Coffee Maker in All Rooms', 'Bar']","<span class=""bui-u-sr-only"">
Price
€ 970
</span>",25 m²,['Pets\n\n\nPets are not allowed.'],4,https://www.booking.com/hotel/gr/hyperion-city.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&sid=4cc5dec2c68e6377819edd6ab66620de&aid=304142&ucfs=1&arphpl=1&checkin=2023-08-27&checkout=2023-09-01&dest_id=811&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&nflt=class%3D4%3Bht_id%3D208%3Bht_id%3D223%3Bht_id%3D204%3Bht_id%3D220%3Bht_id%3D206%3Bht_id%3D216%3Bht_id%3D228%3Bht_id%3D221&srpvid=51b38acbb3960263&srepoch=1685907865&all_sr_blocks=709355103_295765630_2_1_0&highlighted_blocks=709355103_295765630_2_1_0&matching_block_id=709355103_295765630_2_1_0&sr_pri_blocks=709355103_295765630_2_1_0__100500&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Malena Hotel & Suites - Adults Only,"28, Andrea Papandreou Str., Amoudara Herakliou, 71500, Greece",8.2Very Good 979 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Private Parking', 'Airport shuttle', 'Fitness center', 'Restaurant', 'Free WiFi', 'Tea/Coffee Maker in All Rooms', 'Bar', 'Very Good Breakfast']","<span class=""bui-u-sr-only"">
Price
$1,043
</span>",323 feet²,['Pets\n\n\nPets are allowed on request. Charges may apply.'],,https://www.booking.com/hotel/gr/lyktos.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&sid=4cc5dec2c68e6377819edd6ab66620de&aid=304142&ucfs=1&arphpl=1&checkin=2023-08-27&checkout=2023-09-01&dest_id=811&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&nflt=class%3D4%3Bht_id%3D208%3Bht_id%3D223%3Bht_id%3D204%3Bht_id%3D220%3Bht_id%3D206%3Bht_id%3D216%3Bht_id%3D228%3Bht_id%3D221&srpvid=51b38acbb3960263&srepoch=1685907865&all_sr_blocks=31521910_112708502_2_41_0&highlighted_blocks=31521910_112708502_2_41_0&matching_block_id=31521910_112708502_2_41_0&sr_pri_blocks=31521910_112708502_2_41_0__92340&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Eleven Boutique Suites,"Stavromenos, Stavromenos, 74100, Greece",9.6Exceptional 239 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Free parking', 'Airport shuttle', 'Free WiFi', 'Beachfront', 'Facilities for disabled guests', 'Restaurant', 'Tea/Coffee Maker in All Rooms', 'Exceptional Breakfast']","<span class=""bui-u-sr-only"">
Original price
$1,578
Current price
$1,136
</span>",334 feet²,['Pets\n\n\nPets are not allowed.'],,https://www.booking.com/hotel/gr/eleven-boutique-suites.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&sid=4cc5dec2c68e6377819edd6ab66620de&aid=304142&ucfs=1&arphpl=1&checkin=2023-08-27&checkout=2023-09-01&dest_id=811&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&nflt=class%3D4%3Bht_id%3D208%3Bht_id%3D223%3Bht_id%3D204%3Bht_id%3D220%3Bht_id%3D206%3Bht_id%3D216%3Bht_id%3D228%3Bht_id%3D221&srpvid=51b38acbb3960263&srepoch=1685907865&all_sr_blocks=695401205_285687730_2_2_0&highlighted_blocks=695401205_285687730_2_2_0&matching_block_id=695401205_285687730_2_2_0&sr_pri_blocks=695401205_285687730_2_2_0__100614&from=searchresults#hotelTmpl
