name,location,reviews,facilities,price,size,rules,stars
aníko suites Chora,"Agiou Vasiliou Mykonos town, Mikonos, 84600, Greece",9.1Wonderful 41 reviews,"['Non-smoking rooms', 'Airport shuttle', 'Free WiFi', 'Family rooms']","<span class=""bui-u-sr-only"">
Original price
BDT 303,422
Current price
BDT 212,395
</span>",26 m²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Quiet hours\n\n\nGuests need be quiet between 11:00 PM and 8:00 AM.', 'Pets\n\n\nPets are not allowed.']",3
Alissachni Mykonos,"Psarou, Agios Lazaros, Psarou, 84600, Greece",9.6Exceptional 308 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Airport shuttle (free)', 'Spa', 'Fitness center', 'Free parking', 'Room service', 'Tea/Coffee Maker in All Rooms', 'Bar', 'Excellent Breakfast']","<span class=""bui-u-sr-only"">
Original price
€ 4,483
Current price
€ 4,259
</span>",35 m²,['Pets\n\n\nFree!\nPets are allowed. No extra charges.'],5
Petinos Hotel,"Platis Yialos Beach, Platis Gialos, 84600, Greece","8.4Very Good 1,594 reviews","['Outdoor swimming pool', 'Airport shuttle (free)', 'Non-smoking rooms', 'Fitness center', 'Restaurant', 'Room service', 'Free WiFi', 'Tea/Coffee Maker in All Rooms', 'Bar', 'Very Good Breakfast']","<span class=""bui-u-sr-only"">
Price
£1,795
</span>",301 feet²,['Pets\n\n\nPets are not allowed.'],4
Petinos Hotel,"Platis Yialos Beach, Platis Gialos, 84600, Greece",,,,,[],
Apsenti couples only,"Main Street, Agios Ioannis Mykonos, 84600, Greece",9.2Wonderful 369 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Airport shuttle', 'Room service', 'Restaurant', 'Free WiFi', 'Exceptional Breakfast']","<span class=""bui-u-sr-only"">
Price
$1,223
</span>",172 feet²,"['Parties\n\n\nParties/events are not allowed', 'Quiet hours\n\n\nGuests need be quiet between 12:00 AM and 10:00 AM.', 'Pets\n\n\nPets are not allowed.']",
Life Suites,"Τουρλος, Tourlos, 84600, Greece",9.7Exceptional 109 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Free parking', 'Free WiFi', 'Family rooms']","<span class=""bui-u-sr-only"">
Price
$2,155
</span>",,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Pets\n\n\nPets are not allowed.']",
Sun of Mykonos Studios,"Klouvas, Mykonos, Klouvas, 84600, Greece",8.6Excellent 481 reviews,"['Outdoor swimming pool', 'Free WiFi', 'Free parking', 'Family rooms', 'Bar']","<span class=""bui-u-sr-only"">
Price
3,247 zł
</span>",19 m²,['Pets\n\n\nPets are not allowed.'],3
Asty Mykonos Hotel & Spa,"Drafaki Mykonos, Drafaki, 84600, Greece",9.3Wonderful 97 reviews,"['Outdoor swimming pool', 'Free parking', 'Non-smoking rooms', 'Airport shuttle', 'Free WiFi', 'Family rooms', 'Spa', 'Tea/Coffee Maker in All Rooms', 'Bar', 'Breakfast']","<span class=""bui-u-sr-only"">
Price
¥413,876
</span>",30 m²,['Pets\n\n\nPets are allowed. Charges may apply.'],5
Sea Rock & Sky Private Residence,"Merchia Beach, Merchia Beach, 84600, Greece",9.3Wonderful 42 reviews,"['Outdoor swimming pool', 'Free parking', 'Non-smoking rooms', 'Airport shuttle', 'Beachfront', 'Room service', 'Restaurant', 'Bar', 'Private beach area', 'Wonderful Breakfast']","<span class=""bui-u-sr-only"">
Price
₹ 214,111
</span>",57 m²,['Pets\n\n\nPets are allowed. Charges may apply.'],4
Ftelia Bay Boutique Hotel,"Ftelia, Ftelia, 84600, Greece",8.9Excellent 326 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Airport shuttle', 'Spa', 'Fitness center', 'Restaurant', 'Room service', 'Free WiFi', 'Family rooms', 'Bar']","<span class=""bui-u-sr-only"">
Original price
SEK 23,643
Current price
SEK 22,939
</span>",28 m²,['Pets\n\n\nPets are not allowed.'],4
