name,location,reviews,facilities,price,size,rules,stars
Polis of Naxos Stylish Suites,"ΧΩΡΑ ΝΑΞΟΣ, Naxos Chora, 84300, Greece",9.0Wonderful 26 reviews,"['Non-smoking rooms', 'Airport shuttle', 'Free WiFi', 'Family rooms']","<span class=""bui-u-sr-only"">
Original price
$1,762
Current price
$1,233
</span>",215 feet²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Pets\n\n\nPets are not allowed.']",
La Grande Vue private villas,"Vivlos, Vívlos, 84300, Greece",10Exceptional 64 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Airport shuttle', 'Free parking', 'Room service', 'Free WiFi', 'Spa', 'Family rooms', 'Bar', 'Breakfast']","<span class=""bui-u-sr-only"">
Original price
AED 17,727
Current price
AED 15,955
</span>",50 m²,['Pets\n\n\nPets are not allowed.'],4
Finikas Hotel,"Pyrgaki, Naxos, Aliko Beach, 84300, Greece",9.0Wonderful 211 reviews,"['Outdoor swimming pool', 'Beachfront', 'Non-smoking rooms', 'Airport shuttle', 'Spa', 'Facilities for disabled guests', 'Free parking', 'Restaurant', 'Bar', 'Private beach area']","<span class=""bui-u-sr-only"">
Price
€ 1,696
</span>",32 m²,['Pets\n\n\nPets are not allowed.'],4
Golden Sun Hotel,"Stelida, Stelida, 84300, Greece",8.9Excellent 260 reviews,"['2 swimming pools', 'Non-smoking rooms', 'Airport shuttle (free)', 'Restaurant', 'Free parking', 'Room service', 'Free WiFi', 'Family rooms', 'Bar', 'Exceptional Breakfast']","<span class=""bui-u-sr-only"">
Price
RUB 56,679
</span>",30 m²,['Pets\n\n\nPets are not allowed.'],3
Delfinaki Lionas Boutique Apartments,"Lionas Naxos, Lionas, 84301, Greece",9.0Wonderful 147 reviews,"['Free parking', 'Free WiFi', 'Beachfront']","<span class=""bui-u-sr-only"">
Price
$644
</span>",269 feet²,['Pets\n\n\nPets are not allowed.'],
Naxos Cave Suites,"Stelida, Stelida, 84300, Greece",9.7Exceptional 261 reviews,"['Non-smoking rooms', 'Airport shuttle (free)', 'Free parking', 'Room service', 'Beachfront', 'Family rooms', 'Free WiFi', 'Exceptional Breakfast']","<span class=""bui-u-sr-only"">
Original price
4,326 zł
Current price
3,980 zł
</span>",20 m²,"['Quiet hours\n\n\nGuests need be quiet between 11:00 PM and 8:00 AM.', 'Pets\n\n\nPets are allowed on request. Charges may apply.']",4
Naxos Earth Suites,"Μικρή Βίγλα, Mikri Vigla, 84302, Greece",9.7Exceptional 67 reviews,"['Outdoor swimming pool', 'Free WiFi', 'Non-smoking rooms', 'Airport shuttle', 'Free parking', 'Room service', 'Family rooms', 'Tea/Coffee Maker in All Rooms', 'Bar', 'Breakfast']","<span class=""bui-u-sr-only"">
Original price
€ 1,730
Current price
€ 1,384
</span>",24 m²,['Pets\n\n\nPets are not allowed.'],
Kavuras Village,"Agios Prokopios, Agios Prokopios, 84300, Greece",8.3Very Good 51 reviews,"['Outdoor swimming pool', 'Free parking', 'Restaurant', 'Free WiFi', 'Family rooms', 'Bar', 'Breakfast']","<span class=""bui-u-sr-only"">
Original price
RUB 64,352
Current price
RUB 57,917
</span>",20 m²,['Pets\n\n\nPets are not allowed.'],4
Naxos Magic Village,"Main Street, Stelida, 84300, Greece",8.7Excellent 200 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Free parking', 'Room service', 'Airport shuttle', 'Free WiFi', 'Family rooms', 'Tea/Coffee Maker in All Rooms', 'Bar', 'Excellent Breakfast']","<span class=""bui-u-sr-only"">
Price
EGP 27,143
</span>",25 m²,['Pets\n\n\nPets are not allowed.'],3
Naxos Summerland resort,"Beach, Kastraki, 84300, Greece",8.7Excellent 195 reviews,"['Outdoor swimming pool', 'Free parking', 'Non-smoking rooms', 'Room service', 'Restaurant', 'Facilities for disabled guests', 'Free WiFi', 'Family rooms', 'Bar']","<span class=""bui-u-sr-only"">
Price
₹ 57,093
</span>",24 m²,"['Smoking\n\nSmoking is not allowed.', 'Pets\n\n\nPets are allowed. Charges may apply.']",3
Orkos Beach Hotel,"Main Street, Mikri Vigla, 84300, Greece",8.8Excellent 163 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Free parking', 'Facilities for disabled guests', 'Beachfront', 'Free WiFi', 'Family rooms', 'Tea/Coffee Maker in All Rooms']","<span class=""bui-u-sr-only"">
Original price
¥181,998
Current price
¥172,898
</span>",50 m²,['Pets\n\n\nPets are not allowed.'],2
Irida Luxury Apartments,"Kastraki, Kastraki, 84300, Greece",9.4Wonderful 243 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Free parking', 'Airport shuttle', 'Room service', 'Free WiFi', 'Family rooms', 'Bar', 'Exceptional Breakfast']","<span class=""bui-u-sr-only"">
Price
$1,762
</span>",592 feet²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Quiet hours\n\n\nGuests need be quiet between 11:00 PM and 7:00 AM.', 'Pets\n\n\nFree!\nPets are allowed. No extra charges.']",
Kastraki Dunes,"Kastraki, Kastraki, 84302, Greece",9.0Wonderful 87 reviews,"['Non-smoking rooms', 'Free parking', 'Airport shuttle', 'Free WiFi', 'Beachfront', 'Family rooms']","<span class=""bui-u-sr-only"">
Price
$1,073
</span>",194 feet²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Pets\n\n\nPets are not allowed.']",
Naxos Filoxenia Hotel,"Evagellou D. Michelopoulou str,, Galini, 84300, Greece",9.2Wonderful 79 reviews,"['Non-smoking rooms', 'Free parking', 'Free WiFi', 'Family rooms', 'Bar']","<span class=""bui-u-sr-only"">
Original price
R$ 3,163
Current price
R$ 2,530
</span>",25 m²,['Pets\n\n\nPets are not allowed.'],3
Argo Boutique Hotel,"Kinidaros Street, Naxos Chora, 84 300, Greece","8.6Excellent 1,127 reviews","['Outdoor swimming pool', 'Non-smoking rooms', 'Free parking', 'Airport shuttle', 'Fitness center', 'Spa', 'Room service', 'Restaurant', 'Bar', 'Excellent Breakfast']","<span class=""bui-u-sr-only"">
Price
$901
</span>",431 feet²,['Pets\n\n\nPets are not allowed.'],
Proteas Hotel & Suites,"Main Street, Agios Prokopios, 84300, Greece",9.2Wonderful 135 reviews,"['Outdoor swimming pool', 'Free parking', 'Non-smoking rooms', 'Room service', 'Facilities for disabled guests', 'Free WiFi', 'Family rooms', 'Bar', 'Wonderful Breakfast']","<span class=""bui-u-sr-only"">
Original price
₹ 60,210
Current price
₹ 55,393
</span>",28 m²,['Pets\n\n\nPets are not allowed.'],3
Hotel Semeli,"Agios Prokopios, Agios Prokopios, 84300, Greece",8.9Excellent 507 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Airport shuttle', 'Free WiFi', 'Free parking', 'Family rooms']","<span class=""bui-u-sr-only"">
Original price
€ 655
Current price
€ 603
</span>",18 m²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Quiet hours\n\n\nGuests need be quiet between 3:00 PM and 6:00 PM.', 'Pets\n\n\nPets are not allowed.']",2
