name,location,reviews,facilities,price,size,rules,stars
Nomads House,"Πάρος,Λογαράς, Logaras, 84400, Greece",9.4Wonderful 40 reviews,"['Non-smoking rooms', 'Private Parking', 'Free WiFi', 'Family rooms']","<span class=""bui-u-sr-only"">
Original price
$1,823
Current price
$948
</span>",237 feet²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Pets\n\n\nPets are not allowed.']",
Surfing Beach Village Paros,"Santa Maria Beach, Santa Maria, 84401, Greece","7.6Good 1,002 reviews","['Outdoor swimming pool', 'Airport shuttle (free)', 'Non-smoking rooms', 'Beachfront', 'Restaurant', 'Free parking', 'Free WiFi', 'Family rooms', 'Bar', 'Private beach area']","<span class=""bui-u-sr-only"">
Price
£807
</span>",269 feet²,['Pets\n\n\nFree!\nPets are allowed on request. No extra charges.'],3
Londos Hotel,"Piso Livadi, Piso Livadi, 84400, Greece",8.5Very Good 224 reviews,"['Non-smoking rooms', 'Free parking', 'Room service', 'Free WiFi', 'Family rooms', 'Bar', 'Very Good Breakfast']","<span class=""bui-u-sr-only"">
Original price
CAD 890
Current price
CAD 819
</span>",19 m²,['Pets\n\n\nPets are not allowed.'],2
Paros Inn,"Logaras, Logaras, 84400, Greece",8.1Very Good 282 reviews,"['Non-smoking rooms', 'Room service', 'Facilities for disabled guests', 'Restaurant', 'Beachfront', 'Family rooms', 'Breakfast']","<span class=""bui-u-sr-only"">
Price
$541
</span>",183 feet²,['Pets\n\n\nPets are not allowed.'],
Nicos Studios & Apartments,"Logaras, Logaras, 84400, Greece",9.0Wonderful 164 reviews,"['Free parking', 'Room service', 'Beachfront', 'Free WiFi']","<span class=""bui-u-sr-only"">
Price
COP 1,988,600
</span>",21 m²,"['Parties\n\n\nParties/events are not allowed', 'Quiet hours\n\n\nGuests need be quiet between 10:00 PM and 10:00 AM.', 'Pets\n\n\nPets are not allowed.']",3
Amaryllis Beach Hotel,"Chrissi Akti, Chrissi Akti, 84400, Greece",8.2Very Good 191 reviews,"['Free WiFi', 'Beachfront', 'Non-smoking rooms', 'Free parking', 'Restaurant', 'Room service', 'Family rooms', 'Bar', 'Good Breakfast']","<span class=""bui-u-sr-only"">
Original price
€ 928
Current price
€ 855
</span>",20 m²,['Pets\n\n\nPets are not allowed.'],3
"Mythic Paros , Adults Only","Sarakiniko-Agia Irini Mythic Esclusive Resort, Agia Irini Paros, 84400, Greece",9.0Wonderful 487 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Airport shuttle', 'Spa', 'Restaurant', 'Fitness center', 'Room service', 'Tea/Coffee Maker in All Rooms', 'Bar', 'Very Good Breakfast']","<span class=""bui-u-sr-only"">
Price
$2,843
</span>",215 feet²,['Pets\n\n\nPets are not allowed.'],
PAREA Paros - Adults Only,"Eparchiaki Odos Parikias-Pountas, Kampos Paros, 84400, Greece",9.2Wonderful 172 reviews,"['Outdoor swimming pool', 'Free parking', 'Non-smoking rooms', 'Free WiFi', 'Airport shuttle (free)', 'Tea/Coffee Maker in All Rooms', 'Bar']","<span class=""bui-u-sr-only"">
Price
$2,276
</span>",312 feet²,['Pets\n\n\nPets are not allowed.'],
Aegean Village,"Parikia, Parikia, 84400, Greece",8.4Very Good 530 reviews,"['Free parking', 'Room service', 'Free WiFi', 'Family rooms', 'Bar']","<span class=""bui-u-sr-only"">
Price
JOD 490
</span>",25 m²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Quiet hours\n\n\nGuests need be quiet between 10:00 PM and 8:00 AM.', 'Pets\n\n\nPets are not allowed.']",2
Aphrodite Boutique Hotel,"Aliki, Aliki, 84400, Greece",9.5Exceptional 153 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Free parking', 'Airport shuttle', 'Fitness center', 'Spa', 'Room service', 'Tea/Coffee Maker in All Rooms', 'Bar', 'Exceptional Breakfast']","<span class=""bui-u-sr-only"">
Price
$539
</span>",172 feet²,['Pets\n\n\nPets are not allowed.'],
Ostria Studios & Apartments,"Aliki, Aliki, 84400, Greece",8.8Excellent 174 reviews,"['Non-smoking rooms', 'Facilities for disabled guests', 'Beachfront', 'Free WiFi', 'Family rooms', 'Bar']","<span class=""bui-u-sr-only"">
Price
EGP 44,079
</span>",51 m²,"['Smoking\n\nSmoking is not allowed.', 'Pets\n\n\nPets are allowed on request. Charges may apply.']",3
Magoo Suites,"Λογαρας, Παρος, Logaras, 84400, Greece",8.6Excellent 88 reviews,"['Non-smoking rooms', 'Free parking', 'Free WiFi', 'Beachfront', 'Family rooms', 'Tea/Coffee Maker in All Rooms']","<span class=""bui-u-sr-only"">
Original price
$1,518
Current price
$1,215
</span>",431 feet²,['Pets\n\n\nPets are not allowed.'],
Cleopatra Seaside Homes,"Logaras, Piso Livadi, 84400, Greece",8.8Excellent 163 reviews,"['Non-smoking rooms', 'Airport shuttle', 'Free parking', 'Free WiFi', 'Beachfront', 'Family rooms', 'Wonderful Breakfast']","<span class=""bui-u-sr-only"">
Original price
CAD 4,132
Current price
CAD 2,851
</span>",55 m²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Quiet hours\n\n\nGuests need be quiet between 11:00 PM and 8:00 AM.', 'Pets\n\n\nPets are allowed. Charges may apply.']",4
