name,location,reviews,facilities,price,size,rules,stars
Delfinia Resort - All Inclusive,"Main Street, Kolymbia, 85103, Greece",7.9Good 950 reviews,"['4 swimming pools', 'Non-smoking rooms', 'Fitness center', 'Airport shuttle', 'Restaurant', 'Facilities for disabled guests', 'Free WiFi', 'Free parking', 'Bar', 'Good Breakfast']","<span class=""bui-u-sr-only"">
Original price
$2,140
Current price
$1,284
</span>",183 feet²,['Pets\n\n\nPets are not allowed.'],
Elissa Lifestyle Resort,"Leoforos Kallitheas, Kallithea Rhodes, 85100, Greece",8.1Very Good 455 reviews,"['15 swimming pools', 'Non-smoking rooms', 'Spa', 'Fitness center', 'Beachfront', 'Free parking', 'Tea/Coffee Maker in All Rooms', 'Bar', 'Private beach area', 'Very Good Breakfast']","<span class=""bui-u-sr-only"">
Original price
$1,990
Current price
$1,592
</span>",237 feet²,['Pets\n\n\nPets are not allowed.'],
Helea Family Beach Resort,"Leoforos Kallitheas, Kallithea Rhodes, 85100, Greece",7.7Good 271 reviews,"['6 swimming pools', 'Spa', 'Non-smoking rooms', 'Fitness center', 'Room service', 'Restaurant', 'Beachfront', 'Tea/Coffee Maker in All Rooms', 'Bar', 'Private beach area']","<span class=""bui-u-sr-only"">
Original price
₹ 211,882
Current price
₹ 169,506
</span>",22 m²,['Pets\n\n\nPets are not allowed.'],5
Rodos Palace Hotel,"Trianton Avenue, Ixia, 85100, Greece","7.3Good 1,552 reviews","['3 swimming pools', 'Spa', 'Non-smoking rooms', 'Fitness center', 'Airport shuttle', 'Beachfront', 'Facilities for disabled guests', 'Room service', 'Bar', 'Good Breakfast']","<span class=""bui-u-sr-only"">
Original price
R$ 6,353
Current price
R$ 4,447
</span>",45 m²,['Pets\n\n\nPets are allowed on request. Charges may apply.'],5
Villa Di Mare Seaside Suites,"84, Irakleidon Avenue, Ixia, 85101, Greece",8.8Excellent 456 reviews,"['2 swimming pools', 'Non-smoking rooms', 'Airport shuttle', 'Fitness center', 'Beachfront', 'Free parking', 'Restaurant', 'Room service', 'Bar', 'Very Good Breakfast']","<span class=""bui-u-sr-only"">
Price
$1,496
</span>",334 feet²,['Pets\n\n\nPets are not allowed.'],
Eden Roc Resort - All Inclusive,"Kalithea Avenue, Kallithea Rhodes, 85100, Greece",8.6Excellent 561 reviews,"['2 swimming pools', 'Non-smoking rooms', 'Spa', 'Fitness center', 'Beachfront', 'Free parking', 'Restaurant', 'Bar', 'Private beach area', 'Excellent Breakfast']","<span class=""bui-u-sr-only"">
Original price
$2,016
Current price
$1,714
</span>",237 feet²,['Pets\n\n\nPets are not allowed.'],
Casa Cook Rhodes (Adults Only),"Kolymbia, Kolymbia, 85103, Greece",9.3Wonderful 812 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Fitness center', 'Airport shuttle', 'Restaurant', 'Room service', 'Facilities for disabled guests', 'Free WiFi', 'Bar', 'Excellent Breakfast']","<span class=""bui-u-sr-only"">
Price
$2,011
</span>",280 feet²,['Pets\n\n\nPets are not allowed.'],
Esperos Village Blue & Spa - Adults Only,"Leoforos Kallitheas, Faliraki, 85100, Greece","9.1Wonderful 1,893 reviews","['2 swimming pools', 'Non-smoking rooms', 'Free WiFi', 'Spa', 'Fitness center', 'Free parking', 'Restaurant', 'Tea/Coffee Maker in All Rooms', 'Bar', 'Wonderful Breakfast']","<span class=""bui-u-sr-only"">
Price
€ 1,378
</span>",30 m²,['Pets\n\n\nPets are allowed on request. Charges may apply.'],5
Port Royal Villas and Spa - Adults Only,"Main Street, Kolymbia, 85100, Greece",9.3Wonderful 659 reviews,"['3 swimming pools', 'Spa', 'Non-smoking rooms', 'Airport shuttle', 'Fitness center', 'Restaurant', 'Beachfront', 'Room service', 'Bar', 'Private beach area']","<span class=""bui-u-sr-only"">
Price
CAD 1,392
</span>",32 m²,['Pets\n\n\nPets are not allowed.'],5
Rhodes Bay Hotel & Spa,"100 Iraklidon Avenue, Ixia, 85101, Greece",8.3Very Good 380 reviews,"['2 swimming pools', 'Spa', 'Fitness center', 'Non-smoking rooms', 'Restaurant', 'Facilities for disabled guests', 'Free parking', 'Bar', 'Private beach area', 'Very Good Breakfast']","<span class=""bui-u-sr-only"">
Original price
€ 1,190
Current price
€ 1,043
</span>",27 m²,['Pets\n\n\nPets are not allowed.'],5
