name,location,reviews,facilities,price,size,rules,stars,link
Samos Bay Hotel by Gagou Beach,"Main Street, Samos, 83100, Greece",8.2Very Good 479 reviews,"['Non-smoking rooms', 'Airport shuttle', 'Free parking', 'Restaurant', 'Room service', 'Free WiFi', 'Beachfront', 'Family rooms', 'Bar', 'Good Breakfast']","<span class=""bui-u-sr-only"">
Price
CAD 454
</span>",18 m²,['Pets\n\n\nPets are not allowed.'],3,https://www.booking.com/hotel/gr/gagou-beach.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-08-28&checkout=2023-09-01&dest_id=2609&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=916b2e9875500155&srepoch=1685947060&all_sr_blocks=2534602_95149142_0_42_0&highlighted_blocks=2534602_95149142_0_42_0&matching_block_id=2534602_95149142_0_42_0&sr_pri_blocks=2534602_95149142_0_42_0__32050&map_fdco=1&from=searchresults#hotelTmpl
Ino Village Hotel,"Samion Agoniston 69, Samos, 83100, Greece",9.2Wonderful 191 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Free parking', 'Restaurant', 'Free WiFi', 'Family rooms', 'Tea/Coffee Maker in All Rooms', 'Bar', 'Wonderful Breakfast']","<span class=""bui-u-sr-only"">
Price
$628
</span>",194 feet²,['Pets\n\n\nPets are not allowed.'],,https://www.booking.com/hotel/gr/ino-village.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-08-28&checkout=2023-09-01&dest_id=2609&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=916b2e9875500155&srepoch=1685947060&all_sr_blocks=1415408_95138618_0_33_0&highlighted_blocks=1415408_95138618_0_33_0&matching_block_id=1415408_95138618_0_33_0&sr_pri_blocks=1415408_95138618_0_33_0__59120&from_sustainable_property_sr=1&map_fdco=1&from=searchresults#hotelTmpl
Sunrise Limnionas Apartments,"Λιμιώνας, Marathokampos, 83102, Greece",9.1Wonderful 74 reviews,"['Non-smoking rooms', 'Airport shuttle', 'Free parking', 'Beachfront', 'Free WiFi', 'Family rooms']","<span class=""bui-u-sr-only"">
Original price
₪ 1,592
Current price
₪ 1,172
</span>",40 m²,"['Quiet hours\n\n\nGuests need be quiet between 11:00 PM and 7:00 AM.', 'Pets\n\n\nPets are not allowed.']",3,https://www.booking.com/hotel/gr/sunrise-limionas-apartments.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-08-28&checkout=2023-09-01&dest_id=2609&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=916b2e9875500155&srepoch=1685947060&all_sr_blocks=612424801_239683024_2_0_0&highlighted_blocks=612424801_239683024_2_0_0&matching_block_id=612424801_239683024_2_0_0&sr_pri_blocks=612424801_239683024_2_0_0__31880&from_sustainable_property_sr=1&map_fdco=1&from=searchresults#hotelTmpl
Anema By The Sea Guesthouse,"83 Kanaris Street, Karlovasi, 83200, Greece",8.2Very Good 143 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Free parking', 'Restaurant', 'Free WiFi', 'Beachfront', 'Family rooms', 'Bar', 'Breakfast']","<span class=""bui-u-sr-only"">
Original price
CAD 513
Current price
CAD 472
</span>",25 m²,"['Parties\n\n\nParties/events are not allowed', 'Quiet hours\n\n\nGuests need be quiet between 11:00 PM and 7:00 AM.', 'Pets\n\n\nPets are not allowed.']",3,https://www.booking.com/hotel/gr/anema-by-the-sea-apartments.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-08-28&checkout=2023-09-01&dest_id=2609&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=916b2e9875500155&srepoch=1685947060&all_sr_blocks=17402501_347158817_2_1_0&highlighted_blocks=17402501_347158817_2_1_0&matching_block_id=17402501_347158817_2_1_0&sr_pri_blocks=17402501_347158817_2_1_0__35800&from_sustainable_property_sr=1&map_fdco=1&from=searchresults#hotelTmpl
Lemos Hotel,"Kokkari, Kokkari, 83100, Greece",8.6Excellent 74 reviews,"['Non-smoking rooms', 'Free parking', 'Free WiFi', 'Beachfront', 'Family rooms']","<span class=""bui-u-sr-only"">
Price
$416
</span>",161 feet²,['Pets\n\n\nFree!\nPets are allowed on request. No extra charges.'],,https://www.booking.com/hotel/gr/lemos.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-08-28&checkout=2023-09-01&dest_id=2609&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=916b2e9875500155&srepoch=1685947060&all_sr_blocks=44879001_88566368_2_0_0&highlighted_blocks=44879001_88566368_2_0_0&matching_block_id=44879001_88566368_2_0_0&sr_pri_blocks=44879001_88566368_2_0_0__37060&map_fdco=1&from=searchresults#hotelTmpl
Arion Hotel,"Main Street, Kokkari, 83100, Greece",8.4Very Good 79 reviews,"['Outdoor swimming pool', 'Free WiFi', 'Airport shuttle', 'Non-smoking rooms', 'Free parking', 'Restaurant', 'Family rooms', 'Bar']","<span class=""bui-u-sr-only"">
Original price
€ 662
Current price
€ 610
</span>",27 m²,['Pets\n\n\nPets are allowed on request. Charges may apply.'],4,https://www.booking.com/hotel/gr/arion.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-08-28&checkout=2023-09-01&dest_id=2609&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=916b2e9875500155&srepoch=1685947060&all_sr_blocks=9517202_89053627_2_1_0&highlighted_blocks=9517202_89053627_2_1_0&matching_block_id=9517202_89053627_2_1_0&sr_pri_blocks=9517202_89053627_2_1_0__66180&map_fdco=1&from=searchresults#hotelTmpl
Doryssa Seaside Resort,"Main Street, Pythagoreio, 83103, Greece",8.0Very Good 101 reviews,"['Outdoor swimming pool', 'Airport shuttle', 'Free parking', 'Fitness center', 'Spa', 'Room service', 'Beachfront', 'Restaurant', 'Bar', 'Breakfast']","<span class=""bui-u-sr-only"">
Price
RUB 83,832
</span>",22 m²,['Pets\n\n\nPets are not allowed.'],5,https://www.booking.com/hotel/gr/doryssa-seaside-resort.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-08-28&checkout=2023-09-01&dest_id=2609&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=916b2e9875500155&srepoch=1685947060&all_sr_blocks=1368301_95137947_2_1_0&highlighted_blocks=1368301_95137947_2_1_0&matching_block_id=1368301_95137947_2_1_0&sr_pri_blocks=1368301_95137947_2_1_0__97740&from_sustainable_property_sr=1&map_fdco=1&from=searchresults#hotelTmpl
Zorbas Hotel & Studios,"Pythagóreion, Samos, Pythagoreio, 83103, Greece",9.1Wonderful 112 reviews,"['Non-smoking rooms', 'Free parking', 'Free WiFi', 'Tea/Coffee Maker in All Rooms', 'Bar', 'Very Good Breakfast']","<span class=""bui-u-sr-only"">
Price
¥29,359
</span>",,['Pets\n\n\nPets are not allowed.'],2,https://www.booking.com/hotel/gr/zorbas-pythaga3reion2.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-08-28&checkout=2023-09-01&dest_id=2609&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=916b2e9875500155&srepoch=1685947060&all_sr_blocks=67365401_226058349_0_2_0&highlighted_blocks=67365401_226058349_0_2_0&matching_block_id=67365401_226058349_0_2_0&sr_pri_blocks=67365401_226058349_0_2_0__19800&map_fdco=1&from=searchresults#hotelTmpl
Studios Loukia,"Kokkari, Kokkari, 83100, Greece",9.4Wonderful 101 reviews,"['Non-smoking rooms', 'Free WiFi', 'Free parking', 'Room service']","<span class=""bui-u-sr-only"">
Price
€ 382
</span>",26 m²,"['Parties\n\n\nParties/events are not allowed', 'Pets\n\n\nPets are not allowed.']",3,https://www.booking.com/hotel/gr/studios-loukia.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-08-28&checkout=2023-09-01&dest_id=2609&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=916b2e9875500155&srepoch=1685947060&all_sr_blocks=104398404_371643727_2_0_0&highlighted_blocks=104398404_371643727_2_0_0&matching_block_id=104398404_371643727_2_0_0&sr_pri_blocks=104398404_371643727_2_0_0__38200&map_fdco=1&from=searchresults#hotelTmpl
Nisea Hotel Samos,"μεσόκαμπος, Pythagoreio, 83103, Greece",9.1Wonderful 98 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Free parking', 'Free WiFi', 'Beachfront', 'Family rooms', 'Bar', 'Breakfast']","<span class=""bui-u-sr-only"">
Price
CAD 796
</span>",45 m²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Pets\n\n\nFree!\nPets are allowed. No extra charges.']",3,https://www.booking.com/hotel/gr/nisea-samos.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-08-28&checkout=2023-09-01&dest_id=2609&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=916b2e9875500155&srepoch=1685947060&all_sr_blocks=799972103_353533963_2_2_0&highlighted_blocks=799972103_353533963_2_2_0&matching_block_id=799972103_353533963_2_2_0&sr_pri_blocks=799972103_353533963_2_2_0__55200&from_sustainable_property_sr=1&map_fdco=1&from=searchresults#hotelTmpl
