name,location,reviews,facilities,price,size,rules,stars,link
Kasteli Luxury Rooms,"Επαρχιακή Οδός Φηρών-Όρμου Περίσσης, Perissa, 84703, Greece",9.4Wonderful 424 reviews,"['Airport shuttle', 'Non-smoking rooms', 'Room service', 'Free WiFi']","<span class=""bui-u-sr-only"">
Price
£1,132
</span>",248 feet²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Pets\n\n\nPets are not allowed.']",3,https://www.booking.com/hotel/gr/kastelli-luxury-rooms.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&sid=4cc5dec2c68e6377819edd6ab66620de&aid=304142&ucfs=1&arphpl=1&checkin=2023-08-27&checkout=2023-09-01&dest_id=1513&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&nflt=pri%3D1%3Bpri%3D2%3Bpri%3D3%3Bpri%3D4&srpvid=f3a3136ae087021a&srepoch=1685933142&all_sr_blocks=738112303_374123445_2_1_0&highlighted_blocks=738112303_374123445_2_1_0&matching_block_id=738112303_374123445_2_1_0&sr_pri_blocks=738112303_374123445_2_1_0__85638&from=searchresults#hotelTmpl
Smaragdi Hotel,"Main Street, Perivolos, 84703, Greece",9.2Wonderful 760 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Free parking', 'Room service', 'Free WiFi', 'Bar']","<span class=""bui-u-sr-only"">
Original price
UAH 39,017
Current price
UAH 28,092
</span>",19 m²,['Pets\n\n\nPets are not allowed.'],3,https://www.booking.com/hotel/gr/smaragdi.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&sid=4cc5dec2c68e6377819edd6ab66620de&aid=304142&ucfs=1&arphpl=1&checkin=2023-08-27&checkout=2023-09-01&dest_id=1513&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&nflt=pri%3D1%3Bpri%3D2%3Bpri%3D3%3Bpri%3D4&srpvid=f3a3136ae087021a&srepoch=1685933142&all_sr_blocks=9621114_88999902_2_0_0&highlighted_blocks=9621114_88999902_2_0_0&matching_block_id=9621114_88999902_2_0_0&sr_pri_blocks=9621114_88999902_2_0_0__65496&from=searchresults#hotelTmpl
Marianna Hotel,"Perissa, Perissa, 84700, Greece",8.7Excellent 764 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Airport shuttle', 'Free WiFi', 'Free parking', 'Family rooms', 'Bar', 'Very Good Breakfast']","<span class=""bui-u-sr-only"">
Price
€ 833
</span>",20 m²,['Pets\n\n\nFree!\nPets are allowed. No extra charges.'],3,https://www.booking.com/hotel/gr/marianna-santorini.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&sid=4cc5dec2c68e6377819edd6ab66620de&aid=304142&ucfs=1&arphpl=1&checkin=2023-08-27&checkout=2023-09-01&dest_id=1513&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&nflt=pri%3D1%3Bpri%3D2%3Bpri%3D3%3Bpri%3D4&srpvid=f3a3136ae087021a&srepoch=1685933142&all_sr_blocks=31041902_88569966_0_1_0&highlighted_blocks=31041902_88569966_0_1_0&matching_block_id=31041902_88569966_0_1_0&sr_pri_blocks=31041902_88569966_0_1_0__83250&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Hotel Eucalyptus,"Mesaria, Mesaria, 84700, Greece",9.0Wonderful 277 reviews,"['Non-smoking rooms', 'Free WiFi', 'Free parking', 'Room service', 'Breakfast']","<span class=""bui-u-sr-only"">
Original price
€ 1,053
Current price
€ 969
</span>",20 m²,['Pets\n\n\nPets are not allowed.'],2,https://www.booking.com/hotel/gr/hotel-eucalyptus.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&sid=4cc5dec2c68e6377819edd6ab66620de&aid=304142&ucfs=1&arphpl=1&checkin=2023-08-27&checkout=2023-09-01&dest_id=1513&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&nflt=pri%3D1%3Bpri%3D2%3Bpri%3D3%3Bpri%3D4&srpvid=f3a3136ae087021a&srepoch=1685933142&all_sr_blocks=104395303_88565720_0_2_0&highlighted_blocks=104395303_88565720_0_2_0&matching_block_id=104395303_88565720_0_2_0&sr_pri_blocks=104395303_88565720_0_2_0__96850&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Abelonas Village,"Megalochori, Megalochori, 84700, Greece",9.1Wonderful 390 reviews,"['Outdoor swimming pool', 'Free WiFi', 'Non-smoking rooms', 'Airport shuttle', 'Free parking', 'Bar']",,,"['Parties\n\n\nParties/events are not allowed', 'Quiet hours\n\n\nGuests need be quiet between 12:00 AM and 8:00 AM.', 'Pets\n\n\nPets are not allowed.']",,https://www.booking.com/hotel/gr/abelonas-village.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&sid=4cc5dec2c68e6377819edd6ab66620de&aid=304142&ucfs=1&arphpl=1&checkin=2023-08-27&checkout=2023-09-01&dest_id=1513&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&nflt=pri%3D1%3Bpri%3D2%3Bpri%3D3%3Bpri%3D4&srpvid=f3a3136ae087021a&srepoch=1685933142&all_sr_blocks=37905717_91925225_2_0_0&highlighted_blocks=37905717_91925225_2_0_0&matching_block_id=37905717_91925225_2_0_0&sr_pri_blocks=37905717_91925225_2_0_0__75250&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Cultural House,"Pirgos, Pyrgos, 84700, Greece",8.7Excellent 513 reviews,"['Airport shuttle', 'Non-smoking rooms', 'Free parking', 'Family rooms', 'Free WiFi', 'Very Good Breakfast']","<span class=""bui-u-sr-only"">
Price
3,247 zł
</span>",32 m²,"['Smoking\n\nSmoking is not allowed.', 'Pets\n\n\nPets are not allowed.']",3,https://www.booking.com/hotel/gr/cultural-house.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&sid=4cc5dec2c68e6377819edd6ab66620de&aid=304142&ucfs=1&arphpl=1&checkin=2023-08-27&checkout=2023-09-01&dest_id=1513&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&nflt=pri%3D1%3Bpri%3D2%3Bpri%3D3%3Bpri%3D4&srpvid=f3a3136ae087021a&srepoch=1685933142&all_sr_blocks=131937903_85616861_2_1_0&highlighted_blocks=131937903_85616861_2_1_0&matching_block_id=131937903_85616861_2_1_0&sr_pri_blocks=131937903_85616861_2_1_0__72250&from=searchresults#hotelTmpl
Agapi Villas,"Main Street, Karterados, 84700, Greece",8.6Excellent 473 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Airport shuttle', 'Free parking', 'Room service', 'Free WiFi', 'Family rooms']","<span class=""bui-u-sr-only"">
Price
₪ 3,196
</span>",18 m²,['Pets\n\n\nPets are not allowed.'],,https://www.booking.com/hotel/gr/villa-agapi.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&sid=4cc5dec2c68e6377819edd6ab66620de&aid=304142&ucfs=1&arphpl=1&checkin=2023-08-27&checkout=2023-09-01&dest_id=1513&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&nflt=pri%3D1%3Bpri%3D2%3Bpri%3D3%3Bpri%3D4&srpvid=f3a3136ae087021a&srepoch=1685933142&all_sr_blocks=4711801_88566977_0_0_0&highlighted_blocks=4711801_88566977_0_0_0&matching_block_id=4711801_88566977_0_0_0&sr_pri_blocks=4711801_88566977_0_0_0__79750&from=searchresults#hotelTmpl
Sun Springs Suites,"Kamari, Kamari, 11362, Greece",8.7Excellent 312 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Airport shuttle', 'Free WiFi', 'Spa', 'Free parking', 'Family rooms', 'Room service', 'Breakfast']","<span class=""bui-u-sr-only"">
Original price
€ 1,171
Current price
€ 916
</span>",40 m²,['Pets\n\n\nFree!\nPets are allowed. No extra charges.'],,https://www.booking.com/hotel/gr/pbprimagellas.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&sid=4cc5dec2c68e6377819edd6ab66620de&aid=304142&ucfs=1&arphpl=1&checkin=2023-08-27&checkout=2023-09-01&dest_id=1513&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&nflt=pri%3D1%3Bpri%3D2%3Bpri%3D3%3Bpri%3D4&srpvid=f3a3136ae087021a&srepoch=1685933142&all_sr_blocks=368077716_119431303_2_1_0&highlighted_blocks=368077716_119431303_2_1_0&matching_block_id=368077716_119431303_2_1_0&sr_pri_blocks=368077716_119431303_2_1_0__91646&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Nostos Beach,"Kamari, Kamari, 84700, Greece",8.2Very Good 590 reviews,"['Non-smoking rooms', 'Airport shuttle', 'Restaurant', 'Beachfront', 'Free WiFi', 'Bar', 'Private beach area']","<span class=""bui-u-sr-only"">
Price
¥125,301
</span>",15 m²,['Pets\n\n\nPets are not allowed.'],,https://www.booking.com/hotel/gr/nostos-santorini.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&sid=4cc5dec2c68e6377819edd6ab66620de&aid=304142&ucfs=1&arphpl=1&checkin=2023-08-27&checkout=2023-09-01&dest_id=1513&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&nflt=pri%3D1%3Bpri%3D2%3Bpri%3D3%3Bpri%3D4&srpvid=f3a3136ae087021a&srepoch=1685933142&all_sr_blocks=31190901_88570431_0_0_0&highlighted_blocks=31190901_88570431_0_0_0&matching_block_id=31190901_88570431_0_0_0&sr_pri_blocks=31190901_88570431_0_0_0__75535&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Levante Beach Hotel,"Kamari, Kamari, 84700, Greece",8.2Very Good 817 reviews,"['Outdoor swimming pool', 'Free WiFi', 'Non-smoking rooms', 'Restaurant', 'Beachfront', 'Room service', 'Family rooms', 'Bar']","<span class=""bui-u-sr-only"">
Original price
€ 871
Current price
€ 802
</span>",18 m²,['Pets\n\n\nPets are not allowed.'],2,https://www.booking.com/hotel/gr/levante-beach.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&sid=4cc5dec2c68e6377819edd6ab66620de&aid=304142&ucfs=1&arphpl=1&checkin=2023-08-27&checkout=2023-09-01&dest_id=1513&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&nflt=pri%3D1%3Bpri%3D2%3Bpri%3D3%3Bpri%3D4&srpvid=f3a3136ae087021a&srepoch=1685933142&all_sr_blocks=31352605_344376263_2_1_0&highlighted_blocks=31352605_344376263_2_1_0&matching_block_id=31352605_344376263_2_1_0&sr_pri_blocks=31352605_344376263_2_1_0__80152&from=searchresults#hotelTmpl
