name,location,reviews,facilities,price,size,rules,stars
Sole d'oro Luxury Suites,"Oia, Oia, 84702, Greece",9.6Exceptional 389 reviews,"['Outdoor swimming pool', 'Free WiFi', 'Airport shuttle', 'Non-smoking rooms', 'Spa', 'Family rooms', 'Room service', 'Terrace', 'Bar', 'Tea/Coffee Maker in All Rooms']","<span class=""bui-u-sr-only"">
Original price
€ 4,203
Current price
€ 1,935
</span>",30 m²,['Pets\n\n\nPets are not allowed.'],
Santorini View,"Akrotiri, Santorini, Akrotiri, 84700, Greece",9.3Wonderful 24 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Airport shuttle', 'Restaurant', 'Room service', 'Free WiFi', 'Free parking', 'Family rooms', 'Breakfast']","<span class=""bui-u-sr-only"">
Price
$1,340
</span>",194 feet²,['Pets\n\n\nPets are not allowed.'],
Mythical Blue Luxury Suites,"Nomikou M, Fira, 84700, Greece",9.0Wonderful 338 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Free parking', 'Airport shuttle', 'Room service', 'Restaurant', 'Free WiFi', 'Terrace', 'Bar', 'Wonderful Breakfast']","<span class=""bui-u-sr-only"">
Price
$2,796
</span>",377 feet²,['Pets\n\n\nPets are not allowed.'],
Mythical Blue Luxury Suites,"Nomikou M, Fira, 84700, Greece",,,,,[],
Nefeli Homes,"Off Main Street, Imerovigli, 84700, Greece",9.1Wonderful 301 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Airport shuttle (free)', 'Free parking', 'Family rooms', 'Free WiFi', 'Terrace', 'Very Good Breakfast']","<span class=""bui-u-sr-only"">
Price
$2,370
</span>",484 feet²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Pets\n\n\nPets are not allowed.']",
Phos The Boutique,"Akrotiri, Akrotiri, 84700, Greece",9.7Exceptional 167 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Airport shuttle', 'Spa', 'Restaurant', 'Room service', 'Free WiFi', 'Free parking', 'Bar', 'Exceptional Breakfast']","<span class=""bui-u-sr-only"">
Original price
$7,669
Current price
$5,368
</span>",484 feet²,['Pets\n\n\nPets are not allowed.'],
Rose Bay Hotel,"P.O. Box 11, Kamari, 84700, Greece",9.0Wonderful 94 reviews,"['Outdoor swimming pool', 'Airport shuttle', 'Non-smoking rooms', 'Fitness center', 'Restaurant', 'Facilities for disabled guests', 'Room service', 'Free parking', 'Bar']","<span class=""bui-u-sr-only"">
Price
$ 244,578
</span>",22 m²,['Pets\n\n\nPets are not allowed.'],4
Katikies Santorini - The Leading Hotels Of The World,"Main Street, Oia, 84702, Greece",9.4Wonderful 96 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Airport shuttle', 'Free parking', 'Room service', 'Restaurant', 'Free WiFi', 'Spa', 'Terrace', 'Bar']","<span class=""bui-u-sr-only"">
Price
R$ 31,857
</span>",25 m²,['Pets\n\n\nPets are not allowed.'],5
Andronis Luxury Suites,"Oia, Oia, 84702, Greece",9.6Exceptional 105 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Airport shuttle', 'Room service', 'Restaurant', 'Free WiFi', 'Spa', 'Terrace', 'Bar', 'Tea/Coffee Maker in All Rooms']","<span class=""bui-u-sr-only"">
Price
EGP 214,759
</span>",32 m²,['Pets\n\n\nPets are not allowed.'],5
Danae Suites Santorini,"Finikia, Oia, Santorini, Foinikiá, 84700, Greece",9.2Wonderful 54 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Free parking', 'Airport shuttle', 'Free WiFi', 'Facilities for disabled guests', 'Room service', 'Tea/Coffee Maker in All Rooms', 'Bar', 'Breakfast']","<span class=""bui-u-sr-only"">
Original price
$2,035
Current price
$1,832
</span>",269 feet²,['Pets\n\n\nPets are not allowed.'],
