name,location,reviews,facilities,price,size,rules,stars
Saint John Oia-Local Host Private Pool Villas,"Oia Santorini, Oia, 84702, Greece",10Exceptional 64 reviews,"['Outdoor swimming pool', 'Free WiFi', 'Airport shuttle', 'Non-smoking rooms', 'Room service', 'Free parking', 'Terrace', 'Breakfast']","<span class=""bui-u-sr-only"">
Original price
€ 8,640
Current price
€ 5,098
</span>",60 m²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Pets\n\n\nPets are not allowed.']",5
Timedrops Santorini Villas,"Emporeio, Emporio Santorini, 84703, Greece",9.0Wonderful 82 reviews,"['Airport shuttle', 'Free parking', 'Room service', 'Facilities for disabled guests', 'Free WiFi']","<span class=""bui-u-sr-only"">
Price
CAD 1,428
</span>",50 m²,"['Smoking\n\nSmoking is not allowed.', 'Pets\n\n\nPets are not allowed.']",4
"Magma Resort Santorini, In The Unbound Collection By Hyatt","Vourvoulos, Vourvoulos, 84700, Greece",9.2Wonderful 48 reviews,"['2 swimming pools', 'Non-smoking rooms', 'Free parking', 'Airport shuttle', 'Free WiFi', 'Facilities for disabled guests', 'Fitness center', 'Room service', 'Bar', 'Breakfast']","<span class=""bui-u-sr-only"">
Price
$3,046
</span>",323 feet²,['Pets\n\n\nPets are not allowed.'],
North Santorini - A Luxury Spa Hotel,"Periferiakos Pyrgou, Pyrgos, 84701, Greece",9.3Wonderful 359 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Airport shuttle', 'Spa', 'Fitness center', 'Room service', 'Facilities for disabled guests', 'Restaurant', 'Bar', 'Wonderful Breakfast']","<span class=""bui-u-sr-only"">
Original price
$8,326
Current price
$6,661
</span>",1076 feet²,['Pets\n\n\nPets are not allowed.'],
"Santorini Sky, Luxury Resort","Pyrgos - Santorini, Pyrgos, 84700, Greece",9.9Exceptional 399 reviews,"['Non-smoking rooms', 'Airport shuttle', 'Free parking', 'Room service', 'Free WiFi', 'Very Good Breakfast']","<span class=""bui-u-sr-only"">
Original price
€ 3,750
Current price
€ 3,450
</span>",30 m²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Quiet hours\n\n\nGuests need be quiet between 10:00 PM and 8:00 AM.', 'Pets\n\n\nFree!\nPets are allowed on request. No extra charges.']",4
Veggera Beach Hotel,"Main Street, Perissa, 84 703, Greece",8.0Very Good 455 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Free parking', 'Airport shuttle', 'Room service', 'Restaurant', 'Free WiFi', 'Beachfront', 'Bar', 'Private beach area']","<span class=""bui-u-sr-only"">
Price
$1,073
</span>",269 feet²,['Pets\n\n\nPets are not allowed.'],
Fertimo Suites by Karpimo,"Exo Gonia, Éxo Goniá, 84700, Greece",9.4Wonderful 130 reviews,"['Airport shuttle', 'Non-smoking rooms', 'Free WiFi', 'Family rooms', 'Free parking', 'Wonderful Breakfast']","<span class=""bui-u-sr-only"">
Original price
13,943 zł
Current price
9,760 zł
</span>",45 m²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Quiet hours\n\n\nGuests need be quiet between 11:00 PM and 8:00 AM.', 'Pets\n\n\nPets are not allowed.']",4
Sweet Pop,"Main Street, Fira, 84700, Greece",9.1Wonderful 926 reviews,"['Outdoor swimming pool', 'Airport shuttle', 'Free WiFi', 'Terrace']","<span class=""bui-u-sr-only"">
Price
$1,287
</span>",183 feet²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Pets\n\n\nPets are not allowed.']",
Karpimo Suites,"Exo Gonia, Santorini, Éxo Goniá, 84700, Greece",9.5Exceptional 8 reviews,"['Outdoor swimming pool', 'Airport shuttle', 'Non-smoking rooms', 'Free WiFi', 'Free parking']","<span class=""bui-u-sr-only"">
Original price
£3,437
Current price
£3,162
</span>",969 feet²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Quiet hours\n\n\nGuests need be quiet between 12:00 AM and 8:00 AM.', 'Pets\n\n\nPets are allowed on request. Charges may apply.']",4
Kastro Oia Houses,"Oia, Oia, 84702, Greece",9.1Wonderful 271 reviews,"['Non-smoking rooms', 'Airport shuttle', 'Free parking', 'Room service', 'Restaurant', 'Free WiFi', 'Terrace', 'Bar']","<span class=""bui-u-sr-only"">
Price
UYU 104,843
</span>",60 m²,['Pets\n\n\nPets are not allowed.'],4
