name,location,reviews,facilities,price,size,rules,stars
Argonaftes,"Firostefani, Firostefani, 84700, Greece",9.6Exceptional 485 reviews,"['Airport shuttle', 'Non-smoking rooms', 'Free WiFi', 'Free parking', 'Tea/Coffee Maker in All Rooms']","<span class=""bui-u-sr-only"">
Original price
2,708 zł
Current price
2,492 zł
</span>",18 m²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Quiet hours\n\n\nGuests need be quiet between 11:00 PM and 9:00 AM.', 'Pets\n\n\nPets are not allowed.']",3
Kykladonisia Traditional Settlement,"Fira, Fira, 84700, Greece",8.3Very Good 838 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Airport shuttle', 'Free WiFi', 'Family rooms', 'Terrace']","<span class=""bui-u-sr-only"">
Original price
€ 829
Current price
€ 763
</span>",15 m²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Quiet hours\n\n\nGuests need be quiet between 12:00 AM and 8:00 AM.', 'Pets\n\n\nPets are not allowed.']",3
Arlene Boutique,"Messaria, Mesaria, 84700, Greece",8.9Excellent 745 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Airport shuttle', 'Free WiFi', 'Free parking']","<span class=""bui-u-sr-only"">
Original price
4,752 zł
Current price
3,804 zł
</span>",25 m²,['Pets\n\n\nPets are not allowed.'],4
Santorini Camping & Hostel,"Firá, Fira, 84700, Greece","6.6Pleasant 2,333 reviews","['Outdoor swimming pool', 'Non-smoking rooms', 'Facilities for disabled guests', 'Restaurant', 'Free WiFi', 'Bar', 'Breakfast']","<span class=""bui-u-sr-only"">
Price
$231
</span>",215 feet²,['Pets\n\n\nPets are not allowed.'],
Aeron Suites,"Vothon, Éxo Goniá, 84700, Greece",9.1Wonderful 297 reviews,"['Non-smoking rooms', 'Free parking', 'Airport shuttle', 'Free WiFi', 'Room service', 'Family rooms', 'Breakfast']","<span class=""bui-u-sr-only"">
Price
$998
</span>",409 feet²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Pets\n\n\nFree!\nPets are allowed. No extra charges.']",
Zacharo Rooms Thirasia,"Thirasia, Therasia, 84702, Greece",8.2Very Good 186 reviews,"['Free parking', 'Free WiFi', 'Non-smoking rooms', 'Room service', 'Facilities for disabled guests', 'Family rooms', 'Bar']","<span class=""bui-u-sr-only"">
Original price
£271
Current price
£249
</span>",301 feet²,"['Smoking\n\nSmoking is not allowed.', 'Pets\n\n\nPets are not allowed.']",3
Artemis Village,"Beach, Karterados, 84700, Greece",8.9Excellent 990 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Free parking', 'Airport shuttle (free)', 'Room service', 'Free WiFi', 'Family rooms']","<span class=""bui-u-sr-only"">
Price
$670
</span>",269 feet²,"['Parties\n\n\nParties/events are not allowed', 'Quiet hours\n\n\nGuests need be quiet between 11:00 PM and 8:00 AM.', 'Pets\n\n\nPets are not allowed.']",
Villa Margarita,"Karterados, Karterados, 84700, Greece",8.7Excellent 227 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Airport shuttle', 'Free WiFi', 'Family rooms']","<span class=""bui-u-sr-only"">
Original price
2,820 zł
Current price
2,595 zł
</span>",25 m²,['Pets\n\n\nPets are not allowed.'],3
Santorini Villatzio Suites,"Messaria, Mesaria, 84700, Greece",8.9Excellent 47 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Airport shuttle', 'Free parking', 'Free WiFi', 'Family rooms']","<span class=""bui-u-sr-only"">
Price
CAD 1,363
</span>",30 m²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Pets\n\n\nPets are not allowed.']",3
Emmantina,"messaria, Mesaria, 84700, Greece",9.2Wonderful 121 reviews,"['Airport shuttle', 'Room service', 'Facilities for disabled guests', 'Free WiFi', 'Family rooms']","<span class=""bui-u-sr-only"">
Price
$965
</span>",915 feet²,"['Smoking\n\nSmoking is not allowed.', 'Pets\n\n\nPets are not allowed.']",
Aigli Villa,"25 Martiou, Fira, 84700, Greece",9.2Wonderful 216 reviews,"['Non-smoking rooms', 'Airport shuttle', 'Free WiFi', 'Family rooms', 'Terrace', 'Tea/Coffee Maker in All Rooms']","<span class=""bui-u-sr-only"">
Original price
€ 993
Current price
€ 894
</span>",20 m²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Pets\n\n\nPets are not allowed.']",3
Cal Day Rooms Santorini,"Perissa Santorini, Perissa, 84700, Greece",9.4Wonderful 132 reviews,"['Free WiFi', 'Non-smoking rooms', 'Airport shuttle', 'Free parking', 'Room service', 'Tea/Coffee Maker in All Rooms']","<span class=""bui-u-sr-only"">
Price
€ 640
</span>",18 m²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Quiet hours\n\n\nGuests need be quiet between 12:00 AM and 8:00 AM.', 'Pets\n\n\nPets are not allowed.']",3
Atrium Villa,"Fira, Fira, 84700, Greece",9.9Exceptional 162 reviews,"['Non-smoking rooms', 'Free parking', 'Airport shuttle', 'Free WiFi', 'Family rooms', 'Terrace']","<span class=""bui-u-sr-only"">
Price
$1,014
</span>",377 feet²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Pets\n\n\nPets are not allowed.']",
Villa Nektaria,"Perissa, Perissa, 84703, Greece",9.4Wonderful 130 reviews,"['Non-smoking rooms', 'Airport shuttle', 'Free WiFi']","<span class=""bui-u-sr-only"">
Price
$555
</span>",194 feet²,['Pets\n\n\nFree!\nPets are allowed on request. No extra charges.'],
Petra Aqua Villa,"santorini perissa 84703, Perissa, 84703, Greece",9.6Exceptional 101 reviews,"['Outdoor swimming pool', 'Free WiFi', 'Free parking', 'Airport shuttle', 'Family rooms', 'Non-smoking rooms', 'Tea/Coffee Maker in All Rooms', 'Breakfast']","<span class=""bui-u-sr-only"">
Price
DZD 117,102
</span>",30 m²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Quiet hours\n\n\nGuests need be quiet between 11:00 PM and 8:00 AM.', 'Pets\n\n\nPets are not allowed.']",4
Sagma Beach Rooms,"Perissa Beach, Perissa, 84700, Greece",7.8Good 276 reviews,"['Free WiFi', 'Airport shuttle', 'Non-smoking rooms', 'Free parking', 'Beachfront', 'Family rooms', 'Excellent Breakfast']","<span class=""bui-u-sr-only"">
Price
€ 718
</span>",15 m²,"['Smoking\n\nSmoking is not allowed.', 'Pets\n\n\nPets are not allowed.']",3
Santorini Garden Homes,"Μεσαριά, Mesaria, 84700, Greece",9.1Wonderful 19 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Airport shuttle', 'Free parking', 'Room service', 'Free WiFi', 'Family rooms']","<span class=""bui-u-sr-only"">
Price
CAD 1,428
</span>",30 m²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Pets\n\n\nPets are not allowed.']",3
Agrilia secluded cave house,"Επαρχιακή Οδός Θηρασιάς-Αγριλια Αγριλια, Therasia, 84702, Greece",9.9Exceptional 15 reviews,['Free WiFi'],"<span class=""bui-u-sr-only"">
Price
$956
</span>",753 feet²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Pets\n\n\nPets are allowed. Charges may apply.']",
Mandilaria Studios,"Perivolos, Perivolos, 84700, Greece",9.3Wonderful 175 reviews,"['2 swimming pools', 'Non-smoking rooms', 'Airport shuttle', 'Free WiFi', 'Free parking', 'Bar']","<span class=""bui-u-sr-only"">
Original price
€ 1,003
Current price
€ 785
</span>",20 m²,['Pets\n\n\nPets are not allowed.'],3
Pension St.George Rooms & Studios,"Perivolos-Perissa Beach Road, Perivolos, 84703, Greece",5.5Fair 95 reviews,"['Non-smoking rooms', 'Free parking', 'Airport shuttle', 'Free WiFi']","<span class=""bui-u-sr-only"">
Price
$370
</span>",194 feet²,['Pets\n\n\nPets are not allowed.'],
Evelina Pension!,"Perissa, Perissa, 84703, Greece",8.6Excellent 254 reviews,"['Airport shuttle', 'Free WiFi', 'Beachfront', 'Family rooms', 'Tea/Coffee Maker in All Rooms']","<span class=""bui-u-sr-only"">
Price
$794
</span>",215 feet²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Quiet hours\n\n\nGuests need be quiet between 10:00 PM and 9:00 AM.', 'Pets\n\n\nPets are not allowed.']",
The Fisherman's House Santorini,"Akrotiri, Akrotiri, 84700, Greece",9.3Wonderful 280 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Airport shuttle', 'Free parking', 'Free WiFi', 'Wonderful Breakfast']","<span class=""bui-u-sr-only"">
Original price
€ 898
Current price
€ 763
</span>",30 m²,"['Parties\n\n\nParties/events are not allowed', 'Pets\n\n\nPets are not allowed.']",4
Buganvillas House,"Πύργος Καλλίστη Θήρας Τ.Θ. 2048, Pyrgos, 84700, Greece",9.8Exceptional 5 reviews,"['Non-smoking rooms', 'Family rooms', 'Free WiFi']","<span class=""bui-u-sr-only"">
Price
$869
</span>",377 feet²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Pets\n\n\nPets are not allowed.']",
Divelia Hotel,"Perissa, Perissa, 84700, Greece",8.7Excellent 425 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Free parking', 'Airport shuttle', 'Room service', 'Free WiFi', 'Family rooms', 'Tea/Coffee Maker in All Rooms', 'Very Good Breakfast']","<span class=""bui-u-sr-only"">
Price
$1,064
</span>",172 feet²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Pets\n\n\nPets are not allowed.']",
Grande Murano,"25 Martiou, Fira, 84700, Greece",6.3Pleasant 435 reviews,"['Outdoor swimming pool', 'Free WiFi', 'Non-smoking rooms', 'Airport shuttle', 'Restaurant', 'Free parking', 'Family rooms', 'Terrace', 'Bar']","<span class=""bui-u-sr-only"">
Original price
€ 728
Current price
€ 670
</span>",20 m²,['Pets\n\n\nPets are not allowed.'],3
