name,location,reviews,facilities,price,size,rules,stars,link
Galini Bungalows,"Ag. Fotodoti 92, Kionia, Kionia, 84200, Greece",8.4Very Good 170 reviews,"['Non-smoking rooms', 'Free parking', 'Free WiFi', 'Beachfront', 'Family rooms', 'Bar', 'Very Good Breakfast']","<span class=""bui-u-sr-only"">
Price
$515
</span>",215 feet²,"['Parties\n\n\nParties/events are not allowed', 'Quiet hours\n\n\nGuests need be quiet between 10:00 PM and 8:00 AM.', 'Pets\n\n\nPets are not allowed.']",,https://www.booking.com/hotel/gr/galini-bangalows.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-08-28&checkout=2023-09-01&dest_id=1910&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=60704d16af1d0151&srepoch=1685962670&all_sr_blocks=31355201_354837910_2_2_0&highlighted_blocks=31355201_354837910_2_2_0&matching_block_id=31355201_354837910_2_2_0&sr_pri_blocks=31355201_354837910_2_2_0__48000&from_sustainable_property_sr=1&map_fdco=1&from=searchresults#hotelTmpl
Prasino Oniro,"Louizas Sohou 5, Tinos, 84200, Greece",8.1Very Good 241 reviews,"['Non-smoking rooms', 'Free WiFi', 'Free parking', 'Family rooms']","<span class=""bui-u-sr-only"">
Price
€ 504
</span>",19 m²,['Pets\n\n\nFree!\nPets are allowed on request. No extra charges.'],3,https://www.booking.com/hotel/gr/camping-bungalows-tinos.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-08-28&checkout=2023-09-01&dest_id=1910&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=60704d16af1d0151&srepoch=1685962670&all_sr_blocks=69851902_98229197_0_0_0&highlighted_blocks=69851902_98229197_0_0_0&matching_block_id=69851902_98229197_0_0_0&sr_pri_blocks=69851902_98229197_0_0_0__50400&from_sustainable_property_sr=1&map_fdco=1&from=searchresults#hotelTmpl
Agali Bay Hotel,"Agali Bay, Tinos, 84200, Greece",8.7Excellent 121 reviews,"['Non-smoking rooms', 'Free parking', 'Room service', 'Beachfront', 'Free WiFi', 'Family rooms', 'Bar', 'Private beach area', 'Exceptional Breakfast']","<span class=""bui-u-sr-only"">
Price
¥80,888
</span>",18 m²,['Pets\n\n\nPets are not allowed.'],,https://www.booking.com/hotel/gr/agali-bay.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-08-28&checkout=2023-09-01&dest_id=1910&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=60704d16af1d0151&srepoch=1685962670&all_sr_blocks=24975404_195112256_0_1_0&highlighted_blocks=24975404_195112256_0_1_0&matching_block_id=24975404_195112256_0_1_0&sr_pri_blocks=24975404_195112256_0_1_0__54000&from_sustainable_property_sr=1&map_fdco=1&from=searchresults#hotelTmpl
Onos - Eco Living Experience,"TINOS, Mési, 84200, Greece",9.7Exceptional 19 reviews,"['Free WiFi', 'Free parking', 'Non-smoking rooms', 'Family rooms']","<span class=""bui-u-sr-only"">
Original price
€ 1,683
Current price
€ 1,178
</span>",49 m²,"['Parties\n\n\nParties/events are not allowed', 'Quiet hours\n\n\nGuests need be quiet between 11:00 PM and 9:00 AM.', 'Pets\n\n\nPets are allowed on request. Charges may apply.']",4,https://www.booking.com/hotel/gr/the-stavlos-living-experience.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-08-28&checkout=2023-09-01&dest_id=1910&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=60704d16af1d0151&srepoch=1685962670&all_sr_blocks=729039801_324896223_2_0_0&highlighted_blocks=729039801_324896223_2_0_0&matching_block_id=729039801_324896223_2_0_0&sr_pri_blocks=729039801_324896223_2_0_0__117810&from_sustainable_property_sr=1&map_fdco=1&from=searchresults#hotelTmpl
La Vista TINOS,"Τήνος, Agios Ioannis, 84200, Greece",10Exceptional 1 review,"['Non-smoking rooms', 'Free parking', 'Free WiFi', 'Family rooms']","<span class=""bui-u-sr-only"">
Price
CAD 865
</span>",25 m²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Pets\n\n\nFree!\nPets are allowed. No extra charges.']",,https://www.booking.com/hotel/gr/la-vista-tinos.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-08-28&checkout=2023-09-01&dest_id=1910&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=60704d16af1d0151&srepoch=1685962670&all_sr_blocks=1013732401_374044357_3_0_0&highlighted_blocks=1013732401_374044357_3_0_0&matching_block_id=1013732401_374044357_3_0_0&sr_pri_blocks=1013732401_374044357_3_0_0__60000&map_fdco=1&from=searchresults#hotelTmpl
Ursa Major Suites,"Κώμη Τήνος, Tinos, 84200, Greece",9.6Exceptional 58 reviews,"['Non-smoking rooms', 'Free parking', 'Room service', 'Restaurant', 'Facilities for disabled guests', 'Free WiFi', 'Family rooms', 'Tea/Coffee Maker in All Rooms', 'Bar', 'Exceptional Breakfast']","<span class=""bui-u-sr-only"">
Price
RUB 93,215
</span>",32 m²,['Pets\n\n\nPets are not allowed.'],,https://www.booking.com/hotel/gr/ursa-major-suites.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-08-28&checkout=2023-09-01&dest_id=1910&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=60704d16af1d0151&srepoch=1685962670&all_sr_blocks=754460801_374305969_2_1_0&highlighted_blocks=754460801_374305969_2_1_0&matching_block_id=754460801_374305969_2_1_0&sr_pri_blocks=754460801_374305969_2_1_0__106900&from_sustainable_property_sr=1&map_fdco=1&from=searchresults#hotelTmpl
Vrahos Studios,"Kionia, Kionia, 84200, Greece",9.0Wonderful 109 reviews,"['Free parking', 'Room service', 'Free WiFi', 'Beachfront', 'Family rooms']","<span class=""bui-u-sr-only"">
Price
£275
</span>",226 feet²,"['Parties\n\n\nParties/events are not allowed', 'Quiet hours\n\n\nGuests need be quiet between 3:00 PM and 5:00 PM.', 'Pets\n\n\nPets are not allowed.']",3,https://www.booking.com/hotel/gr/vrahos-studios.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-08-28&checkout=2023-09-01&dest_id=1910&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=60704d16af1d0151&srepoch=1685962670&all_sr_blocks=41157009_270844504_0_0_0&highlighted_blocks=41157009_270844504_0_0_0&matching_block_id=41157009_270844504_0_0_0&sr_pri_blocks=41157009_270844504_0_0_0__32000&map_fdco=1&from=searchresults#hotelTmpl
White Tinos Luxury Suites,"Steni Tinos, Stení, 84200, Greece",9.7Exceptional 24 reviews,"['Non-smoking rooms', 'Free parking', 'Room service', 'Free WiFi', 'Facilities for disabled guests', 'Family rooms']","<span class=""bui-u-sr-only"">
Original price
DOP 46,440
Current price
DOP 42,725
</span>",75 m²,"['Smoking\n\nSmoking is not allowed.', 'Pets\n\n\nFree!\nPets are allowed on request. No extra charges.']",4,https://www.booking.com/hotel/gr/white-tinos-luxury-suites.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-08-28&checkout=2023-09-01&dest_id=1910&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=60704d16af1d0151&srepoch=1685962670&all_sr_blocks=147870401_91877802_0_1_0&highlighted_blocks=147870401_91877802_0_1_0&matching_block_id=147870401_91877802_0_1_0&sr_pri_blocks=147870401_91877802_0_1_0__79200&from_sustainable_property_sr=1&map_fdco=1&from=searchresults#hotelTmpl
Venus Minimal Hotel,"Filipoti 7, Tinos, 84200, Greece",8.4Very Good 721 reviews,"['Room service', 'Free WiFi']","<span class=""bui-u-sr-only"">
Price
$343
</span>",161 feet²,['Pets\n\n\nPets are not allowed.'],,https://www.booking.com/hotel/gr/venus-minimal.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-08-28&checkout=2023-09-01&dest_id=1910&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=60704d16af1d0151&srepoch=1685962670&all_sr_blocks=620494601_241978136_2_1_0&highlighted_blocks=620494601_241978136_2_1_0&matching_block_id=620494601_241978136_2_1_0&sr_pri_blocks=620494601_241978136_2_1_0__32000&from_sustainable_property_sr=1&map_fdco=1&from=searchresults#hotelTmpl
Terra Aeolica,"Arnados , Arnados, 84200, Greece",8.8Excellent 66 reviews,"['Free parking', 'Free WiFi', 'Non-smoking rooms', 'Tea/Coffee Maker in All Rooms']","<span class=""bui-u-sr-only"">
Price
€ 400
</span>",43 m²,"['Parties\n\n\nParties/events are not allowed', 'Pets\n\n\nPets are not allowed.']",3,https://www.booking.com/hotel/gr/terra-aeolica.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-08-28&checkout=2023-09-01&dest_id=1910&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=60704d16af1d0151&srepoch=1685962670&all_sr_blocks=196266502_93666424_4_0_0&highlighted_blocks=196266502_93666424_4_0_0&matching_block_id=196266502_93666424_4_0_0&sr_pri_blocks=196266502_93666424_4_0_0__40000&from_sustainable_property_sr=1&map_fdco=1&from=searchresults#hotelTmpl
