name,location,stars,amount_conv,Rating,NumReviews,Airport,Pool,Breakfast,Family_Rooms,Parking,Restaurant,size_m2,Pets,Month,Location
Skipper Beachfront Suites,"87 Agias Paraskevis, Limenas Hersonissou, Hersonissos, 70014, Greece",3.0,1216.3136081049965,9.0,9 ,False,False,True,True,True,True,35.0,False,August,Crete
Porto Belissario,"Ferma, Ferma, 72200, Greece",,1142.056074766355,9.1,336 ,True,True,True,True,True,False,24.0,False,August,Crete
Sfinias Apartments,"Kali Limenes, Kaloi Limenes, 70400, Greece",3.0,213.41065120309273,8.2, 432 ,False,False,True,True,True,True,35.0,True,August,Crete
Trefon Hotel Apartments and Family Suites,"Platanes , Platanes, 74100, Greece",3.0,554.6511627906976,8.4, 371 ,True,True,True,False,True,True,40.0,True,August,Crete
Costas Inn,"Spílion, Rethymno, Spílion, 74053, Greece",3.0,235.2678571428571,9.0,253 ,True,False,True,True,True,True,28.0,False,August,Crete
Nuovo Crete By Sea,"Syrou 13 Amoudara, Amoudara Herakliou, 71414, Greece",3.0,1199.0601503759399,8.9,357 ,True,True,False,True,True,True,50.0,False,August,Crete
Apollon Hotel Apartments,"Neas Fokeas St., Platanes, 74100, Greece",,1258.8785046728972,8.7,112 ,True,True,True,True,True,False,65.0,False,August,Crete
Balos Beach,"Main Street, Kissamos, 73400, Greece",3.0,1260.4347073086249,8.5," 2,074 ",True,True,True,False,True,True,35.0,False,August,Crete
Haris Apartments,"Kokkini Hani, Kokkini Khanion, 71500, Greece",,249.5327102803738,8.0, 283 ,False,True,True,True,True,True,30.0,False,August,Crete
Theo Star Beach Hotel,"Nikolaou Grammatikaki, Malia, 70007, Greece",3.0,1268.984962406015,8.5, 94 ,True,True,True,True,True,True,49.0,False,August,Crete
Emi Seaside,"5 Koufonisi Str., Amoudara Herakliou, 71414, Greece",,509.3457943925233,9.0,321 ,True,True,True,False,True,True,19.0,False,August,Crete
Indigo Mare,"Platanias, Platanias, 73100, Greece",3.0,1158.0,8.5, 458 ,False,False,True,True,False,True,40.0,True,August,Crete
Infinity City Boutique Hotel,"ARIADNIS 9, Heraklio, 71202, Greece",3.0,1234.965407131453,8.6,"3,585 ",True,False,True,True,False,False,19.0,False,August,Crete
Mary Hotel & Mary Royal Suites,"Lasithiou 8, Platanes, 74100, Greece",3.0,1160.0,9.3,343 ,True,False,False,True,True,False,36.0,False,August,Crete
Kasteli Studios & Apartments,"Panormo, Panormos Rethymno, 74057, Greece",3.0,233.0,7.8,312 ,True,True,True,True,False,False,22.0,False,August,Crete
Renieris Hotel,"Lofos Psathi 1, Stalos, 73100, Greece",,1213.0841121495325,9.4,604 ,True,True,True,False,True,True,52.0,False,August,Crete
Porto Alegre Hotel,"Kato Galatas, Kalamaki, 73100, Greece",3.0,625.6944444444445,8.4, 273 ,False,False,True,True,True,False,25.0,False,August,Crete
Kitro Beach Hotel - Adults Only,"N.Pagalou 3, Agios Nikolaos, 72100, Greece",3.0,1001.1627906976744,8.4," 1,134 ",False,False,True,False,False,False,27.0,False,August,Crete
Gorgona Hotel,"Bali 740 57, Bali, 74057, Greece",,628.0373831775701,8.6,370 ,False,True,True,True,True,True,18.0,False,August,Crete
Cost Mari Almyrida New by ZAGO Boutiqe hotels,"Almirída, Almyrida, 73008, Greece",3.0,977.0,9.0,62 ,False,True,False,True,True,False,40.0,False,August,Crete
