name,location,stars,amount_conv,Rating,NumReviews,Airport,Pool,Breakfast,Family_Rooms,Parking,Restaurant,size_m2,Pets,Month,Location
Thomais Boutique Hotel,"Episkopos - Nikiana, Nikiana, 31100, Greece",4.0,796.0,8.8,77 ,True,True,True,False,True,True,18.0,False,August,Lefkada
Hotel Lefkas,"Filippa Panagou 2, Lefkada, 31100, Greece",,686.9158878504672,9.0,71 ,False,False,True,True,False,True,14.0,False,August,Lefkada
Villa Elenia,"Tsoukalades, Tsoukalades, 31100, Greece",3.0,1680.0,9.4,85 ,False,True,True,True,True,False,45.0,False,August,Lefkada
George House,"Kariotes, Lygia, 31080, Greece",3.0,348.0,8.5, 138 ,True,False,False,True,True,False,20.0,True,August,Lefkada
Pansion Filoxenia Apartments & Studios,"Tsoukalades, Tsoukalades, 31100, Greece",,601.8691588785047,8.6,369 ,False,False,False,True,True,False,17.0,False,August,Lefkada
Lefkas Petra,"Agios Nikitas, Agios Nikitas, 31080, Greece",3.0,625.0,8.9,344 ,False,True,True,False,True,False,18.0,False,August,Lefkada
Hotel Agios Nikitas,"Agios Nikitas, Agios Nikitas, 28000, Greece",2.0,1150.0,8.5, 214 ,False,False,False,True,False,False,35.0,False,August,Lefkada
Akroyiali Resort,"Vasiliki, Vasiliki, 31082, Greece",,696.2616822429906,8.2, 250 ,False,False,True,True,True,False,24.0,False,August,Lefkada
Porto Galini Seaside Resort & Spa,"Main Street, Nikiana, 31100, Greece",5.0,1151.388888888889,9.4,748 ,False,False,True,False,True,True,25.0,False,August,Lefkada
villa on the sea,"γυρα λευκαδα, Ayía Marína, 31100, Greece",3.0,1291.860465116279,9.2,108 ,False,False,False,True,True,False,48.0,False,August,Lefkada
Apartments Avra,"Kaligoni, Lefkada, 31100, Greece",3.0,752.9242459129634,9.6,324 ,True,True,False,True,True,False,40.0,True,August,Lefkada
Gkountis Apartments,"Tsoukaladhes, Tsoukalades, 31100, Greece",,1238.3177570093458,8.9,123 ,False,False,False,True,True,False,40.0,True,August,Lefkada
Florena Hotel,"Episkopos, Nikiana, 31100, Greece",2.0,520.0,9.2,243 ,True,False,False,False,True,False,17.0,False,August,Lefkada
Lefkadio Suites,"Karavela, Lefkada, 31100, Greece",4.0,912.0,8.9,492 ,True,False,True,True,True,False,30.0,False,August,Lefkada
Iris Villa Karavi,"Unnamed Road, Évyiros, 310 82, Greece",4.0,5396.753592336349,10,4 ,False,True,False,True,True,False,140.0,False,August,Lefkada
Oasis Hotel,"Perigiali, Nydri, 31100, Greece",3.0,907.248322147651,9.8,44 ,True,True,False,True,True,False,18.0,False,August,Lefkada
Hotel Tesoro,"Main Street, Nikiana, 31100, Greece",3.0,753.0,9.2,102 ,False,True,True,True,True,True,25.0,False,August,Lefkada
San Lazzaro,"Nydri , Nydri, 31100, Greece",4.0,1463.0,9.1,276 ,True,False,False,True,True,False,27.0,True,August,Lefkada
Nefeli,"Eparhiaki Vasilikis, Vasiliki, 31802, Greece",3.0,490.97222222222223,8.3, 242 ,True,False,True,True,True,True,23.0,True,August,Lefkada
