name,location,stars,amount_conv,Rating,NumReviews,Airport,Pool,Breakfast,Family_Rooms,Parking,Restaurant,size_m2,Pets,Month,Location
aníko suites Chora,"Agiou Vasiliou Mykonos town, Mikonos, 84600, Greece",3.0,1839.2362313820574,9.1,41 ,True,False,False,True,False,False,26.0,False,August,Mykonos
Alissachni Mykonos,"Psarou, Agios Lazaros, Psarou, 84600, Greece",5.0,4259.0,9.6,308 ,True,True,True,False,True,False,35.0,True,August,Mykonos
Petinos Hotel,"Platis Yialos Beach, Platis Gialos, 84600, Greece",4.0,2087.2093023255816,8.4," 1,594 ",True,True,True,False,False,True,27.0,False,August,Mykonos
Apsenti couples only,"Main Street, Agios Ioannis Mykonos, 84600, Greece",,1142.9906542056074,9.2,369 ,True,True,True,False,False,True,15.0,False,August,Mykonos
Life Suites,"Τουρλος, Tourlos, 84600, Greece",,2014.018691588785,9.7,109 ,False,True,False,True,True,False,,False,August,Mykonos
Sun of Mykonos Studios,"Klouvas, Mykonos, Klouvas, 84600, Greece",3.0,724.7767857142857,8.6,481 ,False,True,False,True,True,False,19.0,False,August,Mykonos
Asty Mykonos Hotel & Spa,"Drafaki Mykonos, Drafaki, 84600, Greece",5.0,2758.621609011531,9.3,97 ,True,True,True,True,True,False,30.0,True,August,Mykonos
Sea Rock & Sky Private Residence,"Merchia Beach, Merchia Beach, 84600, Greece",4.0,2422.070135746606,9.3,42 ,True,True,True,False,True,True,57.0,True,August,Mykonos
Ftelia Bay Boutique Hotel,"Ftelia, Ftelia, 84600, Greece",4.0,1970.7044673539517,8.9,326 ,True,True,False,True,False,True,28.0,False,August,Mykonos
Anax Resort and Spa,"Agios Ioannis Mykonos, Agios Ioannis Mykonos, 84600, Greece",,3486.9158878504672,9.4,473 ,True,True,True,False,False,False,31.0,False,August,Mykonos
Palladium Hotel,"Nammos Beach , Platis Gialos, 84600, Greece",,6189.719626168224,9.6,"1,065 ",True,False,True,False,False,True,40.0,False,August,Mykonos
Hotel Tagoo,"Tagoo Area, Mikonos, 84600, Greece",,1489.7196261682243,9.1,360 ,True,True,True,True,False,False,19.0,False,August,Mykonos
Manoula's Beach Mykonos Resort,"Main Street, Agios Ioannis Mykonos, 84600, Greece",,2085.0467289719627,9.2,501 ,True,True,True,False,True,False,24.0,False,August,Mykonos
Lyo Boutique Hotel Mykonos,"Super Paradise, Super Paradise Beach, 84600, Greece",,3042.9906542056074,9.5,474 ,True,False,True,False,True,True,24.0,False,August,Mykonos
Mykonos Lolita,"Main Street, Agios Sostis Mykonos, 84600, Greece",,2334.579439252336,8.7,108 ,True,True,False,True,True,True,32.0,False,August,Mykonos
Jenny's Summer Houses,"Platis Yialos Mykonos, Platis Gialos, 84600, Greece",3.0,2404.0,8.1, 722 ,True,False,False,True,True,True,100.0,False,August,Mykonos
Arte & Mare Elia Luxury Suites & Vllas,"Main Street, Elia Beach, 84600, Greece",5.0,2766.5553764678793,8.5, 428 ,True,False,True,False,True,False,50.0,False,August,Mykonos
Archipelagos All Suites,"ELIA MAIN ROAD, Elia Beach, 84600, Greece",5.0,2709.151583710407,9.0,63 ,True,True,True,False,True,False,30.0,False,August,Mykonos
Mykonos Ammos Hotel - Small Luxury Hotels of the World,"Ornos, Ornos, 84600, Greece",5.0,3115.5934007450774,9.4,655 ,True,True,True,False,False,False,24.0,True,August,Mykonos
Poseidon Hotel Suites,"Vida, Mikonos, 84600, Greece",4.0,2205.252282876758,8.9,"1,794 ",True,True,True,False,True,False,25.0,True,August,Mykonos
Mykonos Soul Luxury Suites,"Agios Stefanos, Greece Mykonos Soul Luxury Suites, Agios Stefanos, 84600, Greece",,2385.9813084112147,9.7,259 ,True,False,False,False,True,False,36.0,True,August,Mykonos
Smy Mykonos Suites & Villas - ex Greco Philia,"Main Street, Elia Beach, 84600, Greece",5.0,2628.4020262491367,8.8,176 ,True,True,True,False,True,True,20.0,False,August,Mykonos
Nimbus My Aktis,"Super Paradise beach, Super Paradise Beach, 84600, Greece",,2909.022556390977,9.3,463 ,True,True,True,False,False,False,25.0,False,August,Mykonos
Aeolos Resort,"Road Mykonou-Ano Meras, Mikonos, 48600, Greece",4.0,1922.0,9.6,"1,284 ",True,False,True,False,True,True,23.0,True,August,Mykonos
Argo Hotel,"Main Street, Platis Gialos, 84600, Greece",,1400.9345794392523,9.4,464 ,True,True,False,True,True,True,30.0,False,August,Mykonos
Pietra e Mare,"Kalo Livadi, Mykonos, Kalo Livadi, 84700, Greece",4.0,1199.0,7.9,226 ,True,True,True,False,True,True,30.0,False,August,Mykonos
"Maregold Mykonos Micro-Boutique Suites, Adults Only","Ελιά, Elia Beach, 84600, Greece",,2076.6355140186915,9.7,122 ,True,True,True,False,True,False,23.0,False,August,Mykonos
Maganos Apartments,"Agia Anna , Paraga, Paraga, 84600, Greece",,1353.271028037383,8.7,584 ,False,True,False,True,True,False,35.0,False,August,Mykonos
Sun of Mykonos Studios,"Klouvas, Mykonos, Klouvas, 84600, Greece",3.0,711.520737327189,8.6,481 ,False,True,False,True,True,False,19.0,False,August,Mykonos
Avra Mykonos,"TOURLOS MYKONOS NEW PORT, Tourlos, 84600, Greece",,1728.0,9.5,249 ,True,False,False,False,True,False,23.0,True,August,Mykonos
"Radisson Blu Euphoria Resort, Mykonos","Kalo Livadi Mykonos, Kalo Livadi, 84600, Greece",5.0,1995.8333333333335,8.8,222 ,True,True,False,False,True,True,20.0,False,August,Mykonos
Mykonos Residence Villas & Suites Merchia Beach,"Merchia Beach, Παραλία Μερχιάς, Merchia Beach, 84600, Greece",,1916.8224299065419,8.9,33 ,True,True,True,False,True,False,35.0,True,August,Mykonos
"Mykonos Blu, Grecotel Boutique Resort","Main Street, Psarou, 84600, Greece",5.0,4024.330357142857,8.7,189 ,True,True,False,False,True,True,29.0,False,August,Mykonos
Kamari Hotel,"Main Street, Platis Gialos, 84600, Greece",3.0,1267.0,8.7,388 ,False,True,False,True,True,False,20.0,False,August,Mykonos
Sea Rock & Sky Private Residence,"Merchia Beach, Merchia Beach, 84600, Greece",4.0,2428.0,9.3,42 ,True,True,True,False,True,False,57.0,True,August,Mykonos
Deliades Hotel,"Main Street, Ornos, 84500, Greece",,2005.6074766355139,8.4, 251 ,True,True,False,True,True,True,35.0,False,August,Mykonos
Mykonos Essence Adults Only,"Ornos, Ornos, 84600, Greece",4.0,1740.8482142857142,9.3,323 ,True,True,True,True,True,True,25.0,False,August,Mykonos
Villas Kalafatis Apartments,"Kalafatis bay, Kalafatis, 84600, Greece",3.0,1243.0,8.1, 190 ,True,False,False,True,True,False,40.0,False,August,Mykonos
Mykonos Village,"Ano Mera, Ano Mera, 84600, Greece",4.0,2955.0,9.4,170 ,True,False,False,True,True,False,72.0,True,August,Mykonos
