name,location,stars,amount_conv,Rating,NumReviews,Airport,Pool,Breakfast,Family_Rooms,Parking,Restaurant,size_m2,Pets,Month,Location
Delfinia Resort - All Inclusive,"Main Street, Kolymbia, 85103, Greece",,1200.0,7.9,950 ,True,False,True,False,True,True,17.0,False,August,Rhodes
Elissa Lifestyle Resort,"Leoforos Kallitheas, Kallithea Rhodes, 85100, Greece",,1487.8504672897195,8.1, 455 ,False,False,True,False,True,False,22.0,False,August,Rhodes
Helea Family Beach Resort,"Leoforos Kallitheas, Kallithea Rhodes, 85100, Greece",5.0,1917.4886877828053,7.7,271 ,False,False,False,False,False,True,22.0,False,August,Rhodes
Rodos Palace Hotel,"Trianton Avenue, Ixia, 85100, Greece",5.0,835.9022556390977,7.3,"1,552 ",True,False,True,False,False,False,45.0,True,August,Rhodes
Villa Di Mare Seaside Suites,"84, Irakleidon Avenue, Ixia, 85101, Greece",,1398.1308411214952,8.8,456 ,True,False,True,False,True,True,31.0,False,August,Rhodes
Eden Roc Resort - All Inclusive,"Kalithea Avenue, Kallithea Rhodes, 85100, Greece",,1601.8691588785045,8.6,561 ,False,False,True,False,True,True,22.0,False,August,Rhodes
Casa Cook Rhodes (Adults Only),"Kolymbia, Kolymbia, 85103, Greece",,1879.4392523364486,9.3,812 ,True,True,True,False,False,True,26.0,False,August,Rhodes
Esperos Village Blue & Spa - Adults Only,"Leoforos Kallitheas, Faliraki, 85100, Greece",5.0,1378.0,9.1,"1,893 ",False,False,True,False,True,True,30.0,True,August,Rhodes
Port Royal Villas and Spa - Adults Only,"Main Street, Kolymbia, 85100, Greece",5.0,966.6666666666667,9.3,659 ,True,False,False,False,False,True,32.0,False,August,Rhodes
Rhodes Bay Hotel & Spa,"100 Iraklidon Avenue, Ixia, 85101, Greece",5.0,1043.0,8.3, 380 ,False,False,True,False,True,True,27.0,False,August,Rhodes
Blue Jasmine Suites,"Athanasiou Diakou 13, Rhodes Town, 85100, Greece",4.0,615.0,9.6,198 ,True,False,False,True,True,False,35.0,False,August,Rhodes
KRESTEN ROYAL Euphoria Resort,"6th km Rhodes -Kalithea Ave., Kallithea Rhodes, 85100, Greece",5.0,1319.4444444444446,8.4, 201 ,True,False,True,False,False,False,34.0,False,August,Rhodes
Sentido Asterias Beach Resort,"Afandou Beach, Afantou, 85103, Greece",5.0,1751.0,8.6,140 ,False,False,False,False,True,True,24.0,False,August,Rhodes
The Ixian Grand & All Suites - Adults Only Hotel,"Ixia Beach, Ixia, 85101, Greece",5.0,2070.0,8.7,606 ,True,False,True,False,True,True,30.0,False,August,Rhodes
Lindos Bay Suites,"Vlyha Beach, Lindos, Rhodes, vlicha, 85107, Greece",5.0,2500.0,7.8,6 ,False,True,False,False,True,True,34.0,False,August,Rhodes
Apollo Blue,"Main Street, Faliraki, 85105, Greece",5.0,1438.1108597285067,8.7,304 ,True,False,True,False,True,True,28.0,False,August,Rhodes
Atrium Prestige Thalasso Spa Resort & Villas,"Main Street, Lachania, 85109, Greece",,1408.411214953271,9.6,137 ,False,False,False,False,True,True,37.0,False,August,Rhodes
Ammades All Suites Beach Hotel - Adults Only,"Leoforos Kallitheas, Faliraki, 85100, Greece",5.0,1802.0,9.6,28 ,True,True,True,False,False,True,39.0,True,August,Rhodes
Cooks club City Beach Rhodes,"Nikolaou Savva 3, Rhodes Town, 85100, Greece",5.0,1706.6198480313149,8.8,323 ,False,True,False,False,False,True,24.0,False,August,Rhodes
Atlantica Holiday Village Rhodes,"Kolymbia, Kolymbia, 85103, Greece",5.0,4519.444444444444,8.7,57 ,False,False,False,True,True,True,39.0,False,August,Rhodes
Princess Andriana Resort & Spa - Ultra All-Inclusive,"Kiotari, Kiotari, 85109, Greece",5.0,2209.578632281833,8.7,404 ,False,False,False,False,True,True,41.0,False,August,Rhodes
Mitsis Rodos Village Beach Hotel & Spa,"Kiotari, Kiotari, 85109, Greece",5.0,1281.0,8.1, 271 ,False,False,False,False,True,True,26.0,False,August,Rhodes
Lindian Village Beach Resort Rhodes,"Lardos Beach, Kiotari, 85109, Greece",5.0,1465.1162790697674,8.5, 2 ,True,False,True,False,False,True,30.0,False,August,Rhodes
Mitsis Alila Resort & Spa,"Faliraki - Kallithea beach, Faliraki, 85105, Greece",,1841.1214953271026,8.8,524 ,False,False,False,False,True,False,19.0,False,August,Rhodes
Afandou Bay Resort Suites,"Afandou Beach, Afantou, 85103, Greece",5.0,770.2632490474541,7.9,115 ,True,False,True,False,True,False,35.0,False,August,Rhodes
Mitsis Alila Resort & Spa,"Faliraki - Kallithea beach, Faliraki, 85105, Greece",,1841.1214953271026,8.8,524 ,False,False,False,False,True,False,19.0,False,August,Rhodes
Afandou Bay Resort Suites,"Afandou Beach, Afantou, 85103, Greece",5.0,880.1339285714284,7.9,115 ,True,False,True,False,True,True,35.0,False,August,Rhodes
Mitsis Grand Hotel Beach Hotel,"1, Akti Miaouli str, Rhodes Town, 85100, Greece",5.0,1345.0,8.6,"1,075 ",False,False,False,False,True,True,23.0,False,August,Rhodes
Rodos Palladium Leisure & Wellness,"Faliraki - Kallithea beach, Faliraki, 85100, Greece",5.0,1315.0,9.0,649 ,True,False,True,False,False,False,27.0,False,August,Rhodes
Kolymbia Village,"Ethniki Odos Rodou Lindou EO Rodou Lindou, Kolympia 851 03, Kolymbia, 85103, Greece",4.0,1316.2790697674418,9.0,319 ,False,True,False,True,True,False,79.0,False,August,Rhodes
Atrium Palace Thalasso Spa Resort And Villas,"Main Street, Kalathos, 85102, Greece",5.0,1199.9773755656108,9.2,173 ,False,False,False,False,True,True,28.0,False,August,Rhodes
Mayia Exclusive Resort & Spa - Adults Only,"Kiotari, Rhodes, Kiotari, 85109, Greece",,3028.971962616822,9.5,307 ,False,False,False,False,True,True,30.0,False,August,Rhodes
Porto Angeli,"Stegna Beach, Archangelos, 85102, Greece",5.0,2434.952797605342,8.5, 367 ,False,False,True,False,True,True,32.0,False,August,Rhodes
All Senses Nautica Blue Exclusive Resort & Spa - All Inclusive,"Fanes Village, Fánai, 85106, Greece",5.0,1279.0,7.0,415 ,True,False,True,False,False,False,30.0,False,August,Rhodes
Atrium Platinum Resort & Spa,"Iraklidon Ave., Ixia, 85101, Greece",5.0,1888.372093023256,9.3,156 ,False,False,False,False,True,True,41.0,False,August,Rhodes
Terra Pietra Luxury Villas & Suites,"Eparchiaki Odos Lardou-Lindou Lardos Beach, Lartos, 85109, Greece",4.0,1009.7222222222223,8.7,133 ,True,True,False,True,True,False,30.0,False,August,Rhodes
Bellevue On The Beach Suites,"Akti Miaouli & Tilou, Rhodes Town, 85100, Greece",,2665.4205607476633,9.5,197 ,True,False,False,False,True,True,61.0,True,August,Rhodes
Lindos Imperial Resort & Spa,"Kiotari, Kiotari, 85109, Greece",5.0,1550.8989342950892,7.3,392 ,True,False,False,False,True,True,27.0,False,August,Rhodes
Mitsis Rodos Maris Resort & Spa,"Kiotari, Kiotari, 85109, Greece",,1299.0654205607475,7.9,213 ,False,False,True,False,True,True,23.0,False,August,Rhodes
Grande Albergo Delle Rose,"Papanikolaou 4, Rhodes Town, 85100, Greece",5.0,1303.0,8.9,213 ,True,True,True,False,True,True,34.0,False,August,Rhodes
"Lindos Mare, Seaside Hotel","Vlycha beach, Lindos, 85100, Greece",5.0,1282.0,9.1,53 ,True,False,False,False,False,False,28.0,False,August,Rhodes
Caesars Gardens Hotel & Spa - Adults Only,"Krana, Lindos, 85107, Greece",,2004.6728971962616,9.1,66 ,True,True,True,False,True,False,31.0,True,August,Rhodes
Boutique 5 Hotel & Spa - Adults Only,"Kiotari, Kiotari, 85109, Greece",5.0,1782.5581395348838,9.0,234 ,False,False,False,False,True,True,30.0,False,August,Rhodes
La Marquise Luxury Resort Complex,"Faliraki - Kallithea beach, Faliraki, 85100, Greece",5.0,1214.4437779110845,8.6,210 ,False,False,False,False,True,True,33.0,False,August,Rhodes
Atlantica Imperial Resort - Adults Only,"Rhodes, Kolymbia, 85103, Greece",5.0,2216.768246110795,9.4,73 ,False,True,False,False,True,True,30.0,False,August,Rhodes
Leonardo Kolymbia Resort Rhodes,"Athinon 2, Kolymbia, 85103, Greece",5.0,1030.5555555555557,8.6,279 ,False,False,True,False,True,True,27.0,False,August,Rhodes
Mitsis Faliraki Beach Hotel & Spa,"Faliraki, Faliraki, 85105, Greece",5.0,1803.8046272493573,8.6,252 ,False,False,False,False,True,True,20.0,False,August,Rhodes
Atlantica Plimmiri,"Plimmiri, Plimmiri, 85109, Greece",,1619.626168224299,8.8,18 ,False,False,False,True,True,True,36.0,False,August,Rhodes
Olympic Palace Hotel,"Iraklidon Avenue, Ixia, 85100, Greece",5.0,1220.0,8.7,334 ,False,False,True,False,False,True,22.0,False,August,Rhodes
Viva Tourismo Resort (naturist club),"17ο χλμ Ροδου- Καμειρου Παραδεισι Ισογειο, Paradisi, 85106, Greece",,751.4018691588784,,,False,True,True,False,True,True,23.0,False,August,Rhodes
Electra Palace Rhodes - Premium All Inclusive,"Trianta Beach, Ialysos, 85101, Greece",,2165.4205607476633,8.5, 392 ,True,False,True,False,True,False,35.0,False,August,Rhodes
Elysium Resort & Spa,"Faliraki - Kallithea Beach, Faliraki, 85100, Greece",,0.0,8.9,420 ,True,False,False,True,True,True,,False,August,Rhodes
Amada Colossos Resort,"Main Street, Faliraki, 85100, Greece",5.0,933.6999266813303,8.2, 180 ,False,False,False,False,True,True,23.0,False,August,Rhodes
Lindos Breeze Beach Hotel,"Παραλία Κιοταρίου 1, Kiotari, 85109, Greece",5.0,918.0555555555555,9.7,3 ,True,True,True,False,True,True,24.0,False,August,Rhodes
Terra Pietra Luxury Villas & Suites,"Eparchiaki Odos Lardou-Lindou Lardos Beach, Lartos, 85109, Greece",4.0,855.8139534883721,8.7,133 ,True,True,False,True,True,False,30.0,False,August,Rhodes
Rodos Park,"12, Riga Fereou Street, Rhodes Town, 85100, Greece",,1357.9439252336447,9.0,311 ,True,True,True,False,True,False,23.0,False,August,Rhodes
Akti Imperial Deluxe Resort & Spa Dolce by Wyndham,"Ixia Avenue Iliadon, Ixia, 85101, Greece",5.0,2056.0,8.4, 195 ,False,False,False,False,True,True,25.0,False,August,Rhodes
Lydia Maris Resort & Spa,"Kolymbia, Kolymbia, 85103, Greece",5.0,321090.6542056075,7.7,130 ,False,False,True,False,True,True,26.0,False,August,Rhodes
Aquagrand Exclusive Deluxe Resort Lindos - Adults only,"Lindos, Lindos, 85107, Greece",5.0,2115.0,9.2,277 ,False,True,True,False,False,True,35.0,False,August,Rhodes
Elite Suites by Rhodes Bay,"Ixia, Ixia, 85101, Greece",5.0,2384.250518075063,9.2,88 ,True,False,True,False,True,False,44.0,False,August,Rhodes
Stavros Melathron Studios,"Kalithea, Kallithea Rhodes, 85100, Greece",4.0,554.1666666666667,9.4,157 ,False,False,False,False,True,False,32.0,False,August,Rhodes
Lindos Blu Luxury Hotel-Adults only,"Vlycha beach, Lindos, 85107, Greece",5.0,2819.767441860465,9.6,93 ,False,False,True,False,True,True,37.0,False,August,Rhodes
Lindos Village Resort & Spa Adults Only,"Vlycha beach, Lindos, Lindos, 85107, Greece",5.0,1669.8660714285713,7.7,54 ,True,False,False,False,True,True,25.0,False,August,Rhodes
Mitsis Lindos Memories Resort & Spa,"Psaltos, Lindos, 85107, Greece",5.0,1493.0,8.6,159 ,False,True,True,False,True,True,20.0,False,August,Rhodes
Lindos Royal Resort,"Vlycha beach, Lindos, 85109, Greece",5.0,1668.233082706767,6.8,155 ,False,False,False,True,True,True,22.0,False,August,Rhodes
Lindos Grand Resort and Spa - Adults Only,"Παραλία Βληχών, Λίνδος 1, Lindos, 85107, Greece",,0.0,8.2, 156 ,True,False,True,False,True,False,,False,August,Rhodes
Atlantica Imperial Residences - Adults Only,"Athens Street, Kolymbia, 85103, Greece",5.0,3741.741071428571,10,1 ,False,True,False,False,True,False,26.0,False,August,Rhodes
Costa Lindia Beach Hotel,"Lardos , Rhodes, Greece, Lartos, 85109, Greece",5.0,1018.75,,,False,True,True,False,True,True,27.0,False,August,Rhodes
Grande Dame Villa of Rhodes,"Odyssea Elyti 7, Rhodes Town, 85100, Greece",,4305.607476635514,9.6,14 ,True,True,False,True,True,False,450.0,False,August,Rhodes
Kresten Palace Hotel,"6th Km. Kallitheas Ave., Kallithea Rhodes, 85100, Greece",4.0,792.0,8.1, 466 ,True,True,True,False,True,True,25.0,False,August,Rhodes
Kolymbia Bay Art Boutique Hotel - Adults Only,"Kolymbia, Kolymbia, 85103, Greece",4.0,1021.205357142857,8.9,275 ,False,True,True,False,True,True,24.0,True,August,Rhodes
Blue Jasmine Suites,"Athanasiou Diakou 13, Rhodes Town, 85100, Greece",,615.8878504672897,9.6,198 ,True,False,False,True,True,False,35.0,False,August,Rhodes
Labranda Kiotari Miraluna Resort,"Kiotari, Kiotari, 85109, Greece",,937.3831775700934,7.9,558 ,False,False,False,False,True,True,24.0,False,August,Rhodes
Olive Garden Hotel,"Lardos, Lartos, 85109, Greece",,893.4579439252336,7.8,350 ,True,True,True,True,False,True,23.0,False,August,Rhodes
D'Andrea Mare Beach Hotel,"Timokreontos End Street, Ialysos, 85101, Greece",,1528.9719626168223,8.7,360 ,False,False,False,False,True,True,30.0,False,August,Rhodes
Delfinia Resort - All Inclusive,"Main Street, Kolymbia, 85103, Greece",4.0,1212.0,7.9,950 ,True,False,True,False,True,True,17.0,False,August,Rhodes
Terra Pietra Luxury Villas & Suites,"Eparchiaki Odos Lardou-Lindou Lardos Beach, Lartos, 85109, Greece",4.0,1009.7222222222223,8.7,133 ,True,True,False,True,True,False,30.0,False,August,Rhodes
Blue Horizon,"Ferenikis - Beach Of Ialyssos, Ialysos, 85101, Greece",4.0,879.2795138888889,8.3, 215 ,False,True,True,True,True,True,22.0,False,August,Rhodes
Epsilon Hotel Apartments,"Leoforos Kallitheas , Faliraki, 85100, Greece",4.0,920.0,8.3, 286 ,False,True,False,True,True,False,48.0,True,August,Rhodes
Hotel Riviera,"2, Miaoulis Beach, Rhodes Town, 85100, Greece",,478.50467289719626,7.9,"1,167 ",True,True,True,False,True,False,19.0,False,August,Rhodes
Stavros Melathron Studios,"Kalithea, Kallithea Rhodes, 85100, Greece",4.0,556.0,9.4,157 ,False,False,False,False,True,False,32.0,False,August,Rhodes
Kalathos Square luxury suites,"Εθνική Οδός Ρόδου Λίνδου, Kalathos, 85107, Greece",,2300.934579439252,9.7,33 ,False,False,False,True,True,False,150.0,False,August,Rhodes
Kouros Exclusive Hotel & Suites - Adults Only,"Apollonos, Faliraki, 85105, Greece",4.0,1047.0,9.1,324 ,True,True,False,False,True,True,29.0,True,August,Rhodes
St.Thomas Beach Luxury Apartments,"Πεύκοι Ρόδου, Pefki, 85107, Greece",4.0,460.0,9.3,174 ,False,True,False,False,True,False,20.0,False,August,Rhodes
Esperos Palace Resort,"Leoforos Kallitheas, Faliraki, 85100, Greece",4.0,1161.830357142857,8.8,385 ,False,False,True,False,True,True,23.0,True,August,Rhodes
Ixia Dream hotel - Adults only,"Protogeni 1, Ixia, 85101, Greece",4.0,865.0,9.8,271 ,False,True,True,False,True,True,30.0,False,August,Rhodes
