name,location,stars,amount_conv,Rating,NumReviews,Airport,Pool,Breakfast,Family_Rooms,Parking,Restaurant,size_m2,Pets,Month,Location
Galini Bungalows,"Ag. Fotodoti 92, Kionia, Kionia, 84200, Greece",,481.30841121495325,8.4, 170 ,False,False,True,True,True,False,19.0,False,August,Tinos
Prasino Oniro,"Louizas Sohou 5, Tinos, 84200, Greece",3.0,504.0,8.1, 241 ,False,False,False,True,True,False,19.0,True,August,Tinos
Agali Bay Hotel,"Agali Bay, Tinos, 84200, Greece",,539.1455042324868,8.7,121 ,False,False,True,True,True,False,18.0,False,August,Tinos
Onos - Eco Living Experience,"TINOS, Mési, 84200, Greece",4.0,1178.0,9.7,19 ,False,False,False,True,True,False,49.0,True,August,Tinos
La Vista TINOS,"Τήνος, Agios Ioannis, 84200, Greece",,600.6944444444445,10,1 ,False,False,False,True,True,False,25.0,True,August,Tinos
Ursa Major Suites,"Κώμη Τήνος, Tinos, 84200, Greece",,1073.1637117200091,9.6,58 ,False,False,True,True,True,True,32.0,False,August,Tinos
Vrahos Studios,"Kionia, Kionia, 84200, Greece",3.0,319.7674418604651,9.0,109 ,False,False,False,True,True,False,20.0,False,August,Tinos
White Tinos Luxury Suites,"Steni Tinos, Stení, 84200, Greece",4.0,732.2193658954584,9.7,24 ,False,False,False,True,True,False,75.0,True,August,Tinos
Venus Minimal Hotel,"Filipoti 7, Tinos, 84200, Greece",,320.5607476635514,8.4, 721 ,False,False,False,False,False,False,14.0,False,August,Tinos
Terra Aeolica,"Arnados , Arnados, 84200, Greece",3.0,400.0,8.8,66 ,False,False,False,False,True,False,43.0,False,August,Tinos
Summer Time - Tinos Apartments,"Ayios Sostis Tinou, Agios Sostis, 84200, Greece",,400.93457943925233,9.1,100 ,False,False,False,True,True,False,24.0,False,August,Tinos
Aegean Muses,"ΤΡΙΑΝΤΑΡΟΣ 84200 ΤΗΝΟΣ, Arnados, 84200, Greece",,2088.0,9.6,5 ,False,True,False,False,True,False,126.0,False,August,Tinos
Cavos,"Agios Sostis, Tinos Island, Agios Sostis, 84200, Greece",4.0,706.2344139650874,9.1,107 ,False,True,False,False,True,True,35.0,True,August,Tinos
Vrahos Agios Romanos,"Αγιος Ρωμανος Τηνος Ματθαιος Δελλατολας, Agios Romanos, 84200, Greece",4.0,561.8303571428571,9.7,24 ,False,False,False,False,True,False,50.0,False,August,Tinos
Villa Ioanna,"Kionia, Kionia, 84200, Greece",3.0,461.38392857142856,9.0,67 ,False,False,False,True,True,False,35.0,True,August,Tinos
Eleana Hotel,"1 Agiou Ioannou, Tinos, 84200, Greece",,544.8598130841121,9.6,201 ,False,False,False,False,False,False,,False,August,Tinos
Akti Aegeou,"Paralia Laouti, Agios Sostis, 84200, Greece",3.0,447.0,9.2,83 ,False,True,True,True,True,True,32.0,False,August,Tinos
Hermes Rooms,"Evagelistrias 33, Tinos, 84200, Greece",3.0,339.0,7.9,123 ,False,False,False,False,True,False,,False,August,Tinos
villaV,"Επαρχιακή Οδός Τριαντάρου-Φαλατάδου, Triandáros, 84200, Greece",,2223.0,8.6,10 ,False,True,False,True,True,False,75.0,False,August,Tinos
Tinos Resort,"Agiou Charalampou Square, Tinos, 84200, Greece",,882.2429906542055,9.4,36 ,False,True,True,True,True,False,62.0,False,August,Tinos
Pension Selenti,"Gkizi, Tinos, 84200, Greece",,385.0467289719626,8.3, 91 ,False,False,False,True,True,False,19.0,False,August,Tinos
Infinity View Hotel Tinos,"Leoforos Stavrou Kionion, Tinos, 84200, Greece",,1082.2429906542056,9.4,168 ,False,True,False,True,True,False,30.0,False,August,Tinos
Balcony to the Aegean,"Steni Tinos, Stení, 84200, Greece",3.0,600.0,10,17 ,False,False,False,True,True,False,78.0,True,August,Tinos
Prasino Oniro,"Louizas Sohou 5, Tinos, 84200, Greece",,505.607476635514,8.1, 241 ,False,False,False,True,True,False,19.0,True,August,Tinos
Agali Bay Hotel,"Agali Bay, Tinos, 84200, Greece",,541.1214953271028,8.7,121 ,False,False,True,True,True,False,18.0,False,August,Tinos
alemár,"Iroon Politechniou, Agios Fokas, Tinos, 84200, Greece",4.0,1000.0,9.7,119 ,False,False,True,True,True,True,,False,August,Tinos
Tiniotissa Studios,"I. Metaxa, Tinos, 84200, Greece",3.0,360.4166666666667,8.8,131 ,False,False,False,True,True,False,20.0,True,August,Tinos
Vrahos Studios,"Kionia, Kionia, 84200, Greece",3.0,319.7674418604651,9.0,109 ,False,False,False,True,True,False,20.0,False,August,Tinos
Κυκλαδίτικο Διαμέρισμα στα Κιόνια,"Κιονια, Τήνος, Kionia, 84200, Greece",,485.0,,,False,False,False,False,True,False,,True,August,Tinos
