name,location,reviews,facilities,price,size,rules,stars,link
Casa Arokaria,"P128 Neo Chorio, Pendarianá, 73002, Greece",9.9Exceptional 29 reviews,"['Free WiFi', 'Free parking', 'Airport shuttle', 'Room service', 'Family rooms']","<span class=""bui-u-sr-only"">
Original price
£662
Current price
£609
</span>",1076 feet²,"['Smoking\n\nSmoking is not allowed.', 'Pets\n\n\nPets are not allowed.']",,https://www.booking.com/hotel/gr/casa-arokaria.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&sid=4cc5dec2c68e6377819edd6ab66620de&aid=304142&ucfs=1&arphpl=1&checkin=2023-08-27&checkout=2023-09-01&dest_id=811&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&nflt=class%3D0%3Bht_id%3D201&srpvid=72b29d6e1da40417&srepoch=1685917407&all_sr_blocks=295978701_297959978_4_0_0&highlighted_blocks=295978701_297959978_4_0_0&matching_block_id=295978701_297959978_4_0_0&sr_pri_blocks=295978701_297959978_4_0_0__70000&from=searchresults#hotelTmpl
Villa Pelagia Sea View,"Αγίας Πελαγίας, Agia Pelagia, 71500, Greece",9.1Wonderful 21 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Free parking', 'Free WiFi', 'Family rooms', 'Bar']","<span class=""bui-u-sr-only"">
Price
$688
</span>",603 feet²,"['Parties\n\n\nParties/events are not allowed', 'Pets\n\n\nPets are not allowed.']",,https://www.booking.com/hotel/gr/villas-pelagia-sea-view.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&sid=4cc5dec2c68e6377819edd6ab66620de&aid=304142&ucfs=1&arphpl=1&checkin=2023-08-27&checkout=2023-09-01&dest_id=811&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&nflt=class%3D0%3Bht_id%3D201&srpvid=72b29d6e1da40417&srepoch=1685917407&all_sr_blocks=868750104_368261798_3_0_0&highlighted_blocks=868750104_368261798_3_0_0&matching_block_id=868750104_368261798_3_0_0&sr_pri_blocks=868750104_368261798_3_0_0__64170&from=searchresults#hotelTmpl
Anemoni Apartments,"ΠΛΑΚΙΑΣ, Plakias, 74060, Greece",,"['Non-smoking rooms', 'Free parking', 'Airport shuttle', 'Free WiFi', 'Beachfront', 'Family rooms', 'Private beach area']","<span class=""bui-u-sr-only"">
Price
$644
</span>",646 feet²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Pets\n\n\nPets are not allowed.']",,https://www.booking.com/hotel/gr/mikhelarake-konstantina.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&sid=4cc5dec2c68e6377819edd6ab66620de&aid=304142&ucfs=1&arphpl=1&checkin=2023-08-27&checkout=2023-09-01&dest_id=811&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&nflt=class%3D0%3Bht_id%3D201&srpvid=72b29d6e1da40417&srepoch=1685917407&all_sr_blocks=1013726301_373967183_2_0_0&highlighted_blocks=1013726301_373967183_2_0_0&matching_block_id=1013726301_373967183_2_0_0&sr_pri_blocks=1013726301_373967183_2_0_0__60000&from=searchresults#hotelTmpl
"Matchbox, 4 season house","18 Ιωνίας, Kastellákia, 74100, Greece",10Exceptional 1 review,['Free WiFi'],"<span class=""bui-u-sr-only"">
Original price
€ 540
Current price
€ 397
</span>",40 m²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Pets\n\n\nPets are not allowed.']",,https://www.booking.com/hotel/gr/matchbox-4-season-house.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&sid=4cc5dec2c68e6377819edd6ab66620de&aid=304142&ucfs=1&arphpl=1&checkin=2023-08-27&checkout=2023-09-01&dest_id=811&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&nflt=class%3D0%3Bht_id%3D201&srpvid=72b29d6e1da40417&srepoch=1685917407&all_sr_blocks=999380701_372766159_2_1_0&highlighted_blocks=999380701_372766159_2_1_0&matching_block_id=999380701_372766159_2_1_0&sr_pri_blocks=999380701_372766159_2_1_0__43200&from=searchresults#hotelTmpl
Kali Holiday Apartments,"Νικολάου  Γραμματικάκη, Stalís, 70007, Greece",10Exceptional 1 review,"['Outdoor swimming pool', 'Non-smoking rooms', 'Free parking', 'Free WiFi']","<span class=""bui-u-sr-only"">
Original price
$590
Current price
$472
</span>",323 feet²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Pets\n\n\nPets are not allowed.']",,https://www.booking.com/hotel/gr/alifieraki-apartments-stalida.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&sid=4cc5dec2c68e6377819edd6ab66620de&aid=304142&ucfs=1&arphpl=1&checkin=2023-08-27&checkout=2023-09-01&dest_id=811&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&nflt=class%3D0%3Bht_id%3D201&srpvid=72b29d6e1da40417&srepoch=1685917407&all_sr_blocks=882758305_373206511_2_0_0&highlighted_blocks=882758305_373206511_2_0_0&matching_block_id=882758305_373206511_2_0_0&sr_pri_blocks=882758305_373206511_2_0_0__44000&from=searchresults#hotelTmpl
Georgia's Studio,"Kato Zakros, Kato Zakros, 72300, Greece",9.4Wonderful 35 reviews,"['Non-smoking rooms', 'Free WiFi', 'Free parking']","<span class=""bui-u-sr-only"">
Original price
1,348 zł
Current price
1,240 zł
</span>",,"['Parties\n\n\nParties/events are not allowed', 'Pets\n\n\nFree!\nPets are allowed. No extra charges.']",,https://www.booking.com/hotel/gr/georgia-39-s-studio.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&sid=4cc5dec2c68e6377819edd6ab66620de&aid=304142&ucfs=1&arphpl=1&checkin=2023-08-27&checkout=2023-09-01&dest_id=811&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&nflt=class%3D0%3Bht_id%3D201&srpvid=72b29d6e1da40417&srepoch=1685917407&all_sr_blocks=708928001_344564015_2_0_0&highlighted_blocks=708928001_344564015_2_0_0&matching_block_id=708928001_344564015_2_0_0&sr_pri_blocks=708928001_344564015_2_0_0__30000&from=searchresults#hotelTmpl
Kalimera Apartments,"Βάμος 1, Άγιος Μάμας, Vamos, 73133, Greece",9.2Wonderful 23 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Family rooms', 'Free parking', 'Free WiFi']","<span class=""bui-u-sr-only"">
Original price
€ 750
Current price
€ 690
</span>",60 m²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Pets\n\n\nPets are not allowed.']",,https://www.booking.com/hotel/gr/kalimera-apartments-khania.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&sid=4cc5dec2c68e6377819edd6ab66620de&aid=304142&ucfs=1&arphpl=1&checkin=2023-08-27&checkout=2023-09-01&dest_id=811&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&nflt=class%3D0%3Bht_id%3D201&srpvid=72b29d6e1da40417&srepoch=1685917407&all_sr_blocks=580530501_241278266_0_0_0&highlighted_blocks=580530501_241278266_0_0_0&matching_block_id=580530501_241278266_0_0_0&sr_pri_blocks=580530501_241278266_0_0_0__75000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
FiloSofias Home - The Best Luxury Guest House for Friends and Family in Rethymno-Crete,"Palea Ethniki Odos Rethimnou Irakliou 35 1. Ισόγειο, Angeliana, 74052, Greece",9.4Wonderful 13 reviews,"['Non-smoking rooms', 'Free parking', 'Free WiFi', 'Family rooms']","<span class=""bui-u-sr-only"">
Original price
US$311
Current price
US$286
</span>",75 m²,"['Smoking\n\nSmoking is not allowed.', 'Pets\n\n\nPets are not allowed.']",,https://www.booking.com/hotel/gr/filosofias-home.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&sid=4cc5dec2c68e6377819edd6ab66620de&aid=304142&ucfs=1&arphpl=1&checkin=2023-08-27&checkout=2023-09-01&dest_id=811&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&nflt=class%3D0%3Bht_id%3D201&srpvid=72b29d6e1da40417&srepoch=1685917407&all_sr_blocks=294133601_109586347_2_0_0&highlighted_blocks=294133601_109586347_2_0_0&matching_block_id=294133601_109586347_2_0_0&sr_pri_blocks=294133601_109586347_2_0_0__28975&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Argo Apartments Rethymno,"Ari Velouchioti, Rethymno, 74100, Greece",9.8Exceptional 9 reviews,"['Outdoor swimming pool', 'Free WiFi', 'Non-smoking rooms', 'Beachfront', 'Family rooms']","<span class=""bui-u-sr-only"">
Price
€ 765
</span>",56 m²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Quiet hours\n\n\nGuests need be quiet between 11:00 PM and 7:00 AM.', 'Pets\n\n\nPets are not allowed.']",,https://www.booking.com/hotel/gr/argo-apartments-rethymno.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&sid=4cc5dec2c68e6377819edd6ab66620de&aid=304142&ucfs=1&arphpl=1&checkin=2023-08-27&checkout=2023-09-01&dest_id=811&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&nflt=class%3D0%3Bht_id%3D201&srpvid=72b29d6e1da40417&srepoch=1685917407&all_sr_blocks=293980701_276096586_4_0_0&highlighted_blocks=293980701_276096586_4_0_0&matching_block_id=293980701_276096586_4_0_0&sr_pri_blocks=293980701_276096586_4_0_0__76500&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Kallithea Apartments,"Επαρχιακή Οδός Μύρτου, Myrtos, 72056, Greece",8.4Very Good 33 reviews,"['Free WiFi', 'Non-smoking rooms', 'Free parking', 'Family rooms']","<span class=""bui-u-sr-only"">
Original price
€ 275
Current price
€ 253
</span>",,['Pets\n\n\nFree!\nPets are allowed. No extra charges.'],,https://www.booking.com/hotel/gr/alexandros-apartments-neos-murtos.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&sid=4cc5dec2c68e6377819edd6ab66620de&aid=304142&ucfs=1&arphpl=1&checkin=2023-08-27&checkout=2023-09-01&dest_id=811&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&nflt=class%3D0%3Bht_id%3D201&srpvid=72b29d6e1da40417&srepoch=1685917407&all_sr_blocks=712420201_354702505_0_0_0&highlighted_blocks=712420201_354702505_0_0_0&matching_block_id=712420201_354702505_0_0_0&sr_pri_blocks=712420201_354702505_0_0_0__27500&from=searchresults#hotelTmpl
