name,location,reviews,facilities,price,size,rules,stars,link
C Suites,"31 Nikiforou Foka, Rethymno, 74100, Greece",9.3Wonderful 184 reviews,"['Non-smoking rooms', 'Airport shuttle', 'Free WiFi']","<span class=""bui-u-sr-only"">
Original price
€ 1,001
Current price
€ 601
</span>",25 m²,['Pets\n\n\nPets are not allowed.'],,https://www.booking.com/hotel/gr/jem-suites-rethymno.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&sid=4cc5dec2c68e6377819edd6ab66620de&aid=304142&ucfs=1&arphpl=1&checkin=2023-08-27&checkout=2023-09-01&dest_id=811&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&nflt=ht_id%3D208%3Bht_id%3D223%3Bht_id%3D204%3Bclass%3D0%3Bht_id%3D213%3Bht_id%3D220%3Bht_id%3D203%3Bht_id%3D216%3Bht_id%3D214%3Bht_id%3D222%3Bht_id%3D224%3Bht_id%3D221%3Bht_id%3D206%3Bht_id%3D210%3Bht_id%3D225%3Bht_id%3D228%3Bht_id%3D235&srpvid=2eef00c77c4e00ad&srepoch=1685923600&all_sr_blocks=834973902_348903449_2_1_0&highlighted_blocks=834973902_348903449_2_1_0&matching_block_id=834973902_348903449_2_1_0&sr_pri_blocks=834973902_348903449_2_1_0__60060&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Areti Suites,"Kathiania Akrotiriou , Kathiana, 73100, Greece",8.4Very Good 369 reviews,"['Outdoor swimming pool', 'Free parking', 'Room service', 'Family rooms', 'Free WiFi', 'Bar', 'Excellent Breakfast']","<span class=""bui-u-sr-only"">
Original price
€ 475
Current price
€ 437
</span>",35 m²,['Pets\n\n\nPets are not allowed.'],,https://www.booking.com/hotel/gr/areti-suites.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&sid=4cc5dec2c68e6377819edd6ab66620de&aid=304142&ucfs=1&arphpl=1&checkin=2023-08-27&checkout=2023-09-01&dest_id=811&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&nflt=ht_id%3D208%3Bht_id%3D223%3Bht_id%3D204%3Bclass%3D0%3Bht_id%3D213%3Bht_id%3D220%3Bht_id%3D203%3Bht_id%3D216%3Bht_id%3D214%3Bht_id%3D222%3Bht_id%3D224%3Bht_id%3D221%3Bht_id%3D206%3Bht_id%3D210%3Bht_id%3D225%3Bht_id%3D228%3Bht_id%3D235&srpvid=2eef00c77c4e00ad&srepoch=1685923600&all_sr_blocks=43413102_100206760_0_1_0&highlighted_blocks=43413102_100206760_0_1_0&matching_block_id=43413102_100206760_0_1_0&sr_pri_blocks=43413102_100206760_0_1_0__47500&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Galini Beach Hotel,"Telonio Beach, Kissamos, 73400, Greece",8.8Excellent 393 reviews,"['Non-smoking rooms', 'Airport shuttle', 'Free WiFi', 'Free parking', 'Family rooms', 'Beachfront', 'Wonderful Breakfast']","<span class=""bui-u-sr-only"">
Original price
€ 660
Current price
€ 607
</span>",20 m²,['Pets\n\n\nPets are not allowed.'],,https://www.booking.com/hotel/gr/galini-beach-kasteli-kissamos.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&sid=4cc5dec2c68e6377819edd6ab66620de&aid=304142&ucfs=1&arphpl=1&checkin=2023-08-27&checkout=2023-09-01&dest_id=811&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&nflt=ht_id%3D208%3Bht_id%3D223%3Bht_id%3D204%3Bclass%3D0%3Bht_id%3D213%3Bht_id%3D220%3Bht_id%3D203%3Bht_id%3D216%3Bht_id%3D214%3Bht_id%3D222%3Bht_id%3D224%3Bht_id%3D221%3Bht_id%3D206%3Bht_id%3D210%3Bht_id%3D225%3Bht_id%3D228%3Bht_id%3D235&srpvid=2eef00c77c4e00ad&srepoch=1685923600&all_sr_blocks=19005503_88566391_2_2_0&highlighted_blocks=19005503_88566391_2_2_0&matching_block_id=19005503_88566391_2_2_0&sr_pri_blocks=19005503_88566391_2_2_0__66000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Spilia Village Hotel & Villas,"Spilia Kolimvariou, Spiliá, 73006, Greece",8.6Excellent 424 reviews,"['2 swimming pools', 'Non-smoking rooms', 'Airport shuttle', 'Free parking', 'Restaurant', 'Free WiFi', 'Family rooms', 'Bar']","<span class=""bui-u-sr-only"">
Price
$735
</span>",237 feet²,['Pets\n\n\nPets are not allowed.'],,https://www.booking.com/hotel/gr/spilia-village.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&sid=4cc5dec2c68e6377819edd6ab66620de&aid=304142&ucfs=1&arphpl=1&checkin=2023-08-27&checkout=2023-09-01&dest_id=811&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&nflt=ht_id%3D208%3Bht_id%3D223%3Bht_id%3D204%3Bclass%3D0%3Bht_id%3D213%3Bht_id%3D220%3Bht_id%3D203%3Bht_id%3D216%3Bht_id%3D214%3Bht_id%3D222%3Bht_id%3D224%3Bht_id%3D221%3Bht_id%3D206%3Bht_id%3D210%3Bht_id%3D225%3Bht_id%3D228%3Bht_id%3D235&srpvid=2eef00c77c4e00ad&srepoch=1685923600&all_sr_blocks=25266203_0_2_1_0&highlighted_blocks=25266203_0_2_1_0&matching_block_id=25266203_0_2_1_0&sr_pri_blocks=25266203_0_2_1_0__68533&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Villa Ida in Kamilari,"Kamilari, Kamilari, 70200, Greece",,"['Outdoor swimming pool', 'Airport shuttle', 'Free WiFi', 'Free parking']","<span class=""bui-u-sr-only"">
Price
10,786 zł
</span>",130 m²,['Pets\n\n\nFree!\nPets are allowed. No extra charges.'],,https://www.booking.com/hotel/gr/villa-ida.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&sid=4cc5dec2c68e6377819edd6ab66620de&aid=304142&ucfs=1&arphpl=1&checkin=2023-08-27&checkout=2023-09-01&dest_id=811&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&nflt=ht_id%3D208%3Bht_id%3D223%3Bht_id%3D204%3Bclass%3D0%3Bht_id%3D213%3Bht_id%3D220%3Bht_id%3D203%3Bht_id%3D216%3Bht_id%3D214%3Bht_id%3D222%3Bht_id%3D224%3Bht_id%3D221%3Bht_id%3D206%3Bht_id%3D210%3Bht_id%3D225%3Bht_id%3D228%3Bht_id%3D235&srpvid=2eef00c77c4e00ad&srepoch=1685923600&all_sr_blocks=1007267601_373596446_6_0_0&highlighted_blocks=1007267601_373596446_6_0_0&matching_block_id=1007267601_373596446_6_0_0&sr_pri_blocks=1007267601_373596446_6_0_0__240000&from=searchresults#hotelTmpl
Inotropes Boutique Suites - Adults Only,"ano archanes, Archanes, 70100, Greece",9.4Wonderful 227 reviews,"['Non-smoking rooms', 'Airport shuttle', 'Free parking', 'Free WiFi', 'Tea/Coffee Maker in All Rooms', 'Exceptional Breakfast']","<span class=""bui-u-sr-only"">
Original price
$2,177
Current price
$1,351
</span>",441 feet²,['Pets\n\n\nPets are not allowed.'],,https://www.booking.com/hotel/gr/inotropes-boutique-suites.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&sid=4cc5dec2c68e6377819edd6ab66620de&aid=304142&ucfs=1&arphpl=1&checkin=2023-08-27&checkout=2023-09-01&dest_id=811&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&nflt=ht_id%3D208%3Bht_id%3D223%3Bht_id%3D204%3Bclass%3D0%3Bht_id%3D213%3Bht_id%3D220%3Bht_id%3D203%3Bht_id%3D216%3Bht_id%3D214%3Bht_id%3D222%3Bht_id%3D224%3Bht_id%3D221%3Bht_id%3D206%3Bht_id%3D210%3Bht_id%3D225%3Bht_id%3D228%3Bht_id%3D235&srpvid=2eef00c77c4e00ad&srepoch=1685923600&all_sr_blocks=731025506_326117584_2_2_0&highlighted_blocks=731025506_326117584_2_2_0&matching_block_id=731025506_326117584_2_2_0&sr_pri_blocks=731025506_326117584_2_2_0__117711&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
GT Beach,"Maleme beach, Maleme, 73014, Greece",8.1Very Good 378 reviews,"['Outdoor swimming pool', 'Free parking', 'Non-smoking rooms', 'Airport shuttle', 'Beachfront', 'Free WiFi', 'Family rooms', 'Bar', 'Private beach area', 'Good Breakfast']","<span class=""bui-u-sr-only"">
Original price
MXN 14,064
Current price
MXN 11,251
</span>",20 m²,['Pets\n\n\nPets are not allowed.'],,https://www.booking.com/hotel/gr/gt-beach.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&sid=4cc5dec2c68e6377819edd6ab66620de&aid=304142&ucfs=1&arphpl=1&checkin=2023-08-27&checkout=2023-09-01&dest_id=811&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&nflt=ht_id%3D208%3Bht_id%3D223%3Bht_id%3D204%3Bclass%3D0%3Bht_id%3D213%3Bht_id%3D220%3Bht_id%3D203%3Bht_id%3D216%3Bht_id%3D214%3Bht_id%3D222%3Bht_id%3D224%3Bht_id%3D221%3Bht_id%3D206%3Bht_id%3D210%3Bht_id%3D225%3Bht_id%3D228%3Bht_id%3D235&srpvid=2eef00c77c4e00ad&srepoch=1685923600&all_sr_blocks=242222744_101898218_3_1_0&highlighted_blocks=242222744_101898218_3_1_0&matching_block_id=242222744_101898218_3_1_0&sr_pri_blocks=242222744_101898218_3_1_0__60000&from=searchresults#hotelTmpl
Monastiriako,"Monastiriako, Giannoudi 1, Giannoudi, 74100, Greece",9.7Exceptional 8 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Free parking', 'Airport shuttle', 'Family rooms', 'Tea/Coffee Maker in All Rooms', 'Bar', 'Breakfast']","<span class=""bui-u-sr-only"">
Price
CAD 590
</span>",45 m²,"['Smoking\n\nSmoking is not allowed.', 'Pets\n\n\nPets are not allowed.']",,https://www.booking.com/hotel/gr/louloudi-villas.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&sid=4cc5dec2c68e6377819edd6ab66620de&aid=304142&ucfs=1&arphpl=1&checkin=2023-08-27&checkout=2023-09-01&dest_id=811&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&nflt=ht_id%3D208%3Bht_id%3D223%3Bht_id%3D204%3Bclass%3D0%3Bht_id%3D213%3Bht_id%3D220%3Bht_id%3D203%3Bht_id%3D216%3Bht_id%3D214%3Bht_id%3D222%3Bht_id%3D224%3Bht_id%3D221%3Bht_id%3D206%3Bht_id%3D210%3Bht_id%3D225%3Bht_id%3D228%3Bht_id%3D235&srpvid=2eef00c77c4e00ad&srepoch=1685923600&all_sr_blocks=897402803_362854845_2_2_0&highlighted_blocks=897402803_362854845_2_2_0&matching_block_id=897402803_362854845_2_2_0&sr_pri_blocks=897402803_362854845_2_2_0__40885&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Cretan Royalty,"Loutra village, Loutra, 74100, Greece",9.2Wonderful 29 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Free parking', 'Airport shuttle', 'Room service', 'Free WiFi', 'Family rooms', 'Tea/Coffee Maker in All Rooms']","<span class=""bui-u-sr-only"">
Original price
$1,019
Current price
$866
</span>",700 feet²,['Pets\n\n\nPets are not allowed.'],,https://www.booking.com/hotel/gr/eden-residences.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&sid=4cc5dec2c68e6377819edd6ab66620de&aid=304142&ucfs=1&arphpl=1&checkin=2023-08-27&checkout=2023-09-01&dest_id=811&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&nflt=ht_id%3D208%3Bht_id%3D223%3Bht_id%3D204%3Bclass%3D0%3Bht_id%3D213%3Bht_id%3D220%3Bht_id%3D203%3Bht_id%3D216%3Bht_id%3D214%3Bht_id%3D222%3Bht_id%3D224%3Bht_id%3D221%3Bht_id%3D206%3Bht_id%3D210%3Bht_id%3D225%3Bht_id%3D228%3Bht_id%3D235&srpvid=2eef00c77c4e00ad&srepoch=1685923600&all_sr_blocks=400716101_368400398_2_0_0&highlighted_blocks=400716101_368400398_2_0_0&matching_block_id=400716101_368400398_2_0_0&sr_pri_blocks=400716101_368400398_2_0_0__80750&from=searchresults#hotelTmpl
Casa D'Irene Deluxe Hotel,"Eparchiaki Odos Katelliou-Platanou Platanos, Falasarna, 73400, Greece",8.8Excellent 690 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Free parking', 'Restaurant', 'Family rooms', 'Free WiFi', 'Facilities for disabled guests', 'Tea/Coffee Maker in All Rooms', 'Bar', 'Wonderful Breakfast']","<span class=""bui-u-sr-only"">
Original price
RUB 103,548
Current price
RUB 98,371
</span>",22 m²,['Pets\n\n\nPets are not allowed.'],,https://www.booking.com/hotel/gr/casa-irene-kissamos.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&sid=4cc5dec2c68e6377819edd6ab66620de&aid=304142&ucfs=1&arphpl=1&checkin=2023-08-27&checkout=2023-09-01&dest_id=811&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&nflt=ht_id%3D208%3Bht_id%3D223%3Bht_id%3D204%3Bclass%3D0%3Bht_id%3D213%3Bht_id%3D220%3Bht_id%3D203%3Bht_id%3D216%3Bht_id%3D214%3Bht_id%3D222%3Bht_id%3D224%3Bht_id%3D221%3Bht_id%3D206%3Bht_id%3D210%3Bht_id%3D225%3Bht_id%3D228%3Bht_id%3D235&srpvid=2eef00c77c4e00ad&srepoch=1685923600&all_sr_blocks=398099801_123255872_2_33_0&highlighted_blocks=398099801_123255872_2_33_0&matching_block_id=398099801_123255872_2_33_0&sr_pri_blocks=398099801_123255872_2_33_0__112813&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
