name,location,reviews,facilities,price,size,rules,stars
Thomais Boutique Hotel,"Episkopos - Nikiana, Nikiana, 31100, Greece",8.8Excellent 77 reviews,"['Outdoor swimming pool', 'Free WiFi', 'Non-smoking rooms', 'Airport shuttle', 'Restaurant', 'Free parking', 'Room service', 'Tea/Coffee Maker in All Rooms', 'Bar', 'Exceptional Breakfast']","<span class=""bui-u-sr-only"">
Original price
€ 1,130
Current price
€ 796
</span>",18 m²,['Pets\n\n\nPets are not allowed.'],4
Hotel Lefkas,"Filippa Panagou 2, Lefkada, 31100, Greece",9.0Wonderful 71 reviews,"['Non-smoking rooms', 'Room service', 'Restaurant', 'Free WiFi', 'Beachfront', 'Family rooms', 'Tea/Coffee Maker in All Rooms', 'Bar', 'Very Good Breakfast']","<span class=""bui-u-sr-only"">
Price
$735
</span>",161 feet²,['Pets\n\n\nPets are not allowed.'],
Villa Elenia,"Tsoukalades, Tsoukalades, 31100, Greece",9.4Wonderful 85 reviews,"['Outdoor swimming pool', 'Free parking', 'Free WiFi', 'Non-smoking rooms', 'Room service', 'Family rooms', 'Bar', 'Breakfast']","<span class=""bui-u-sr-only"">
Original price
€ 2,100
Current price
€ 1,680
</span>",45 m²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Pets\n\n\nPets are not allowed.']",3
George House,"Kariotes, Lygia, 31080, Greece",8.5Very Good 138 reviews,"['Free WiFi', 'Non-smoking rooms', 'Airport shuttle', 'Free parking', 'Room service', 'Family rooms']","<span class=""bui-u-sr-only"">
Price
€ 348
</span>",20 m²,['Pets\n\n\nPets are allowed on request. Charges may apply.'],3
Pansion Filoxenia Apartments & Studios,"Tsoukalades, Tsoukalades, 31100, Greece",8.6Excellent 369 reviews,"['Free parking', 'Non-smoking rooms', 'Free WiFi', 'Family rooms']","<span class=""bui-u-sr-only"">
Price
$644
</span>",183 feet²,['Pets\n\n\nPets are not allowed.'],
Lefkas Petra,"Agios Nikitas, Agios Nikitas, 31080, Greece",8.9Excellent 344 reviews,"['Outdoor swimming pool', 'Free WiFi', 'Non-smoking rooms', 'Free parking', 'Tea/Coffee Maker in All Rooms', 'Excellent Breakfast']","<span class=""bui-u-sr-only"">
Price
€ 625
</span>",18 m²,['Pets\n\n\nPets are not allowed.'],3
Hotel Agios Nikitas,"Agios Nikitas, Agios Nikitas, 28000, Greece",8.5Very Good 214 reviews,"['Non-smoking rooms', 'Free WiFi', 'Family rooms', 'Bar']","<span class=""bui-u-sr-only"">
Price
£989
</span>",377 feet²,['Pets\n\n\nPets are not allowed.'],2
Akroyiali Resort,"Vasiliki, Vasiliki, 31082, Greece",8.2Very Good 250 reviews,"['Non-smoking rooms', 'Free parking', 'Room service', 'Free WiFi', 'Beachfront', 'Family rooms', 'Bar', 'Breakfast']","<span class=""bui-u-sr-only"">
Price
$745
</span>",269 feet²,['Pets\n\n\nPets are not allowed.'],
Porto Galini Seaside Resort & Spa,"Main Street, Nikiana, 31100, Greece",9.4Wonderful 748 reviews,"['4 swimming pools', 'Non-smoking rooms', 'Spa', 'Fitness center', 'Free parking', 'Restaurant', 'Tea/Coffee Maker in All Rooms', 'Bar', 'Private beach area', 'Exceptional Breakfast']","<span class=""bui-u-sr-only"">
Price
CAD 1,658
</span>",25 m²,['Pets\n\n\nPets are not allowed.'],5
villa on the sea,"γυρα λευκαδα, Ayía Marína, 31100, Greece",9.2Wonderful 108 reviews,"['Free parking', 'Beachfront', 'Free WiFi', 'Family rooms']","<span class=""bui-u-sr-only"">
Price
£1,111
</span>",517 feet²,"['Parties\n\n\nParties/events are not allowed', 'Pets\n\n\nPets are not allowed.']",3
