name,location,stars,amount_conv,Rating,NumReviews,Airport,Pool,Breakfast,Family_Rooms,Parking,Restaurant,size_m2,Pets,Month,Location
Creta Verano Hotel,"El. Venizelou 183 Str., Malia, 70007, Greece",3.0,498.0,8.1, 37 ,False,True,True,True,True,True,18.0,False,July,Crete
Alexander Mountain Resort,"Gerakari, Yerakárion, 74061, Greece",3.0,363.0,9.1,291 ,False,False,True,False,True,True,22.0,True,July,Crete
Blue Dream Hotel,"Stavromenos, Stavromenos, 74100, Greece",3.0,510.4166666666667,8.3, 251 ,True,True,True,False,True,True,27.0,True,July,Crete
Hiona Holiday Hotel,"Palaikastro, Palekastron, 72300, Greece",,511.214953271028,8.8,334 ,True,True,True,True,True,False,14.0,False,July,Crete
Orne Magical Retreat,"Ορνέ Ρεθύμνου, Orné, Greece",,298.13084112149534,9.5,19 ,False,False,False,True,True,False,,True,July,Crete
Dimitris Villa Hotel,"Main Street, Matala, 70200, Greece",3.0,366.0,7.7,852 ,True,False,True,True,True,True,30.0,False,July,Crete
Chez Cécile Home,"MOXLOS, Mochlos, 72057, Greece",3.0,300.0,8.5, 364 ,False,False,False,False,True,False,20.0,True,July,Crete
The Maxine Hotel - Adults Only,"Agia Galini, Agia Galini, 74056, Greece",,523.3644859813083,8.0, 5 ,True,True,True,False,True,True,27.0,True,July,Crete
Pension Irene,"Sougia, Sougia, 73009, Greece",,330.84112149532706,8.8,262 ,False,False,True,True,False,False,27.0,False,July,Crete
Eva Suites & Apartments,"Agia Marina Chania Crete, Galatás, 73014, Greece",,541.1214953271028,,,False,True,False,True,False,False,19.0,False,July,Crete
Villa Irini,"Emmanouil skarvelaki Residence, Patsídhes, 18345, Greece",3.0,478.5894206549118,9.5,15 ,False,False,False,True,True,False,70.0,False,July,Crete
Stella Beach Hotel,"Panormos Rethymno, Panormos Rethymno, 74057, Greece",3.0,471.0,8.7,103 ,False,True,True,False,False,True,21.0,False,July,Crete
Castro Hotel,"A.Papandreou str. 301, Amoudara Herakliou, 71414, Greece",3.0,526.1964735516373,8.2, 522 ,False,True,True,True,True,True,15.0,False,July,Crete
Horizon Beach Hotel,"West End on coast, Plakias, 74060, Greece",,511.214953271028,8.9,429 ,False,False,True,True,True,False,18.0,True,July,Crete
Vanisko Hotel,"7, Andrea Papandreou Street, Amoudara Herakliou, 71414, Greece",,542.9906542056075,7.8,281 ,False,False,True,True,True,False,18.0,False,July,Crete
Eleana Nature & Art,"Eparchiaki Odos Vrison-Sfakion 6, Hora Sfakion, 73011, Greece",3.0,541.2213740458016,9.4,406 ,True,False,False,True,True,False,20.0,True,July,Crete
Dedalos Hotel,"11 Odissea Eliti, Malia, 70007, Greece",3.0,445.34883720930236,8.5, 292 ,True,True,False,False,True,True,19.0,True,July,Crete
Velanos Villas,"Kefali, Chania, Kefálion, 73132, Greece",3.0,500.1389469643344,9.4,241 ,False,True,False,True,True,False,45.0,True,July,Crete
Palladion,"Adelianos Kampos, Adelianos Kampos, 74100, Greece",3.0,540.9722222222223,8.1, 163 ,False,True,False,True,True,True,,False,July,Crete
Hotel Brascos,"Moatsou & Daskalaki 1, Rethymno, 74100, Greece",3.0,522.9166666666667,6.7,591 ,False,True,True,False,True,True,,False,July,Crete
Remezzo,"mochlos sitia lasithi greece, Mochlos, 72057, Greece",,300.93457943925233,8.7,159 ,False,False,True,False,False,False,14.0,True,July,Crete
Kamihis Farm House Experience,"Zaros square, Zaros, 70002, Greece",3.0,440.69767441860466,9.6,126 ,True,False,False,False,False,False,24.0,False,July,Crete
FUTURA APARTMENTS,"Maleme, Chania, 73100, Greece",3.0,529.8611111111111,,,False,True,False,True,False,True,30.0,False,July,Crete
Coral,"Frangokastello, Frangokastello, 73011, Greece",,313.0841121495327,9.2,297 ,True,False,True,False,True,True,,True,July,Crete
Pasithea villas,"Frangokastello, Frangokastello, 73011, Greece",,300.93457943925233,9.2,175 ,False,False,False,False,True,False,19.0,True,July,Crete
Remezzo,"mochlos sitia lasithi greece, Mochlos, 72057, Greece",3.0,362.94642857142856,8.7,159 ,False,False,True,False,False,False,20.0,True,July,Crete
Kamihis Farm House Experience,"Zaros square, Zaros, 70002, Greece",,481.30841121495325,9.6,126 ,True,False,False,False,False,False,24.0,False,July,Crete
Hermes Hotel,"Iroon Polytechniou 94, 73400 Kissamos, Kissamos, 73400, Greece",,598.1308411214953,8.0, 618 ,True,True,True,False,True,True,15.0,True,July,Crete
FUTURA APARTMENTS,"Maleme, Chania, 73100, Greece",3.0,481.10599078341016,,,False,True,False,True,False,True,30.0,False,July,Crete
Emilio's House,"Agia Paraskevi, Agia Paraskevi, 74055, Greece",,595.3271028037383,9.0,11 ,False,False,False,True,False,False,79.0,True,July,Crete
Coral,"Frangokastello, Frangokastello, 73011, Greece",,390.6542056074766,9.2,297 ,True,False,True,False,True,True,,True,July,Crete
Astron Hotel,"Papaioannou 1, Ierapetra, 72200, Greece",3.0,570.8333333333334,8.0, 188 ,True,False,False,True,True,False,25.0,False,July,Crete
Ekavi Hotel,"Sfakaki, Sfakaki, 74100, Greece",3.0,455.8139534883721,8.4, 101 ,False,True,False,True,True,True,19.0,False,July,Crete
