name,location,stars,amount_conv,Rating,NumReviews,Airport,Pool,Breakfast,Family_Rooms,Parking,Restaurant,size_m2,Pets,Month,Location
Mr & Mrs White Mykonos,"Platis Yalos, Platis Gialos, 84600, Greece",4.0,2052.777777777778,8.0, 99 ,True,True,True,True,True,False,22.0,False,July,Mykonos
Saint John Hotel Villas & Spa,"Agios Ioannis, Agios Ioannis Mykonos, 84600, Greece",5.0,3355.5555555555557,8.7,"1,069 ",True,False,True,False,True,False,30.0,False,July,Mykonos
Asty Mykonos Hotel & Spa,"Drafaki Mykonos, Drafaki, 84600, Greece",5.0,4390.178571428571,9.3,98 ,True,True,True,True,True,True,35.0,True,July,Mykonos
Ftelia Bay Boutique Hotel,"Ftelia, Ftelia, 84600, Greece",4.0,2084.027777777778,8.9,326 ,True,True,False,True,False,True,23.0,False,July,Mykonos
Mykonos Residence Villas & Suites Merchia Beach,"Merchia Beach, Παραλία Μερχιάς, Merchia Beach, 84600, Greece",4.0,2673.0,8.9,33 ,True,True,True,False,True,False,35.0,True,July,Mykonos
Hotel Tagoo,"Tagoo Area, Mikonos, 84600, Greece",4.0,2845.0,9.1,360 ,True,True,True,True,False,False,20.0,False,July,Mykonos
Manoula's Beach Mykonos Resort,"Main Street, Agios Ioannis Mykonos, 84600, Greece",4.0,2665.1162790697676,9.2,501 ,True,True,True,False,True,False,24.0,False,July,Mykonos
Lyo Boutique Hotel Mykonos,"Super Paradise, Super Paradise Beach, 84600, Greece",4.0,4815.887850467289,9.5,474 ,True,False,True,False,True,True,30.0,False,July,Mykonos
Mykonos Lolita,"Main Street, Agios Sostis Mykonos, 84600, Greece",,3049.5327102803735,8.7,108 ,True,True,False,True,True,True,32.0,False,July,Mykonos
Arte & Mare Elia Luxury Suites & Vllas,"Main Street, Elia Beach, 84600, Greece",,4240.18691588785,8.5, 428 ,True,False,True,False,False,False,49.0,False,July,Mykonos
Venus Myconian Residences,"Lia Beach, Mykonos, Kalafatis, 84600, Greece",4.0,1732.0,9.5,208 ,True,False,False,True,True,False,35.0,True,July,Mykonos
Archipelagos All Suites,"ELIA MAIN ROAD, Elia Beach, 84600, Greece",,4121.4953271028035,9.0,63 ,True,True,True,False,True,False,31.0,False,July,Mykonos
Anemela Villas & Suites Mykonos,"Agrari Mykonos, Agrari, 84600, Greece",,2208.4112149532707,9.6,64 ,True,True,False,False,True,False,53.0,False,July,Mykonos
Smy Mykonos Suites & Villas - ex Greco Philia,"Main Street, Elia Beach, 84600, Greece",5.0,4049.0,8.8,176 ,True,True,True,False,True,True,20.0,False,July,Mykonos
Nimbus My Aktis,"Super Paradise beach, Super Paradise Beach, 84600, Greece",,5180.0,9.3,463 ,True,True,True,False,False,False,21.0,False,July,Mykonos
Charisma Hotel and Wellness Suites,"Plintri Agios Isidoros, Plintri, 84600, Greece",4.0,3621.0,9.3,141 ,True,False,True,False,False,False,30.0,False,July,Mykonos
Aeolos Resort,"Road Mykonou-Ano Meras, Mikonos, 48600, Greece",4.0,3456.5363217540885,9.6,"1,285 ",True,False,True,False,True,True,25.0,True,July,Mykonos
Kensho Ornos,"Ornos Mykonou , Ornos, 84600, Greece",5.0,4748.364805692392,9.4,214 ,True,True,True,False,True,False,25.0,True,July,Mykonos
The Wild by Interni,"Kalafatis, Kalafatis, 84600, Greece",5.0,3775.1470588235293,8.8,503 ,False,True,True,False,True,True,21.0,True,July,Mykonos
Agrari Ninemia Hotel Mykonos,"ΑΓΡΑΡΙ, Agrari, 84600, Greece",,2886.9158878504672,9.0,10 ,True,False,False,False,True,True,35.0,False,July,Mykonos
Pietra e Mare,"Kalo Livadi, Mykonos, Kalo Livadi, 84700, Greece",4.0,1841.0,7.9,226 ,True,True,True,False,True,True,30.0,False,July,Mykonos
Porto Mykonos,"Mykonos City, Mikonos, 84600, Greece",4.0,2879.0,8.6,411 ,True,False,True,True,True,True,24.0,True,July,Mykonos
Destino Pacha Mykonos,"Agrotiki Odos, Agios Stefanos, Agios Stefanos, 84600, Greece",5.0,4477.0,9.2,89 ,True,True,True,False,True,False,26.0,True,July,Mykonos
Aeonic Suites and Spa,"Korfos Ornos, Mikonos, 84600, Greece",5.0,6650.0,9.5,318 ,True,True,False,False,False,True,50.0,False,July,Mykonos
"Radisson Blu Euphoria Resort, Mykonos","Kalo Livadi Mykonos, Kalo Livadi, 84600, Greece",5.0,3240.0759843426204,8.8,222 ,True,True,False,False,True,True,35.0,False,July,Mykonos
Nimbus Mykonos,"mykonos ag stefanos, Agios Stefanos, 84600, Greece",,5033.404977375565,9.3,418 ,True,True,False,True,True,True,24.0,False,July,Mykonos
Hotel Alkyon,"Ano Mera - Peripheral Road, Mikonos, 84600, Greece",,2609.345794392523,9.0,800 ,True,True,False,False,True,False,19.0,False,July,Mykonos
Venus Myconian Residences,"Lia Beach, Mykonos, Kalafatis, 84600, Greece",4.0,1882.0,9.5,208 ,True,False,False,True,True,False,35.0,True,July,Mykonos
Kamari Hotel,"Main Street, Platis Gialos, 84600, Greece",3.0,2522.093023255814,8.7,389 ,False,True,False,True,True,False,44.0,False,July,Mykonos
Villas Kalafatis Apartments,"Kalafatis bay, Kalafatis, 84600, Greece",3.0,1743.0,8.1, 190 ,True,False,False,True,True,False,40.0,False,July,Mykonos
Deliades Hotel,"Main Street, Ornos, 84500, Greece",4.0,3558.5750112249516,8.4, 251 ,True,True,False,True,True,True,35.0,False,July,Mykonos
Mykonos Essence Adults Only,"Ornos, Ornos, 84600, Greece",,2413.0841121495328,9.3,324 ,True,True,True,True,True,True,24.0,False,July,Mykonos
Agnandi Cielo,"Vorna Tourlou, P.O.Bx 417, Tourlos, 84600, Greece",,0.0,9.5,151 ,True,True,False,True,True,True,,False,July,Mykonos
Zephyros,"Main Street, Paraga, 84600, Greece",3.0,3087.149321266968,9.3,140 ,True,True,False,True,True,True,28.0,True,July,Mykonos
Mykonia Inn,"Ano Mera 84600 Mykonos, Ano Mera, 84600, Greece",3.0,1459.7222222222222,9.5,4 ,False,True,True,True,True,False,20.0,False,July,Mykonos
Alkistis Beach Hotel - Adults Only,"Agios Stefanos, Agios Stefanos, 84600, Greece",3.0,1612.2767857142856,8.4, 556 ,True,True,True,False,True,True,22.0,False,July,Mykonos
Grand Beach Hotel,"Megali Ammos, Mikonos, 84600, Greece",4.0,2147.2285067873304,8.8,356 ,False,True,True,False,True,True,28.0,False,July,Mykonos
Rocabella Mykonos Hotel,"Main Street, Agios Stefanos, 84600, Greece",5.0,5356.0,8.5, 155 ,True,True,True,False,True,False,35.0,False,July,Mykonos
San Marco Hotel and Villas,"Main Street, Houlakia, 84600, Greece",5.0,2046.0,7.3,258 ,True,True,True,False,False,False,32.0,True,July,Mykonos
Amazon Suites,"aghios ioannis mykonos, Agios Ioannis Mykonos, 84600, Greece",5.0,7200.0,9.9,151 ,True,False,True,False,True,True,28.0,False,July,Mykonos
Sea View Residence,"Costa Ilios area, Ornos, 84600, Greece",,1995.3488372093022,9.1,200 ,True,True,False,True,True,False,20.0,False,July,Mykonos
Lithos by Spyros & Flora,"Agios Ioannis, Agios Ioannis Mykonos, 84600, Greece",,2761.6822429906542,9.8,359 ,True,True,True,True,True,False,40.0,False,July,Mykonos
Petinos Beach Hotel,"Beach, Platis Gialos, 84600, Greece",4.0,7710.794297352342,9.0,394 ,True,True,True,False,False,True,50.0,False,July,Mykonos
Koukoumi Vegan Boutique Hotel,"Ano Mera Mykonos, Ano Mera, 84600, Greece",5.0,3127.0412584149835,9.3,158 ,True,True,True,False,True,False,34.0,True,July,Mykonos
Mykonos Double Luxury Mini Suites - Adults only,"ΑΝΩ ΜΕΡΑ, Ano Mera, 84600, Greece",,1360.7476635514017,9.3,166 ,True,False,False,False,True,False,24.0,False,July,Mykonos
Katikies Mykonos - The Leading Hotels of the World,"Agios Ioannis Mykonos, 84600, Greece",5.0,5390.0,8.8,89 ,True,False,True,False,True,False,25.0,True,July,Mykonos
Hippie Chic Hotel,"Agios Ioannis Mykonos , Agios Ioannis Mykonos, 84600, Greece",,3900.0,8.8,145 ,True,True,True,False,False,True,40.0,False,July,Mykonos
Paradise View Hotel,"Main Street, Paradise Beach, 84600, Greece",,3608.4112149532707,9.5,846 ,False,True,False,True,True,True,24.0,False,July,Mykonos
Eternal Suites,"Σχολη καλών Τεχνών -, Mikonos, 84600, Greece",,2556.07476635514,9.0,789 ,True,False,False,True,True,False,23.0,False,July,Mykonos
The Ammonite Resort,"ΘΕΣΗ ΧΑΛΑΡΑ SUPER PARADISE, Super Paradise Beach, 84600, Greece",4.0,3360.0,9.7,115 ,True,False,True,False,True,False,23.0,False,July,Mykonos
The George Hotel Mykonos,"Platis Gialos Beach, Platis Gialos, 84600, Greece",,2634.579439252336,9.0,501 ,True,False,True,True,True,False,24.0,False,July,Mykonos
Alana Mykonos,"Agios Antonios , Mikonos, 84600, Greece",,1948.5981308411215,9.6,40 ,True,False,False,False,False,False,23.0,False,July,Mykonos
Destino Pacha Mykonos,"Agrotiki Odos, Agios Stefanos, Agios Stefanos, 84600, Greece",,4851.401869158878,9.2,89 ,True,True,True,False,False,True,26.0,True,July,Mykonos
She Mykonos Boutique Hotel,"Petasos, Mikonos, 84600, Greece",,3016.822429906542,8.9,560 ,True,True,True,False,False,True,15.0,False,July,Mykonos
Magic View Suites Mykonos,"Kaminaki , Mikonos, 84600, Greece",4.0,1923.0,9.0,139 ,False,False,False,True,False,False,,False,July,Mykonos
Granite Village Mykonos,"Mykonos Lia, Ano Mera, 84600, Greece",,0.0,9.3,73 ,True,True,False,True,True,False,,True,July,Mykonos
With-inn Mykonos Suites,"Gefiraki, Tourlos, 84600, Greece",4.0,2292.0,9.3,607 ,False,False,False,False,True,False,35.0,True,July,Mykonos
"Radisson Blu Euphoria Resort, Mykonos","Kalo Livadi Mykonos, Kalo Livadi, 84600, Greece",5.0,3266.0,8.8,222 ,True,True,False,False,True,True,35.0,False,July,Mykonos
Mykonos Residence Villas & Suites Merchia Beach,"Merchia Beach, Παραλία Μερχιάς, Merchia Beach, 84600, Greece",4.0,2673.0,8.9,33 ,True,True,True,False,True,False,35.0,True,July,Mykonos
"Mykonos Blu, Grecotel Boutique Resort","Main Street, Psarou, 84600, Greece",,4742.056074766355,8.7,189 ,True,True,False,False,False,True,28.0,False,July,Mykonos
Koumi Homes Mykonos,"FTELIA, Ftelia, 84600, Greece",3.0,2877.906976744186,9.3,27 ,True,False,False,True,True,False,44.0,False,July,Mykonos
Nimbus Mykonos,"mykonos ag stefanos, Agios Stefanos, 84600, Greece",,4546.728971962617,9.3,418 ,True,True,False,True,True,True,23.0,False,July,Mykonos
Hotel Alkyon,"Ano Mera - Peripheral Road, Mikonos, 84600, Greece",4.0,2739.7148676171078,9.0,800 ,True,True,False,False,True,False,20.0,False,July,Mykonos
Venus Myconian Residences,"Lia Beach, Mykonos, Kalafatis, 84600, Greece",4.0,1737.0535714285713,9.5,208 ,True,False,False,True,True,False,35.0,True,July,Mykonos
The Summit of Mykonos,"Kalo Livadi, Kalo Livadi, 84600, Greece",4.0,1998.80267186898,9.0,226 ,True,True,True,True,True,False,30.0,True,July,Mykonos
Sunrise Hotel and Suites,"Main Street, Agrari, 84600, Greece",3.0,1665.2777777777778,7.3,263 ,True,True,False,False,True,True,30.0,False,July,Mykonos
Hotel Madalena,"ΞΕΝΟΔΟΧΕΙΟ ΜΑΝΤΑΛΕΝΑ Τ.Θ. 94, Mikonos, 84600, Greece",3.0,2804.3212669683257,9.1,830 ,True,True,True,True,True,False,25.0,False,July,Mykonos
Kamari Hotel,"Main Street, Platis Gialos, 84600, Greece",3.0,2521.119909502262,8.7,389 ,False,True,False,True,True,False,45.0,False,July,Mykonos
The TownHouse Mykonos,"Manto Square Cyclades, , 84600, Greece Mykonos Town - Chora, Mikonos, 84600, Greece",,3670.093457943925,9.5,310 ,True,False,True,False,False,False,18.0,False,July,Mykonos
Due Mari Mykonos,"AGIOS IOANNIS, MYKONOS, Agios Ioannis Mykonos, 84600, Greece",,2760.4651162790697,9.6,196 ,True,True,True,True,True,False,35.0,True,July,Mykonos
Deliades Hotel,"Main Street, Ornos, 84500, Greece",4.0,3496.0,8.4, 251 ,True,True,False,True,True,True,35.0,False,July,Mykonos
Mykonos Grand Hotel & Resort,"Agios Ioannis, Agios Ioannis Mykonos, 84600, Greece",5.0,14081.39534883721,9.6,245 ,True,True,False,False,True,True,85.0,False,July,Mykonos
My Oasis Studios Mykonos,"Μύκονος, Klouvas, 84600, Greece",3.0,1729.0,8.2, 100 ,True,True,False,True,True,False,,False,July,Mykonos
Mykonos Essence Adults Only,"Ornos, Ornos, 84600, Greece",4.0,2239.5089285714284,9.3,324 ,True,True,True,True,True,True,25.0,False,July,Mykonos
Villas Kalafatis Apartments,"Kalafatis bay, Kalafatis, 84600, Greece",,1743.9252336448596,8.1, 190 ,True,False,False,True,True,False,40.0,False,July,Mykonos
