name,location,stars,amount_conv,Rating,NumReviews,Airport,Pool,Breakfast,Family_Rooms,Parking,Restaurant,size_m2,Pets,Month,Location
Polis of Naxos Stylish Suites,"ΧΩΡΑ ΝΑΞΟΣ, Naxos Chora, 84300, Greece",3.0,1541.1471321695763,9.0,26 ,True,False,False,True,False,False,20.0,False,July,Naxos
Gaitani apartments plaka naxos,"ORKOS, Mikri Vigla, 84304, Greece",3.0,734.0,8.6,37 ,False,False,False,True,True,False,35.0,False,July,Naxos
Naxos Palace Hotel,"Main Street, Stelida, 84300, Greece",4.0,679.4392523364486,7.0,211 ,True,False,False,True,True,False,27.0,True,July,Naxos
Golden Sun Hotel,"Stelida, Stelida, 84300, Greece",,998.1308411214952,8.9,260 ,True,False,True,True,True,True,30.0,False,July,Naxos
Kavuras Village,"Agios Prokopios, Agios Prokopios, 84300, Greece",4.0,1168.0555555555557,8.3, 51 ,False,True,True,True,True,True,20.0,False,July,Naxos
Orkos Beach Hotel,"Main Street, Mikri Vigla, 84300, Greece",2.0,1096.0,8.8,163 ,False,True,False,True,True,False,20.0,False,July,Naxos
Irida Luxury Apartments,"Kastraki, Kastraki, 84300, Greece",3.0,2519.0,9.4,243 ,True,True,True,True,True,False,34.0,True,July,Naxos
Marine Dream,"Plaka Beach, Plaka, 84300, Greece",3.0,1401.0,8.7,89 ,True,False,True,True,True,False,25.0,False,July,Naxos
Naxos Filoxenia Hotel,"Evagellou D. Michelopoulou str,, Galini, 84300, Greece",3.0,1010.4651162790698,9.2,79 ,False,False,False,True,True,False,24.0,False,July,Naxos
Argo Boutique Hotel,"Kinidaros Street, Naxos Chora, 84 300, Greece",4.0,2095.0495049504952,8.6,"1,127 ",True,True,True,False,True,False,35.0,False,July,Naxos
koronos village apartments,"Κόρωνος Νάξου Κόρωνος Νάξου, Kóronos, 84302, Greece",,1082.2429906542056,9.3,12 ,False,False,False,False,True,False,99.0,False,July,Naxos
Sea & Olives Suites Hotel and Villas,"Maragkas Plaka Naxos, Kalamouria, Plaka, 84300, Greece",4.0,2559.598214285714,9.6,86 ,True,False,False,True,True,False,90.0,False,July,Naxos
Cosmos Boutique Hotel,"Plaka Beach, Plaka, 84300, Greece",,7131.0,9.5,71 ,False,True,True,True,True,True,120.0,False,July,Naxos
Iphimedeia Luxury Hotel & Suites,"Saint George Airport Road, Naxos Chora, 84300, Greece",4.0,2463.9588688946014,9.6,192 ,True,True,True,True,True,False,40.0,False,July,Naxos
Kouros,"Main Street, Apollon, 84301, Greece",,0.0,8.7,155 ,False,False,False,False,True,False,,True,July,Naxos
9 Muses Naxos Beach hotel,"Kastraki Beach, Kastraki, 84300, Greece",4.0,1821.0,9.1,45 ,True,False,False,True,True,False,58.0,True,July,Naxos
Camara Hotel,"Main Street, Agios Prokopios, 84302, Greece",2.0,782.0,8.7,132 ,False,False,True,True,True,False,20.0,False,July,Naxos
Nastasia Village,"Main Street, Naxos Chora, 84300, Greece",2.0,1268.0,9.2,242 ,True,False,False,False,False,False,18.0,True,July,Naxos
Depis castle Renata luxury apartments,"Χώρα Νάξου, Naxos Chora, 84300, Greece",3.0,1251.0,8.6,204 ,False,False,False,True,False,False,26.0,False,July,Naxos
Alkyoni Beach Hotel,"Agios Georgios, Naxos Chora, 84300, Greece",,1813.0841121495325,8.6,246 ,False,True,True,True,True,True,24.0,True,July,Naxos
Villa veranda,"Πλακα, Plaka, 84300, Greece",3.0,1629.0697674418604,8.6,49 ,False,False,False,False,True,False,23.0,False,July,Naxos
Naxos Village hotel,"Χώρα Νάξου, Naxos Chora, 84300, Greece",,1302.8037383177568,9.5,91 ,False,False,True,True,True,False,27.0,True,July,Naxos
Anna Studios,"agios prokopios naxos, Agios Prokopios, 84300, Greece",,842.0560747663551,9.3,97 ,True,True,True,True,True,False,19.0,False,July,Naxos
Dimitra Hotel,"Main Street, Agios Prokopios, 84300, Greece",2.0,1595.6891963810538,9.7,162 ,True,True,True,True,True,False,,False,July,Naxos
Keti Kapri,"Plaka Naxou, Plaka, 84300, Greece",,1082.2429906542056,8.6,93 ,True,False,False,True,True,True,19.0,False,July,Naxos
Lygdamis Hotel,"Chora, Naxos Chora, 84300, Greece",,1099.0654205607475,8.4, 314 ,True,False,False,True,False,False,24.0,False,July,Naxos
Studios Kapsali,"Panagia Galini, Galini, 84300, Greece",3.0,720.0,9.6,33 ,False,False,False,True,True,False,30.0,False,July,Naxos
Depis village kastraki naxos,"kastraki naxos 1, Kastraki, 84301, Greece",,1439.252336448598,8.9,46 ,False,False,False,True,True,False,60.0,False,July,Naxos
Dilino Hotel Studios,"Main Street, Agios Prokopios, 84300, Greece",,657.9439252336448,7.9,152 ,False,True,True,True,True,False,19.0,False,July,Naxos
Irida Luxury Apartments,"Kastraki, Kastraki, 84300, Greece",3.0,2647.188107733703,9.4,243 ,True,True,True,True,True,False,34.0,True,July,Naxos
Petros Studios & Suites,"Agiou Polukarpou, Naxos Chora, 84300, Greece",3.0,978.4443111377724,9.2,109 ,False,False,True,False,True,False,20.0,False,July,Naxos
Sun and Moon Villas,"Pyrgaki, Aliko Beach, 84300, Greece",,2679.4392523364486,8.6,99 ,True,True,True,True,True,False,60.0,True,July,Naxos
Aegean Palace,"Plaka Beach, Plaka, 84300, Greece",4.0,3231.453709258148,8.5, 204 ,True,False,True,False,True,True,30.0,True,July,Naxos
Taki's Guests,"Main Street, Naxos Chora, 84300, Greece",3.0,1173.0,9.4,100 ,True,False,True,False,True,False,22.0,False,July,Naxos
George Studios,"Saint George Beach, Naxos Chora, 84300, Greece",,962.6168224299065,8.7,171 ,False,False,False,True,True,False,19.0,True,July,Naxos
Marine Dream,"Plaka Beach, Plaka, 84300, Greece",,1523.3644859813082,8.7,89 ,True,False,True,True,True,False,24.0,False,July,Naxos
Porto Naxos,"Agios Georgios beach, Naxos Chora, 84300, Greece",,1471.9626168224297,8.6,145 ,True,False,True,True,True,True,27.0,False,July,Naxos
Ostria Inn,"Moutsouna, Moutsouna Naxos, 84302, Greece",3.0,2698.546396364899,9.6,35 ,True,False,True,True,True,True,23.0,True,July,Naxos
Naxos Resort Beach Hotel,"St.George Beach, Naxos Chora, 84300, Greece",3.0,1569.0,8.3, 216 ,False,True,False,False,True,False,15.0,False,July,Naxos
Astir Of Naxos,"Saint George Beach, Naxos Chora, 84300, Greece",,1727.1028037383176,8.7,193 ,True,True,False,False,True,True,18.0,False,July,Naxos
Depis Luxury Suites,"Naxos 1, Naxos Chora, 84300, Greece",,1100.9345794392523,7.9,192 ,False,False,False,True,False,False,30.0,False,July,Naxos
Naxos Island Escape Suites,"Plaka, Plaka, 84300, Greece",,1607.4766355140187,9.4,54 ,True,False,False,True,True,False,35.0,False,July,Naxos
Lefteris Studios,"Kapares Agia Anna, Agia Anna Naxos, 84300, Greece",3.0,965.0,9.5,175 ,True,False,True,True,True,False,35.0,True,July,Naxos
Iria Beach Art Hotel,"Main Street, Agia Anna Naxos, 84300, Greece",,1696.2616822429904,9.3,151 ,True,False,True,True,False,True,19.0,False,July,Naxos
Aeolis Boutique Hotel,"Naxos, Naxos Chora, 84300, Greece",3.0,903.4998848722082,7.9,220 ,True,False,True,True,True,False,22.0,False,July,Naxos
Depis Place and Apartments,"Agios Georgios, Naxos Chora, 84300, Greece",,797.196261682243,8.2, 251 ,False,False,False,True,True,False,19.0,False,July,Naxos
Sea View Studios & Apartments,"Main Street, Agia Anna Naxos, 84300, Greece",3.0,1066.606334841629,8.2, 81 ,False,False,False,True,True,False,28.0,True,July,Naxos
Hotel Palatia,"Agios Georgios beach, Naxos Chora, 84300, Greece",1.0,1512.0,9.1,251 ,False,False,True,False,True,False,20.0,False,July,Naxos
Naxos Finest,"Andrea Papandreou fragma ag. arseniou, Naxos Chora, 84300, Greece",,1853.271028037383,9.0,110 ,True,True,True,True,True,False,24.0,False,July,Naxos
Villas Naxos Grande Vista,"Avlia, Vívlos, 84300, Greece",,3800.0,8.7,18 ,False,True,False,False,True,False,90.0,False,July,Naxos
Sea View Studios & Apartments,"Main Street, Agia Anna Naxos, 84300, Greece",,1070.0934579439252,8.2, 81 ,False,False,False,True,True,False,27.0,True,July,Naxos
Hotel Palatia,"Agios Georgios beach, Naxos Chora, 84300, Greece",,1515.8878504672896,9.1,251 ,False,False,True,False,True,False,19.0,False,July,Naxos
Naxos Finest,"Andrea Papandreou fragma ag. arseniou, Naxos Chora, 84300, Greece",,1847.6744186046512,9.0,110 ,True,True,True,True,True,False,24.0,False,July,Naxos
Villas Naxos Grande Vista,"Avlia, Vívlos, 84300, Greece",4.0,3480.3618946248007,8.7,18 ,False,True,False,False,True,False,90.0,False,July,Naxos
Naxos Filoxenia Hotel,"Evagellou D. Michelopoulou str,, Galini, 84300, Greece",,1010.2803738317756,9.2,79 ,False,False,False,True,True,False,24.0,False,July,Naxos
Flerianos Studios Naxos,"ΑΓΙΟΣ ΠΡΟΚΟΠΙΟΣ 1 Y ΝΑΞΟΣ, Agios Prokopios, 84300, Greece",,728.9719626168223,8.4, 36 ,True,False,False,False,True,False,24.0,True,July,Naxos
Alpha Studios (Adults Only),"Kalavriton Street, Agios Georgios, Naxos Chora, 84300, Greece",3.0,1023.0,8.8,385 ,False,False,False,False,True,False,26.0,False,July,Naxos
Naxian Air,"Περιοχή Αεροδρομίου, Agios Georgios, 84300, Greece",3.0,1027.906976744186,9.5,11 ,False,False,True,True,True,False,24.0,True,July,Naxos
Pension Sofi,"Old Town, Naxos Chora, 84300, Greece",4.0,1735.846200423857,9.6,163 ,True,False,False,True,True,False,35.0,False,July,Naxos
Porta Marina,"Protopapadaki, Naxos Chora, 84300, Greece",4.0,2515.0,9.9,29 ,False,False,False,False,False,False,36.0,False,July,Naxos
koronos village apartments,"Κόρωνος Νάξου Κόρωνος Νάξου, Kóronos, 84302, Greece",3.0,894.0,9.3,12 ,False,False,False,False,True,False,100.0,False,July,Naxos
Liana Beach Hotel & Spa,"agios prokopios 1, Agios Prokopios, 84300, Greece",,1827.1028037383176,8.9,323 ,True,True,True,False,True,False,19.0,False,July,Naxos
Hora Seaside Suites,"ΧΩΡΑ ΝΑΞΟΥ Ισόγειο, Naxos Chora, 84300, Greece",,1804.6728971962616,9.5,183 ,False,False,False,True,True,False,31.0,False,July,Naxos
Coralli Beach Apartments,"Mikri Vigla, Mikri Vigla, 84300, Greece",4.0,1308.3333333333335,9.8,109 ,True,False,False,False,True,False,24.0,True,July,Naxos
Zanneta Studios,"Mikri Vigla, Mikri Vigla, 84300, Greece",3.0,739.8253682596813,9.4,64 ,True,False,False,True,True,False,25.0,True,July,Naxos
Antony Suites (Adults Only),"Agios Georgios Beach, Naxos Chora, 84300, Greece",4.0,2543.0555555555557,9.3,153 ,True,False,True,True,False,False,25.0,False,July,Naxos
Zas Studios,"Agios Georgios, Naxos Chora, 84300, Greece",4.0,963.0,9.5,140 ,False,False,False,False,True,False,18.0,False,July,Naxos
Hotel Fanis,"Agia Anna Beach, Agia Anna Naxos, 84300, Greece",,2327.1028037383176,8.7,79 ,True,True,False,True,True,False,26.0,False,July,Naxos
Mina's Studios in Naxos Island,"Agios Prokopios, Agios Prokopios, 84300, Greece",3.0,659.5864661654135,9.2,74 ,False,False,False,False,True,False,17.0,False,July,Naxos
Lianos Village,"Main Street, Agios Prokopios, 84300, Greece",3.0,1596.0,9.3,343 ,False,True,True,True,True,False,23.0,False,July,Naxos
Studios Gabriel,"Agia Anna Naxos, Agia Anna Naxos, 84300, Greece",3.0,719.7674418604652,8.6,30 ,False,False,False,True,False,False,30.0,False,July,Naxos
Sunlight Naxos,"Agios Georgios, Naxos Chora, 84300, Greece",,1045.7943925233644,8.4, 197 ,True,True,True,True,True,False,22.0,False,July,Naxos
Depis Edem Luxury villas Naxos,"Plaka , Plaka, 84300, Greece",,2911.2149532710278,9.0,30 ,True,True,True,True,True,False,74.0,False,July,Naxos
Panormos Hotel and Studios,"Agios Georgios, Naxos Chora, 84300, Greece",1.0,1293.0232558139535,9.0,102 ,False,False,False,True,True,False,19.0,False,July,Naxos
Pension Irene 2,"Mesis Street Koti Area, Naxos Chora, 84300, Greece",3.0,840.9722222222223,8.9,215 ,False,True,False,True,True,False,,False,July,Naxos
MNP Apartments,"Eggares, Engares, 84300, Greece",4.0,868.2579185520361,10,5 ,True,False,False,True,True,False,50.0,False,July,Naxos
Margaret of Naxos,"Agios Prokopios, Agios Prokopios, 84300, Greece",,1503.7383177570093,9.4,161 ,True,False,True,False,False,False,18.0,False,July,Naxos
Heavenly Suites & Studios,"Αγίου Γεωργίου, Naxos Chora, 84300, Greece",,922.4299065420561,9.6,18 ,False,False,False,True,False,False,28.0,False,July,Naxos
Iphimedeia Luxury Hotel & Suites,"Saint George Airport Road, Naxos Chora, 84300, Greece",4.0,2452.0,9.6,192 ,True,True,True,True,True,False,40.0,False,July,Naxos
Orama Apartments,"Agia Anna, Agia Anna Naxos, 84300, Greece",,1082.2429906542056,8.6,196 ,True,True,False,True,True,False,40.0,False,July,Naxos
Argo Boutique Hotel,"Kinidaros Street, Naxos Chora, 84 300, Greece",4.0,2089.5833333333335,8.6,"1,127 ",True,True,True,False,True,True,35.0,False,July,Naxos
Blue Bliss,"Ambrami, Ambrami, 84300, Greece",3.0,555.0,9.6,70 ,False,False,False,True,True,False,28.0,False,July,Naxos
Naxian Soul,"Αγια Αννα, Agia Anna Naxos, 84300, Greece",,2315.88785046729,9.3,47 ,True,False,True,True,True,False,20.0,False,July,Naxos
9 Muses Naxos Beach hotel,"Kastraki Beach, Kastraki, 84300, Greece",,1822.429906542056,9.1,45 ,True,False,False,True,True,False,57.0,True,July,Naxos
Kedros Villas,"Main Street, Agios Prokopios, 84300, Greece",4.0,1663.1944444444446,8.9,59 ,True,True,True,True,True,True,45.0,False,July,Naxos
Sun Beach Hotel,"Saint George Beach, Naxos Chora, 84300, Greece",2.0,1096.0,9.2,164 ,False,False,True,True,True,False,40.0,False,July,Naxos
Hippocampus studios 2 min walk from the beach,"Μουτσούνα, Moutsouna Naxos, 84302, Greece",,554.2056074766355,7.6,19 ,True,False,False,True,True,False,24.0,True,July,Naxos
Nufaro,"Agios Georgios Naxou, Naxos Chora, 84300, Greece",3.0,841.8604651162791,9.4,122 ,False,False,False,True,True,False,23.0,False,July,Naxos
Windmill Naxos,"Kotti, Naxos Chora, 84300, Greece",,721.4953271028037,9.3,144 ,False,False,False,True,False,False,19.0,False,July,Naxos
Anassa Suites,"Pantanassis Region, Naxos Chora, 84300, Greece",,1028.03738317757,8.8,257 ,False,False,False,True,False,False,19.0,False,July,Naxos
Ampelos Resort,"Plaka Naxou, Plaka, 84300, Greece",4.0,1171.4592760180994,8.6,101 ,True,True,True,True,True,False,22.0,True,July,Naxos
Blue Sky Summer,"Kinidarou, Naxos Chora, 84300, Greece",,1022.429906542056,9.4,168 ,True,False,False,False,True,False,27.0,False,July,Naxos
Depis economy apartments,"ΝΑΞΟΣ 1, 84300 ΝΑΞΟΣ ΚΥΚΛΑΔΩΝ, Naxos Chora, 84300, Greece",3.0,711.866515837104,8.9,39 ,False,False,False,True,False,False,15.0,False,July,Naxos
The Diamond of Naxos,"Agkidia, Agkidia, 84300, Greece",,1457.0093457943924,10,7 ,True,False,False,True,True,False,34.0,False,July,Naxos
Ktima Bianco,"Naxos, Naxos Chora, 84300, Greece",3.0,925.0,9.3,144 ,False,False,True,True,True,False,26.0,False,July,Naxos
El Mar Naxos,"Naxos Town, Naxos Chora, 84300, Greece",,2089.0,9.6,12 ,True,True,True,False,False,False,42.0,False,July,Naxos
Ayiopetra Exclusive Getaways,"Sangri Naxos, Káto Sangríon, 84300, Greece",,2916.822429906542,9.9,59 ,True,True,False,False,True,False,48.0,False,July,Naxos
Evripus Suites,"Kastraki Naxos, Kastraki, 84302, Greece",,1052.3364485981308,9.6,21 ,False,False,False,True,True,False,54.0,False,July,Naxos
Ampelos Suites,"Protodikeiou Square, Naxos Chora, 84300, Greece",4.0,1674.5591939546598,9.1,242 ,True,False,True,True,False,False,30.0,False,July,Naxos
Rena Valetta Studios,"Agios Georgios, Naxos Chora, 84300, Greece",,812.1495327102804,9.0,150 ,True,False,False,True,True,False,18.0,False,July,Naxos
Zefyros Studios,"Plaka Beach, Plaka, 84300, Greece",3.0,444.1860465116279,9.0,38 ,True,False,True,False,True,False,19.0,False,July,Naxos
Naxos Hotel Poseidon,"Naxos Chora, Naxos Chora, 84300, Greece",1.0,1167.0,8.6,141 ,False,False,False,True,False,False,17.0,False,July,Naxos
Depis castle Renata luxury apartments,"Χώρα Νάξου, Naxos Chora, 84300, Greece",,1254.2056074766354,8.6,204 ,False,False,False,True,False,False,26.0,False,July,Naxos
Cosmos Boutique Hotel,"Plaka Beach, Plaka, 84300, Greece",,7139.252336448598,9.5,71 ,False,True,True,True,True,True,120.0,False,July,Naxos
Naxos olive & home,"θεση κυπαρισσι, Engares, 84300, Greece",3.0,653.0427247883756,9.2,40 ,True,False,True,True,True,False,60.0,False,July,Naxos
Litsa Studios,"Agia Anna , Agia Anna Naxos, 84300, Greece",,1010.2803738317756,9.0,69 ,False,False,False,False,False,False,24.0,False,July,Naxos
Adamas Suites,"Χώρα Νάξου. Δρόμος χώρας - Αγγιδιών. Περιοχή Γερολυμάκη Emerald Room, Naxos Chora, 84300, Greece",,928.9719626168223,10,11 ,False,False,False,True,True,False,30.0,False,July,Naxos
Pension Irene 1,"Main Street, Naxos Chora, 84300, Greece",3.0,1203.0,8.9,115 ,False,False,False,False,False,False,60.0,False,July,Naxos
Villa veranda,"Πλακα, Plaka, 84300, Greece",,1772.8971962616822,8.6,49 ,False,False,False,False,True,False,23.0,False,July,Naxos
Milestones Naxos,"Plaka Naxos, Naxos Chora, 84300, Greece",,3166.355140186916,9.4,8 ,False,False,True,True,True,False,35.0,True,July,Naxos
Hotel Coronis,"Protopapadaki Str., Naxos Chora, 84300, Greece",2.0,750.6944444444445,7.8,429 ,False,False,True,False,False,False,18.0,False,July,Naxos
Helen Studios,"Chora Naxou, Naxos Chora, 84300, Greece",,1057.0093457943924,9.1,56 ,False,False,False,True,True,False,35.0,False,July,Naxos
Fasolas house 2 is located 30 stairs up from the main road and it is in the old market fasolas and next to the museums,"Επαρχιακή Οδός Νάξου-Απειράνθου, Filótion, 84302, Greece",,243.9252336448598,,,False,False,True,True,False,False,20.0,True,July,Naxos
Golden Beach Studios Down Town,"Agios Georgios, Naxos Chora, 84300, Greece",3.0,900.0,9.2,99 ,True,False,False,True,False,False,20.0,False,July,Naxos
Kymata Hotel,"Saint George, Naxos Chora, 84300, Greece",,1172.8971962616822,8.7,246 ,False,False,True,True,True,False,,False,July,Naxos
Euphoria Chora Naxos,"naxos, Naxos Chora, 84300, Greece",3.0,1267.341628959276,9.3,101 ,False,False,False,True,True,False,37.0,True,July,Naxos
Vrahia Studios,"Agiassos, Agiassos, 84300, Greece",,498.1308411214953,8.6,32 ,True,False,True,False,True,True,26.0,True,July,Naxos
Orkos View,"Orkos, Mikri Vigla, 84300, Greece",3.0,585.0,8.6,31 ,False,False,False,True,True,False,30.0,True,July,Naxos
Agiassos Naxos Apartments,"αγιασσος ναξου, Agiassos, 84302, Greece",3.0,803.3834586466165,9.3,37 ,False,False,False,True,True,False,55.0,False,July,Naxos
Polis of Naxos Boutique Hotel,"Agios Georgios, Naxos Chora, 84300, Greece",,1392.0,9.0,186 ,True,False,False,True,True,False,17.0,False,July,Naxos
Hermes Luxury Apartments Naxos,"Άγιος Γεώργιος, Naxos Chora, 84300, Greece",,1387.8504672897195,9.1,13 ,False,False,False,True,False,False,24.0,False,July,Naxos
Studios Marina Naxos,"Messis str., Naxos Chora, 84300, Greece",,1076.6355140186915,9.0,124 ,False,False,False,True,True,False,40.0,False,July,Naxos
La isla,"Protodikiou square -, Naxos Chora, 84300, Greece",3.0,743.693453964875,9.4,50 ,True,False,False,True,False,False,31.0,False,July,Naxos
Naxian Spirit Suites & Apartments,"Skilakis, Agia Anna Naxos, 84300, Greece",3.0,1110.0,8.2, 81 ,False,False,False,True,True,False,30.0,True,July,Naxos
Villa Maria Naxos,"Michail Margariti, Naxos Chora, 84300, Greece",4.0,1829.5369877594467,9.1,19 ,True,False,False,True,True,False,65.0,False,July,Naxos
Villa Faros,"Αλυκό Νάξου, Aliko Beach, 84300, Greece",3.0,1273.0,9.7,91 ,True,True,True,False,True,True,15.0,True,July,Naxos
Archipelagos,"Agios Georgios, Chora Naxou, Naxos Chora, 84300, Greece",,716.2790697674419,8.1, 65 ,False,True,False,True,True,False,,False,July,Naxos
Depis castle Renata luxury apartments,"Χώρα Νάξου, Naxos Chora, 84300, Greece",3.0,1251.0,8.6,204 ,False,False,False,True,False,False,26.0,False,July,Naxos
Magic Land,"Plaka, Plaka, 84300, Greece",3.0,885.9374999999999,8.9,58 ,False,False,False,True,True,False,30.0,True,July,Naxos
Naxian Resort,"Pyrgaki, Aliko Beach, 84300, Greece",,2435.5140186915887,9.2,35 ,False,False,False,False,True,False,109.0,True,July,Naxos
Glaronissi Beach,"Plaka Naxou, Plaka, 84300, Greece",4.0,3699.0,9.2,246 ,True,False,True,True,True,False,25.0,False,July,Naxos
Kissos Luxury Suites,"παλια χώρα ναξος προφήτης Ηλίας, Naxos Chora, 84300, Greece",3.0,1323.0656108597284,9.5,53 ,False,False,False,True,False,False,34.0,False,July,Naxos
Castle Mansions,"Old Town, Naxos, Naxos Chora, 84300, Greece",4.0,1023.0,9.7,56 ,False,False,False,True,True,True,25.0,False,July,Naxos
Villa veranda,"Πλακα, Plaka, 84300, Greece",3.0,1769.957530430061,8.6,49 ,False,False,False,False,True,False,23.0,False,July,Naxos
Kouros Art Hotel (Adults Only),"Agios Prokopios, Stelida, 84300, Greece",4.0,1474.418604651163,9.4,80 ,True,True,True,False,True,True,24.0,False,July,Naxos
Alenor City Hotel,"Naxos 0, Naxos Chora, 84300, Greece",,1444.8598130841121,9.6,54 ,True,False,True,True,True,False,24.0,False,July,Naxos
Anemos Town,"Akanthous Cyprus, Naxos Chora, 84300, Greece",,778.392762107504,,,False,False,False,True,False,False,16.0,False,July,Naxos
Natura Villas in Naxos,"Mikri Vigla Naxos, Mikri Vigla, 84300, Greece",4.0,2534.0,9.9,31 ,False,True,True,True,True,False,67.0,True,July,Naxos
Alta Vista Naxos,"Aggidia Naxos, Naxos Chora, 84300, Greece",,1136.448598130841,9.2,57 ,True,False,False,True,True,False,40.0,False,July,Naxos
Moutsouna Beach,"Moutsouna, Moutsouna Naxos, 84300, Greece",,901.8691588785047,7.8,40 ,False,False,False,True,True,False,19.0,True,July,Naxos
Villa Kastraki,"Kastraki, Naxos Villa Kastraki, Kastraki, 84302, Greece",3.0,1009.7222222222223,9.5,56 ,True,False,True,True,True,False,42.0,True,July,Naxos
