name,location,stars,amount_conv,Rating,NumReviews,Airport,Pool,Breakfast,Family_Rooms,Parking,Restaurant,size_m2,Pets,Month,Location
Ammades All Suites Beach Hotel - Adults Only,"Leoforos Kallitheas, Faliraki, 85100, Greece",5.0,2034.9624060150375,9.6,28 ,True,True,True,False,True,False,39.0,True,July,Rhodes
Elissa Lifestyle Resort,"Leoforos Kallitheas, Kallithea Rhodes, 85100, Greece",5.0,1907.3901953331854,8.1, 455 ,False,False,True,False,False,True,22.0,False,July,Rhodes
Alia Luxury Suites and Spa,"Haraki, Haraki, 85102, Greece",,2712.1495327102803,8.6,484 ,True,False,True,False,True,False,44.0,False,July,Rhodes
Helea Family Beach Resort,"Leoforos Kallitheas, Kallithea Rhodes, 85100, Greece",5.0,2403.472222222222,7.7,271 ,False,False,False,False,False,False,22.0,False,July,Rhodes
Paul's Garden Studios,"Haraki Malonas, Haraki, 85102, Greece",3.0,801.4256619144603,9.4,68 ,False,False,False,True,True,False,32.0,False,July,Rhodes
Labranda Blue Bay Resort,"Ialyssos Beach, Ialysos, 85101, Greece",4.0,1785.6738567129216,8.1," 1,192 ",False,False,False,False,True,True,27.0,False,July,Rhodes
Rodos Palace Hotel,"Trianton Avenue, Ixia, 85100, Greece",5.0,1027.906976744186,7.3,"1,552 ",True,False,True,False,False,True,44.0,True,July,Rhodes
Eden Roc Resort - All Inclusive,"Kalithea Avenue, Kallithea Rhodes, 85100, Greece",5.0,2765.4205607476633,8.6,561 ,False,False,True,False,True,True,37.0,False,July,Rhodes
Maritime,"Leoforos Eleftherias, Kremasti, 85104, Greece",2.0,442.6923076923077,7.4,254 ,True,False,True,False,True,True,25.0,False,July,Rhodes
Kolymbia Bay Art Boutique Hotel - Adults Only,"Kolymbia, Kolymbia, 85103, Greece",,2185.0467289719627,8.9,275 ,False,True,True,False,True,True,23.0,True,July,Rhodes
