name,location,reviews,facilities,price,size,rules,stars
Minos Palace Hotel & Suites - Adults Only,"Main Street, Agios Nikolaos, 72100, Greece",9.0Wonderful 582 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Airport shuttle', 'Fitness center', 'Spa', 'Room service', 'Tea/Coffee Maker in All Rooms', 'Bar', 'Private beach area', 'Very Good Breakfast']","<span class=""bui-u-sr-only"">
Original price
$3,457
Current price
$2,593
</span>",323 feet²,['Pets\n\n\nPets are not allowed.'],
Kiani Beach Resort Family All Inclusive,"Kiani Akti, Kalyves, 73003, Greece",8.2Very Good 967 reviews,"['5 swimming pools', 'Non-smoking rooms', 'Free parking', 'Airport shuttle', 'Spa', 'Fitness center', 'Restaurant', 'Bar', 'Private beach area', 'Good Breakfast']","<span class=""bui-u-sr-only"">
Original price
¥390,958
Current price
¥371,410
</span>",48 m²,['Pets\n\n\nPets are not allowed.'],5
Amirandes Grecotel Boutique Resort,"Main Street, Gouves, 711 10, Greece",8.9Excellent 173 reviews,"['2 swimming pools', 'Free WiFi', 'Airport shuttle', 'Non-smoking rooms', 'Spa', 'Fitness center', 'Free parking', 'Room service', 'Tea/Coffee Maker in All Rooms', 'Bar']","<span class=""bui-u-sr-only"">
Price
€ 3,441
</span>",31 m²,['Pets\n\n\nPets are not allowed.'],5
La Mer Resort & Spa - Adults Only,"Dramia, Kavros, Georgioupolis, 73007, Greece",8.7Excellent 914 reviews,"['2 swimming pools', 'Non-smoking rooms', 'Airport shuttle', 'Spa', 'Fitness center', 'Facilities for disabled guests', 'Tea/Coffee Maker in All Rooms', 'Bar', 'Beachfront', 'Excellent Breakfast']","<span class=""bui-u-sr-only"">
Price
CAD 3,180
</span>",23 m²,['Pets\n\n\nPets are not allowed.'],5
Aldemar Knossos Villas,"Limenas Hersonissou, Anissaras, Hersonissos, 70014, Greece",10Exceptional 1 review,"['2 swimming pools', 'Non-smoking rooms', 'Spa', 'Fitness center', 'Room service', 'Restaurant', 'Beachfront', 'Free parking', 'Bar', 'Private beach area']","<span class=""bui-u-sr-only"">
Price
$4,299
</span>",484 feet²,['Pets\n\n\nPets are not allowed.'],
Creta Maris Resort,"Hersonissos, Limenas Hersonissou, Hersonissos, 70014, Greece","9.0Wonderful 1,254 reviews","['16 swimming pools', 'Airport shuttle', 'Non-smoking rooms', 'Spa', 'Fitness center', 'Room service', 'Free parking', 'Tea/Coffee Maker in All Rooms', 'Bar', 'Excellent Breakfast']","<span class=""bui-u-sr-only"">
Original price
UAH 139,890
Current price
UAH 128,699
</span>",27 m²,['Pets\n\n\nPets are not allowed.'],5
Village Heights Resort,"Hersonissos, Hersonissos, 70014, Greece",8.9Excellent 437 reviews,"['2 swimming pools', 'Airport shuttle', 'Spa', 'Non-smoking rooms', 'Fitness center', 'Room service', 'Free parking', 'Tea/Coffee Maker in All Rooms', 'Bar', 'Excellent Breakfast']","<span class=""bui-u-sr-only"">
Price
€ 760
</span>",35 m²,['Pets\n\n\nPets are not allowed.'],5
Sitia Beach City Resort & Spa,"Sitia, Sitia, 72300, Greece",8.1Very Good 680 reviews,"['Outdoor swimming pool', 'Free WiFi', 'Airport shuttle', 'Non-smoking rooms', 'Spa', 'Facilities for disabled guests', 'Free parking', 'Room service', 'Beachfront', 'Bar']","<span class=""bui-u-sr-only"">
Original price
€ 1,264
Current price
€ 1,165
</span>",24 m²,['Pets\n\n\nPets are not allowed.'],5
Seaside A Lifestyle Resort - Adults Only,"Agia Pelagia, Agia Pelagia, 71500, Greece",8.8Excellent 299 reviews,"['3 swimming pools', 'Free parking', 'Non-smoking rooms', 'Restaurant', 'Spa', 'Fitness center', 'Tea/Coffee Maker in All Rooms', 'Bar']","<span class=""bui-u-sr-only"">
Price
₹ 335,198
</span>",26 m²,['Pets\n\n\nPets are not allowed.'],5
Royal Marmin Bay Boutique & Art Hotel,"Elounda, Lasithi, Elounda, 72053, Greece",9.1Wonderful 921 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Spa', 'Fitness center', 'Airport shuttle', 'Beachfront', 'Room service', 'Free parking', 'Bar', 'Private beach area']","<span class=""bui-u-sr-only"">
Original price
$2,281
Current price
$1,824
</span>",258 feet²,['Pets\n\n\nPets are not allowed.'],
