name,location,reviews,facilities,price,size,rules,stars
Skipper Beachfront Suites,"87 Agias Paraskevis, Limenas Hersonissou, Hersonissos, 70014, Greece",9.0Wonderful 9 reviews,"['Non-smoking rooms', 'Free parking', 'Restaurant', 'Free WiFi', 'Family rooms', 'Bar', 'Breakfast']","<span class=""bui-u-sr-only"">
Original price
€ 1,413
Current price
€ 678
</span>",23 m²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Pets\n\n\nPets are not allowed.']",3
Elektra Beach Hotel,"Kalamaki, Kalamaki, 73100, Greece",9.0Wonderful 621 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Airport shuttle', 'Room service', 'Free parking', 'Free WiFi', 'Beachfront', 'Family rooms', 'Bar']","<span class=""bui-u-sr-only"">
Original price
CAD 1,384
Current price
CAD 1,107
</span>",26 m²,['Pets\n\n\nPets are not allowed.'],3
Dedalos Beach Hotel,"Sfakaki, Sfakaki, 74100, Greece",8.3Very Good 52 reviews,"['Outdoor swimming pool', 'Airport shuttle', 'Room service', 'Free parking', 'Fitness center', 'Restaurant', 'Beachfront', 'Tea/Coffee Maker in All Rooms', 'Bar', 'Breakfast']","<span class=""bui-u-sr-only"">
Price
CAD 865
</span>",22 m²,['Pets\n\n\nPets are not allowed.'],3
Lena Beach Hotel,"Kalathas, Kalathas, 73100, Greece",8.9Excellent 380 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Free parking', 'Airport shuttle', 'Restaurant', 'Beachfront', 'Free WiFi', 'Tea/Coffee Maker in All Rooms', 'Bar', 'Very Good Breakfast']","<span class=""bui-u-sr-only"">
Price
$740
</span>",215 feet²,['Pets\n\n\nPets are not allowed.'],
Falasarna Bay,"Falasarna, Falasarna, 73400, Greece","8.7Excellent 1,129 reviews","['Non-smoking rooms', 'Airport shuttle', 'Free parking', 'Beachfront', 'Free WiFi', 'Family rooms', 'Very Good Breakfast']","<span class=""bui-u-sr-only"">
Price
$672
</span>",377 feet²,"['Parties\n\n\nParties/events are not allowed', 'Pets\n\n\nPets are not allowed.']",
Eva Suites & Apartments,"Agia Marina Chania Crete, Galatás, 73014, Greece",,"['Outdoor swimming pool', 'Non-smoking rooms', 'Free WiFi', 'Family rooms', 'Bar']","<span class=""bui-u-sr-only"">
Price
$626
</span>",323 feet²,['Pets\n\n\nPets are not allowed.'],
Hotel Orama-Matala,"Matala-Crete 0, Matala, 70200, Greece",8.5Very Good 706 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Free WiFi', 'Free parking', 'Family rooms', 'Bar']","<span class=""bui-u-sr-only"">
Original price
2,912 zł
Current price
2,679 zł
</span>",50 m²,['Pets\n\n\nPets are not allowed.'],3
Eleana Nature & Art,"Eparchiaki Odos Vrison-Sfakion 6, Hora Sfakion, 73011, Greece",9.4Wonderful 406 reviews,"['Free WiFi', 'Airport shuttle', 'Non-smoking rooms', 'Free parking', 'Room service', 'Family rooms']","<span class=""bui-u-sr-only"">
Price
€ 573
</span>",20 m²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Quiet hours\n\n\nGuests need be quiet between 10:00 PM and 8:00 AM.', 'Pets\n\n\nFree!\nPets are allowed on request. No extra charges.']",3
Galini Studios & Apartments,"Sougia, Sougia, 73009, Greece",9.1Wonderful 391 reviews,"['Free parking', 'Free WiFi', 'Non-smoking rooms', 'Family rooms']","<span class=""bui-u-sr-only"">
Price
£516
</span>",323 feet²,"['Parties\n\n\nParties/events are not allowed', 'Quiet hours\n\n\nGuests need be quiet between 11:00 PM and 8:00 AM.', 'Pets\n\n\nPets are not allowed.']",3
Dedalos Hotel,"11 Odissea Eliti, Malia, 70007, Greece",8.5Very Good 292 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Airport shuttle', 'Restaurant', 'Free parking', 'Free WiFi', 'Bar']","<span class=""bui-u-sr-only"">
Price
$620
</span>",215 feet²,['Pets\n\n\nFree!\nPets are allowed on request. No extra charges.'],
