name,location,reviews,facilities,price,size,rules,stars
Skipper Beachfront Suites,"87 Agias Paraskevis, Limenas Hersonissou, Hersonissos, 70014, Greece",9.0Wonderful 9 reviews,"['Non-smoking rooms', 'Restaurant', 'Free parking', 'Free WiFi', 'Family rooms', 'Bar', 'Breakfast']","<span class=""bui-u-sr-only"">
Original price
$1,757
Current price
$914
</span>",248 feet²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Pets\n\n\nPets are not allowed.']",
Alexander Mountain Resort,"Gerakari, Yerakárion, 74061, Greece",9.1Wonderful 291 reviews,"['2 swimming pools', 'Non-smoking rooms', 'Restaurant', 'Free parking', 'Room service', 'Fitness center', 'Facilities for disabled guests', 'Free WiFi', 'Bar', 'Wonderful Breakfast']","<span class=""bui-u-sr-only"">
Original price
CAD 2,111
Current price
CAD 1,577
</span>",70 m²,['Pets\n\n\nFree!\nPets are allowed. No extra charges.'],3
Alexander Mountain Resort,"Gerakari, Yerakárion, 74061, Greece",,,,,[],
Sfinias Apartments,"Kali Limenes, Kaloi Limenes, 70400, Greece",8.2Very Good 432 reviews,"['2 swimming pools', 'Free WiFi', 'Non-smoking rooms', 'Beachfront', 'Free parking', 'Restaurant', 'Family rooms', 'Private beach area', 'Good Breakfast']","<span class=""bui-u-sr-only"">
Price
€ 257
</span>",35 m²,['Pets\n\n\nFree!\nPets are allowed. No extra charges.'],3
Trefon Hotel Apartments and Family Suites,"Platanes , Platanes, 74100, Greece",8.4Very Good 371 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Airport shuttle', 'Free parking', 'Room service', 'Restaurant', 'Facilities for disabled guests', 'Beachfront', 'Bar', 'Wonderful Breakfast']","<span class=""bui-u-sr-only"">
Price
$714
</span>",323 feet²,"['Smoking\n\nSmoking is not allowed.', 'Pets\n\n\nFree!\nPets are allowed on request. No extra charges.']",
Ferma Solaris Apartments,"Ferma, Agia Fotia, 72200, Greece",9.6Exceptional 54 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Free parking', 'Airport shuttle', 'Room service', 'Facilities for disabled guests', 'Beachfront', 'Free WiFi', 'Family rooms', 'Private beach area']","<span class=""bui-u-sr-only"">
Price
$1,287
</span>",700 feet²,"['Parties\n\n\nParties/events are not allowed', 'Pets\n\n\nPets are not allowed.']",
Apollon Hotel Apartments,"Neas Fokeas St., Platanes, 74100, Greece",8.7Excellent 112 reviews,"['Outdoor swimming pool', 'Free parking', 'Non-smoking rooms', 'Airport shuttle', 'Free WiFi', 'Family rooms', 'Bar', 'Breakfast']","<span class=""bui-u-sr-only"">
Price
₹ 75,218
</span>",30 m²,['Pets\n\n\nPets are not allowed.'],3
Balos Beach,"Main Street, Kissamos, 73400, Greece","8.5Very Good 2,074 reviews","['Outdoor swimming pool', 'Free parking', 'Non-smoking rooms', 'Fitness center', 'Room service', 'Beachfront', 'Restaurant', 'Bar', 'Private beach area', 'Very Good Breakfast']","<span class=""bui-u-sr-only"">
Original price
EGP 40,168
Current price
EGP 30,126
</span>",35 m²,['Pets\n\n\nPets are not allowed.'],3
Atrion Hotel,"9 I.Chronaki Street, Heraklio, 71202, Greece","8.5Very Good 1,540 reviews","['Non-smoking rooms', 'Airport shuttle', 'Room service', 'Restaurant', 'Family rooms', '24-hour front desk', 'Bar', 'Excellent Breakfast']","<span class=""bui-u-sr-only"">
Original price
€ 939
Current price
€ 865
</span>",30 m²,['Pets\n\n\nPets are not allowed.'],3
Emi Seaside,"5 Koufonisi Str., Amoudara Herakliou, 71414, Greece",9.0Wonderful 321 reviews,"['Outdoor swimming pool', 'Free parking', 'Non-smoking rooms', 'Restaurant', 'Airport shuttle', 'Beachfront', 'Free WiFi', 'Bar', 'Private beach area', 'Exceptional Breakfast']","<span class=""bui-u-sr-only"">
Original price
₹ 103,706
Current price
₹ 74,668
</span>",25 m²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Quiet hours\n\n\nGuests need be quiet between 11:00 PM and 8:00 AM.', 'Pets\n\n\nPets are not allowed.']",3
Infinity City Boutique Hotel,"ARIADNIS 9, Heraklio, 71202, Greece","8.6Excellent 3,585 reviews","['Non-smoking rooms', 'Airport shuttle', 'Free WiFi', 'Family rooms', 'Tea/Coffee Maker in All Rooms', 'Very Good Breakfast']","<span class=""bui-u-sr-only"">
Price
€ 1,173
</span>",19 m²,['Pets\n\n\nPets are not allowed.'],3
Mary Hotel & Mary Royal Suites,"Lasithiou 8, Platanes, 74100, Greece",9.3Wonderful 343 reviews,"['3 swimming pools', 'Airport shuttle', 'Non-smoking rooms', 'Free parking', 'Fitness center', 'Free WiFi', 'Family rooms', 'Bar']","<span class=""bui-u-sr-only"">
Original price
€ 1,000
Current price
€ 828
</span>",25 m²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Pets\n\n\nPets are not allowed.']",3
Porto Alegre Hotel,"Kato Galatas, Kalamaki, 73100, Greece",8.4Very Good 273 reviews,"['Non-smoking rooms', 'Free parking', 'Free WiFi', 'Beachfront', 'Family rooms', 'Bar', 'Breakfast']","<span class=""bui-u-sr-only"">
Original price
MAD 11,211
Current price
MAD 10,314
</span>",30 m²,['Pets\n\n\nPets are not allowed.'],3
The Maxine Hotel - Adults Only,"Agia Galini, Agia Galini, 74056, Greece",8.0Very Good 5 reviews,"['Outdoor swimming pool', 'Free WiFi', 'Non-smoking rooms', 'Airport shuttle', 'Restaurant', 'Free parking', 'Bar', 'Breakfast']","<span class=""bui-u-sr-only"">
Original price
€ 792
Current price
€ 729
</span>",50 m²,['Pets\n\n\nFree!\nPets are allowed on request. No extra charges.'],3
Kitro Beach Hotel - Adults Only,"N.Pagalou 3, Agios Nikolaos, 72100, Greece","8.4Very Good 1,134 reviews","['Non-smoking rooms', 'Beachfront', 'Free WiFi', 'Bar', 'Excellent Breakfast']","<span class=""bui-u-sr-only"">
Original price
$1,287
Current price
$952
</span>",161 feet²,['Pets\n\n\nPets are not allowed.'],
Amalia Apartments,"Bali, Bali, 74057, Greece",8.9Excellent 289 reviews,"['2 swimming pools', 'Free WiFi', 'Non-smoking rooms', 'Airport shuttle', 'Restaurant', 'Free parking', 'Family rooms', 'Bar', 'Very Good Breakfast']","<span class=""bui-u-sr-only"">
Price
€ 830
</span>",29 m²,['Pets\n\n\nPets are not allowed.'],3
Gorgona Hotel,"Bali 740 57, Bali, 74057, Greece",8.6Excellent 370 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Free WiFi', 'Free parking', 'Beachfront', 'Restaurant', 'Family rooms', 'Good Breakfast']","<span class=""bui-u-sr-only"">
Original price
€ 1,010
Current price
€ 746
</span>",18 m²,['Pets\n\n\nPets are not allowed.'],3
