name,location,reviews,facilities,price,size,rules,stars,link
Seli Sea View Apartments and Studios,"Επαρχιακή Οδός Καλλονής - Γδόχια, Vakhós, 70004, Greece",8.4Very Good 20 reviews,"['Free WiFi', 'Free parking', 'Family rooms', 'Breakfast']","<span class=""bui-u-sr-only"">
Original price
£833
Current price
£438
</span>",377 feet²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Quiet hours\n\n\nGuests need be quiet between 3:00 PM and 5:00 PM.', 'Pets\n\n\nPets are not allowed.']",3,https://www.booking.com/hotel/gr/seli-apartment-and-studios-with-sea-view.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&sid=4cc5dec2c68e6377819edd6ab66620de&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-24&checkout=2023-07-30&dest_id=811&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&nflt=pri%3D2%3Bclass%3D3%3Bht_id%3D201&srpvid=65f37707e555013a&srepoch=1685897745&all_sr_blocks=758061601_370906897_2_2_0&highlighted_blocks=758061601_370906897_2_2_0&matching_block_id=758061601_370906897_2_2_0&sr_pri_blocks=758061601_370906897_2_2_0__55362&from=searchresults#hotelTmpl
Sunset Home Crete,"Tris Ekklisies Paránimfoi, Paránimfoi, 70010, Greece",8.5Very Good 55 reviews,"['Free parking', 'Non-smoking rooms', 'Free WiFi', 'Airport shuttle', 'Beachfront', 'Family rooms']","<span class=""bui-u-sr-only"">
Price
$515
</span>",592 feet²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Quiet hours\n\n\nGuests need be quiet between 3:00 PM and 5:00 PM.', 'Pets\n\n\nFree!\nPets are allowed on request. No extra charges.']",,https://www.booking.com/hotel/gr/sunset-home-crete.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&sid=4cc5dec2c68e6377819edd6ab66620de&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-24&checkout=2023-07-30&dest_id=811&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&nflt=pri%3D2%3Bclass%3D3%3Bht_id%3D201&srpvid=65f37707e555013a&srepoch=1685897745&all_sr_blocks=248112103_374031275_2_0_0&highlighted_blocks=248112103_374031275_2_0_0&matching_block_id=248112103_374031275_2_0_0&sr_pri_blocks=248112103_374031275_2_0_0__47160&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Villa Koutsakis,"Kali Limenes, Chrysostomos, Kaloi Limenes, 70400, Greece",8.3Very Good 295 reviews,"['Non-smoking rooms', 'Free parking', 'Free WiFi', 'Beachfront', 'Restaurant', 'Family rooms', 'Bar', 'Breakfast']","<span class=""bui-u-sr-only"">
Price
$412
</span>",301 feet²,['Pets\n\n\nFree!\nPets are allowed on request. No extra charges.'],,https://www.booking.com/hotel/gr/villa-koutsakis.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&sid=4cc5dec2c68e6377819edd6ab66620de&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-24&checkout=2023-07-30&dest_id=811&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&nflt=pri%3D2%3Bclass%3D3%3Bht_id%3D201&srpvid=65f37707e555013a&srepoch=1685897745&all_sr_blocks=25562311_373016591_2_42_0&highlighted_blocks=25562311_373016591_2_42_0&matching_block_id=25562311_373016591_2_42_0&sr_pri_blocks=25562311_373016591_2_42_0__35628&from=searchresults#hotelTmpl
Castello Apartments,"Panormo, Panormos Rethymno, 74057, Greece",9.0Wonderful 218 reviews,"['Non-smoking rooms', 'Free parking', 'Beachfront', 'Free WiFi', 'Family rooms']","<span class=""bui-u-sr-only"">
Price
$492
</span>",484 feet²,['Pets\n\n\nPets are not allowed.'],,https://www.booking.com/hotel/gr/castello-apartments.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&sid=4cc5dec2c68e6377819edd6ab66620de&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-24&checkout=2023-07-30&dest_id=811&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&nflt=pri%3D2%3Bclass%3D3%3Bht_id%3D201&srpvid=65f37707e555013a&srepoch=1685897745&all_sr_blocks=58275501_88564833_2_0_0&highlighted_blocks=58275501_88564833_2_0_0&matching_block_id=58275501_88564833_2_0_0&sr_pri_blocks=58275501_88564833_2_0_0__42528&from=searchresults#hotelTmpl
Irinoula Dreams,"Main Street, Kolymvari, 73100, Greece",9.2Wonderful 138 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Facilities for disabled guests', 'Beachfront', 'Free WiFi', 'Family rooms', 'Bar', 'Exceptional Breakfast']","<span class=""bui-u-sr-only"">
Price
€ 519
</span>",26 m²,"['Smoking\n\nSmoking is not allowed.', 'Pets\n\n\nPets are not allowed.']",3,https://www.booking.com/hotel/gr/irinoula-dreams.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&sid=4cc5dec2c68e6377819edd6ab66620de&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-24&checkout=2023-07-30&dest_id=811&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&nflt=pri%3D2%3Bclass%3D3%3Bht_id%3D201&srpvid=65f37707e555013a&srepoch=1685897745&all_sr_blocks=4661104_203986865_2_1_0&highlighted_blocks=4661104_203986865_2_1_0&matching_block_id=4661104_203986865_2_1_0&sr_pri_blocks=4661104_203986865_2_1_0__51900&from=searchresults#hotelTmpl
Monachus Monachus,"Fragokastello, Frangokastello, 73011, Greece",9.0Wonderful 336 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Free parking', 'Free WiFi', 'Family rooms', 'Bar']","<span class=""bui-u-sr-only"">
Original price
R$ 2,137
Current price
R$ 1,966
</span>",30 m²,['Pets\n\n\nPets are not allowed.'],3,https://www.booking.com/hotel/gr/monachus-monachus-apartments.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&sid=4cc5dec2c68e6377819edd6ab66620de&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-24&checkout=2023-07-30&dest_id=811&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&nflt=pri%3D2%3Bclass%3D3%3Bht_id%3D201&srpvid=65f37707e555013a&srepoch=1685897745&all_sr_blocks=32272302_89009260_0_0_0&highlighted_blocks=32272302_89009260_0_0_0&matching_block_id=32272302_89009260_0_0_0&sr_pri_blocks=32272302_89009260_0_0_0__37284&from=searchresults#hotelTmpl
Xenonas,"Kamilari, Kamilari, 70200, Greece",9.2Wonderful 76 reviews,"['Free parking', 'Free WiFi']","<span class=""bui-u-sr-only"">
Original price
MAD 5,094
Current price
MAD 4,359
</span>",25 m²,"['Parties\n\n\nParties/events are not allowed', 'Pets\n\n\nPets are allowed on request. Charges may apply.']",3,https://www.booking.com/hotel/gr/xenonas.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&sid=4cc5dec2c68e6377819edd6ab66620de&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-24&checkout=2023-07-30&dest_id=811&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&nflt=pri%3D2%3Bclass%3D3%3Bht_id%3D201&srpvid=65f37707e555013a&srepoch=1685897745&all_sr_blocks=216681605_206114892_2_0_0&highlighted_blocks=216681605_206114892_2_0_0&matching_block_id=216681605_206114892_2_0_0&sr_pri_blocks=216681605_206114892_2_0_0__42388&from=searchresults#hotelTmpl
Villa Rita Apartments A,"Tavronitis, Tavronitis, 73006, Greece",8.6Excellent 92 reviews,"['2 swimming pools', 'Non-smoking rooms', 'Airport shuttle', 'Free parking', 'Free WiFi', 'Family rooms', 'Exceptional Breakfast']","<span class=""bui-u-sr-only"">
Original price
BYN 1,076
Current price
BYN 990
</span>",25 m²,"['Parties\n\n\nParties/events are not allowed', 'Quiet hours\n\n\nGuests need be quiet between 2:00 PM and 4:00 PM.', 'Pets\n\n\nPets are not allowed.']",3,https://www.booking.com/hotel/gr/villa-rita-apartments.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&sid=4cc5dec2c68e6377819edd6ab66620de&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-24&checkout=2023-07-30&dest_id=811&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&nflt=pri%3D2%3Bclass%3D3%3Bht_id%3D201&srpvid=65f37707e555013a&srepoch=1685897745&all_sr_blocks=27273303_88570761_0_2_0&highlighted_blocks=27273303_88570761_0_2_0&matching_block_id=27273303_88570761_0_2_0&sr_pri_blocks=27273303_88570761_0_2_0__37063&from=searchresults#hotelTmpl
Asterina Seaside Apartments,"Kalyves, Kalyves, 73003, Greece",9.1Wonderful 120 reviews,"['Non-smoking rooms', 'Airport shuttle', 'Free WiFi', 'Room service', 'Free parking', 'Beachfront', 'Family rooms', 'Bar']","<span class=""bui-u-sr-only"">
Original price
€ 426
Current price
€ 392
</span>",32 m²,['Pets\n\n\nPets are not allowed.'],3,https://www.booking.com/hotel/gr/asterina-seaside-apartments.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&sid=4cc5dec2c68e6377819edd6ab66620de&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-24&checkout=2023-07-30&dest_id=811&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&nflt=pri%3D2%3Bclass%3D3%3Bht_id%3D201&srpvid=65f37707e555013a&srepoch=1685897745&all_sr_blocks=32664001_118790932_2_0_0&highlighted_blocks=32664001_118790932_2_0_0&matching_block_id=32664001_118790932_2_0_0&sr_pri_blocks=32664001_118790932_2_0_0__39237&from=searchresults#hotelTmpl
Korfes Apartments,"Kamilari, Kamilari, 70200, Greece",9.0Wonderful 73 reviews,"['Non-smoking rooms', 'Airport shuttle', 'Room service', 'Free parking', 'Free WiFi', 'Family rooms']","<span class=""bui-u-sr-only"">
Price
CAD 557
</span>",55 m²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Quiet hours\n\n\nGuests need be quiet between 2:00 PM and 5:00 PM.', 'Pets\n\n\nPets are allowed on request. Charges may apply.']",3,https://www.booking.com/hotel/gr/korfes-apartments.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&sid=4cc5dec2c68e6377819edd6ab66620de&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-24&checkout=2023-07-30&dest_id=811&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&nflt=pri%3D2%3Bclass%3D3%3Bht_id%3D201&srpvid=65f37707e555013a&srepoch=1685897745&all_sr_blocks=49781403_123068356_2_0_0&highlighted_blocks=49781403_123068356_2_0_0&matching_block_id=49781403_123068356_2_0_0&sr_pri_blocks=49781403_123068356_2_0_0__38910&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Consolas Gavdos Studios,"Sarakinito, Gavdos, 73001, Greece",8.1Very Good 159 reviews,"['Free parking', 'Non-smoking rooms', 'Beachfront', 'Free WiFi', 'Family rooms']","<span class=""bui-u-sr-only"">
Price
PEN 2,361
</span>",20 m²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Quiet hours\n\n\nGuests need be quiet between 11:00 PM and 8:00 AM.', 'Pets\n\n\nFree!\nPets are allowed on request. No extra charges.']",3,https://www.booking.com/hotel/gr/gavdos-studios.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&sid=4cc5dec2c68e6377819edd6ab66620de&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-24&checkout=2023-07-30&dest_id=811&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&nflt=pri%3D2%3Bclass%3D3%3Bht_id%3D201&srpvid=65f37707e555013a&srepoch=1685897745&all_sr_blocks=210660117_370970559_2_0_0&highlighted_blocks=210660117_370970559_2_0_0&matching_block_id=210660117_370970559_2_0_0&sr_pri_blocks=210660117_370970559_2_0_0__54896&from=searchresults#hotelTmpl
Stamatakis Boutique Studios,"Samarias, Platanias, 73014, Greece",9.6Exceptional 91 reviews,"['Free parking', 'Non-smoking rooms', 'Airport shuttle', 'Free WiFi', 'Family rooms']","<span class=""bui-u-sr-only"">
Price
₹ 52,971
</span>",25 m²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Quiet hours\n\n\nGuests need be quiet between 11:00 PM and 9:00 AM.', 'Pets\n\n\nPets are not allowed.']",3,https://www.booking.com/hotel/gr/amaltheia-studios.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&sid=4cc5dec2c68e6377819edd6ab66620de&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-24&checkout=2023-07-30&dest_id=811&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&nflt=pri%3D2%3Bclass%3D3%3Bht_id%3D201&srpvid=65f37707e555013a&srepoch=1685897745&all_sr_blocks=130536406_353506443_0_0_0&highlighted_blocks=130536406_353506443_0_0_0&matching_block_id=130536406_353506443_0_0_0&sr_pri_blocks=130536406_353506443_0_0_0__55500&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Mirage Studios,"87, Dimokratias Str., Malia, 70007, Greece",9.0Wonderful 304 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Airport shuttle', 'Free parking', 'Free WiFi', 'Bar', 'Wonderful Breakfast']","<span class=""bui-u-sr-only"">
Price
CAD 709
</span>",23 m²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Pets\n\n\nPets are not allowed.']",3,https://www.booking.com/hotel/gr/mirage-studios.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&sid=4cc5dec2c68e6377819edd6ab66620de&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-24&checkout=2023-07-30&dest_id=811&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&nflt=pri%3D2%3Bclass%3D3%3Bht_id%3D201&srpvid=65f37707e555013a&srepoch=1685897745&all_sr_blocks=70010205_127953329_2_2_0&highlighted_blocks=70010205_127953329_2_2_0&matching_block_id=70010205_127953329_2_2_0&sr_pri_blocks=70010205_127953329_2_2_0__45509&from=searchresults#hotelTmpl
Kallithea Studios,"G. Papandreou 2, Rethymno, 74100, Greece",9.2Wonderful 284 reviews,"['Non-smoking rooms', 'Free WiFi', 'Bar']","<span class=""bui-u-sr-only"">
Original price
BZD 708
Current price
BZD 651
</span>",,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Quiet hours\n\n\nGuests need be quiet between 11:00 PM and 8:00 AM.', 'Pets\n\n\nPets are not allowed.']",3,https://www.booking.com/hotel/gr/kallithea-studios-rethymno-town.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&sid=4cc5dec2c68e6377819edd6ab66620de&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-24&checkout=2023-07-30&dest_id=811&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&nflt=pri%3D2%3Bclass%3D3%3Bht_id%3D201&srpvid=65f37707e555013a&srepoch=1685897745&all_sr_blocks=260317805_369639823_2_0_0&highlighted_blocks=260317805_369639823_2_0_0&matching_block_id=260317805_369639823_2_0_0&sr_pri_blocks=260317805_369639823_2_0_0__30360&from=searchresults#hotelTmpl
Villa Aliki,"Mirtos, Myrtos, 72056, Greece",9.1Wonderful 95 reviews,"['Free WiFi', 'Non-smoking rooms', 'Airport shuttle', 'Free parking', 'Family rooms']","<span class=""bui-u-sr-only"">
Price
€ 516
</span>",40 m²,"['Parties\n\n\nParties/events are not allowed', 'Quiet hours\n\n\nGuests need be quiet between 10:00 PM and 8:00 AM.', 'Pets\n\n\nPets are allowed. Charges may apply.']",3,https://www.booking.com/hotel/gr/villa-aliki.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&sid=4cc5dec2c68e6377819edd6ab66620de&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-24&checkout=2023-07-30&dest_id=811&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&nflt=pri%3D2%3Bclass%3D3%3Bht_id%3D201&srpvid=65f37707e555013a&srepoch=1685897745&all_sr_blocks=144038302_329771405_2_0_0&highlighted_blocks=144038302_329771405_2_0_0&matching_block_id=144038302_329771405_2_0_0&sr_pri_blocks=144038302_329771405_2_0_0__51600&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Hanna's Apartments,"Eparchiaki Odos Strovlon-Paleochoras, Palaiochora, 73001, Greece",8.2Very Good 92 reviews,"['Non-smoking rooms', 'Free WiFi', 'Free parking', 'Family rooms']","<span class=""bui-u-sr-only"">
Original price
€ 426
Current price
€ 392
</span>",35 m²,['Pets\n\n\nPets are not allowed.'],3,https://www.booking.com/hotel/gr/hanna-39-s-apartments.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&sid=4cc5dec2c68e6377819edd6ab66620de&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-24&checkout=2023-07-30&dest_id=811&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&nflt=pri%3D2%3Bclass%3D3%3Bht_id%3D201&srpvid=65f37707e555013a&srepoch=1685897745&all_sr_blocks=244586202_102244254_0_0_0&highlighted_blocks=244586202_102244254_0_0_0&matching_block_id=244586202_102244254_0_0_0&sr_pri_blocks=244586202_102244254_0_0_0__39218&from=searchresults#hotelTmpl
