name,location,reviews,facilities,price,size,rules,stars
Creta Verano Hotel,"El. Venizelou 183 Str., Malia, 70007, Greece",8.1Very Good 37 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Room service', 'Free parking', 'Restaurant', 'Free WiFi', 'Family rooms', 'Tea/Coffee Maker in All Rooms', 'Bar', 'Breakfast']","<span class=""bui-u-sr-only"">
Original price
€ 1,290
Current price
€ 498
</span>",18 m²,['Pets\n\n\nPets are not allowed.'],3
Alexander Mountain Resort,"Gerakari, Yerakárion, 74061, Greece",9.1Wonderful 291 reviews,"['2 swimming pools', 'Non-smoking rooms', 'Restaurant', 'Fitness center', 'Free parking', 'Room service', 'Facilities for disabled guests', 'Free WiFi', 'Bar', 'Wonderful Breakfast']","<span class=""bui-u-sr-only"">
Original price
€ 522
Current price
€ 363
</span>",22 m²,['Pets\n\n\nFree!\nPets are allowed. No extra charges.'],3
Blue Dream Hotel,"Stavromenos, Stavromenos, 74100, Greece",8.3Very Good 251 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Airport shuttle', 'Free parking', 'Beachfront', 'Room service', 'Free WiFi', 'Restaurant', 'Bar', 'Exceptional Breakfast']","<span class=""bui-u-sr-only"">
Price
CAD 735
</span>",27 m²,['Pets\n\n\nFree!\nPets are allowed on request. No extra charges.'],3
Hiona Holiday Hotel,"Palaikastro, Palekastron, 72300, Greece",8.8Excellent 334 reviews,"['Outdoor swimming pool', 'Free parking', 'Airport shuttle', 'Room service', 'Free WiFi', 'Family rooms', 'Tea/Coffee Maker in All Rooms', 'Bar', 'Very Good Breakfast']","<span class=""bui-u-sr-only"">
Price
$547
</span>",161 feet²,['Pets\n\n\nPets are not allowed.'],
Orne Magical Retreat,"Ορνέ Ρεθύμνου, Orné, Greece",9.5Exceptional 19 reviews,"['Non-smoking rooms', 'Free parking', 'Free WiFi', 'Family rooms']","<span class=""bui-u-sr-only"">
Price
$319
</span>",,['Pets\n\n\nFree!\nPets are allowed. No extra charges.'],
Dimitris Villa Hotel,"Main Street, Matala, 70200, Greece",7.7Good 852 reviews,"['2 swimming pools', 'Non-smoking rooms', 'Airport shuttle', 'Free WiFi', 'Room service', 'Free parking', 'Restaurant', 'Family rooms', 'Bar', 'Good Breakfast']","<span class=""bui-u-sr-only"">
Price
€ 366
</span>",30 m²,['Pets\n\n\nPets are not allowed.'],3
Chez Cécile Home,"MOXLOS, Mochlos, 72057, Greece",8.5Very Good 364 reviews,"['Free parking', 'Non-smoking rooms']","<span class=""bui-u-sr-only"">
Original price
€ 326
Current price
€ 300
</span>",20 m²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Quiet hours\n\n\nGuests need be quiet between 10:00 PM and 8:00 AM.', 'Pets\n\n\nFree!\nPets are allowed on request. No extra charges.']",3
The Maxine Hotel - Adults Only,"Agia Galini, Agia Galini, 74056, Greece",8.0Very Good 5 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Free parking', 'Airport shuttle', 'Restaurant', 'Free WiFi', 'Bar', 'Breakfast']","<span class=""bui-u-sr-only"">
Price
$560
</span>",301 feet²,['Pets\n\n\nFree!\nPets are allowed on request. No extra charges.'],
Pension Irene,"Sougia, Sougia, 73009, Greece",8.8Excellent 262 reviews,"['Non-smoking rooms', 'Free WiFi', 'Room service', 'Family rooms', 'Tea/Coffee Maker in All Rooms', 'Breakfast']","<span class=""bui-u-sr-only"">
Price
$354
</span>",301 feet²,"['Smoking\n\nSmoking is not allowed.', 'Pets\n\n\nPets are not allowed.']",
Eva Suites & Apartments,"Agia Marina Chania Crete, Galatás, 73014, Greece",,"['Outdoor swimming pool', 'Non-smoking rooms', 'Free WiFi', 'Family rooms', 'Bar']","<span class=""bui-u-sr-only"">
Price
$579
</span>",215 feet²,['Pets\n\n\nPets are not allowed.'],
