name,location,reviews,facilities,price,size,rules,stars
Mr & Mrs White Mykonos,"Platis Yalos, Platis Gialos, 84600, Greece",8.0Very Good 99 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Airport shuttle', 'Room service', 'Free parking', 'Free WiFi', 'Family rooms', 'Bar', 'Breakfast']","<span class=""bui-u-sr-only"">
Original price
CAD 4,927
Current price
CAD 2,956
</span>",22 m²,['Pets\n\n\nPets are not allowed.'],4
Saint John Hotel Villas & Spa,"Agios Ioannis, Agios Ioannis Mykonos, 84600, Greece","8.7Excellent 1,069 reviews","['2 swimming pools', 'Non-smoking rooms', 'Airport shuttle', 'Spa', 'Fitness center', 'Room service', 'Free parking', 'Bar', 'Private beach area', 'Wonderful Breakfast']","<span class=""bui-u-sr-only"">
Price
CAD 4,832
</span>",30 m²,['Pets\n\n\nPets are not allowed.'],5
Asty Mykonos Hotel & Spa,"Drafaki Mykonos, Drafaki, 84600, Greece",9.3Wonderful 98 reviews,"['Outdoor swimming pool', 'Free WiFi', 'Free parking', 'Airport shuttle', 'Non-smoking rooms', 'Family rooms', 'Restaurant', 'Tea/Coffee Maker in All Rooms', 'Bar', 'Breakfast']","<span class=""bui-u-sr-only"">
Price
19,668 zł
</span>",35 m²,['Pets\n\n\nPets are allowed. Charges may apply.'],5
Ftelia Bay Boutique Hotel,"Ftelia, Ftelia, 84600, Greece",8.9Excellent 326 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Airport shuttle', 'Spa', 'Fitness center', 'Room service', 'Restaurant', 'Free WiFi', 'Family rooms', 'Bar']","<span class=""bui-u-sr-only"">
Original price
CAD 3,751
Current price
CAD 3,001
</span>",23 m²,['Pets\n\n\nPets are not allowed.'],4
Mykonos Residence Villas & Suites Merchia Beach,"Merchia Beach, Παραλία Μερχιάς, Merchia Beach, 84600, Greece",8.9Excellent 33 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Free WiFi', 'Airport shuttle', 'Beachfront', 'Free parking', 'Room service', 'Facilities for disabled guests', 'Bar', 'Breakfast']","<span class=""bui-u-sr-only"">
Price
€ 2,673
</span>",35 m²,['Pets\n\n\nFree!\nPets are allowed on request. No extra charges.'],4
Hotel Tagoo,"Tagoo Area, Mikonos, 84600, Greece",9.1Wonderful 360 reviews,"['Outdoor swimming pool', 'Free WiFi', 'Airport shuttle', 'Non-smoking rooms', 'Room service', 'Family rooms', '24-hour front desk', 'Tea/Coffee Maker in All Rooms', 'Bar', 'Good Breakfast']","<span class=""bui-u-sr-only"">
Original price
€ 4,407
Current price
€ 2,845
</span>",20 m²,['Pets\n\n\nPets are not allowed.'],4
Manoula's Beach Mykonos Resort,"Main Street, Agios Ioannis Mykonos, 84600, Greece",9.2Wonderful 501 reviews,"['Outdoor swimming pool', 'Airport shuttle', 'Non-smoking rooms', 'Free parking', 'Beachfront', 'Free WiFi', 'Bar', 'Very Good Breakfast']","<span class=""bui-u-sr-only"">
Original price
£2,490
Current price
£2,292
</span>",269 feet²,['Pets\n\n\nPets are not allowed.'],4
Lyo Boutique Hotel Mykonos,"Super Paradise, Super Paradise Beach, 84600, Greece",9.5Exceptional 474 reviews,"['2 swimming pools', 'Non-smoking rooms', 'Free parking', 'Fitness center', 'Airport shuttle (free)', 'Restaurant', 'Room service', 'Free WiFi', 'Bar', 'Excellent Breakfast']","<span class=""bui-u-sr-only"">
Price
PAB 5,153
</span>",30 m²,['Pets\n\n\nPets are not allowed.'],4
Mykonos Lolita,"Main Street, Agios Sostis Mykonos, 84600, Greece",8.7Excellent 108 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Airport shuttle', 'Free parking', 'Room service', 'Restaurant', 'Beachfront', 'Free WiFi', 'Family rooms', 'Bar']","<span class=""bui-u-sr-only"">
Price
$3,263
</span>",355 feet²,['Pets\n\n\nPets are not allowed.'],
Arte & Mare Elia Luxury Suites & Vllas,"Main Street, Elia Beach, 84600, Greece",8.5Very Good 428 reviews,"['2 swimming pools', 'Non-smoking rooms', 'Spa', 'Fitness center', 'Airport shuttle', 'Beachfront', 'Room service', 'Bar', 'Private beach area', 'Excellent Breakfast']","<span class=""bui-u-sr-only"">
Price
$4,537
</span>",538 feet²,['Pets\n\n\nPets are not allowed.'],
