name,location,reviews,facilities,price,size,rules,stars
Polis of Naxos Stylish Suites,"ΧΩΡΑ ΝΑΞΟΣ, Naxos Chora, 84300, Greece",9.0Wonderful 26 reviews,"['Non-smoking rooms', 'Airport shuttle', 'Free WiFi', 'Family rooms']","<span class=""bui-u-sr-only"">
Original price
SAR 8,957
Current price
SAR 6,180
</span>",20 m²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Pets\n\n\nPets are not allowed.']",3
Gaitani apartments plaka naxos,"ORKOS, Mikri Vigla, 84304, Greece",8.6Excellent 37 reviews,"['Free WiFi', 'Non-smoking rooms', 'Free parking', 'Family rooms']","<span class=""bui-u-sr-only"">
Original price
€ 798
Current price
€ 734
</span>",35 m²,['Pets\n\n\nPets are not allowed.'],3
Naxos Palace Hotel,"Main Street, Stelida, 84300, Greece",7.0Good 211 reviews,"['2 swimming pools', 'Non-smoking rooms', 'Room service', 'Free parking', 'Free WiFi', 'Airport shuttle', 'Family rooms', 'Bar']","<span class=""bui-u-sr-only"">
Price
US$727
</span>",27 m²,['Pets\n\n\nFree!\nPets are allowed on request. No extra charges.'],4
Golden Sun Hotel,"Stelida, Stelida, 84300, Greece",8.9Excellent 260 reviews,"['2 swimming pools', 'Non-smoking rooms', 'Airport shuttle (free)', 'Restaurant', 'Room service', 'Free parking', 'Free WiFi', 'Family rooms', 'Bar', 'Exceptional Breakfast']","<span class=""bui-u-sr-only"">
Price
$1,068
</span>",323 feet²,['Pets\n\n\nPets are not allowed.'],
Kavuras Village,"Agios Prokopios, Agios Prokopios, 84300, Greece",8.3Very Good 51 reviews,"['Outdoor swimming pool', 'Free parking', 'Restaurant', 'Free WiFi', 'Family rooms', 'Bar', 'Breakfast']","<span class=""bui-u-sr-only"">
Original price
CAD 2,076
Current price
CAD 1,682
</span>",20 m²,['Pets\n\n\nPets are not allowed.'],4
Orkos Beach Hotel,"Main Street, Mikri Vigla, 84300, Greece",8.8Excellent 163 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Free WiFi', 'Facilities for disabled guests', 'Free parking', 'Beachfront', 'Family rooms', 'Tea/Coffee Maker in All Rooms']","<span class=""bui-u-sr-only"">
Original price
€ 1,191
Current price
€ 1,096
</span>",20 m²,['Pets\n\n\nPets are not allowed.'],2
Irida Luxury Apartments,"Kastraki, Kastraki, 84300, Greece",9.4Wonderful 243 reviews,"['Outdoor swimming pool', 'Free WiFi', 'Non-smoking rooms', 'Airport shuttle', 'Room service', 'Free parking', 'Family rooms', 'Bar', 'Exceptional Breakfast']","<span class=""bui-u-sr-only"">
Price
€ 2,519
</span>",34 m²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Quiet hours\n\n\nGuests need be quiet between 11:00 PM and 7:00 AM.', 'Pets\n\n\nFree!\nPets are allowed. No extra charges.']",3
Marine Dream,"Plaka Beach, Plaka, 84300, Greece",8.7Excellent 89 reviews,"['Free WiFi', 'Non-smoking rooms', 'Airport shuttle (free)', 'Beachfront', 'Free parking', 'Family rooms', 'Breakfast']","<span class=""bui-u-sr-only"">
Original price
€ 1,523
Current price
€ 1,401
</span>",25 m²,"['Parties\n\n\nParties/events are not allowed', 'Pets\n\n\nPets are not allowed.']",3
Naxos Filoxenia Hotel,"Evagellou D. Michelopoulou str,, Galini, 84300, Greece",9.2Wonderful 79 reviews,"['Non-smoking rooms', 'Free parking', 'Free WiFi', 'Family rooms', 'Bar']","<span class=""bui-u-sr-only"">
Original price
£1,085
Current price
£869
</span>",269 feet²,['Pets\n\n\nPets are not allowed.'],3
Argo Boutique Hotel,"Kinidaros Street, Naxos Chora, 84 300, Greece","8.6Excellent 1,127 reviews","['Outdoor swimming pool', 'Non-smoking rooms', 'Free parking', 'Airport shuttle', 'Fitness center', 'Spa', 'Room service', 'Free WiFi', 'Bar', 'Excellent Breakfast']","<span class=""bui-u-sr-only"">
Original price
RUB 214,089
Current price
RUB 181,976
</span>",35 m²,['Pets\n\n\nPets are not allowed.'],4
koronos village apartments,"Κόρωνος Νάξου Κόρωνος Νάξου, Kóronos, 84302, Greece",9.3Wonderful 12 reviews,"['Free parking', 'Free WiFi']","<span class=""bui-u-sr-only"">
Price
$1,158
</span>",1076 feet²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Pets\n\n\nPets are not allowed.']",
Sea & Olives Suites Hotel and Villas,"Maragkas Plaka Naxos, Kalamouria, Plaka, 84300, Greece",9.6Exceptional 86 reviews,"['Non-smoking rooms', 'Airport shuttle', 'Free WiFi', 'Free parking', 'Family rooms']","<span class=""bui-u-sr-only"">
Original price
12,741 zł
Current price
11,467 zł
</span>",90 m²,['Pets\n\n\nPets are not allowed.'],4
Cosmos Boutique Hotel,"Plaka Beach, Plaka, 84300, Greece",9.5Exceptional 71 reviews,"['Outdoor swimming pool', 'Free WiFi', 'Non-smoking rooms', 'Room service', 'Restaurant', 'Free parking', 'Family rooms', 'Bar', 'Breakfast']","<span class=""bui-u-sr-only"">
Price
€ 7,131
</span>",120 m²,['Pets\n\n\nPets are not allowed.'],
Iphimedeia Luxury Hotel & Suites,"Saint George Airport Road, Naxos Chora, 84300, Greece",9.6Exceptional 192 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Free parking', 'Airport shuttle', 'Room service', 'Free WiFi', 'Family rooms', 'Bar', 'Exceptional Breakfast']","<span class=""bui-u-sr-only"">
Original price
DOP 156,274
Current price
DOP 143,772
</span>",40 m²,['Pets\n\n\nPets are not allowed.'],4
Kouros,"Main Street, Apollon, 84301, Greece",8.7Excellent 155 reviews,"['Non-smoking rooms', 'Free WiFi', 'Facilities for disabled guests', 'Beachfront', 'Free parking', 'Bar']",,,['Pets\n\n\nFree!\nPets are allowed on request. No extra charges.'],
