name,location,reviews,facilities,price,size,rules,stars
Surfing Beach Village Paros,"Santa Maria Beach, Santa Maria, 84401, Greece","7.6Good 1,002 reviews","['Outdoor swimming pool', 'Family rooms', 'Beachfront', 'Airport shuttle (free)', 'Free WiFi', 'Free parking', 'Restaurant', 'Non-smoking rooms', 'Bar', 'Private beach area']",,,['Pets\n\n\nFree!\nPets are allowed on request. No extra charges.'],3
Londos Hotel,"Piso Livadi, Piso Livadi, 84400, Greece",8.5Very Good 224 reviews,"['Free WiFi', 'Free parking', 'Room service', 'Family rooms', 'Non-smoking rooms', 'Bar', 'Very Good Breakfast']",,,['Pets\n\n\nPets are not allowed.'],2
Paros Inn,"Logaras, Logaras, 84400, Greece",8.1Very Good 282 reviews,"['Non-smoking rooms', 'Room service', 'Facilities for disabled guests', 'Beachfront', 'Restaurant', 'Family rooms', 'Breakfast']",,,['Pets\n\n\nPets are not allowed.'],
Amaryllis Beach Hotel,"Chrissi Akti, Chrissi Akti, 84400, Greece",8.2Very Good 191 reviews,"['Non-smoking rooms', 'Beachfront', 'Free WiFi', 'Restaurant', 'Room service', 'Free parking', 'Family rooms', 'Bar', 'Good Breakfast']",,,['Pets\n\n\nPets are not allowed.'],
Casa Di Roma,"Main Street, Parikia, 84400, Greece",8.3Very Good 981 reviews,"['Outdoor swimming pool', 'Free WiFi', 'Free parking', 'Family rooms', 'Non-smoking rooms', 'Bar', 'Good Breakfast']",,,['Pets\n\n\nFree!\nPets are allowed on request. No extra charges.'],3
La Mer Seaside Apartments,"Drios, Drios, 84400, Greece",9.5Exceptional 60 reviews,"['Free parking', 'Free WiFi', 'Beachfront', 'Family rooms']",,,['Pets\n\n\nFree!\nPets are allowed on request. No extra charges.'],3
Paros Bay,"Parasporos, Parasporos, 84400, Greece",8.8Excellent 482 reviews,"['Pool  – outdoor (kids)', 'Airport shuttle', 'Free parking', 'Facilities for disabled guests', 'Beachfront', 'Free WiFi', 'Non-smoking rooms', 'Family rooms', 'Bar']",,,['Pets\n\n\nFree!\nPets are allowed on request. No extra charges.'],4
Hotel Aegeon,"Peripheral Road of Parikia, Parikia, 84400, Greece",8.4Very Good 516 reviews,"['Outdoor swimming pool', 'Free WiFi', 'Family rooms', 'Non-smoking rooms', 'Facilities for disabled guests', 'Good Breakfast']",,,['Pets\n\n\nPets are not allowed.'],
Irini Rooms,"Naousa, Naousa, 84401, Greece",9.4Wonderful 322 reviews,"['Free WiFi', 'Airport shuttle', 'Non-smoking rooms', 'Tea/Coffee Maker in All Rooms']",,,"['Parties\n\n\nParties/events are not allowed', 'Quiet hours\n\n\nGuests need be quiet between 10:00 PM and 8:00 AM.', 'Pets\n\n\nFree!\nPets are allowed on request. No extra charges.']",3
"Mythic Paros , Adults Only","Sarakiniko-Agia Irini Mythic Esclusive Resort, Agia Irini Paros, 84400, Greece",9.0Wonderful 488 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Airport shuttle', 'Spa', 'Restaurant', 'Fitness center', 'Room service', 'Tea/Coffee Maker in All Rooms', 'Bar', 'Very Good Breakfast']",,,['Pets\n\n\nPets are not allowed.'],
Blue Waves Suites & Apartments - To Kyma,"Main Street, Drios, 84400, Greece",9.7Exceptional 278 reviews,"['Non-smoking rooms', 'Airport shuttle', 'Room service', 'Free WiFi', 'Beachfront', 'Restaurant', 'Free parking', 'Family rooms']",,,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Pets\n\n\nPets are not allowed.']",
Stella Hotel,"Livadia Beach, Parikia, 84400, Greece",8.7Excellent 680 reviews,"['Free WiFi', 'Free parking', 'Beachfront', 'Non-smoking rooms']",,,['Pets\n\n\nPets are not allowed.'],
