name,location,reviews,facilities,price,size,rules,stars
Ammades All Suites Beach Hotel - Adults Only,"Leoforos Kallitheas, Faliraki, 85100, Greece",9.6Exceptional 28 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Airport shuttle', 'Fitness center', 'Beachfront', 'Free parking', 'Tea/Coffee Maker in All Rooms', 'Bar', 'Private beach area', 'Breakfast']","<span class=""bui-u-sr-only"">
Price
R$ 10,826
</span>",39 m²,['Pets\n\n\nPets are allowed on request. Charges may apply.'],5
Elissa Lifestyle Resort,"Leoforos Kallitheas, Kallithea Rhodes, 85100, Greece",8.1Very Good 455 reviews,"['15 swimming pools', 'Spa', 'Non-smoking rooms', 'Fitness center', 'Beachfront', 'Restaurant', 'Tea/Coffee Maker in All Rooms', 'Bar', 'Private beach area', 'Very Good Breakfast']","<span class=""bui-u-sr-only"">
Original price
₪ 10,349
Current price
₪ 7,616
</span>",22 m²,['Pets\n\n\nPets are not allowed.'],5
Alia Luxury Suites and Spa,"Haraki, Haraki, 85102, Greece",8.6Excellent 484 reviews,"['2 swimming pools', 'Non-smoking rooms', 'Free parking', 'Airport shuttle', 'Fitness center', 'Spa', 'Tea/Coffee Maker in All Rooms', 'Bar', 'Private beach area', 'Very Good Breakfast']","<span class=""bui-u-sr-only"">
Price
$2,902
</span>",484 feet²,['Pets\n\n\nPets are not allowed.'],
Helea Family Beach Resort,"Leoforos Kallitheas, Kallithea Rhodes, 85100, Greece",7.7Good 271 reviews,"['6 swimming pools', 'Non-smoking rooms', 'Spa', 'Fitness center', 'Beachfront', 'Room service', 'Facilities for disabled guests', 'Tea/Coffee Maker in All Rooms', 'Bar', 'Private beach area']","<span class=""bui-u-sr-only"">
Original price
CAD 4,326
Current price
CAD 3,461
</span>",22 m²,['Pets\n\n\nPets are not allowed.'],5
Paul's Garden Studios,"Haraki Malonas, Haraki, 85102, Greece",9.4Wonderful 68 reviews,"['Free parking', 'Non-smoking rooms', 'Facilities for disabled guests', 'Free WiFi', 'Family rooms']","<span class=""bui-u-sr-only"">
Price
MYR 3,935
</span>",32 m²,['Pets\n\n\nPets are not allowed.'],3
Labranda Blue Bay Resort,"Ialyssos Beach, Ialysos, 85101, Greece","8.1Very Good 1,192 reviews","['3 swimming pools', 'Non-smoking rooms', 'Fitness center', 'Spa', 'Free parking', 'Restaurant', 'Beachfront', 'Free WiFi', 'Bar', 'Private beach area']","<span class=""bui-u-sr-only"">
Price
₪ 7,130
</span>",27 m²,['Pets\n\n\nPets are not allowed.'],4
Rodos Palace Hotel,"Trianton Avenue, Ixia, 85100, Greece","7.3Good 1,552 reviews","['3 swimming pools', 'Spa', 'Fitness center', 'Airport shuttle', 'Non-smoking rooms', 'Beachfront', 'Facilities for disabled guests', 'Restaurant', 'Bar', 'Good Breakfast']","<span class=""bui-u-sr-only"">
Original price
£1,361
Current price
£884
</span>",484 feet²,['Pets\n\n\nPets are allowed on request. Charges may apply.'],5
Eden Roc Resort - All Inclusive,"Kalithea Avenue, Kallithea Rhodes, 85100, Greece",8.6Excellent 561 reviews,"['2 swimming pools', 'Spa', 'Non-smoking rooms', 'Fitness center', 'Beachfront', 'Free parking', 'Restaurant', 'Bar', 'Private beach area', 'Excellent Breakfast']","<span class=""bui-u-sr-only"">
Original price
US$3,481
Current price
US$2,959
</span>",37 m²,['Pets\n\n\nPets are not allowed.'],5
Maritime,"Leoforos Eleftherias, Kremasti, 85104, Greece",7.4Good 254 reviews,"['2 swimming pools', 'Free parking', 'Non-smoking rooms', 'Room service', 'Restaurant', 'Airport shuttle', 'WiFi in all areas', 'Tea/Coffee Maker in All Rooms', 'Bar', 'Breakfast']","<span class=""bui-u-sr-only"">
Price
₹ 39,134
</span>",25 m²,['Pets\n\n\nPets are not allowed.'],2
Kolymbia Bay Art Boutique Hotel - Adults Only,"Kolymbia, Kolymbia, 85103, Greece",8.9Excellent 275 reviews,"['Outdoor swimming pool', 'Spa', 'Non-smoking rooms', 'Restaurant', 'Room service', 'Facilities for disabled guests', 'Free parking', 'Tea/Coffee Maker in All Rooms', 'Bar', 'Excellent Breakfast']","<span class=""bui-u-sr-only"">
Price
$2,338
</span>",258 feet²,['Pets\n\n\nPets are allowed. Charges may apply.'],
Kolymbia Village,"Ethniki Odos Rodou Lindou EO Rodou Lindou, Kolympia 851 03, Kolymbia, 85103, Greece",9.0Wonderful 319 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Free parking', 'Free WiFi', 'Family rooms']","<span class=""bui-u-sr-only"">
Price
$1,963
</span>",861 feet²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Pets\n\n\nPets are not allowed.']",
Casa Cook Rhodes (Adults Only),"Kolymbia, Kolymbia, 85103, Greece",9.3Wonderful 812 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Fitness center', 'Airport shuttle', 'Restaurant', 'Room service', 'Facilities for disabled guests', 'Free parking', 'Bar', 'Excellent Breakfast']","<span class=""bui-u-sr-only"">
Price
$2,413
</span>",280 feet²,['Pets\n\n\nPets are not allowed.'],
Esperos Village Blue & Spa - Adults Only,"Leoforos Kallitheas, Faliraki, 85100, Greece","9.1Wonderful 1,893 reviews","['2 swimming pools', 'Non-smoking rooms', 'Free parking', 'Fitness center', 'Spa', 'Room service', 'Restaurant', 'Tea/Coffee Maker in All Rooms', 'Bar', 'Wonderful Breakfast']","<span class=""bui-u-sr-only"">
Original price
$2,748
Current price
$2,336
</span>",323 feet²,['Pets\n\n\nPets are allowed on request. Charges may apply.'],
Port Royal Villas and Spa - Adults Only,"Main Street, Kolymbia, 85100, Greece",9.3Wonderful 659 reviews,"['3 swimming pools', 'Spa', 'Non-smoking rooms', 'Fitness center', 'Airport shuttle', 'Restaurant', 'Room service', 'Beachfront', 'Bar', 'Private beach area']","<span class=""bui-u-sr-only"">
Price
UAH 95,764
</span>",40 m²,['Pets\n\n\nPets are not allowed.'],5
"Happy Days Hotel, Adults Only","Rodou -Kamirou, Theologos, 85106, Greece",7.8Good 157 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Free parking', 'Restaurant', 'Free WiFi', 'Bar', 'Good Breakfast']","<span class=""bui-u-sr-only"">
Price
CAD 722
</span>",20 m²,['Pets\n\n\nPets are not allowed.'],3
STAY Rhodes Hotel,"10 Plateia Gavriil Charitou, Rhodes Town, 85100, Greece",8.5Very Good 903 reviews,"['Non-smoking rooms', 'Free parking', 'Beachfront', 'Free WiFi', 'Restaurant', 'Family rooms', 'Bar', 'Very Good Breakfast']","<span class=""bui-u-sr-only"">
Price
RUB 54,702
</span>",,['Pets\n\n\nPets are not allowed.'],3
Labranda Kiotari Miraluna Resort,"Kiotari, Kiotari, 85109, Greece",7.9Good 558 reviews,"['2 swimming pools', 'Spa', 'Fitness center', 'Non-smoking rooms', 'Beachfront', 'Facilities for disabled guests', 'Free parking', 'Restaurant', 'Tea/Coffee Maker in All Rooms', 'Bar']","<span class=""bui-u-sr-only"">
Price
€ 1,687
</span>",25 m²,['Pets\n\n\nPets are not allowed.'],4
Olive Garden Hotel,"Lardos, Lartos, 85109, Greece",7.8Good 350 reviews,"['Outdoor swimming pool', 'Airport shuttle', 'Non-smoking rooms', 'Restaurant', 'Free WiFi', 'Family rooms', 'Bar', 'Good Breakfast']","<span class=""bui-u-sr-only"">
Original price
4,973 zł
Current price
4,582 zł
</span>",,['Pets\n\n\nPets are not allowed.'],4
