name,location,reviews,facilities,price,size,rules,stars,link
Ino Village Hotel,"Samion Agoniston 69, Samos, 83100, Greece",9.2Wonderful 191 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Restaurant', 'Free parking', 'Free WiFi', 'Family rooms', 'Tea/Coffee Maker in All Rooms', 'Bar', 'Wonderful Breakfast']","<span class=""bui-u-sr-only"">
Price
£835
</span>",269 feet²,['Pets\n\n\nPets are not allowed.'],3,https://www.booking.com/hotel/gr/ino-village.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-24&checkout=2023-07-30&dest_id=2609&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=2c6826167a84006f&srepoch=1685942702&all_sr_blocks=1415407_0_2_1_0&highlighted_blocks=1415407_0_2_1_0&matching_block_id=1415407_0_2_1_0&sr_pri_blocks=1415407_0_2_1_0__84252&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Anema By The Sea Guesthouse,"83 Kanaris Street, Karlovasi, 83200, Greece",8.2Very Good 143 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Free parking', 'Restaurant', 'Beachfront', 'Free WiFi', 'Family rooms', 'Bar', 'Breakfast']","<span class=""bui-u-sr-only"">
Price
$573
</span>",269 feet²,"['Parties\n\n\nParties/events are not allowed', 'Quiet hours\n\n\nGuests need be quiet between 11:00 PM and 7:00 AM.', 'Pets\n\n\nPets are not allowed.']",,https://www.booking.com/hotel/gr/anema-by-the-sea-apartments.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-24&checkout=2023-07-30&dest_id=2609&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=2c6826167a84006f&srepoch=1685942702&all_sr_blocks=17402501_347158817_2_1_0&highlighted_blocks=17402501_347158817_2_1_0&matching_block_id=17402501_347158817_2_1_0&sr_pri_blocks=17402501_347158817_2_1_0__49128&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Lemos Hotel,"Kokkari, Kokkari, 83100, Greece",8.6Excellent 74 reviews,"['Non-smoking rooms', 'Free WiFi', 'Free parking', 'Beachfront', 'Family rooms']","<span class=""bui-u-sr-only"">
Price
€ 556
</span>",15 m²,['Pets\n\n\nFree!\nPets are allowed on request. No extra charges.'],2,https://www.booking.com/hotel/gr/lemos.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-24&checkout=2023-07-30&dest_id=2609&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=2c6826167a84006f&srepoch=1685942702&all_sr_blocks=44879001_88566368_2_0_0&highlighted_blocks=44879001_88566368_2_0_0&matching_block_id=44879001_88566368_2_0_0&sr_pri_blocks=44879001_88566368_2_0_0__58200&from=searchresults#hotelTmpl
"Samian Mare Hotel, Suites & Spa","KANARI 123, Karlovasi, 83200, Greece",8.8Excellent 121 reviews,"['2 swimming pools', 'Non-smoking rooms', 'Free parking', 'Airport shuttle', 'Spa', 'Facilities for disabled guests', 'Tea/Coffee Maker in All Rooms', 'Bar', 'Private beach area', 'Excellent Breakfast']","<span class=""bui-u-sr-only"">
Original price
RUB 178,408
Current price
RUB 124,885
</span>",26 m²,['Pets\n\n\nPets are not allowed.'],4,https://www.booking.com/hotel/gr/samian-mare-and-suites.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-24&checkout=2023-07-30&dest_id=2609&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=2c6826167a84006f&srepoch=1685942702&all_sr_blocks=371914305_355606065_2_1_0&highlighted_blocks=371914305_355606065_2_1_0&matching_block_id=371914305_355606065_2_1_0&sr_pri_blocks=371914305_355606065_2_1_0__131762&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Doryssa Seaside Resort,"Main Street, Pythagoreio, 83103, Greece",8.0Very Good 101 reviews,"['Outdoor swimming pool', 'Free parking', 'Airport shuttle', 'Fitness center', 'Spa', 'Room service', 'Facilities for disabled guests', 'Restaurant', 'Bar', 'Breakfast']","<span class=""bui-u-sr-only"">
Price
$1,816
</span>",237 feet²,['Pets\n\n\nPets are not allowed.'],,https://www.booking.com/hotel/gr/doryssa-seaside-resort.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-24&checkout=2023-07-30&dest_id=2609&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=2c6826167a84006f&srepoch=1685942702&all_sr_blocks=1368301_95137947_2_1_0&highlighted_blocks=1368301_95137947_2_1_0&matching_block_id=1368301_95137947_2_1_0&sr_pri_blocks=1368301_95137947_2_1_0__155747&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Paris Beach Hotel,"Iraion, Ireon, 83100, Greece",7.6Good 27 reviews,"['Non-smoking rooms', 'Beachfront', 'Free WiFi', 'Wonderful Breakfast']","<span class=""bui-u-sr-only"">
Original price
DOP 17,239
Current price
DOP 15,860
</span>",,['Pets\n\n\nFree!\nPets are allowed on request. No extra charges.'],2,https://www.booking.com/hotel/gr/paris-beach.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-24&checkout=2023-07-30&dest_id=2609&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=2c6826167a84006f&srepoch=1685942702&all_sr_blocks=29939002_373912913_2_2_0&highlighted_blocks=29939002_373912913_2_2_0&matching_block_id=29939002_373912913_2_2_0&sr_pri_blocks=29939002_373912913_2_2_0__27048&from=searchresults#hotelTmpl
Nisea Hotel Samos,"μεσόκαμπος, Pythagoreio, 83103, Greece",9.1Wonderful 98 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Free parking', 'Beachfront', 'Free WiFi', 'Family rooms', 'Bar', 'Breakfast']","<span class=""bui-u-sr-only"">
Price
$1,023
</span>",463 feet²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Pets\n\n\nFree!\nPets are allowed. No extra charges.']",,https://www.booking.com/hotel/gr/nisea-samos.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-24&checkout=2023-07-30&dest_id=2609&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=2c6826167a84006f&srepoch=1685942702&all_sr_blocks=799972104_353533963_2_2_0&highlighted_blocks=799972104_353533963_2_2_0&matching_block_id=799972104_353533963_2_2_0&sr_pri_blocks=799972104_353533963_2_2_0__95400&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Villa Maria,"Kampos, Marathokampos, 83102, Greece",8.5Very Good 57 reviews,"['Outdoor swimming pool', 'Free WiFi', 'Non-smoking rooms', 'Beachfront', 'Free parking', 'Family rooms', 'Bar']","<span class=""bui-u-sr-only"">
Price
€ 351
</span>",53 m²,['Pets\n\n\nFree!\nPets are allowed on request. No extra charges.'],3,https://www.booking.com/hotel/gr/villa-maria-marathokampos.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-24&checkout=2023-07-30&dest_id=2609&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=2c6826167a84006f&srepoch=1685942702&all_sr_blocks=74069112_88565825_0_0_0&highlighted_blocks=74069112_88565825_0_0_0&matching_block_id=74069112_88565825_0_0_0&sr_pri_blocks=74069112_88565825_0_0_0__32016&from=searchresults#hotelTmpl
Astir Hotel,"Gianni Ritsou (Agrotiki), Karlovasi, 83200, Greece",8.8Excellent 45 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Free parking', 'Restaurant', 'Free WiFi', 'Family rooms', 'Bar']","<span class=""bui-u-sr-only"">
Price
$309
</span>",161 feet²,['Pets\n\n\nFree!\nPets are allowed on request. No extra charges.'],,https://www.booking.com/hotel/gr/astir-hotel.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-24&checkout=2023-07-30&dest_id=2609&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=2c6826167a84006f&srepoch=1685942702&all_sr_blocks=37246802_205213560_0_0_0&highlighted_blocks=37246802_205213560_0_0_0&matching_block_id=37246802_205213560_0_0_0&sr_pri_blocks=37246802_205213560_0_0_0__28800&from=searchresults#hotelTmpl
Friendly Studios,"Ireon, Ireon, 83103, Greece",8.9Excellent 29 reviews,"['Free parking', 'Free WiFi']","<span class=""bui-u-sr-only"">
Price
₱ 22,661
</span>",27 m²,['Pets\n\n\nFree!\nPets are allowed on request. No extra charges.'],3,https://www.booking.com/hotel/gr/friendly-studios.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-24&checkout=2023-07-30&dest_id=2609&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=2c6826167a84006f&srepoch=1685942702&all_sr_blocks=40496801_367676411_2_0_0&highlighted_blocks=40496801_367676411_2_0_0&matching_block_id=40496801_367676411_2_0_0&sr_pri_blocks=40496801_367676411_2_0_0__34776&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
