name,location,reviews,facilities,price,size,rules,stars,link
Rhenia's Suites,"Nikolaou Nomikou, Oia, 84702, Greece",9.2Wonderful 115 reviews,"['Non-smoking rooms', 'Airport shuttle', 'Free WiFi', 'Room service', 'Family rooms', 'Terrace', 'Tea/Coffee Maker in All Rooms']","<span class=""bui-u-sr-only"">
Original price
€ 6,537
Current price
€ 3,923
</span>",36 m²,['Pets\n\n\nPets are not allowed.'],,https://www.booking.com/hotel/gr/rhenia-39-s-suites.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&sid=4cc5dec2c68e6377819edd6ab66620de&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-24&checkout=2023-07-30&dest_id=1513&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=fc7a773eeeb200ce&srepoch=1685897854&all_sr_blocks=742926201_329447177_2_41_0&highlighted_blocks=742926201_329447177_2_41_0&matching_block_id=742926201_329447177_2_41_0&sr_pri_blocks=742926201_329447177_2_41_0__392340&from=searchresults#hotelTmpl
Santorini View,"Akrotiri, Santorini, Akrotiri, 84700, Greece",9.3Wonderful 25 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Airport shuttle', 'Restaurant', 'Room service', 'Free parking', 'Free WiFi', 'Family rooms', 'Breakfast']","<span class=""bui-u-sr-only"">
Original price
CAD 5,396
Current price
CAD 4,587
</span>",18 m²,['Pets\n\n\nPets are not allowed.'],,https://www.booking.com/hotel/gr/highlight-santorini-view.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&sid=4cc5dec2c68e6377819edd6ab66620de&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-24&checkout=2023-07-30&dest_id=1513&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=fc7a773eeeb200ce&srepoch=1685897854&all_sr_blocks=543451903_371081260_2_1_0&highlighted_blocks=543451903_371081260_2_1_0&matching_block_id=543451903_371081260_2_1_0&sr_pri_blocks=543451903_371081260_2_1_0__293540&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Smaragdi Hotel,"Main Street, Perivolos, 84703, Greece",9.2Wonderful 760 reviews,"['Outdoor swimming pool', 'Free WiFi', 'Non-smoking rooms', 'Room service', 'Free parking', 'Bar']","<span class=""bui-u-sr-only"">
Original price
€ 1,614
Current price
€ 1,189
</span>",28 m²,['Pets\n\n\nPets are not allowed.'],3,https://www.booking.com/hotel/gr/smaragdi.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&sid=4cc5dec2c68e6377819edd6ab66620de&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-24&checkout=2023-07-30&dest_id=1513&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=fc7a773eeeb200ce&srepoch=1685897854&all_sr_blocks=9621102_88999902_2_0_0&highlighted_blocks=9621102_88999902_2_0_0&matching_block_id=9621102_88999902_2_0_0&sr_pri_blocks=9621102_88999902_2_0_0__118870&from=searchresults#hotelTmpl
Maison Des Lys - Luxury Suites,"Off Akrotiriou - Megalochoriou Road, Akrotiri, 84700, Greece",8.8Excellent 455 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Airport shuttle (free)', 'Restaurant', 'Free parking', 'Room service', 'Free WiFi', 'Family rooms', 'Bar', 'Very Good Breakfast']","<span class=""bui-u-sr-only"">
Price
€ 2,155
</span>",40 m²,['Pets\n\n\nPets are allowed on request. Charges may apply.'],,https://www.booking.com/hotel/gr/maison-des-lys.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&sid=4cc5dec2c68e6377819edd6ab66620de&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-24&checkout=2023-07-30&dest_id=1513&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=fc7a773eeeb200ce&srepoch=1685897854&all_sr_blocks=0_0_2_1_0&highlighted_blocks=0_0_2_1_0&matching_block_id=0_0_2_1_0&sr_pri_blocks=0_0_2_1_0__215519&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
North Santorini - A Luxury Spa Hotel,"Periferiakos Pyrgou, Pyrgos, 84701, Greece",9.3Wonderful 359 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Airport shuttle', 'Free parking', 'Spa', 'Fitness center', 'Room service', 'Restaurant', 'Bar', 'Wonderful Breakfast']","<span class=""bui-u-sr-only"">
Original price
¥710,465
Current price
¥568,372
</span>",45 m²,['Pets\n\n\nPets are not allowed.'],5,https://www.booking.com/hotel/gr/north-luxury-villas.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&sid=4cc5dec2c68e6377819edd6ab66620de&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-24&checkout=2023-07-30&dest_id=1513&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=fc7a773eeeb200ce&srepoch=1685897854&all_sr_blocks=227764504_99416564_2_1_0&highlighted_blocks=227764504_99416564_2_1_0&matching_block_id=227764504_99416564_2_1_0&sr_pri_blocks=227764504_99416564_2_1_0__381840&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
"Magma Resort Santorini, In The Unbound Collection By Hyatt","Vourvoulos, Vourvoulos, 84700, Greece",9.2Wonderful 48 reviews,"['2 swimming pools', 'Airport shuttle', 'Non-smoking rooms', 'Fitness center', 'Facilities for disabled guests', 'Room service', 'Restaurant', 'Free parking', 'Bar', 'Breakfast']","<span class=""bui-u-sr-only"">
Price
£2,949
</span>",323 feet²,['Pets\n\n\nPets are not allowed.'],5,https://www.booking.com/hotel/gr/magma-resort-santorini-in-the-unbound-collection-by-hyatt.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&sid=4cc5dec2c68e6377819edd6ab66620de&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-24&checkout=2023-07-30&dest_id=1513&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=fc7a773eeeb200ce&srepoch=1685897854&all_sr_blocks=821055503_365029889_2_1_0&highlighted_blocks=821055503_365029889_2_1_0&matching_block_id=821055503_365029889_2_1_0&sr_pri_blocks=821055503_365029889_2_1_0__343200&from=searchresults#hotelTmpl
Nikki Beach Resort & Spa Santorini,"Agia Paraskevi , Kamari, 84700, Greece",8.0Very Good 319 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Airport shuttle', 'Spa', 'Fitness center', 'Tea/Coffee Maker in All Rooms', 'Bar', 'Beachfront', 'Private beach area', 'Very Good Breakfast']","<span class=""bui-u-sr-only"">
Price
CAD 3,820
</span>",35 m²,['Pets\n\n\nFree!\nPets are allowed on request. No extra charges.'],5,https://www.booking.com/hotel/gr/nikki-beach-resort-amp-spa-santorini.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&sid=4cc5dec2c68e6377819edd6ab66620de&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-24&checkout=2023-07-30&dest_id=1513&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=fc7a773eeeb200ce&srepoch=1685897854&all_sr_blocks=478389104_0_2_1_0&highlighted_blocks=478389104_0_2_1_0&matching_block_id=478389104_0_2_1_0&sr_pri_blocks=478389104_0_2_1_0__264900&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Divino Caldera,"Akrotiri, Akrotiri, 84700, Greece",9.5Exceptional 37 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Airport shuttle', 'Free parking', 'Room service', 'Free WiFi', 'Tea/Coffee Maker in All Rooms', 'Breakfast']","<span class=""bui-u-sr-only"">
Original price
€ 3,567
Current price
€ 3,032
</span>",40 m²,['Pets\n\n\nPets are not allowed.'],,https://www.booking.com/hotel/gr/divino-caldera.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&sid=4cc5dec2c68e6377819edd6ab66620de&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-24&checkout=2023-07-30&dest_id=1513&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=fc7a773eeeb200ce&srepoch=1685897854&all_sr_blocks=992839906_372239190_0_1_0&highlighted_blocks=992839906_372239190_0_1_0&matching_block_id=992839906_372239190_0_1_0&sr_pri_blocks=992839906_372239190_0_1_0__303240&from=searchresults#hotelTmpl
Zannos Melathron,"Main Street, Pyrgos, 84701, Greece",8.4Very Good 186 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Airport shuttle', 'Spa', 'Room service', 'Restaurant', 'Free WiFi', 'Family rooms', 'Bar', 'Breakfast']","<span class=""bui-u-sr-only"">
Original price
CAD 2,401
Current price
CAD 2,209
</span>",35 m²,['Pets\n\n\nPets are allowed on request. Charges may apply.'],5,https://www.booking.com/hotel/gr/zannos-melathron.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&sid=4cc5dec2c68e6377819edd6ab66620de&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-24&checkout=2023-07-30&dest_id=1513&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=fc7a773eeeb200ce&srepoch=1685897854&all_sr_blocks=9671410_88999967_2_33_0&highlighted_blocks=9671410_88999967_2_33_0&matching_block_id=9671410_88999967_2_33_0&sr_pri_blocks=9671410_88999967_2_33_0__132603&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Abelonas Village,"Megalochori, Megalochori, 84700, Greece",9.1Wonderful 390 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Airport shuttle', 'Free parking', 'Free WiFi', 'Bar']","<span class=""bui-u-sr-only"">
Price
£724
</span>",172 feet²,"['Parties\n\n\nParties/events are not allowed', 'Quiet hours\n\n\nGuests need be quiet between 12:00 AM and 8:00 AM.', 'Pets\n\n\nPets are not allowed.']",3,https://www.booking.com/hotel/gr/abelonas-village.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&sid=4cc5dec2c68e6377819edd6ab66620de&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-24&checkout=2023-07-30&dest_id=1513&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=fc7a773eeeb200ce&srepoch=1685897854&all_sr_blocks=37905721_91925225_2_0_0&highlighted_blocks=37905721_91925225_2_0_0&matching_block_id=37905721_91925225_2_0_0&sr_pri_blocks=37905721_91925225_2_0_0__84300&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
