name,location,reviews,facilities,price,size,rules,stars,link
Galini Bungalows,"Ag. Fotodoti 92, Kionia, Kionia, 84200, Greece",8.4Very Good 170 reviews,"['Non-smoking rooms', 'Free parking', 'Beachfront', 'Free WiFi', 'Family rooms', 'Bar', 'Very Good Breakfast']","<span class=""bui-u-sr-only"">
Price
RUB 41,855
</span>",25 m²,"['Parties\n\n\nParties/events are not allowed', 'Quiet hours\n\n\nGuests need be quiet between 10:00 PM and 8:00 AM.', 'Pets\n\n\nPets are not allowed.']",3,https://www.booking.com/hotel/gr/galini-bangalows.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-24&checkout=2023-07-28&dest_id=1910&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=6771491c2d2a0218&srepoch=1685960633&all_sr_blocks=31355208_88570604_2_2_0&highlighted_blocks=31355208_88570604_2_2_0&matching_block_id=31355208_88570604_2_2_0&sr_pri_blocks=31355208_88570604_2_2_0__49200&from_sustainable_property_sr=1&map_fdco=1&from=searchresults#hotelTmpl
La Vista TINOS,"Τήνος, Agios Ioannis, 84200, Greece",10Exceptional 1 review,"['Non-smoking rooms', 'Free parking', 'Free WiFi', 'Family rooms']","<span class=""bui-u-sr-only"">
Price
CAD 865
</span>",25 m²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Pets\n\n\nFree!\nPets are allowed. No extra charges.']",,https://www.booking.com/hotel/gr/la-vista-tinos.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-24&checkout=2023-07-28&dest_id=1910&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=6771491c2d2a0218&srepoch=1685960633&all_sr_blocks=1013732401_374044357_3_0_0&highlighted_blocks=1013732401_374044357_3_0_0&matching_block_id=1013732401_374044357_3_0_0&sr_pri_blocks=1013732401_374044357_3_0_0__60000&map_fdco=1&from=searchresults#hotelTmpl
Ursa Major Suites,"Κώμη Τήνος, Tinos, 84200, Greece",9.6Exceptional 58 reviews,"['Free WiFi', 'Non-smoking rooms', 'Facilities for disabled guests', 'Room service', 'Restaurant', 'Free parking', 'Family rooms', 'Tea/Coffee Maker in All Rooms', 'Bar', 'Exceptional Breakfast']","<span class=""bui-u-sr-only"">
Price
€ 1,132
</span>",32 m²,['Pets\n\n\nPets are not allowed.'],,https://www.booking.com/hotel/gr/ursa-major-suites.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-24&checkout=2023-07-28&dest_id=1910&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=6771491c2d2a0218&srepoch=1685960633&all_sr_blocks=754460801_374305969_2_1_0&highlighted_blocks=754460801_374305969_2_1_0&matching_block_id=754460801_374305969_2_1_0&sr_pri_blocks=754460801_374305969_2_1_0__113200&from_sustainable_property_sr=1&map_fdco=1&from=searchresults#hotelTmpl
White Tinos Luxury Suites,"Steni Tinos, Stení, 84200, Greece",9.7Exceptional 24 reviews,"['Non-smoking rooms', 'Free WiFi', 'Room service', 'Free parking', 'Facilities for disabled guests', 'Family rooms']","<span class=""bui-u-sr-only"">
Price
€ 1,152
</span>",75 m²,"['Smoking\n\nSmoking is not allowed.', 'Pets\n\n\nFree!\nPets are allowed on request. No extra charges.']",4,https://www.booking.com/hotel/gr/white-tinos-luxury-suites.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-24&checkout=2023-07-28&dest_id=1910&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=6771491c2d2a0218&srepoch=1685960633&all_sr_blocks=147870403_91877802_0_1_0&highlighted_blocks=147870403_91877802_0_1_0&matching_block_id=147870403_91877802_0_1_0&sr_pri_blocks=147870403_91877802_0_1_0__115200&from_sustainable_property_sr=1&map_fdco=1&from=searchresults#hotelTmpl
Aegean Muses,"ΤΡΙΑΝΤΑΡΟΣ 84200 ΤΗΝΟΣ, Arnados, 84200, Greece",9.6Exceptional 5 reviews,"['Outdoor swimming pool', 'Free WiFi', 'Free parking', 'Non-smoking rooms']","<span class=""bui-u-sr-only"">
Price
€ 2,088
</span>",117 m²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Pets\n\n\nPets are not allowed.']",,https://www.booking.com/hotel/gr/aegean-muses-tenos.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-24&checkout=2023-07-28&dest_id=1910&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=6771491c2d2a0218&srepoch=1685960633&all_sr_blocks=875182202_356418167_5_0_0&highlighted_blocks=875182202_356418167_5_0_0&matching_block_id=875182202_356418167_5_0_0&sr_pri_blocks=875182202_356418167_5_0_0__208800&map_fdco=1&from=searchresults#hotelTmpl
Imarkellis Boutique Villas,"Pyrgos Tinos, Panormos, 84201, Greece",9.7Exceptional 9 reviews,"['Outdoor swimming pool', 'Free parking', 'Non-smoking rooms', 'Free WiFi', 'Room service', 'Family rooms']","<span class=""bui-u-sr-only"">
Price
$1,287
</span>",1346 feet²,['Pets\n\n\nFree!\nPets are allowed on request. No extra charges.'],,https://www.booking.com/hotel/gr/imarkellis-boutique-villas.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-24&checkout=2023-07-28&dest_id=1910&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=6771491c2d2a0218&srepoch=1685960633&all_sr_blocks=321272001_329660534_0_0_0&highlighted_blocks=321272001_329660534_0_0_0&matching_block_id=321272001_329660534_0_0_0&sr_pri_blocks=321272001_329660534_0_0_0__120000&map_fdco=1&from=searchresults#hotelTmpl
Vrahos Agios Romanos,"Αγιος Ρωμανος Τηνος Ματθαιος Δελλατολας, Agios Romanos, 84200, Greece",9.7Exceptional 24 reviews,"['Free parking', 'Room service', 'Free WiFi']","<span class=""bui-u-sr-only"">
Price
₹ 52,971
</span>",50 m²,"['Parties\n\n\nParties/events are not allowed', 'Quiet hours\n\n\nGuests need be quiet between 2:00 PM and 5:00 PM.', 'Pets\n\n\nPets are not allowed.']",4,https://www.booking.com/hotel/gr/vila-vrahos.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-24&checkout=2023-07-28&dest_id=1910&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=6771491c2d2a0218&srepoch=1685960633&all_sr_blocks=468166901_338386797_2_0_0&highlighted_blocks=468166901_338386797_2_0_0&matching_block_id=468166901_338386797_2_0_0&sr_pri_blocks=468166901_338386797_2_0_0__60000&map_fdco=1&from=searchresults#hotelTmpl
Villa Ioanna,"Kionia, Kionia, 84200, Greece",9.0Wonderful 67 reviews,"['Non-smoking rooms', 'Free parking', 'Beachfront', 'Free WiFi', 'Family rooms', 'Tea/Coffee Maker in All Rooms']","<span class=""bui-u-sr-only"">
Price
$515
</span>",484 feet²,"['Smoking\n\nSmoking is not allowed.', 'Quiet hours\n\n\nGuests need be quiet between 2:00 PM and 6:00 PM.', 'Pets\n\n\nFree!\nPets are allowed. No extra charges.']",,https://www.booking.com/hotel/gr/ioanna-villa.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-24&checkout=2023-07-28&dest_id=1910&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=6771491c2d2a0218&srepoch=1685960633&all_sr_blocks=31691902_243087301_2_0_0&highlighted_blocks=31691902_243087301_2_0_0&matching_block_id=31691902_243087301_2_0_0&sr_pri_blocks=31691902_243087301_2_0_0__48000&map_fdco=1&from=searchresults#hotelTmpl
Avissalou Apartments,"Agios Romanos - Panousa, Agios Romanos, 84200, Greece",9.6Exceptional 107 reviews,"['Outdoor swimming pool', 'Free WiFi', 'Non-smoking rooms', 'Free parking', 'Family rooms', 'Bar', 'Breakfast']","<span class=""bui-u-sr-only"">
Price
€ 1,496
</span>",50 m²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Quiet hours\n\n\nGuests need be quiet between 3:00 PM and 5:00 PM.', 'Pets\n\n\nPets are not allowed.']",3,https://www.booking.com/hotel/gr/tenos-spiti-me-thea-to-aigaio.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-24&checkout=2023-07-28&dest_id=1910&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=6771491c2d2a0218&srepoch=1685960633&all_sr_blocks=227942001_360531574_2_2_0&highlighted_blocks=227942001_360531574_2_2_0&matching_block_id=227942001_360531574_2_2_0&sr_pri_blocks=227942001_360531574_2_2_0__149600&from_sustainable_property_sr=1&map_fdco=1&from=searchresults#hotelTmpl
Chora 5 - Central Rooms,"Agios Eleftherios, Tinos, 84200, Greece",,"['Non-smoking rooms', 'Airport shuttle', 'Room service', 'Free WiFi', 'Family rooms', 'Tea/Coffee Maker in All Rooms']","<span class=""bui-u-sr-only"">
Price
CAD 953
</span>",24 m²,"['Smoking\n\nSmoking is not allowed.', 'Pets\n\n\nPets are not allowed.']",,https://www.booking.com/hotel/gr/5-tinos-town.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-24&checkout=2023-07-28&dest_id=1910&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=6771491c2d2a0218&srepoch=1685960633&all_sr_blocks=1012071005_373855327_2_0_0&highlighted_blocks=1012071005_373855327_2_0_0&matching_block_id=1012071005_373855327_2_0_0&sr_pri_blocks=1012071005_373855327_2_0_0__66080&map_fdco=1&from=searchresults#hotelTmpl
