name,location,reviews,facilities,price,size,rules,stars,link
Thomais Boutique Hotel,"Episkopos - Nikiana, Nikiana, 31100, Greece",8.8Excellent 77 reviews,"['Outdoor swimming pool', 'Free WiFi', 'Non-smoking rooms', 'Airport shuttle', 'Room service', 'Restaurant', 'Free parking', 'Tea/Coffee Maker in All Rooms', 'Bar', 'Exceptional Breakfast']","<span class=""bui-u-sr-only"">
Original price
€ 1,336
Current price
€ 940
</span>",18 m²,['Pets\n\n\nPets are not allowed.'],4,https://www.booking.com/hotel/gr/villa-thomais.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&sid=4cc5dec2c68e6377819edd6ab66620de&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-24&checkout=2023-07-30&dest_id=2805&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=01a18a7626370155&srepoch=1685907694&all_sr_blocks=26526717_89004743_2_1_0&highlighted_blocks=26526717_89004743_2_1_0&matching_block_id=26526717_89004743_2_1_0&sr_pri_blocks=26526717_89004743_2_1_0__92232&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Villa Elenia,"Tsoukalades, Tsoukalades, 31100, Greece",9.4Wonderful 85 reviews,"['Outdoor swimming pool', 'Free parking', 'Non-smoking rooms', 'Free WiFi', 'Room service', 'Family rooms', 'Bar', 'Breakfast']","<span class=""bui-u-sr-only"">
Original price
$2,252
Current price
$1,802
</span>",484 feet²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Pets\n\n\nPets are not allowed.']",,https://www.booking.com/hotel/gr/villa-elenia.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&sid=4cc5dec2c68e6377819edd6ab66620de&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-24&checkout=2023-07-30&dest_id=2805&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=01a18a7626370155&srepoch=1685907694&all_sr_blocks=29811601_370387339_2_2_0&highlighted_blocks=29811601_370387339_2_2_0&matching_block_id=29811601_370387339_2_2_0&sr_pri_blocks=29811601_370387339_2_2_0__168000&from=searchresults#hotelTmpl
Akroyiali Resort,"Vasiliki, Vasiliki, 31082, Greece",8.2Very Good 250 reviews,"['Non-smoking rooms', 'Free parking', 'Room service', 'Beachfront', 'Free WiFi', 'Family rooms', 'Bar', 'Breakfast']","<span class=""bui-u-sr-only"">
Price
$895
</span>",269 feet²,['Pets\n\n\nPets are not allowed.'],,https://www.booking.com/hotel/gr/akroyiali-studios-gr.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&sid=4cc5dec2c68e6377819edd6ab66620de&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-24&checkout=2023-07-30&dest_id=2805&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=01a18a7626370155&srepoch=1685907694&all_sr_blocks=39436001_88563354_2_2_0&highlighted_blocks=39436001_88563354_2_2_0&matching_block_id=39436001_88563354_2_2_0&sr_pri_blocks=39436001_88563354_2_2_0__83400&from=searchresults#hotelTmpl
Lefkadio Suites,"Karavela, Lefkada, 31100, Greece",8.9Excellent 494 reviews,"['2 swimming pools', 'Non-smoking rooms', 'Airport shuttle', 'Free parking', 'Room service', 'Free WiFi', 'Family rooms', 'Wonderful Breakfast']","<span class=""bui-u-sr-only"">
Price
€ 1,782
</span>",50 m²,"['Smoking\n\nSmoking is not allowed.', 'Pets\n\n\nPets are not allowed.']",4,https://www.booking.com/hotel/gr/lefkadio-suites.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&sid=4cc5dec2c68e6377819edd6ab66620de&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-24&checkout=2023-07-30&dest_id=2805&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=01a18a7626370155&srepoch=1685907694&all_sr_blocks=173103701_90377893_4_1_0&highlighted_blocks=173103701_90377893_4_1_0&matching_block_id=173103701_90377893_4_1_0&sr_pri_blocks=173103701_90377893_4_1_0__178200&from=searchresults#hotelTmpl
Calm View,"Agios Petros, Vasiliki, 31082, Greece",9.6Exceptional 156 reviews,"['Non-smoking rooms', 'Free parking', 'Airport shuttle', 'Free WiFi', 'Family rooms']","<span class=""bui-u-sr-only"">
Price
$682
</span>",172 feet²,"['Smoking\n\nSmoking is not allowed.', 'Pets\n\n\nPets are not allowed.']",,https://www.booking.com/hotel/gr/calm-view.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&sid=4cc5dec2c68e6377819edd6ab66620de&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-24&checkout=2023-07-30&dest_id=2805&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=01a18a7626370155&srepoch=1685907694&all_sr_blocks=57886707_88563364_0_0_0&highlighted_blocks=57886707_88563364_0_0_0&matching_block_id=57886707_88563364_0_0_0&sr_pri_blocks=57886707_88563364_0_0_0__63600&from=searchresults#hotelTmpl
MELIKIRON LUXURY APARTMENTS,"Επαρχιακή Οδός Λευκάδας - Κάτω Εξανθείας, Agios Nikitas, 31100, Greece",9.7Exceptional 98 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Free parking', 'Free WiFi', 'Family rooms']","<span class=""bui-u-sr-only"">
Price
CAD 1,557
</span>",30 m²,"['Smoking\n\nSmoking is not allowed.', 'Quiet hours\n\n\nGuests need be quiet between 3:00 PM and 5:00 PM.', 'Pets\n\n\nFree!\nPets are allowed. No extra charges.']",4,https://www.booking.com/hotel/gr/melikiron-luxury-apartments.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&sid=4cc5dec2c68e6377819edd6ab66620de&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-24&checkout=2023-07-30&dest_id=2805&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=01a18a7626370155&srepoch=1685907694&all_sr_blocks=755510403_357545379_0_0_0&highlighted_blocks=755510403_357545379_0_0_0&matching_block_id=755510403_357545379_0_0_0&sr_pri_blocks=755510403_357545379_0_0_0__108000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Hotel Tesoro,"Main Street, Nikiana, 31100, Greece",9.2Wonderful 102 reviews,"['Outdoor swimming pool', 'Free WiFi', 'Non-smoking rooms', 'Free parking', 'Restaurant', 'Family rooms', 'Tea/Coffee Maker in All Rooms', 'Bar', 'Very Good Breakfast']","<span class=""bui-u-sr-only"">
Original price
€ 1,305
Current price
€ 1,201
</span>",30 m²,['Pets\n\n\nPets are not allowed.'],3,https://www.booking.com/hotel/gr/tesoro.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&sid=4cc5dec2c68e6377819edd6ab66620de&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-24&checkout=2023-07-30&dest_id=2805&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=01a18a7626370155&srepoch=1685907694&all_sr_blocks=19007501_343414519_0_1_0&highlighted_blocks=19007501_343414519_0_1_0&matching_block_id=19007501_343414519_0_1_0&sr_pri_blocks=19007501_343414519_0_1_0__136800&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
San Lazzaro,"Nydri , Nydri, 31100, Greece",9.1Wonderful 276 reviews,"['Non-smoking rooms', 'Free parking', 'Airport shuttle', 'Room service', 'Free WiFi', 'Family rooms']","<span class=""bui-u-sr-only"">
Price
RUB 86,850
</span>",27 m²,"['Parties\n\n\nParties/events are not allowed', 'Quiet hours\n\n\nGuests need be quiet between 11:00 PM and 6:00 AM.', 'Pets\n\n\nFree!\nPets are allowed on request. No extra charges.']",4,https://www.booking.com/hotel/gr/san-lazzaro.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&sid=4cc5dec2c68e6377819edd6ab66620de&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-24&checkout=2023-07-30&dest_id=2805&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=01a18a7626370155&srepoch=1685907694&all_sr_blocks=36289105_88565043_0_0_0&highlighted_blocks=36289105_88565043_0_0_0&matching_block_id=36289105_88565043_0_0_0&sr_pri_blocks=36289105_88565043_0_0_0__99600&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Sea view apartments,"Λευκάδα Τσουκαλαδες, Tsoukalades, 31100, Greece",9.5Exceptional 44 reviews,"['Outdoor swimming pool', 'Free parking', 'Free WiFi', 'Non-smoking rooms', 'Family rooms']","<span class=""bui-u-sr-only"">
Price
RUB 235,435
</span>",75 m²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Pets\n\n\nPets are allowed on request. Charges may apply.']",3,https://www.booking.com/hotel/gr/rooftop-luxury-apartments.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&sid=4cc5dec2c68e6377819edd6ab66620de&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-24&checkout=2023-07-30&dest_id=2805&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=01a18a7626370155&srepoch=1685907694&all_sr_blocks=749822705_341394814_4_0_0&highlighted_blocks=749822705_341394814_4_0_0&matching_block_id=749822705_341394814_4_0_0&sr_pri_blocks=749822705_341394814_4_0_0__270000&from=searchresults#hotelTmpl
Edward Art Hotel,"0 ΕΠΑΡΧΙΑΚΗ ΟΔΟΣ ΕΛΛΟΜΕΝΟΥ Nydri, Behind the church, Nydri, 31084, Greece",9.5Exceptional 44 reviews,"['Non-smoking rooms', 'Airport shuttle', 'Free parking', 'Free WiFi', 'Family rooms', 'Tea/Coffee Maker in All Rooms', 'Breakfast']","<span class=""bui-u-sr-only"">
Original price
UAH 51,098
Current price
UAH 47,010
</span>",45 m²,['Pets\n\n\nPets are not allowed.'],,https://www.booking.com/hotel/gr/edward-art.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&sid=4cc5dec2c68e6377819edd6ab66620de&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-24&checkout=2023-07-30&dest_id=2805&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=01a18a7626370155&srepoch=1685907694&all_sr_blocks=857654704_353454299_2_1_0&highlighted_blocks=857654704_353454299_2_1_0&matching_block_id=857654704_353454299_2_1_0&sr_pri_blocks=857654704_353454299_2_1_0__122550&from=searchresults#hotelTmpl
