name,location,stars,amount_conv,Rating,NumReviews,Airport,Pool,Breakfast,Family_Rooms,Parking,Restaurant,size_m2,Pets,Month,Location
Agrabella Hotel,"Eleftherias street 26, Limenas Hersonissou, Hersonissos, 70014, Greece",3.0,198.03793590324216,8.2, 48 ,False,True,False,True,False,True,17.0,False,June,Crete
Axos,"Maxis Kritis 167,Platanias P.O.Box 101, Platanes, 74100, Greece",,318.6915887850467,8.1, 66 ,False,True,True,True,True,True,19.0,False,June,Crete
Alexander Mountain Resort,"Gerakari, Yerakárion, 74061, Greece",,201.86915887850466,9.1,291 ,False,False,True,False,True,True,22.0,True,June,Crete
Gregory Comfort Hotel,"Agios Fanourios Kalamaki, Kalamaki, 73100, Greece",3.0,455.5755515563554,8.9,991 ,True,False,True,False,True,True,27.0,False,June,Crete
Olive Coast Suites,"Agathias, Palekastron, 72300, Greece",3.0,480.0,8.9,20 ,False,False,False,True,True,False,73.0,True,June,Crete
Blue Dream Hotel,"Stavromenos, Stavromenos, 74100, Greece",,208.411214953271,8.3, 251 ,True,True,True,False,True,True,27.0,True,June,Crete
Porto Belissario,"Ferma, Ferma, 72200, Greece",3.0,520.425003401045,9.1,336 ,True,True,True,False,True,True,25.0,False,June,Crete
Royal Sun,"G. Paizi 36, Chania, 73133, Greece",,549.5327102803737,9.0,"1,757 ",True,True,True,False,True,False,18.0,False,June,Crete
Hiona Holiday Hotel,"Palaikastro, Palekastron, 72300, Greece",3.0,266.6666666666667,8.8,333 ,True,True,True,True,True,False,15.0,False,June,Crete
Christina Luxury Villas,"Monis Gonias 30 30, Chania, 73131, Greece",,685.981308411215,8.0, 125 ,True,False,False,True,True,False,115.0,False,June,Crete
Costas Inn,"Spílion, Rethymno, Spílion, 74053, Greece",,169.15887850467288,9.0,253 ,True,False,True,True,True,True,27.0,False,June,Crete
Nuovo Crete By Sea,"Syrou 13 Amoudara, Amoudara Herakliou, 71414, Greece",,317.75700934579436,8.9,356 ,True,True,False,True,True,True,19.0,False,June,Crete
Yiannis Retreat,"Kato Zakros, Kato Zakros, 72300, Greece",3.0,260.0,9.8,233 ,False,False,False,True,True,False,15.0,True,June,Crete
Dimitris Villa Hotel,"Main Street, Matala, 70200, Greece",3.0,176.5743073047859,7.7,852 ,True,False,True,True,True,True,30.0,False,June,Crete
Atrion Hotel,"9 I.Chronaki Street, Heraklio, 71202, Greece",,351.40186915887847,8.5," 1,540 ",True,False,True,True,False,True,18.0,False,June,Crete
Lamon Hotel,"Plakias, Plakias, 74060, Greece",,400.93457943925233,8.7,511 ,True,True,True,False,True,True,21.0,False,June,Crete
Chez Cécile Home,"MOXLOS, Mochlos, 72057, Greece",3.0,199.70588235294116,8.5, 364 ,False,False,False,False,True,False,20.0,True,June,Crete
Infinity City Boutique Hotel,"ARIADNIS 9, Heraklio, 71202, Greece",,663.5514018691589,8.6,"3,585 ",True,False,True,True,False,False,18.0,False,June,Crete
Porto Alegre Hotel,"Kato Galatas, Kalamaki, 73100, Greece",3.0,397.9166666666667,8.4, 273 ,False,False,True,True,True,False,25.0,False,June,Crete
Metochi Gavdos,"Sgoudiana, Gavdos, 73001, Greece",,140.18691588785046,9.2,257 ,False,False,False,True,True,True,19.0,True,June,Crete
The Maxine Hotel - Adults Only,"Agia Galini, Agia Galini, 74056, Greece",3.0,262.7906976744186,8.0, 4 ,True,True,True,False,True,True,30.0,True,June,Crete
Kitro Beach Hotel - Adults Only,"N.Pagalou 3, Agios Nikolaos, 72100, Greece",3.0,307.61043108036193,8.4," 1,134 ",False,False,True,False,False,False,15.0,False,June,Crete
Gorgona Hotel,"Bali 740 57, Bali, 74057, Greece",3.0,329.9177262528048,8.6,370 ,False,True,True,True,True,True,18.0,False,June,Crete
Elektra Beach Hotel,"Kalamaki, Kalamaki, 73100, Greece",3.0,286.04651162790697,9.0,621 ,True,True,False,True,True,False,18.0,False,June,Crete
Dedalos Beach Hotel,"Sfakaki, Sfakaki, 74100, Greece",3.0,320.0,8.3, 52 ,True,True,True,False,True,True,25.0,False,June,Crete
Christina Luxury Villas,"Monis Gonias 30 30, Chania, 73131, Greece",3.0,684.7222222222223,8.0, 125 ,True,False,False,True,True,False,115.0,False,June,Crete
Pension Irene,"Sougia, Sougia, 73009, Greece",3.0,200.0,8.8,262 ,False,False,True,True,False,False,28.0,False,June,Crete
Lena Beach Hotel,"Kalathas, Kalathas, 73100, Greece",3.0,345.3488372093023,8.9,380 ,True,True,True,False,True,True,19.0,False,June,Crete
Selena Village Hotel Elounda,"Main Street, Elounda, 72053, Greece",,333.6448598130841,7.9,130 ,True,False,True,False,True,True,14.0,False,June,Crete
House With View,"Tris Ekklisies , Paránimfoi, 70010, Greece",,268.22429906542055,9.6,100 ,False,False,False,True,True,False,35.0,True,June,Crete
Menta City Boutique Hotel,"Psixoudaki S26, Mastampas, Rethymno, 74132, Greece",3.0,453.8800904977375,9.3,"1,202 ",True,True,True,False,True,False,25.0,False,June,Crete
Eva Suites & Apartments,"Agia Marina Chania Crete, Galatás, 73014, Greece",3.0,283.4099846697327,,,False,True,False,True,False,False,20.0,False,June,Crete
Marin Hotel,"46 Epimenidou Str., Heraklio, 71202, Greece",3.0,406.0,8.3," 2,102 ",False,False,True,True,True,True,20.0,False,June,Crete
Matala Bay Hotel & Apartments,"Main Street, Matala, 702 00, Greece",3.0,230.64479638009047,8.0," 1,492 ",True,True,True,True,True,True,20.0,False,June,Crete
Galaxy Hotel,"Omirias 4, Ierapetra, 72200, Greece",3.0,363.6160714285714,8.6,423 ,True,False,True,True,True,False,22.0,False,June,Crete
Cosy Country Villa,"Συκια Σητειας μονοκατοικια, Pappayiannádhes, 72300, Greece",,409.3457943925233,8.4, 8 ,False,False,False,True,True,False,99.0,False,June,Crete
Georgia's Garden Hotel,"Vagias 10, Amoudara Herakliou, 71500, Greece",3.0,330.81426290580094,8.3, 532 ,True,True,True,False,True,True,16.0,True,June,Crete
Castro Hotel,"A.Papandreou str. 301, Amoudara Herakliou, 71414, Greece",3.0,295.3515504794122,8.2, 522 ,False,True,True,True,True,True,15.0,False,June,Crete
Rodon Hotel,"Akrotiriou, 112, Chania, 73133, Greece",3.0,482.0,8.3, 789 ,False,False,True,False,True,False,20.0,False,June,Crete
