name,location,stars,link,amount_conv,Rating,NumReviews,Airport,Pool,Breakfast,Family_Rooms,Parking,Restaurant,size_m2,Pets,Month,Location
ArtOikia Luxury Villas,"Saktouria, Saktoúria, 74053, Greece",4.0,https://www.booking.com/hotel/gr/artoikia-luxury-villas.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&sid=4cc5dec2c68e6377819edd6ab66620de&aid=304142&ucfs=1&arphpl=1&checkin=2023-06-26&checkout=2023-06-30&dest_id=811&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=976&sr_order=popularity&nflt=class%3D4%3Bht_id%3D201&srpvid=99364de291020035&srepoch=1685790279&all_sr_blocks=927507103_364836064_4_0_0&highlighted_blocks=927507103_364836064_4_0_0&matching_block_id=927507103_364836064_4_0_0&sr_pri_blocks=927507103_364836064_4_0_0__160740&from=searchresults#hotelTmpl,1688.50452368281,,,True,False,False,True,True,False,100.0,False,June,Crete
Enjoy amazing sea views at wonderful Villa Selene,"Ligaria, Agia Pelagia, 71500, Greece",4.0,https://www.booking.com/hotel/gr/enjoy-amazing-sea-views-at-wonderful-villa-selene.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&sid=4cc5dec2c68e6377819edd6ab66620de&aid=304142&ucfs=1&arphpl=1&checkin=2023-06-26&checkout=2023-06-30&dest_id=811&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=977&sr_order=popularity&nflt=class%3D4%3Bht_id%3D201&srpvid=99364de291020035&srepoch=1685790279&all_sr_blocks=894709701_359976030_6_0_0&highlighted_blocks=894709701_359976030_6_0_0&matching_block_id=894709701_359976030_6_0_0&sr_pri_blocks=894709701_359976030_6_0_0__96520&from=searchresults#hotelTmpl,1134.8837209302326,,,False,True,False,True,True,False,99.0,False,June,Crete
Olvia,"sarpaki 2, Chania, 73100, Greece",,https://www.booking.com/hotel/gr/olvia-chania.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&sid=4cc5dec2c68e6377819edd6ab66620de&aid=304142&ucfs=1&arphpl=1&checkin=2023-06-26&checkout=2023-06-30&dest_id=811&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=978&sr_order=popularity&nflt=class%3D4%3Bht_id%3D201&srpvid=99364de291020035&srepoch=1685790279&all_sr_blocks=654484301_367267841_4_2_0&highlighted_blocks=654484301_367267841_4_2_0&matching_block_id=654484301_367267841_4_2_0&sr_pri_blocks=654484301_367267841_4_2_0__114000&from=searchresults#hotelTmpl,1202.803738317757,9.0,3 ,True,False,True,False,True,False,120.0,False,June,Crete
Villa 7 Seas - With Amazing View,"Schinaria beach road, Lefkogeia, 74060, Greece",4.0,https://www.booking.com/hotel/gr/villa-7-seas-with-amazing-view.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&sid=4cc5dec2c68e6377819edd6ab66620de&aid=304142&ucfs=1&arphpl=1&checkin=2023-06-26&checkout=2023-06-30&dest_id=811&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=979&sr_order=popularity&nflt=class%3D4%3Bht_id%3D201&srpvid=99364de291020035&srepoch=1685790279&all_sr_blocks=954827402_367986459_9_0_0&highlighted_blocks=954827402_367986459_9_0_0&matching_block_id=954827402_367986459_9_0_0&sr_pri_blocks=954827402_367986459_9_0_0__234650&from=searchresults#hotelTmpl,2470.0,,,False,True,False,False,True,False,270.0,True,June,Crete
Marianthi’s house,"2 Sapoutie Str, Heraklio, 71202, Greece",4.0,https://www.booking.com/hotel/gr/marianthis-house-archaeologikal-museum.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&sid=4cc5dec2c68e6377819edd6ab66620de&aid=304142&ucfs=1&arphpl=1&checkin=2023-06-26&checkout=2023-06-30&dest_id=811&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=980&sr_order=popularity&nflt=class%3D4%3Bht_id%3D201&srpvid=99364de291020035&srepoch=1685790279&all_sr_blocks=493330101_165525007_0_0_0&highlighted_blocks=493330101_165525007_0_0_0&matching_block_id=493330101_165525007_0_0_0&sr_pri_blocks=493330101_165525007_0_0_0__37620&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,396.0,9.4,39 ,False,False,False,True,False,False,68.0,False,June,Crete
SpiliaInn,"Σπηλιά Χανιά, Spiliá, 73006, Greece",4.0,https://www.booking.com/hotel/gr/spiliainn-chania.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&sid=4cc5dec2c68e6377819edd6ab66620de&aid=304142&ucfs=1&arphpl=1&checkin=2023-06-26&checkout=2023-06-30&dest_id=811&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=981&sr_order=popularity&nflt=class%3D4%3Bht_id%3D201&srpvid=99364de291020035&srepoch=1685790279&all_sr_blocks=824298001_347564075_4_0_0&highlighted_blocks=824298001_347564075_4_0_0&matching_block_id=824298001_347564075_4_0_0&sr_pri_blocks=824298001_347564075_4_0_0__70300&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,740.0,10,1 ,True,False,False,True,True,False,100.0,False,June,Crete
Villa Morfeas,"Damavolou, Dhamavólos, 74052, Greece",,https://www.booking.com/hotel/gr/villa-morfeas-dhamavolos.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&sid=4cc5dec2c68e6377819edd6ab66620de&aid=304142&ucfs=1&arphpl=1&checkin=2023-06-26&checkout=2023-06-30&dest_id=811&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=982&sr_order=popularity&nflt=class%3D4%3Bht_id%3D201&srpvid=99364de291020035&srepoch=1685790279&all_sr_blocks=171707201_369052412_8_0_0&highlighted_blocks=171707201_369052412_8_0_0&matching_block_id=171707201_369052412_8_0_0&sr_pri_blocks=171707201_369052412_8_0_0__45947&from=searchresults#hotelTmpl,460.74766355140184,9.3,3 ,False,False,False,False,True,False,250.0,True,June,Crete
"ELIDA -pool, billiard, views, 4min walk to the sea","Eparchiaki Odos Kalivon-Kefalas, Plaka, 73008, Greece",,https://www.booking.com/hotel/gr/elida-pool-billiard-views-4min-walk-to-the-sea.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&sid=4cc5dec2c68e6377819edd6ab66620de&aid=304142&ucfs=1&arphpl=1&checkin=2023-06-26&checkout=2023-06-30&dest_id=811&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=983&sr_order=popularity&nflt=class%3D4%3Bht_id%3D201&srpvid=99364de291020035&srepoch=1685790279&all_sr_blocks=900409401_360721258_8_0_0&highlighted_blocks=900409401_360721258_8_0_0&matching_block_id=900409401_360721258_8_0_0&sr_pri_blocks=900409401_360721258_8_0_0__239400&from=searchresults#hotelTmpl,2526.168224299065,,,False,True,False,False,True,False,201.0,True,June,Crete
Casa EleMar Villa with Private Yard,"Analipsi, Analipsi, Hersonissos, 70014, Greece",4.0,https://www.booking.com/hotel/gr/casa-elemar-villa-with-private-yard.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&sid=4cc5dec2c68e6377819edd6ab66620de&aid=304142&ucfs=1&arphpl=1&checkin=2023-06-26&checkout=2023-06-30&dest_id=811&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=984&sr_order=popularity&nflt=class%3D4%3Bht_id%3D201&srpvid=99364de291020035&srepoch=1685790279&all_sr_blocks=766996301_342543785_2_0_0&highlighted_blocks=766996301_342543785_2_0_0&matching_block_id=766996301_342543785_2_0_0&sr_pri_blocks=766996301_342543785_2_0_0__36480&from=searchresults#hotelTmpl,384.0,10,1 ,False,False,False,True,True,False,60.0,False,June,Crete
Casa Magnolia - Spacious Home in heart of Akrotiri,"Kathiana Akrotiriou, Chania, 73100, Greece",,https://www.booking.com/hotel/gr/casa-magnolia-spacious-home-in-heart-of-akrotiri.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&sid=4cc5dec2c68e6377819edd6ab66620de&aid=304142&ucfs=1&arphpl=1&checkin=2023-06-26&checkout=2023-06-30&dest_id=811&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=985&sr_order=popularity&nflt=class%3D4%3Bht_id%3D201&srpvid=99364de291020035&srepoch=1685790279&all_sr_blocks=871840601_355875373_6_0_0&highlighted_blocks=871840601_355875373_6_0_0&matching_block_id=871840601_355875373_6_0_0&sr_pri_blocks=871840601_355875373_6_0_0__55404&from=searchresults#hotelTmpl,585.0467289719626,10,1 ,False,False,False,True,True,False,109.0,False,June,Crete
