name,location,stars,amount_conv,Rating,NumReviews,Airport,Pool,Breakfast,Family_Rooms,Parking,Restaurant,size_m2,Pets,Month,Location
Myconian Old Town Maisonette THE MIMIs PLACE,"Agias Kiriakis, Mikonos, 84600, Greece",3.0,1354.0,9.7,8 ,True,False,False,True,False,False,34.0,False,June,Mykonos
Petinos Hotel,"Platis Yialos Beach, Platis Gialos, 84600, Greece",4.0,1862.0,8.4," 1,592 ",True,True,True,False,False,True,35.0,False,June,Mykonos
Saint John Hotel Villas & Spa,"Agios Ioannis, Agios Ioannis Mykonos, 84600, Greece",5.0,2092.0,8.7,"1,066 ",True,False,True,False,True,False,30.0,False,June,Mykonos
Apsenti couples only,"Main Street, Agios Ioannis Mykonos, 84600, Greece",4.0,786.0,9.2,369 ,True,True,True,False,False,True,16.0,False,June,Mykonos
Asty Mykonos Hotel & Spa,"Drafaki Mykonos, Drafaki, 84600, Greece",5.0,2210.0,9.3,97 ,True,True,True,False,True,False,35.0,True,June,Mykonos
Sea Rock & Sky Private Residence,"Merchia Beach, Merchia Beach, 84600, Greece",4.0,1682.0,9.3,42 ,True,True,True,False,True,False,57.0,True,June,Mykonos
Palladium Hotel,"Nammos Beach , Platis Gialos, 84600, Greece",5.0,4432.0,9.6,"1,064 ",True,False,True,False,True,False,40.0,False,June,Mykonos
Hotel Tagoo,"Tagoo Area, Mikonos, 84600, Greece",4.0,1355.0,9.1,358 ,True,True,True,True,False,False,20.0,False,June,Mykonos
Manoula's Beach Mykonos Resort,"Main Street, Agios Ioannis Mykonos, 84600, Greece",4.0,2012.0,9.2,500 ,True,True,True,False,True,False,30.0,False,June,Mykonos
Lyo Boutique Hotel Mykonos,"Super Paradise, Super Paradise Beach, 84600, Greece",4.0,1992.0,9.5,474 ,True,False,True,False,True,True,28.0,False,June,Mykonos
Jenny's Summer Houses,"Platis Yialos Mykonos, Platis Gialos, 84600, Greece",3.0,776.0,8.1, 720 ,True,False,False,True,True,True,18.0,False,June,Mykonos
Arte & Mare Elia Luxury Suites & Vllas,"Main Street, Elia Beach, 84600, Greece",5.0,1704.0,8.5, 426 ,True,False,True,False,False,False,35.0,False,June,Mykonos
Archipelagos All Suites,"ELIA MAIN ROAD, Elia Beach, 84600, Greece",5.0,2039.0,9.0,62 ,True,True,True,False,True,False,30.0,False,June,Mykonos
Mykonos Ammos Hotel - Small Luxury Hotels of the World,"Ornos, Ornos, 84600, Greece",5.0,2640.0,9.4,649 ,True,True,True,False,False,False,24.0,True,June,Mykonos
Mykonos Residence Villas & Suites Merchia Beach,"Merchia Beach, Παραλία Μερχιάς, Merchia Beach, 84600, Greece",4.0,1580.0,8.9,33 ,True,True,True,False,True,False,35.0,True,June,Mykonos
Smy Mykonos Suites & Villas - ex Greco Philia,"Main Street, Elia Beach, 84600, Greece",5.0,1634.0,8.8,173 ,True,True,True,False,True,True,20.0,False,June,Mykonos
Nimbus My Aktis,"Super Paradise beach, Super Paradise Beach, 84600, Greece",,2265.0,9.3,461 ,True,True,True,False,False,False,26.0,False,June,Mykonos
Agrari Ninemia Hotel Mykonos,"ΑΓΡΑΡΙ, Agrari, 84600, Greece",,870.0,9.0,10 ,True,False,False,False,True,True,35.0,False,June,Mykonos
Bellou Suites,"Amygdalidi, Mikonos, 84600, Greece",4.0,920.0,9.6,441 ,False,False,True,False,False,False,40.0,False,June,Mykonos
Kensho Ornos,"Ornos Mykonou , Ornos, 84600, Greece",5.0,2370.0,9.4,213 ,True,True,True,False,True,False,25.0,True,June,Mykonos
Argo Hotel,"Main Street, Platis Gialos, 84600, Greece",4.0,2770.0,9.4,459 ,True,True,False,True,True,True,70.0,False,June,Mykonos
Pietra e Mare,"Kalo Livadi, Mykonos, Kalo Livadi, 84700, Greece",4.0,1001.0,7.9,225 ,True,True,True,False,True,True,30.0,False,June,Mykonos
Porto Mykonos,"Mykonos City, Mikonos, 84600, Greece",4.0,1305.0,8.6,409 ,True,False,True,True,True,True,24.0,True,June,Mykonos
Destino Pacha Mykonos,"Agrotiki Odos, Agios Stefanos, Agios Stefanos, 84600, Greece",5.0,2564.0,9.1,88 ,True,True,True,False,True,False,26.0,True,June,Mykonos
Maganos Apartments,"Agia Anna , Paraga, Paraga, 84600, Greece",3.0,1150.0,8.7,583 ,False,True,False,True,True,False,35.0,False,June,Mykonos
Avra Mykonos,"TOURLOS MYKONOS NEW PORT, Tourlos, 84600, Greece",,1282.0,9.5,248 ,True,False,False,False,True,False,25.0,True,June,Mykonos
Aeonic Suites and Spa,"Korfos Ornos, Mikonos, 84600, Greece",5.0,3284.0,9.5,316 ,True,True,False,False,True,False,40.0,False,June,Mykonos
"Radisson Blu Euphoria Resort, Mykonos","Kalo Livadi Mykonos, Kalo Livadi, 84600, Greece",5.0,1870.0,8.8,222 ,True,True,False,False,True,True,20.0,False,June,Mykonos
"Mykonos Blu, Grecotel Boutique Resort","Main Street, Psarou, 84600, Greece",5.0,10256.0,8.7,189 ,True,True,False,False,True,False,50.0,False,June,Mykonos
Jenny's Summer Houses,"Platis Yialos Mykonos, Platis Gialos, 84600, Greece",3.0,776.0,8.1, 720 ,True,False,False,True,True,True,18.0,False,June,Mykonos
Nimbus Mykonos,"mykonos ag stefanos, Agios Stefanos, 84600, Greece",,1369.0,9.3,415 ,True,True,False,True,True,True,24.0,False,June,Mykonos
Erato Hotel Mykonos,"Ornos, 84600, Mykonos, Ornos, 84600, Greece",3.0,1391.0,9.2,276 ,True,False,True,True,True,False,20.0,False,June,Mykonos
Kamari Hotel,"Main Street, Platis Gialos, 84600, Greece",3.0,1099.0,8.7,387 ,False,True,False,True,True,False,32.0,False,June,Mykonos
Deliades Hotel,"Main Street, Ornos, 84500, Greece",4.0,2794.0,8.4, 251 ,True,True,False,True,True,True,55.0,False,June,Mykonos
Paradise Beach Camping,"Paradise Beach, Paradise Beach, 84600, Greece",,228.0,6.9,"1,771 ",True,False,False,False,True,True,,False,June,Mykonos
Mykonos Residence Villas & Suites Merchia Beach,"Merchia Beach, Παραλία Μερχιάς, Merchia Beach, 84600, Greece",4.0,1580.0,8.9,33 ,True,True,True,False,True,False,35.0,True,June,Mykonos
Mykonos Essence Adults Only,"Ornos, Ornos, 84600, Greece",4.0,950.0,9.3,323 ,True,True,True,True,True,True,20.0,False,June,Mykonos
Mykonos Village,"Ano Mera, Ano Mera, 84600, Greece",4.0,2514.0,9.4,169 ,True,False,False,True,True,False,230.0,True,June,Mykonos
Agnandi Cielo,"Vorna Tourlou, P.O.Bx 417, Tourlos, 84600, Greece",4.0,1190.0,9.5,149 ,True,True,False,True,True,True,55.0,False,June,Mykonos
Miramare Suites Mykonos,"Mykonos, Merchia Beach, 84600, Greece",4.0,1515.0,9.2,53 ,True,False,False,True,True,False,65.0,True,June,Mykonos
Zephyros,"Main Street, Paraga, 84600, Greece",3.0,1073.0,9.3,138 ,True,True,False,True,True,True,18.0,True,June,Mykonos
Mykonia Inn,"Ano Mera 84600 Mykonos, Ano Mera, 84600, Greece",3.0,613.0,10,3 ,False,True,True,True,True,False,20.0,False,June,Mykonos
Nissaki Boutique Hotel,"Nammos Beach , Platis Gialos, 84600, Greece",5.0,2665.0,9.4,676 ,True,True,True,False,False,False,30.0,False,June,Mykonos
