name,location,reviews,facilities,price,size,rules,stars,link
Hotel Lefkas,"Filippa Panagou 2, Lefkada, 31100, Greece",9.0Wonderful 71 reviews,"['Non-smoking rooms', 'Room service', 'Free WiFi', 'Restaurant', 'Beachfront', 'Family rooms', 'Tea/Coffee Maker in All Rooms', 'Bar', 'Very Good Breakfast']","<span class=""bui-u-sr-only"">
Price
€ 326
</span>",15 m²,['Pets\n\n\nPets are not allowed.'],3,https://www.booking.com/hotel/gr/lefkas.html?label=gen173bo-1DCAEoggI46AdIMVgDaFyIAQGYATG4ARfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4Ap296KMGwAIB0gIkOGQzN2IxNzMtZTY1ZS00M2RiLThhNDItOTBjNDhhZjA3ODZm2AIE4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-06-26&checkout=2023-06-30&dest_id=2805&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=5ae3315754420012&srepoch=1685775664&all_sr_blocks=24258907_88566102_2_2_0&highlighted_blocks=24258907_88566102_2_2_0&matching_block_id=24258907_88566102_2_2_0&sr_pri_blocks=24258907_88566102_2_2_0__32000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Villa Elenia,"Tsoukalades, Tsoukalades, 31100, Greece",9.4Wonderful 85 reviews,"['Outdoor swimming pool', 'Free parking', 'Free WiFi', 'Non-smoking rooms', 'Room service', 'Family rooms', 'Bar', 'Breakfast']","<span class=""bui-u-sr-only"">
Original price
€ 1,000
Current price
€ 800
</span>",45 m²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Pets\n\n\nPets are not allowed.']",3,https://www.booking.com/hotel/gr/villa-elenia.html?label=gen173bo-1DCAEoggI46AdIMVgDaFyIAQGYATG4ARfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4Ap296KMGwAIB0gIkOGQzN2IxNzMtZTY1ZS00M2RiLThhNDItOTBjNDhhZjA3ODZm2AIE4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-06-26&checkout=2023-06-30&dest_id=2805&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=5ae3315754420012&srepoch=1685775664&all_sr_blocks=29811601_370387339_2_2_0&highlighted_blocks=29811601_370387339_2_2_0&matching_block_id=29811601_370387339_2_2_0&sr_pri_blocks=29811601_370387339_2_2_0__80000&from=searchresults#hotelTmpl
George House,"Kariotes, Lygia, 31080, Greece",8.5Very Good 138 reviews,"['Non-smoking rooms', 'Free parking', 'Airport shuttle', 'Room service', 'Free WiFi', 'Family rooms']","<span class=""bui-u-sr-only"">
Price
$180
</span>",248 feet²,['Pets\n\n\nPets are allowed on request. Charges may apply.'],,https://www.booking.com/hotel/gr/george-house.html?label=gen173bo-1DCAEoggI46AdIMVgDaFyIAQGYATG4ARfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4Ap296KMGwAIB0gIkOGQzN2IxNzMtZTY1ZS00M2RiLThhNDItOTBjNDhhZjA3ODZm2AIE4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-06-26&checkout=2023-06-30&dest_id=2805&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=5ae3315754420012&srepoch=1685775664&all_sr_blocks=36292205_249885022_0_0_0&highlighted_blocks=36292205_249885022_0_0_0&matching_block_id=36292205_249885022_0_0_0&sr_pri_blocks=36292205_249885022_0_0_0__16800&from=searchresults#hotelTmpl
Pansion Filoxenia Apartments & Studios,"Tsoukalades, Tsoukalades, 31100, Greece",8.6Excellent 369 reviews,"['Free parking', 'Non-smoking rooms', 'Free WiFi', 'Family rooms']","<span class=""bui-u-sr-only"">
Price
$279
</span>",183 feet²,['Pets\n\n\nPets are not allowed.'],,https://www.booking.com/hotel/gr/filoxenia-filoxenia.html?label=gen173bo-1DCAEoggI46AdIMVgDaFyIAQGYATG4ARfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4Ap296KMGwAIB0gIkOGQzN2IxNzMtZTY1ZS00M2RiLThhNDItOTBjNDhhZjA3ODZm2AIE4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-06-26&checkout=2023-06-30&dest_id=2805&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=5ae3315754420012&srepoch=1685775664&all_sr_blocks=31757701_329360297_2_0_0&highlighted_blocks=31757701_329360297_2_0_0&matching_block_id=31757701_329360297_2_0_0&sr_pri_blocks=31757701_329360297_2_0_0__26000&from=searchresults#hotelTmpl
Lefkas Petra,"Agios Nikitas, Agios Nikitas, 31080, Greece",8.9Excellent 344 reviews,"['Outdoor swimming pool', 'Free WiFi', 'Non-smoking rooms', 'Free parking', 'Tea/Coffee Maker in All Rooms', 'Excellent Breakfast']","<span class=""bui-u-sr-only"">
Price
€ 380
</span>",18 m²,['Pets\n\n\nPets are not allowed.'],3,https://www.booking.com/hotel/gr/lefkas-petra.html?label=gen173bo-1DCAEoggI46AdIMVgDaFyIAQGYATG4ARfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4Ap296KMGwAIB0gIkOGQzN2IxNzMtZTY1ZS00M2RiLThhNDItOTBjNDhhZjA3ODZm2AIE4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-06-26&checkout=2023-06-30&dest_id=2805&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=5ae3315754420012&srepoch=1685775664&all_sr_blocks=63623602_308684025_0_2_0&highlighted_blocks=63623602_308684025_0_2_0&matching_block_id=63623602_308684025_0_2_0&sr_pri_blocks=63623602_308684025_0_2_0__38000&from=searchresults#hotelTmpl
Akroyiali Resort,"Vasiliki, Vasiliki, 31082, Greece",8.2Very Good 250 reviews,"['Free parking', 'Non-smoking rooms', 'Family rooms', 'Room service', 'Free WiFi', 'Beachfront', 'Bar', 'Breakfast']","<span class=""bui-u-sr-only"">
Price
XOF 306,988
</span>",,['Pets\n\n\nPets are not allowed.'],2,https://www.booking.com/hotel/gr/akroyiali-studios-gr.html?label=gen173bo-1DCAEoggI46AdIMVgDaFyIAQGYATG4ARfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4Ap296KMGwAIB0gIkOGQzN2IxNzMtZTY1ZS00M2RiLThhNDItOTBjNDhhZjA3ODZm2AIE4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-06-26&checkout=2023-06-30&dest_id=2805&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=5ae3315754420012&srepoch=1685775664&all_sr_blocks=39436002_88563354_0_2_0&highlighted_blocks=39436002_88563354_0_2_0&matching_block_id=39436002_88563354_0_2_0&sr_pri_blocks=39436002_88563354_0_2_0__46800&from=searchresults#hotelTmpl
Florena Hotel,"Episkopos, Nikiana, 31100, Greece",9.2Wonderful 243 reviews,"['Non-smoking rooms', 'Free parking', 'Airport shuttle', 'Room service', 'Free WiFi']","<span class=""bui-u-sr-only"">
Price
$301
</span>",183 feet²,['Pets\n\n\nPets are not allowed.'],,https://www.booking.com/hotel/gr/florena.html?label=gen173bo-1DCAEoggI46AdIMVgDaFyIAQGYATG4ARfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4Ap296KMGwAIB0gIkOGQzN2IxNzMtZTY1ZS00M2RiLThhNDItOTBjNDhhZjA3ODZm2AIE4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-06-26&checkout=2023-06-30&dest_id=2805&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=5ae3315754420012&srepoch=1685775664&all_sr_blocks=30072602_88571589_0_1_0&highlighted_blocks=30072602_88571589_0_1_0&matching_block_id=30072602_88571589_0_1_0&sr_pri_blocks=30072602_88571589_0_1_0__28080&from=searchresults#hotelTmpl
Lefkadio Suites,"Karavela, Lefkada, 31100, Greece",8.9Excellent 492 reviews,"['2 swimming pools', 'Non-smoking rooms', 'Airport shuttle', 'Room service', 'Free parking', 'Free WiFi', 'Family rooms', 'Wonderful Breakfast']","<span class=""bui-u-sr-only"">
Price
£559
</span>",409 feet²,"['Smoking\n\nSmoking is not allowed.', 'Pets\n\n\nPets are not allowed.']",4,https://www.booking.com/hotel/gr/lefkadio-suites.html?label=gen173bo-1DCAEoggI46AdIMVgDaFyIAQGYATG4ARfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4Ap296KMGwAIB0gIkOGQzN2IxNzMtZTY1ZS00M2RiLThhNDItOTBjNDhhZjA3ODZm2AIE4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-06-26&checkout=2023-06-30&dest_id=2805&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=5ae3315754420012&srepoch=1685775664&all_sr_blocks=173103708_90377893_2_1_0&highlighted_blocks=173103708_90377893_2_1_0&matching_block_id=173103708_90377893_2_1_0&sr_pri_blocks=173103708_90377893_2_1_0__64800&from=searchresults#hotelTmpl
Spacious Studios Lefkada Mountain View Near Beach,"Eparchiaki Odos Komiliou - Akrotiriou Lefkatas, Dhráganon, 31082, Greece",9.2Wonderful 18 reviews,"['Non-smoking rooms', 'Free parking', 'Free WiFi', 'Family rooms']","<span class=""bui-u-sr-only"">
Price
CAD 389
</span>",35 m²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Pets\n\n\nFree!\nPets are allowed. No extra charges.']",3,https://www.booking.com/hotel/gr/kargas-studios.html?label=gen173bo-1DCAEoggI46AdIMVgDaFyIAQGYATG4ARfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4Ap296KMGwAIB0gIkOGQzN2IxNzMtZTY1ZS00M2RiLThhNDItOTBjNDhhZjA3ODZm2AIE4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-06-26&checkout=2023-06-30&dest_id=2805&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=5ae3315754420012&srepoch=1685775664&all_sr_blocks=791175703_368299360_2_0_0&highlighted_blocks=791175703_368299360_2_0_0&matching_block_id=791175703_368299360_2_0_0&sr_pri_blocks=791175703_368299360_2_0_0__27000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Niriides,"Karavela Perivolia Lefkados, Lefkada, 31100, Greece",9.5Exceptional 293 reviews,"['Non-smoking rooms', 'Free WiFi', 'Family rooms']","<span class=""bui-u-sr-only"">
Price
¥56,921
</span>",35 m²,['Pets\n\n\nPets are allowed on request. Charges may apply.'],3,https://www.booking.com/hotel/gr/niriides-lefkada-town.html?label=gen173bo-1DCAEoggI46AdIMVgDaFyIAQGYATG4ARfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4Ap296KMGwAIB0gIkOGQzN2IxNzMtZTY1ZS00M2RiLThhNDItOTBjNDhhZjA3ODZm2AIE4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-06-26&checkout=2023-06-30&dest_id=2805&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=5ae3315754420012&srepoch=1685775664&all_sr_blocks=173815903_285706690_4_0_0&highlighted_blocks=173815903_285706690_4_0_0&matching_block_id=173815903_285706690_4_0_0&sr_pri_blocks=173815903_285706690_4_0_0__38000&from=searchresults#hotelTmpl
