name,location,reviews,facilities,price,size,rules,stars
Myconian Old Town Maisonette THE MIMIs PLACE,"Agias Kiriakis, Mikonos, 84600, Greece",9.7Exceptional 8 reviews,"['Non-smoking rooms', 'Airport shuttle', 'Free WiFi', 'Family rooms']","<span class=""bui-u-sr-only"">
Original price
€ 2,240
Current price
€ 1,354
</span>",34 m²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Pets\n\n\nPets are not allowed.']",3
Petinos Hotel,"Platis Yialos Beach, Platis Gialos, 84600, Greece","8.4Very Good 1,592 reviews","['Outdoor swimming pool', 'Airport shuttle (free)', 'Non-smoking rooms', 'Fitness center', 'Room service', 'Restaurant', 'Free WiFi', 'Tea/Coffee Maker in All Rooms', 'Bar', 'Very Good Breakfast']","<span class=""bui-u-sr-only"">
Price
€ 1,862
</span>",35 m²,['Pets\n\n\nPets are not allowed.'],4
Saint John Hotel Villas & Spa,"Agios Ioannis, Agios Ioannis Mykonos, 84600, Greece","8.7Excellent 1,066 reviews","['2 swimming pools', 'Spa', 'Airport shuttle', 'Non-smoking rooms', 'Fitness center', 'Room service', 'Free parking', 'Bar', 'Private beach area', 'Wonderful Breakfast']","<span class=""bui-u-sr-only"">
Price
€ 2,092
</span>",30 m²,['Pets\n\n\nPets are not allowed.'],5
Apsenti couples only,"Main Street, Agios Ioannis Mykonos, 84600, Greece",9.2Wonderful 369 reviews,"['Outdoor swimming pool', 'Airport shuttle', 'Non-smoking rooms', 'Room service', 'Restaurant', 'Free WiFi', 'Exceptional Breakfast']","<span class=""bui-u-sr-only"">
Price
€ 786
</span>",16 m²,"['Parties\n\n\nParties/events are not allowed', 'Quiet hours\n\n\nGuests need be quiet between 12:00 AM and 10:00 AM.', 'Pets\n\n\nPets are not allowed.']",4
Asty Mykonos Hotel & Spa,"Drafaki Mykonos, Drafaki, 84600, Greece",9.3Wonderful 97 reviews,"['Outdoor swimming pool', 'Free parking', 'Free WiFi', 'Airport shuttle', 'Non-smoking rooms', 'Spa', 'Room service', 'Tea/Coffee Maker in All Rooms', 'Bar', 'Breakfast']","<span class=""bui-u-sr-only"">
Original price
€ 2,401
Current price
€ 2,210
</span>",35 m²,['Pets\n\n\nPets are allowed. Charges may apply.'],5
Sea Rock & Sky Private Residence,"Merchia Beach, Merchia Beach, 84600, Greece",9.3Wonderful 42 reviews,"['Outdoor swimming pool', 'Free parking', 'Spa', 'Airport shuttle', 'Beachfront', 'Non-smoking rooms', 'Room service', 'Bar', 'Private beach area', 'Wonderful Breakfast']","<span class=""bui-u-sr-only"">
Original price
€ 2,102
Current price
€ 1,682
</span>",57 m²,['Pets\n\n\nPets are allowed. Charges may apply.'],4
Palladium Hotel,"Nammos Beach , Platis Gialos, 84600, Greece","9.6Exceptional 1,064 reviews","['2 swimming pools', 'Spa', 'Airport shuttle (free)', 'Non-smoking rooms', 'Fitness center', 'Room service', 'Free parking', 'Tea/Coffee Maker in All Rooms', 'Bar', 'Wonderful Breakfast']","<span class=""bui-u-sr-only"">
Original price
€ 4,816
Current price
€ 4,432
</span>",40 m²,['Pets\n\n\nPets are not allowed.'],5
Hotel Tagoo,"Tagoo Area, Mikonos, 84600, Greece",9.1Wonderful 358 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Airport shuttle', 'Room service', 'Free WiFi', 'Family rooms', '24-hour front desk', 'Tea/Coffee Maker in All Rooms', 'Bar', 'Good Breakfast']","<span class=""bui-u-sr-only"">
Price
€ 1,355
</span>",20 m²,['Pets\n\n\nPets are not allowed.'],4
Manoula's Beach Mykonos Resort,"Main Street, Agios Ioannis Mykonos, 84600, Greece",9.2Wonderful 500 reviews,"['Outdoor swimming pool', 'Airport shuttle', 'Non-smoking rooms', 'Free parking', 'Beachfront', 'Free WiFi', 'Bar', 'Very Good Breakfast']","<span class=""bui-u-sr-only"">
Price
€ 2,012
</span>",30 m²,['Pets\n\n\nPets are not allowed.'],4
Lyo Boutique Hotel Mykonos,"Super Paradise, Super Paradise Beach, 84600, Greece",9.5Exceptional 474 reviews,"['2 swimming pools', 'Non-smoking rooms', 'Airport shuttle (free)', 'Room service', 'Fitness center', 'Free parking', 'Restaurant', 'Free WiFi', 'Bar', 'Excellent Breakfast']","<span class=""bui-u-sr-only"">
Price
€ 1,992
</span>",28 m²,['Pets\n\n\nPets are not allowed.'],4
