name,location,reviews,facilities,price,size,rules,stars
Xerolithos Natural Living,"KANAKARI, SANGRI, XEROLITHOS NATURAL LIVING, Naxos Chora, 84300, Greece",9.8Exceptional 17 reviews,"['Non-smoking rooms', 'Airport shuttle', 'Free parking', 'Free WiFi', 'Family rooms', 'Tea/Coffee Maker in All Rooms']","<span class=""bui-u-sr-only"">
Original price
€ 880
Current price
€ 528
</span>",40 m²,['Pets\n\n\nPets are not allowed.'],
La Grande Vue private villas,"Vivlos, Vívlos, 84300, Greece",10Exceptional 64 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Airport shuttle', 'Free parking', 'Spa', 'Room service', 'Free WiFi', 'Family rooms', 'Bar', 'Breakfast']","<span class=""bui-u-sr-only"">
Original price
$1,938
Current price
$1,744
</span>",538 feet²,['Pets\n\n\nPets are not allowed.'],
Finikas Hotel,"Pyrgaki, Naxos, Aliko Beach, 84300, Greece",9.0Wonderful 210 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Beachfront', 'Spa', 'Facilities for disabled guests', 'Free parking', 'Room service', 'Restaurant', 'Bar', 'Private beach area']","<span class=""bui-u-sr-only"">
Price
COP 3,838,800
</span>",40 m²,['Pets\n\n\nPets are not allowed.'],4
Naxos Palace Hotel,"Main Street, Stelida, 84300, Greece",7.0Good 211 reviews,"['2 swimming pools', 'Non-smoking rooms', 'Airport shuttle', 'Room service', 'Free parking', 'Free WiFi', 'Family rooms', 'Bar']","<span class=""bui-u-sr-only"">
Price
$181
</span>",280 feet²,['Pets\n\n\nFree!\nPets are allowed on request. No extra charges.'],
Golden Sun Hotel,"Stelida, Stelida, 84300, Greece",8.9Excellent 257 reviews,"['2 swimming pools', 'Non-smoking rooms', 'Airport shuttle (free)', 'Restaurant', 'Room service', 'Free WiFi', 'Free parking', 'Family rooms', 'Bar', 'Exceptional Breakfast']","<span class=""bui-u-sr-only"">
Price
CAD 486
</span>",30 m²,['Pets\n\n\nPets are not allowed.'],3
Ammoudia Studios,"Agiassos, Agiassos, 84300, Greece",9.5Exceptional 166 reviews,"['Non-smoking rooms', 'Free parking', 'Free WiFi', 'Beachfront', 'Family rooms', 'Bar']","<span class=""bui-u-sr-only"">
Price
CAD 388
</span>",25 m²,['Pets\n\n\nFree!\nPets are allowed on request. No extra charges.'],3
Delfinaki Lionas Boutique Apartments,"Lionas Naxos, Lionas, 84301, Greece",9.0Wonderful 147 reviews,"['Free parking', 'Free WiFi', 'Beachfront']","<span class=""bui-u-sr-only"">
Original price
€ 348
Current price
€ 320
</span>",25 m²,['Pets\n\n\nPets are not allowed.'],
Anatoli Hotel,"Main Street, Naxos Chora, 84300, Greece","9.1Wonderful 1,033 reviews","['Outdoor swimming pool', 'Free WiFi', 'Non-smoking rooms', 'Fitness center', 'Airport shuttle', 'Room service', 'Free parking', 'Family rooms', 'Tea/Coffee Maker in All Rooms', 'Bar']","<span class=""bui-u-sr-only"">
Price
€ 522
</span>",17 m²,['Pets\n\n\nFree!\nPets are allowed on request. No extra charges.'],2
Agia Anna Studios,"Agia Anna, Agia Anna Naxos, 84300, Greece",8.2Very Good 301 reviews,"['Non-smoking rooms', 'Free parking', 'Airport shuttle', 'Restaurant', 'Free WiFi', 'Family rooms', 'Very Good Breakfast']","<span class=""bui-u-sr-only"">
Original price
$318
Current price
$270
</span>",194 feet²,"['Smoking\n\nSmoking is not allowed.', 'Pets\n\n\nFree!\nPets are allowed on request. No extra charges.']",
Kavuras Village,"Agios Prokopios, Agios Prokopios, 84300, Greece",8.3Very Good 51 reviews,"['Outdoor swimming pool', 'Free WiFi', 'Restaurant', 'Free parking', 'Family rooms', 'Bar', 'Breakfast']","<span class=""bui-u-sr-only"">
Original price
€ 613
Current price
€ 493
</span>",22 m²,['Pets\n\n\nPets are not allowed.'],4
