name,location,reviews,facilities,price,size,rules,stars,link
Sky-Line Apartments,"Καποδιστρίου 9, Afantou, 85103, Greece",9.1Wonderful 50 reviews,"['Non-smoking rooms', 'Free parking', 'Restaurant', 'Free WiFi', 'Bar', 'Breakfast']","<span class=""bui-u-sr-only"">
Original price
$150
Current price
$128
</span>",323 feet²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Quiet hours\n\n\nGuests need be quiet between 2:00 PM and 5:00 PM.', 'Pets\n\n\nPets are not allowed.']",,https://www.booking.com/hotel/gr/sky-line-apartments.html?label=gen173bo-1DCAEoggI46AdIMVgDaFyIAQGYATG4ARfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4Ap296KMGwAIB0gIkOGQzN2IxNzMtZTY1ZS00M2RiLThhNDItOTBjNDhhZjA3ODZm2AIE4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-06-26&checkout=2023-06-30&dest_id=1591&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&nflt=class%3D5%3Bclass%3D1%3Bclass%3D2%3Bclass%3D3%3Bclass%3D4&srpvid=a0ff9165d2320078&srepoch=1685738444&all_sr_blocks=186339402_92042872_2_34_0&highlighted_blocks=186339402_92042872_2_34_0&matching_block_id=186339402_92042872_2_34_0&sr_pri_blocks=186339402_92042872_2_34_0__11886&from=searchresults#hotelTmpl
Elissa Lifestyle Resort,"Leoforos Kallitheas, Kallithea Rhodes, 85100, Greece",8.1Very Good 452 reviews,"['15 swimming pools', 'Spa', 'Fitness center', 'Non-smoking rooms', 'Beachfront', 'Restaurant', 'Tea/Coffee Maker in All Rooms', 'Bar', 'Private beach area', 'Very Good Breakfast']","<span class=""bui-u-sr-only"">
Original price
€ 1,500
Current price
€ 1,203
</span>",22 m²,['Pets\n\n\nPets are not allowed.'],5,https://www.booking.com/hotel/gr/elissa-lifestyle-resort.html?label=gen173bo-1DCAEoggI46AdIMVgDaFyIAQGYATG4ARfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4Ap296KMGwAIB0gIkOGQzN2IxNzMtZTY1ZS00M2RiLThhNDItOTBjNDhhZjA3ODZm2AIE4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-06-26&checkout=2023-06-30&dest_id=1591&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&nflt=class%3D5%3Bclass%3D1%3Bclass%3D2%3Bclass%3D3%3Bclass%3D4&srpvid=a0ff9165d2320078&srepoch=1685738444&all_sr_blocks=681095102_372524921_2_33_0&highlighted_blocks=681095102_372524921_2_33_0&matching_block_id=681095102_372524921_2_33_0&sr_pri_blocks=681095102_372524921_2_33_0__120320&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Helea Family Beach Resort,"Leoforos Kallitheas, Kallithea Rhodes, 85100, Greece",7.7Good 269 reviews,"['6 swimming pools', 'Spa', 'Non-smoking rooms', 'Fitness center', 'Beachfront', 'Restaurant', 'Room service', 'Tea/Coffee Maker in All Rooms', 'Bar', 'Private beach area']","<span class=""bui-u-sr-only"">
Original price
DOP 101,987
Current price
DOP 93,828
</span>",22 m²,['Pets\n\n\nPets are not allowed.'],5,https://www.booking.com/hotel/gr/helea-family-beach-resort.html?label=gen173bo-1DCAEoggI46AdIMVgDaFyIAQGYATG4ARfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4Ap296KMGwAIB0gIkOGQzN2IxNzMtZTY1ZS00M2RiLThhNDItOTBjNDhhZjA3ODZm2AIE4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-06-26&checkout=2023-06-30&dest_id=1591&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&nflt=class%3D5%3Bclass%3D1%3Bclass%3D2%3Bclass%3D3%3Bclass%3D4&srpvid=a0ff9165d2320078&srepoch=1685738444&all_sr_blocks=681125901_363023651_2_85_0&highlighted_blocks=681125901_363023651_2_85_0&matching_block_id=681125901_363023651_2_85_0&sr_pri_blocks=681125901_363023651_2_85_0__140960&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Rodos Palace Hotel,"Trianton Avenue, Ixia, 85100, Greece","7.3Good 1,550 reviews","['3 swimming pools', 'Spa', 'Non-smoking rooms', 'Fitness center', 'Airport shuttle', 'Beachfront', 'Room service', 'Facilities for disabled guests', 'Bar', 'Good Breakfast']","<span class=""bui-u-sr-only"">
Price
$469
</span>",484 feet²,['Pets\n\n\nPets are allowed on request. Charges may apply.'],,https://www.booking.com/hotel/gr/rodos-palace.html?label=gen173bo-1DCAEoggI46AdIMVgDaFyIAQGYATG4ARfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4Ap296KMGwAIB0gIkOGQzN2IxNzMtZTY1ZS00M2RiLThhNDItOTBjNDhhZjA3ODZm2AIE4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-06-26&checkout=2023-06-30&dest_id=1591&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&nflt=class%3D5%3Bclass%3D1%3Bclass%3D2%3Bclass%3D3%3Bclass%3D4&srpvid=a0ff9165d2320078&srepoch=1685738444&all_sr_blocks=4404417_88567300_2_41_0&highlighted_blocks=4404417_88567300_2_41_0&matching_block_id=4404417_88567300_2_41_0&sr_pri_blocks=4404417_88567300_2_41_0__62220&from=searchresults#hotelTmpl
Athoniki Villas,"EO Rodou Lindou, Kalathos, 85102, Greece",8.2Very Good 149 reviews,"['Outdoor swimming pool', 'Free WiFi', 'Non-smoking rooms', 'Airport shuttle (free)', 'Free parking', 'Family rooms']","<span class=""bui-u-sr-only"">
Price
€ 983
</span>",200 m²,"['Parties\n\n\nParties/events are not allowed', 'Quiet hours\n\n\nGuests need be quiet between 11:00 PM and 8:00 AM.', 'Pets\n\n\nPets are not allowed.']",4,https://www.booking.com/hotel/gr/athoniki-villas.html?label=gen173bo-1DCAEoggI46AdIMVgDaFyIAQGYATG4ARfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4Ap296KMGwAIB0gIkOGQzN2IxNzMtZTY1ZS00M2RiLThhNDItOTBjNDhhZjA3ODZm2AIE4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-06-26&checkout=2023-06-30&dest_id=1591&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&nflt=class%3D5%3Bclass%3D1%3Bclass%3D2%3Bclass%3D3%3Bclass%3D4&srpvid=a0ff9165d2320078&srepoch=1685738444&all_sr_blocks=169207701_89859294_0_0_0&highlighted_blocks=169207701_89859294_0_0_0&matching_block_id=169207701_89859294_0_0_0&sr_pri_blocks=169207701_89859294_0_0_0__98280&from=searchresults#hotelTmpl
Eden Roc Resort - All Inclusive,"Kalithea Avenue, Kallithea Rhodes, 85100, Greece",8.6Excellent 558 reviews,"['2 swimming pools', 'Spa', 'Non-smoking rooms', 'Fitness center', 'Beachfront', 'Restaurant', 'Free WiFi', 'Bar', 'Private beach area', 'Excellent Breakfast']","<span class=""bui-u-sr-only"">
Price
$1,554
</span>",237 feet²,['Pets\n\n\nPets are not allowed.'],,https://www.booking.com/hotel/gr/eden-roc-resort.html?label=gen173bo-1DCAEoggI46AdIMVgDaFyIAQGYATG4ARfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4Ap296KMGwAIB0gIkOGQzN2IxNzMtZTY1ZS00M2RiLThhNDItOTBjNDhhZjA3ODZm2AIE4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-06-26&checkout=2023-06-30&dest_id=1591&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&nflt=class%3D5%3Bclass%3D1%3Bclass%3D2%3Bclass%3D3%3Bclass%3D4&srpvid=a0ff9165d2320078&srepoch=1685738444&all_sr_blocks=9696401_288616433_2_85_0&highlighted_blocks=9696401_288616433_2_85_0&matching_block_id=9696401_288616433_2_85_0&sr_pri_blocks=9696401_288616433_2_85_0__146400&from=searchresults#hotelTmpl
Casa Cook Rhodes (Adults Only),"Kolymbia, Kolymbia, 85103, Greece",9.3Wonderful 812 reviews,"['Outdoor swimming pool', 'Fitness center', 'Non-smoking rooms', 'Restaurant', 'Room service', 'Facilities for disabled guests', 'Free parking', 'Free WiFi', 'Bar', 'Excellent Breakfast']","<span class=""bui-u-sr-only"">
Price
PEN 9,677
</span>",55 m²,['Pets\n\n\nPets are not allowed.'],5,https://www.booking.com/hotel/gr/casa-cook-rhodes.html?label=gen173bo-1DCAEoggI46AdIMVgDaFyIAQGYATG4ARfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4Ap296KMGwAIB0gIkOGQzN2IxNzMtZTY1ZS00M2RiLThhNDItOTBjNDhhZjA3ODZm2AIE4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-06-26&checkout=2023-06-30&dest_id=1591&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&nflt=class%3D5%3Bclass%3D1%3Bclass%3D2%3Bclass%3D3%3Bclass%3D4&srpvid=a0ff9165d2320078&srepoch=1685738444&all_sr_blocks=143609006_100840502_2_33_0&highlighted_blocks=143609006_100840502_2_33_0&matching_block_id=143609006_100840502_2_33_0&sr_pri_blocks=143609006_100840502_2_33_0__246800&from=searchresults#hotelTmpl
Esperos Village Blue & Spa - Adults Only,"Leoforos Kallitheas, Faliraki, 85100, Greece","9.1Wonderful 1,892 reviews","['2 swimming pools', 'Non-smoking rooms', 'Free parking', 'Fitness center', 'Spa', 'Room service', 'Restaurant', 'Tea/Coffee Maker in All Rooms', 'Bar', 'Wonderful Breakfast']","<span class=""bui-u-sr-only"">
Original price
$1,258
Current price
$1,069
</span>",323 feet²,['Pets\n\n\nPets are allowed on request. Charges may apply.'],,https://www.booking.com/hotel/gr/esperos-village.html?label=gen173bo-1DCAEoggI46AdIMVgDaFyIAQGYATG4ARfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4Ap296KMGwAIB0gIkOGQzN2IxNzMtZTY1ZS00M2RiLThhNDItOTBjNDhhZjA3ODZm2AIE4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-06-26&checkout=2023-06-30&dest_id=1591&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&nflt=class%3D5%3Bclass%3D1%3Bclass%3D2%3Bclass%3D3%3Bclass%3D4&srpvid=a0ff9165d2320078&srepoch=1685738444&all_sr_blocks=30311201_0_2_1_0&highlighted_blocks=30311201_0_2_1_0&matching_block_id=30311201_0_2_1_0&sr_pri_blocks=30311201_0_2_1_0__91998&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Port Royal Villas and Spa - Adults Only,"Main Street, Kolymbia, 85100, Greece",9.3Wonderful 659 reviews,"['3 swimming pools', 'Spa', 'Non-smoking rooms', 'Fitness center', 'Airport shuttle', 'Restaurant', 'Room service', 'Facilities for disabled guests', 'Bar', 'Private beach area']","<span class=""bui-u-sr-only"">
Price
$1,737
</span>",344 feet²,['Pets\n\n\nPets are not allowed.'],,https://www.booking.com/hotel/gr/port-royal-villas-spa.html?label=gen173bo-1DCAEoggI46AdIMVgDaFyIAQGYATG4ARfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4Ap296KMGwAIB0gIkOGQzN2IxNzMtZTY1ZS00M2RiLThhNDItOTBjNDhhZjA3ODZm2AIE4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-06-26&checkout=2023-06-30&dest_id=1591&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&nflt=class%3D5%3Bclass%3D1%3Bclass%3D2%3Bclass%3D3%3Bclass%3D4&srpvid=a0ff9165d2320078&srepoch=1685738444&all_sr_blocks=0_0_2_1_0&highlighted_blocks=0_0_2_1_0&matching_block_id=0_0_2_1_0&sr_pri_blocks=0_0_2_1_0__157524&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Atlantica Dreams Resort,"Gennadi, Gennadi, 85109, Greece",9.4Wonderful 108 reviews,"['Non-smoking rooms', 'Spa', 'Fitness center', 'Facilities for disabled guests', 'Free parking', 'Restaurant', 'Free WiFi', 'Bar', 'Private beach area', 'Breakfast']","<span class=""bui-u-sr-only"">
Price
CAD 2,899
</span>",31 m²,['Pets\n\n\nPets are not allowed.'],5,https://www.booking.com/hotel/gr/atlantica-dreams-resort.html?label=gen173bo-1DCAEoggI46AdIMVgDaFyIAQGYATG4ARfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4Ap296KMGwAIB0gIkOGQzN2IxNzMtZTY1ZS00M2RiLThhNDItOTBjNDhhZjA3ODZm2AIE4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-06-26&checkout=2023-06-30&dest_id=1591&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&nflt=class%3D5%3Bclass%3D1%3Bclass%3D2%3Bclass%3D3%3Bclass%3D4&srpvid=a0ff9165d2320078&srepoch=1685738444&all_sr_blocks=673459610_344105615_2_85_0&highlighted_blocks=673459610_344105615_2_85_0&matching_block_id=673459610_344105615_2_85_0&sr_pri_blocks=673459610_344105615_2_85_0__201600&from=searchresults#hotelTmpl
