name,location,reviews,facilities,price,size,rules,stars,link
Alia Luxury Suites and Spa,"Haraki, Haraki, 85102, Greece",8.6Excellent 481 reviews,"['2 swimming pools', 'Non-smoking rooms', 'Free parking', 'Airport shuttle', 'Fitness center', 'Tea/Coffee Maker in All Rooms', 'Bar', 'Beachfront', 'Private beach area', 'Very Good Breakfast']","<span class=""bui-u-sr-only"">
Price
$1,652
</span>",484 feet²,['Pets\n\n\nPets are not allowed.'],,https://www.booking.com/hotel/gr/alia-studios.html?label=gen173bo-1DCAEoggI46AdIMVgDaFyIAQGYATG4ARfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4Ap296KMGwAIB0gIkOGQzN2IxNzMtZTY1ZS00M2RiLThhNDItOTBjNDhhZjA3ODZm2AIE4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-06-26&checkout=2023-06-30&dest_id=1591&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&nflt=class%3D0&srpvid=f07e2858fafc0021&srepoch=1685771058&all_sr_blocks=30687033_365336235_4_41_0&highlighted_blocks=30687033_365336235_4_41_0&matching_block_id=30687033_365336235_4_41_0&sr_pri_blocks=30687033_365336235_4_41_0__154200&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Trees Art Hotel,"Apolloniou Rodiou 23, Ialysos, 85101, Greece",9.0Wonderful 16 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Free WiFi', 'Room service', 'Free parking', 'Tea/Coffee Maker in All Rooms', 'Bar', 'Breakfast']","<span class=""bui-u-sr-only"">
Price
€ 398
</span>",19 m²,['Pets\n\n\nFree!\nPets are allowed on request. No extra charges.'],,https://www.booking.com/hotel/gr/trees-boutique-art.html?label=gen173bo-1DCAEoggI46AdIMVgDaFyIAQGYATG4ARfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4Ap296KMGwAIB0gIkOGQzN2IxNzMtZTY1ZS00M2RiLThhNDItOTBjNDhhZjA3ODZm2AIE4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-06-26&checkout=2023-06-30&dest_id=1591&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&nflt=class%3D0&srpvid=f07e2858fafc0021&srepoch=1685771058&all_sr_blocks=950076701_374199385_2_1_0&highlighted_blocks=950076701_374199385_2_1_0&matching_block_id=950076701_374199385_2_1_0&sr_pri_blocks=950076701_374199385_2_1_0__36632&from=searchresults#hotelTmpl
Island Sea Side Hotel,"57 Orfanidou, Rhodes Town, 85100, Greece",10Exceptional 2 reviews,"['Non-smoking rooms', 'Airport shuttle', 'Private Parking', 'Breakfast']","<span class=""bui-u-sr-only"">
Original price
$511
Current price
$408
</span>",215 feet²,['Pets\n\n\nPets are not allowed.'],,https://www.booking.com/hotel/gr/island-beach-rodos.html?label=gen173bo-1DCAEoggI46AdIMVgDaFyIAQGYATG4ARfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4Ap296KMGwAIB0gIkOGQzN2IxNzMtZTY1ZS00M2RiLThhNDItOTBjNDhhZjA3ODZm2AIE4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-06-26&checkout=2023-06-30&dest_id=1591&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&nflt=class%3D0&srpvid=f07e2858fafc0021&srepoch=1685771058&all_sr_blocks=965498602_369058775_2_2_0&highlighted_blocks=965498602_369058775_2_2_0&matching_block_id=965498602_369058775_2_2_0&sr_pri_blocks=965498602_369058775_2_2_0__38080&from=searchresults#hotelTmpl
STAY Rhodes Hostel,"Lochagou Fanouraki 19-21, Rhodes Town, 85100, Greece",8.8Excellent 729 reviews,"['Non-smoking rooms', 'Free parking', 'Airport shuttle', 'Restaurant', 'Fitness center', 'Free WiFi', 'Family rooms', 'Tea/Coffee Maker in All Rooms', 'Bar']","<span class=""bui-u-sr-only"">
Price
BDT 27,528
</span>",16 m²,['Pets\n\n\nPets are allowed on request. Charges may apply.'],,https://www.booking.com/hotel/gr/stay.html?label=gen173bo-1DCAEoggI46AdIMVgDaFyIAQGYATG4ARfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4Ap296KMGwAIB0gIkOGQzN2IxNzMtZTY1ZS00M2RiLThhNDItOTBjNDhhZjA3ODZm2AIE4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-06-26&checkout=2023-06-30&dest_id=1591&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&nflt=class%3D0&srpvid=f07e2858fafc0021&srepoch=1685771058&all_sr_blocks=129298802_85400940_0_0_0&highlighted_blocks=129298802_85400940_0_0_0&matching_block_id=129298802_85400940_0_0_0&sr_pri_blocks=129298802_85400940_0_0_0__23250&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Afrodite's Traditional House,"Βασιλέως Παύλου 244, Koskinou, 85100, Greece",,"['Non-smoking rooms', 'Free WiFi', 'Family rooms']","<span class=""bui-u-sr-only"">
Original price
CHF 488
Current price
CHF 390
</span>",105 m²,"['Smoking\n\nSmoking is not allowed.', 'Pets\n\n\nFree!\nPets are allowed. No extra charges.']",,https://www.booking.com/hotel/gr/afrodites-traditional-house-koskinou.html?label=gen173bo-1DCAEoggI46AdIMVgDaFyIAQGYATG4ARfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4Ap296KMGwAIB0gIkOGQzN2IxNzMtZTY1ZS00M2RiLThhNDItOTBjNDhhZjA3ODZm2AIE4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-06-26&checkout=2023-06-30&dest_id=1591&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&nflt=class%3D0&srpvid=f07e2858fafc0021&srepoch=1685771058&all_sr_blocks=1012447101_373877753_6_0_0&highlighted_blocks=1012447101_373877753_6_0_0&matching_block_id=1012447101_373877753_6_0_0&sr_pri_blocks=1012447101_373877753_6_0_0__36918&from=searchresults#hotelTmpl
Eco Beach And Magic Garden Hotel,"Gennadi, Gennadi, 85109, Greece",9.0Wonderful 276 reviews,"['Fitness center', 'Spa', 'Non-smoking rooms', 'Airport shuttle', 'Restaurant', 'Room service', 'Tea/Coffee Maker in All Rooms', 'Bar', 'Private beach area', 'Excellent Breakfast']","<span class=""bui-u-sr-only"">
Price
£606
</span>",205 feet²,['Pets\n\n\nPets are not allowed.'],,https://www.booking.com/hotel/gr/wavehouse.html?label=gen173bo-1DCAEoggI46AdIMVgDaFyIAQGYATG4ARfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4Ap296KMGwAIB0gIkOGQzN2IxNzMtZTY1ZS00M2RiLThhNDItOTBjNDhhZjA3ODZm2AIE4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-06-26&checkout=2023-06-30&dest_id=1591&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&nflt=class%3D0&srpvid=f07e2858fafc0021&srepoch=1685771058&all_sr_blocks=67503905_114898461_2_41_0&highlighted_blocks=67503905_114898461_2_41_0&matching_block_id=67503905_114898461_2_41_0&sr_pri_blocks=67503905_114898461_2_41_0__64898&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Mojito Beach Rooms,"Lachania, Lachania, 85109, Greece",8.6Excellent 101 reviews,"['Airport shuttle', 'Non-smoking rooms', 'Beachfront', 'Restaurant', 'Free parking', 'Free WiFi', 'Bar']","<span class=""bui-u-sr-only"">
Price
€ 314
</span>",23 m²,['Pets\n\n\nFree!\nPets are allowed on request. No extra charges.'],,https://www.booking.com/hotel/gr/mojito-beach-rooms.html?label=gen173bo-1DCAEoggI46AdIMVgDaFyIAQGYATG4ARfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4Ap296KMGwAIB0gIkOGQzN2IxNzMtZTY1ZS00M2RiLThhNDItOTBjNDhhZjA3ODZm2AIE4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-06-26&checkout=2023-06-30&dest_id=1591&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&nflt=class%3D0&srpvid=f07e2858fafc0021&srepoch=1685771058&all_sr_blocks=144303001_363238437_0_0_0&highlighted_blocks=144303001_363238437_0_0_0&matching_block_id=144303001_363238437_0_0_0&sr_pri_blocks=144303001_363238437_0_0_0__28904&from=searchresults#hotelTmpl
Cava d'Oro,"15 Kisthiniou str.,Old Town, Rhodes Town, 85100, Greece",9.4Wonderful 262 reviews,"['Non-smoking rooms', 'Airport shuttle', 'Free WiFi']","<span class=""bui-u-sr-only"">
Price
$579
</span>",194 feet²,['Pets\n\n\nPets are not allowed.'],,https://www.booking.com/hotel/gr/cava-d-oro.html?label=gen173bo-1DCAEoggI46AdIMVgDaFyIAQGYATG4ARfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4Ap296KMGwAIB0gIkOGQzN2IxNzMtZTY1ZS00M2RiLThhNDItOTBjNDhhZjA3ODZm2AIE4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-06-26&checkout=2023-06-30&dest_id=1591&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&nflt=class%3D0&srpvid=f07e2858fafc0021&srepoch=1685771058&all_sr_blocks=30952201_184344891_0_0_0&highlighted_blocks=30952201_184344891_0_0_0&matching_block_id=30952201_184344891_0_0_0&sr_pri_blocks=30952201_184344891_0_0_0__54000&from=searchresults#hotelTmpl
Bamboo Suites Hotel,"Iliadon 2-6, Ialysos, 85100, Greece",8.8Excellent 101 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Free parking', 'Airport shuttle', 'Room service', 'Restaurant', 'Free WiFi', 'Bar', 'Good Breakfast']","<span class=""bui-u-sr-only"">
Original price
¥78,491
Current price
¥70,838
</span>",42 m²,['Pets\n\n\nPets are not allowed.'],,https://www.booking.com/hotel/gr/bamboo-suites.html?label=gen173bo-1DCAEoggI46AdIMVgDaFyIAQGYATG4ARfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4Ap296KMGwAIB0gIkOGQzN2IxNzMtZTY1ZS00M2RiLThhNDItOTBjNDhhZjA3ODZm2AIE4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-06-26&checkout=2023-06-30&dest_id=1591&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&nflt=class%3D0&srpvid=f07e2858fafc0021&srepoch=1685771058&all_sr_blocks=691585410_333204872_0_2_0&highlighted_blocks=691585410_333204872_0_2_0&matching_block_id=691585410_333204872_0_2_0&sr_pri_blocks=691585410_333204872_0_2_0__48408&from=searchresults#hotelTmpl
Hotel Dimitra Sun,"Archangelos, Archangelos, 85102, Greece",8.1Very Good 39 reviews,"['2 swimming pools', 'Free WiFi', 'Non-smoking rooms', 'Airport shuttle', 'Room service', 'Free parking', 'Family rooms', 'Bar', 'Breakfast']","<span class=""bui-u-sr-only"">
Price
€ 195
</span>",30 m²,['Pets\n\n\nPets are not allowed.'],,https://www.booking.com/hotel/gr/dimitra-sun.html?label=gen173bo-1DCAEoggI46AdIMVgDaFyIAQGYATG4ARfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4Ap296KMGwAIB0gIkOGQzN2IxNzMtZTY1ZS00M2RiLThhNDItOTBjNDhhZjA3ODZm2AIE4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-06-26&checkout=2023-06-30&dest_id=1591&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&nflt=class%3D0&srpvid=f07e2858fafc0021&srepoch=1685771058&all_sr_blocks=138150707_89352878_2_2_0&highlighted_blocks=138150707_89352878_2_2_0&matching_block_id=138150707_89352878_2_2_0&sr_pri_blocks=138150707_89352878_2_2_0__19480&from=searchresults#hotelTmpl
