name,location,stars,amount_conv,Rating,NumReviews,Airport,Pool,Breakfast,Family_Rooms,Parking,Restaurant,size_m2,Pets,Month,Location
Anema By The Sea Guesthouse,"83 Kanaris Street, Karlovasi, 83200, Greece",3.0,300.69444444444446,8.2, 143 ,False,True,True,True,True,True,25.0,False,June,Samos
Doryssa Seaside Resort,"Main Street, Pythagoreio, 83103, Greece",,883.1775700934579,8.0, 101 ,True,True,True,False,True,False,24.0,False,June,Samos
Zorbas Hotel & Studios,"Pythagóreion, Samos, Pythagoreio, 83103, Greece",,180.37383177570092,9.1,112 ,False,False,True,False,True,False,,False,June,Samos
Paris Beach Hotel,"Iraion, Ireon, 83100, Greece",,168.22429906542055,7.6,27 ,False,False,True,False,False,False,,True,June,Samos
Ino Village Hotel,"Samion Agoniston 69, Samos, 83100, Greece",3.0,946.0,9.2,191 ,False,True,True,True,True,True,50.0,False,June,Samos
Astir Hotel,"Gianni Ritsou (Agrotiki), Karlovasi, 83200, Greece",,0.0,8.8,45 ,False,True,False,True,True,True,,True,June,Samos
Friendly Studios,"Ireon, Ireon, 83103, Greece",3.0,240.45801526717557,8.9,29 ,False,False,False,False,True,False,27.0,True,June,Samos
Kerkis Bay,"Main Street, Marathokampos, 83102, Greece",3.0,220.13888888888889,7.8,58 ,False,False,False,True,False,False,55.0,False,June,Samos
Jimmy's Place,"Ormos Marathokampou, Órmos Marathokámpou, 83102, Greece",3.0,118.73727087576374,8.4, 54 ,False,False,False,True,True,True,17.0,True,June,Samos
Aphrodite Hotel & Suites,"Main Street, Marathokampos, 83102, Greece",,391.58878504672896,8.3, 79 ,True,True,False,True,True,False,24.0,False,June,Samos
Polyxeni Hotel,"Pythagoreion, Pythagoreio, 83103, Greece",,316.822429906542,8.9,146 ,False,False,True,False,True,False,,True,June,Samos
Erato Seaside Hotel by Samian Mare,"115, KANARI STR, Karlovasi, 83200, Greece",4.0,613.8888888888889,,,True,False,True,False,True,True,22.0,False,June,Samos
Villa Glyfos,"Glyfos, Kerveli, 83100, Greece",3.0,518.0,7.6,19 ,False,False,False,False,False,False,78.0,True,June,Samos
