name,location,reviews,facilities,price,size,rules,stars,link
Anema By The Sea Guesthouse,"83 Kanaris Street, Karlovasi, 83200, Greece",8.2Very Good 143 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Free parking', 'Restaurant', 'Free WiFi', 'Beachfront', 'Family rooms', 'Bar', 'Breakfast']","<span class=""bui-u-sr-only"">
Price
CAD 433
</span>",25 m²,"['Parties\n\n\nParties/events are not allowed', 'Quiet hours\n\n\nGuests need be quiet between 11:00 PM and 7:00 AM.', 'Pets\n\n\nPets are not allowed.']",3,https://www.booking.com/hotel/gr/anema-by-the-sea-apartments.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-06-26&checkout=2023-06-30&dest_id=2609&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=04192a3b67250325&srepoch=1685944824&all_sr_blocks=17402501_347158817_2_1_0&highlighted_blocks=17402501_347158817_2_1_0&matching_block_id=17402501_347158817_2_1_0&sr_pri_blocks=17402501_347158817_2_1_0__30000&from_sustainable_property_sr=1&map_fdco=1&from=searchresults#hotelTmpl
Doryssa Seaside Resort,"Main Street, Pythagoreio, 83103, Greece",8.0Very Good 101 reviews,"['Outdoor swimming pool', 'Free parking', 'Airport shuttle', 'Fitness center', 'Spa', 'Room service', 'Facilities for disabled guests', 'Bar', 'Beachfront', 'Breakfast']","<span class=""bui-u-sr-only"">
Price
$945
</span>",269 feet²,['Pets\n\n\nPets are not allowed.'],,https://www.booking.com/hotel/gr/doryssa-seaside-resort.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-06-26&checkout=2023-06-30&dest_id=2609&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=04192a3b67250325&srepoch=1685944824&all_sr_blocks=0_0_2_1_0&highlighted_blocks=0_0_2_1_0&matching_block_id=0_0_2_1_0&sr_pri_blocks=0_0_2_1_0__88123&from_sustainable_property_sr=1&map_fdco=1&from=searchresults#hotelTmpl
Zorbas Hotel & Studios,"Pythagóreion, Samos, Pythagoreio, 83103, Greece",9.1Wonderful 112 reviews,"['Non-smoking rooms', 'Free parking', 'Free WiFi', 'Tea/Coffee Maker in All Rooms', 'Bar', 'Very Good Breakfast']","<span class=""bui-u-sr-only"">
Price
$193
</span>",,['Pets\n\n\nPets are not allowed.'],,https://www.booking.com/hotel/gr/zorbas-pythaga3reion2.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-06-26&checkout=2023-06-30&dest_id=2609&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=04192a3b67250325&srepoch=1685944824&all_sr_blocks=67365402_290133254_0_2_0&highlighted_blocks=67365402_290133254_0_2_0&matching_block_id=67365402_290133254_0_2_0&sr_pri_blocks=67365402_290133254_0_2_0__18000&map_fdco=1&from=searchresults#hotelTmpl
Paris Beach Hotel,"Iraion, Ireon, 83100, Greece",7.6Good 27 reviews,"['Non-smoking rooms', 'Free WiFi', 'Beachfront', 'Wonderful Breakfast']","<span class=""bui-u-sr-only"">
Price
$180
</span>",,['Pets\n\n\nFree!\nPets are allowed on request. No extra charges.'],,https://www.booking.com/hotel/gr/paris-beach.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-06-26&checkout=2023-06-30&dest_id=2609&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=04192a3b67250325&srepoch=1685944824&all_sr_blocks=29939002_373912913_2_2_0&highlighted_blocks=29939002_373912913_2_2_0&matching_block_id=29939002_373912913_2_2_0&sr_pri_blocks=29939002_373912913_2_2_0__16800&map_fdco=1&from=searchresults#hotelTmpl
Ino Village Hotel,"Samion Agoniston 69, Samos, 83100, Greece",9.2Wonderful 191 reviews,"['Outdoor swimming pool', 'Free WiFi', 'Non-smoking rooms', 'Restaurant', 'Free parking', 'Family rooms', 'Tea/Coffee Maker in All Rooms', 'Bar', 'Wonderful Breakfast']","<span class=""bui-u-sr-only"">
Price
€ 946
</span>",50 m²,['Pets\n\n\nPets are not allowed.'],3,https://www.booking.com/hotel/gr/ino-village.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-06-26&checkout=2023-06-30&dest_id=2609&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=04192a3b67250325&srepoch=1685944824&all_sr_blocks=1415411_243985567_2_33_0&highlighted_blocks=1415411_243985567_2_33_0&matching_block_id=1415411_243985567_2_33_0&sr_pri_blocks=1415411_243985567_2_33_0__118800&from_sustainable_property_sr=1&map_fdco=1&from=searchresults#hotelTmpl
Astir Hotel,"Gianni Ritsou (Agrotiki), Karlovasi, 83200, Greece",8.8Excellent 45 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Free WiFi', 'Restaurant', 'Free parking', 'Family rooms', 'Bar']",,,['Pets\n\n\nFree!\nPets are allowed on request. No extra charges.'],,https://www.booking.com/hotel/gr/astir-hotel.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-06-26&checkout=2023-06-30&dest_id=2609&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=04192a3b67250325&srepoch=1685944824&all_sr_blocks=37246802_205213560_0_0_0&highlighted_blocks=37246802_205213560_0_0_0&matching_block_id=37246802_205213560_0_0_0&sr_pri_blocks=37246802_205213560_0_0_0__18800&map_fdco=1&from=searchresults#hotelTmpl
Friendly Studios,"Ireon, Ireon, 83103, Greece",8.9Excellent 29 reviews,"['Free parking', 'Free WiFi']","<span class=""bui-u-sr-only"">
Price
AED 945
</span>",27 m²,['Pets\n\n\nFree!\nPets are allowed on request. No extra charges.'],3,https://www.booking.com/hotel/gr/friendly-studios.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-06-26&checkout=2023-06-30&dest_id=2609&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=04192a3b67250325&srepoch=1685944824&all_sr_blocks=40496801_367676411_2_0_0&highlighted_blocks=40496801_367676411_2_0_0&matching_block_id=40496801_367676411_2_0_0&sr_pri_blocks=40496801_367676411_2_0_0__24000&from_sustainable_property_sr=1&map_fdco=1&from=searchresults#hotelTmpl
Kerkis Bay,"Main Street, Marathokampos, 83102, Greece",7.8Good 58 reviews,"['Non-smoking rooms', 'Facilities for disabled guests', 'Free WiFi', 'Family rooms', 'Bar']","<span class=""bui-u-sr-only"">
Price
CAD 317
</span>",55 m²,['Pets\n\n\nPets are not allowed.'],3,https://www.booking.com/hotel/gr/kerkis-bay.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-06-26&checkout=2023-06-30&dest_id=2609&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=04192a3b67250325&srepoch=1685944824&all_sr_blocks=9608401_344012860_2_41_0&highlighted_blocks=9608401_344012860_2_41_0&matching_block_id=9608401_344012860_2_41_0&sr_pri_blocks=9608401_344012860_2_41_0__22000&map_fdco=1&from=searchresults#hotelTmpl
Jimmy's Place,"Ormos Marathokampou, Órmos Marathokámpou, 83102, Greece",8.4Very Good 54 reviews,"['Free parking', 'Non-smoking rooms', 'Restaurant', 'Free WiFi', 'Beachfront', 'Family rooms']","<span class=""bui-u-sr-only"">
Price
MYR 583
</span>",17 m²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Pets\n\n\nFree!\nPets are allowed on request. No extra charges.']",3,https://www.booking.com/hotel/gr/jimmy-s-place.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-06-26&checkout=2023-06-30&dest_id=2609&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=04192a3b67250325&srepoch=1685944824&all_sr_blocks=106033904_270396965_0_0_0&highlighted_blocks=106033904_270396965_0_0_0&matching_block_id=106033904_270396965_0_0_0&sr_pri_blocks=106033904_270396965_0_0_0__11880&from_sustainable_property_sr=1&map_fdco=1&from=searchresults#hotelTmpl
Aphrodite Hotel & Suites,"Main Street, Marathokampos, 83102, Greece",8.3Very Good 79 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Free parking', 'Airport shuttle (free)', 'Room service', 'Facilities for disabled guests', 'Free WiFi', 'Beachfront', 'Family rooms', 'Bar']","<span class=""bui-u-sr-only"">
Original price
$598
Current price
$419
</span>",269 feet²,['Pets\n\n\nPets are not allowed.'],,https://www.booking.com/hotel/gr/aphrodite-studios-apartments.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQi4ARfIAQzYAQHoAQH4AQyIAgGoAgO4AvCy3aMGwAIB0gIkYzdkZjg5YzctNDdkNi00OTc3LTk5Y2QtMGM2ZDA2N2NhOTA32AIG4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2023-06-26&checkout=2023-06-30&dest_id=2609&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=04192a3b67250325&srepoch=1685944824&all_sr_blocks=17171506_88565809_0_1_0&highlighted_blocks=17171506_88565809_0_1_0&matching_block_id=17171506_88565809_0_1_0&sr_pri_blocks=17171506_88565809_0_1_0__39032&from_sustainable_property_sr=1&map_fdco=1&from=searchresults#hotelTmpl
