name,location,reviews,facilities,price,size,rules,stars
Aecon Suites,"Exo Gonia Thiras, Santorini Aecon Suites, Éxo Goniá, 84700, Greece",10Exceptional 7 reviews,"['Airport shuttle (free)', 'Free WiFi', 'Non-smoking rooms', 'Free parking', 'Family rooms']","<span class=""bui-u-sr-only"">
Original price
€ 2,200
Current price
€ 1,320
</span>",65 m²,['Pets\n\n\nPets are not allowed.'],
Voreina Gallery Suites,"Pirgos Thiras, Pyrgos, 84701, Greece",9.7Exceptional 221 reviews,"['Outdoor swimming pool', 'Free parking', 'Non-smoking rooms', 'Airport shuttle (free)', 'Room service', 'Facilities for disabled guests', 'Family rooms', 'Exceptional Breakfast']","<span class=""bui-u-sr-only"">
Original price
₹ 137,968
Current price
₹ 126,930
</span>",60 m²,['Pets\n\n\nFree!\nPets are allowed on request. No extra charges.'],4
Santorini View,"Akrotiri, Santorini, Akrotiri, 84700, Greece",9.3Wonderful 22 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Airport shuttle', 'Restaurant', 'Room service', 'Free parking', 'Free WiFi', 'Family rooms', 'Breakfast']","<span class=""bui-u-sr-only"">
Original price
$896
Current price
$701
</span>",194 feet²,['Pets\n\n\nPets are not allowed.'],
Kafieris Blue Studios,"Firostefani, Firostefani, 84700, Greece",8.9Excellent 499 reviews,"['Outdoor swimming pool', 'Airport shuttle', 'Non-smoking rooms', 'Room service', 'Free WiFi', 'Family rooms', 'Breakfast']","<span class=""bui-u-sr-only"">
Original price
RUB 206,053
Current price
RUB 133,935
</span>",30 m²,['Pets\n\n\nFree!\nPets are allowed on request. No extra charges.'],3
Timedrops Santorini Villas,"Emporeio, Emporio Santorini, 84703, Greece",9.0Wonderful 82 reviews,"['Airport shuttle', 'Facilities for disabled guests', 'Room service', 'Free parking', 'Free WiFi']","<span class=""bui-u-sr-only"">
Price
£663
</span>",484 feet²,"['Smoking\n\nSmoking is not allowed.', 'Pets\n\n\nPets are not allowed.']",4
Smaragdi Hotel,"Main Street, Perivolos, 84703, Greece",9.2Wonderful 756 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Room service', 'Free parking', 'Free WiFi', 'Bar']","<span class=""bui-u-sr-only"">
Original price
€ 828
Current price
€ 610
</span>",24 m²,['Pets\n\n\nPets are not allowed.'],3
Maison Des Lys - Luxury Suites,"Off Akrotiriou - Megalochoriou Road, Akrotiri, 84700, Greece",8.8Excellent 452 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Airport shuttle (free)', 'Restaurant', 'Room service', 'Free parking', 'Free WiFi', 'Family rooms', 'Bar', 'Very Good Breakfast']","<span class=""bui-u-sr-only"">
Price
£981
</span>",431 feet²,['Pets\n\n\nPets are allowed on request. Charges may apply.'],
Mythical Blue Luxury Suites,"Nomikou M, Fira, 84700, Greece",9.0Wonderful 338 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Airport shuttle', 'Restaurant', 'Free parking', 'Room service', 'Free WiFi', 'Terrace', 'Bar', 'Wonderful Breakfast']","<span class=""bui-u-sr-only"">
Price
€ 2,596
</span>",40 m²,['Pets\n\n\nPets are not allowed.'],4
"Magma Resort Santorini, In The Unbound Collection By Hyatt","Vourvoulos, Vourvoulos, 84700, Greece",9.2Wonderful 48 reviews,"['2 swimming pools', 'Free parking', 'Non-smoking rooms', 'Airport shuttle', 'Facilities for disabled guests', 'Room service', 'Fitness center', 'Free WiFi', 'Bar', 'Breakfast']","<span class=""bui-u-sr-only"">
Price
UZS 27,819,273
</span>",30 m²,['Pets\n\n\nPets are not allowed.'],5
North Santorini - A Luxury Spa Hotel,"Periferiakos Pyrgou, Pyrgos, 84701, Greece",9.3Wonderful 357 reviews,"['Outdoor swimming pool', 'Free WiFi', 'Airport shuttle', 'Non-smoking rooms', 'Spa', 'Fitness center', 'Room service', 'Facilities for disabled guests', 'Bar', 'Wonderful Breakfast']",,,['Pets\n\n\nPets are not allowed.'],
Nova Luxury Suites,"Eparchiaki Odos Pirgou Kallistis - Profiti Ilia 10 Nova Suites Pirgos kallisti Santorini, Pyrgos, 84700, Greece",9.8Exceptional 306 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Airport shuttle', 'Fitness center', 'Free parking', 'Free WiFi', 'Private beach area', 'Exceptional Breakfast']","<span class=""bui-u-sr-only"">
Price
$1,623
</span>",646 feet²,"['Smoking\n\nSmoking is not allowed.', 'Parties\n\n\nParties/events are not allowed', 'Pets\n\n\nPets are not allowed.']",
Marillia Village,"Main Street, Perivolos, 84703, Greece",9.3Wonderful 365 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Free parking', 'Airport shuttle', 'Room service', 'Free WiFi', 'Family rooms', 'Bar']","<span class=""bui-u-sr-only"">
Original price
$2,142
Current price
$1,714
</span>",431 feet²,"['Parties\n\n\nParties/events are not allowed', 'Quiet hours\n\n\nGuests need be quiet between 10:00 PM and 9:00 AM.', 'Pets\n\n\nPets are not allowed.']",
Divino Caldera,"Akrotiri, Akrotiri, 84700, Greece",9.5Exceptional 33 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Airport shuttle', 'Free parking', 'Room service', 'Free WiFi', 'Tea/Coffee Maker in All Rooms', 'Breakfast']","<span class=""bui-u-sr-only"">
Original price
€ 3,242
Current price
€ 2,756
</span>",80 m²,['Pets\n\n\nPets are not allowed.'],
Zannos Melathron,"Main Street, Pyrgos, 84701, Greece",8.4Very Good 185 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Spa', 'Airport shuttle', 'Restaurant', 'Room service', 'Free WiFi', 'Family rooms', 'Bar', 'Breakfast']","<span class=""bui-u-sr-only"">
Original price
CRC 698,775
Current price
CRC 593,959
</span>",40 m²,['Pets\n\n\nPets are allowed on request. Charges may apply.'],5
Hotel Eucalyptus,"Mesaria, Mesaria, 84700, Greece",9.0Wonderful 274 reviews,"['Free parking', 'Non-smoking rooms', 'Room service', 'Free WiFi', 'Breakfast']","<span class=""bui-u-sr-only"">
Price
₹ 54,833
</span>",20 m²,['Pets\n\n\nPets are not allowed.'],2
Marvarit Suites,"messaria 1, Mesaria, 84700, Greece",9.5Exceptional 528 reviews,"['Outdoor swimming pool', 'Free parking', 'Free WiFi', 'Airport shuttle (free)', 'Family rooms', 'Tea/Coffee Maker in All Rooms']","<span class=""bui-u-sr-only"">
Original price
COP 4,918,040
Current price
COP 4,180,340
</span>",30 m²,['Pets\n\n\nPets are not allowed.'],
Phos The Boutique,"Akrotiri, Akrotiri, 84700, Greece",9.7Exceptional 166 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Spa', 'Airport shuttle', 'Restaurant', 'Room service', 'Free parking', 'Free WiFi', 'Bar', 'Exceptional Breakfast']","<span class=""bui-u-sr-only"">
Original price
$6,396
Current price
$4,477
</span>",592 feet²,['Pets\n\n\nPets are not allowed.'],
Veggera Beach Hotel,"Main Street, Perissa, 84 703, Greece",8.0Very Good 455 reviews,"['Outdoor swimming pool', 'Airport shuttle', 'Free WiFi', 'Non-smoking rooms', 'Free parking', 'Room service', 'Beachfront', 'Restaurant', 'Bar', 'Private beach area']","<span class=""bui-u-sr-only"">
Price
€ 855
</span>",25 m²,['Pets\n\n\nPets are not allowed.'],4
Katikies Santorini - The Leading Hotels Of The World,"Main Street, Oia, 84702, Greece",9.4Wonderful 96 reviews,"['Outdoor swimming pool', 'Non-smoking rooms', 'Free parking', 'Airport shuttle', 'Room service', 'Spa', 'Restaurant', 'Free WiFi', 'Terrace', 'Bar']","<span class=""bui-u-sr-only"">
Price
$7,881
</span>",431 feet²,['Pets\n\n\nPets are not allowed.'],
