name,location,stars,amount_conv,Rating,NumReviews,Airport,Pool,Breakfast,Family_Rooms,Parking,Restaurant,size_m2,Pets,Month,Location
ethelio,"Agios Ioannis, Agios Ioannis, 84200, Greece",,360.74766355140184,9.0,22 ,False,False,False,False,True,False,19.0,False,June,Tinos
Galini Bungalows,"Ag. Fotodoti 92, Kionia, Kionia, 84200, Greece",3.0,380.55555555555554,8.4, 170 ,False,False,True,True,True,False,25.0,False,June,Tinos
Castria,"Ag. Dimitrios, Kionia, 84200, Greece",4.0,477.8494128482616,9.7,101 ,False,True,False,False,True,False,20.0,False,June,Tinos
Agali Bay Hotel,"Agali Bay, Tinos, 84200, Greece",,380.0,8.7,121 ,False,False,True,True,True,False,18.0,False,June,Tinos
Onos - Eco Living Experience,"TINOS, Mési, 84200, Greece",4.0,793.0,9.7,19 ,False,False,False,True,True,False,47.0,True,June,Tinos
Anastasia Studios,"20, Ilia Gafou str., Tinos, 84200, Greece",3.0,360.4166666666667,8.2, 226 ,False,False,False,True,True,False,50.0,True,June,Tinos
Ioanna's,"Pyrgos Tinou, Panormos, 84201, Greece",3.0,493.21469039525425,9.8,31 ,False,False,False,True,True,False,75.0,True,June,Tinos
La Vista TINOS,"Τήνος, Agios Ioannis, 84200, Greece",,401.55422518996085,,,False,False,False,True,True,False,25.0,True,June,Tinos
Phos Villas Tinos,"VOURNI BEACH, Agios Romanos, 84200, Greece",4.0,1479.1273313377849,9.7,23 ,False,True,False,True,True,False,96.0,True,June,Tinos
Ursa Major Suites,"Κώμη Τήνος, Tinos, 84200, Greece",,755.3429165223415,9.6,58 ,False,False,True,True,True,True,32.0,False,June,Tinos
Terra Aeolica,"Arnados , Arnados, 84200, Greece",3.0,306.25,8.8,66 ,False,False,False,False,True,False,50.0,False,June,Tinos
Golden Beach Studios & Suites,"Agios Fokas Beach, Tinos, 84200, Greece",,882.2429906542055,8.7,173 ,False,False,True,False,True,True,36.0,True,June,Tinos
Meltemi Tinos,"Agios Romanos, Tinos, Greece Agios Romanos, Agios Romanos, 84200, Greece",,300.93457943925233,9.5,53 ,False,False,False,True,True,False,31.0,False,June,Tinos
Summer Time - Tinos Apartments,"Ayios Sostis Tinou, Agios Sostis, 84200, Greece",3.0,480.5555555555556,9.1,100 ,False,False,False,True,True,False,55.0,False,June,Tinos
Aegean Muses,"ΤΡΙΑΝΤΑΡΟΣ 84200 ΤΗΝΟΣ, Arnados, 84200, Greece",,1267.2524144414283,9.6,5 ,False,True,False,False,True,False,126.0,False,June,Tinos
Elysium Villas,"Αρνάδος  Τήνου, Arnados, 84200, Greece",4.0,851.0349357494307,9.0,21 ,False,False,False,True,True,False,80.0,True,June,Tinos
Kyklades,"Agios Ioannis, Agios Ioannis, 84200, Greece",3.0,208.67159901353062,9.4,57 ,False,False,False,True,True,False,25.0,False,June,Tinos
Soulmate's Suites No207,"Agiou Fotodoti, Kionia, 84200, Greece",,559.3023255813954,,,False,True,False,False,True,False,44.0,False,June,Tinos
Villa Ioanna,"Kionia, Kionia, 84200, Greece",,341.12149532710276,9.0,67 ,False,False,False,True,True,False,24.0,True,June,Tinos
Eleana Hotel,"1 Agiou Ioannou, Tinos, 84200, Greece",,353.27102803738313,9.6,201 ,False,False,False,False,False,False,14.0,False,June,Tinos
Sail Inn,"ΑΓΙΟΣ ΡΩΜΑΝΟΣ, Agios Romanos, 84200, Greece",,420.56074766355135,9.4,109 ,False,False,False,True,True,False,26.0,False,June,Tinos
PG House in Kalloni Village - Tinos,"Επαρχιακή Οδός Τήνου-Καλλονής, Kalloni Tinou, 84200, Greece",3.0,388.0,,,False,False,False,True,False,False,70.0,True,June,Tinos
ENALION-TINOS,"Τριών Ιεραρχών 18, Tinos, 84200, Greece",3.0,259.5880823835233,9.0,79 ,False,False,False,True,True,False,15.0,False,June,Tinos
Chora 5 - Central Rooms,"Agios Eleftherios, Tinos, 84200, Greece",,378.0,,,True,False,False,True,False,False,24.0,False,June,Tinos
Akti Aegeou,"Paralia Laouti, Agios Sostis, 84200, Greece",3.0,488.37209302325584,9.2,83 ,False,True,True,True,True,True,49.0,False,June,Tinos
Marble Villas,"Agia Eirini Agios Fokas, Tinos, 84200, Greece",,685.0467289719626,9.3,37 ,False,True,False,True,True,False,112.0,True,June,Tinos
Nama Boutique Hotel,"10, Vasileos Pavlou street, Tinos, 84200, Greece",3.0,415.0127226463104,8.1, 387 ,False,False,False,True,False,False,15.0,False,June,Tinos
Tinos Resort,"Agiou Charalampou Square, Tinos, 84200, Greece",4.0,1429.0,9.4,36 ,False,True,True,True,True,False,91.0,False,June,Tinos
Seaside Tinos,"KIONIA, Kionia, 84200, Greece",4.0,562.0,9.7,62 ,False,False,False,True,True,False,26.0,False,June,Tinos
Castria,"Ag. Dimitrios, Kionia, 84200, Greece",,477.57009345794387,9.7,101 ,False,True,False,False,True,False,19.0,False,June,Tinos
Pension Selenti,"Gkizi, Tinos, 84200, Greece",3.0,325.0,8.3, 91 ,False,False,False,True,True,False,20.0,False,June,Tinos
Agali Apartments,"Chora Tinos, Tinos, 84200, Greece",,400.93457943925233,9.5,39 ,False,False,False,True,True,False,34.0,False,June,Tinos
Anemos,"Agios Ioannis, Agios Ioannis, 84200, Greece",4.0,601.995012468828,9.3,30 ,False,True,True,True,True,False,25.0,True,June,Tinos
En Plo,"Agios Romanos, Agios Romanos, 84200, Greece",,334.57943925233644,9.2,88 ,False,True,True,True,True,False,44.0,True,June,Tinos
Orion suites,"Λεωφόρος Σταυρού Κιονίων, Σπιτάλια, Tinos, 84200, Greece",,1041.6666666666667,9.6,95 ,False,False,False,True,True,False,28.0,False,June,Tinos
Onos - Eco Living Experience,"TINOS, Mési, 84200, Greece",,730.8411214953271,9.7,19 ,False,False,False,True,True,False,48.0,True,June,Tinos
